ID,INPUT1,INPUT2,INPUT3,INPUT4,SWITCH,SOUND
98488,36,57,86,37,Low,Tick
64876,17,0,37,65,Medium,Gargle
58846,92,14,33,5,Minimum,Hiss
35012,70,29,7,73,Maximum,Rumble
77868,0,56,51,87,Low,Tick
27314,15,98,39,3,Medium,Gargle
97119,58,3,6,8,Medium,Sizzle
32788,45,72,64,58,Minimum,Rumble
9073,40,41,43,27,Minimum,Kaboom
30153,76,53,7,76,Medium,Sizzle
42264,61,99,74,79,Minimum,Sizzle
19524,14,12,12,20,High,Gargle
81523,83,39,35,8,Low,Tick
36848,50,80,13,72,Low,Gargle
21971,25,28,100,65,Maximum,Gargle
18633,62,16,99,4,Minimum,Sizzle
69331,91,52,43,24,Minimum,Beep
71001,2,72,57,43,High,Gargle
93477,26,22,97,49,High,Beep
8758,19,31,29,38,Maximum,Tick
52642,14,8,99,49,Maximum,Tick
60155,96,76,62,1,Minimum,Sizzle
61083,35,58,26,39,High,Gargle
23990,58,50,73,21,Maximum,Sizzle
83822,40,98,58,79,High,Gargle
8315,91,43,16,45,Low,Tick
44034,87,84,76,35,Minimum,Sizzle
75136,34,70,2,24,High,Gargle
44631,48,73,14,85,Low,Gargle
17815,14,91,61,17,Minimum,Beep
12468,56,94,18,52,Maximum,Sizzle
31314,19,4,7,32,Medium,Tick
90059,32,36,76,32,High,Gargle
54559,10,62,4,72,Maximum,Gargle
57904,66,36,52,47,Maximum,Sizzle
10985,87,0,56,77,Medium,Beep
85730,22,16,77,29,Low,Gargle
89444,27,76,68,79,Medium,Tick
60815,31,13,52,95,High,Beep
28780,43,23,78,67,Minimum,Kaboom
49683,86,41,67,21,Maximum,Sizzle
24967,80,55,63,84,Low,Tick
89316,10,69,88,21,Medium,Tick
11186,53,55,83,1,Low,Tick
44686,48,17,68,25,Low,Tick
35204,20,87,16,43,Minimum,Rumble
4874,36,40,85,51,Low,Gargle
9780,96,42,6,12,Minimum,Sizzle
68649,71,54,100,82,Low,Gargle
30979,70,30,26,33,High,Gargle
12290,54,87,46,1,Medium,Sizzle
61657,70,53,35,33,High,Gargle
47408,99,1,13,54,Medium,Hiss
84903,4,22,52,91,Minimum,Tick
38569,74,46,36,28,Medium,Sizzle
82946,64,0,40,8,High,Gargle
78181,76,97,87,11,Minimum,Sizzle
87837,45,45,71,89,Minimum,Rumble
5286,25,37,20,11,Low,Gargle
81998,29,5,100,33,High,Tick
66187,79,61,32,28,High,Gargle
98102,14,67,55,9,High,Tick
69467,28,51,22,7,Medium,Tick
74641,82,73,13,98,Low,Tick
21320,11,67,52,58,Low,Tick
12151,35,45,7,44,Maximum,Sizzle
88982,38,44,78,11,Low,Gargle
69282,43,29,10,99,Medium,Kaboom
40829,91,55,82,4,Medium,Hiss
5029,45,21,52,43,Low,Gargle
45212,33,50,68,15,Minimum,Hiss
68903,41,79,92,82,Medium,Kaboom
41536,24,12,20,8,Minimum,Tick
55401,85,97,29,37,Medium,Beep
23045,71,23,52,31,Low,Tick
1184,86,71,49,27,Low,Tick
67504,26,54,43,15,Maximum,Tick
96877,39,66,73,62,Medium,Rumble
29364,59,64,37,2,Medium,Sizzle
88548,61,81,50,61,Low,Tick
59160,40,84,94,9,Medium,Kaboom
8161,4,87,17,31,Medium,Tick
16281,56,26,58,16,Minimum,Sizzle
54623,76,53,28,53,Medium,Sizzle
44914,100,50,33,17,Minimum,Sizzle
38772,100,29,20,93,Maximum,Hiss
64287,38,6,3,8,Minimum,Hiss
89919,21,26,10,74,Medium,Tick
43157,93,91,52,27,Low,Tick
18520,10,89,52,30,Medium,Beep
23295,75,10,15,40,Low,Gargle
81334,95,10,96,96,Low,Tick
21703,51,63,67,72,Maximum,Hiss
79656,75,5,52,93,Maximum,Sizzle
24648,70,39,38,10,High,Gargle
25846,18,81,75,4,High,Tick
86059,82,66,60,98,Low,Tick
49473,4,28,51,50,High,Gargle
75440,3,72,12,60,Low,Gargle
92163,0,88,99,44,Low,Tick
36281,66,39,38,54,Medium,Beep
63974,31,21,77,90,Maximum,Hiss
91185,30,16,22,1,Medium,Sizzle
1021,47,89,66,46,Low,Gargle
65918,63,27,34,58,High,Beep
26800,29,4,81,42,High,Gargle
63941,55,76,41,67,High,Gargle
5167,7,54,14,73,Medium,Gargle
4790,40,59,92,26,Maximum,Rumble
96209,64,47,0,91,Maximum,Sizzle
65356,41,55,93,30,Medium,Kaboom
83773,45,87,70,90,Low,Tick
33495,91,0,80,4,Low,Beep
83580,67,82,14,87,High,Gargle
57054,10,31,87,49,Minimum,Gargle
57000,91,81,68,87,Maximum,Beep
43327,22,43,99,54,Low,Gargle
75471,27,68,28,11,Medium,Tick
59276,55,6,67,93,Medium,Sizzle
70100,28,44,25,43,Medium,Sizzle
41088,59,97,14,29,Low,Rumble
68148,75,71,5,76,High,Gargle
63692,78,70,9,89,Minimum,Hiss
78329,92,42,19,87,High,Beep
29937,44,64,18,65,High,Gargle
38185,7,4,92,85,Minimum,Gargle
46285,40,3,16,73,High,Gargle
29913,42,7,42,13,Low,Gargle
70213,86,9,78,97,High,Gargle
69817,44,54,90,24,High,Gargle
36342,19,12,28,25,Medium,Gargle
67149,99,10,59,0,Low,Gargle
70861,68,3,81,56,Minimum,Hiss
51693,90,56,95,58,Low,Gargle
26399,94,75,61,30,Low,Gargle
90314,47,18,97,28,Maximum,Rumble
83889,26,93,94,49,Low,Tick
51427,21,96,60,50,Minimum,Tick
19673,64,87,31,88,High,Gargle
66396,16,86,41,26,High,Tick
34169,56,3,29,8,Minimum,Sizzle
65848,95,28,42,46,Low,Gargle
36856,34,98,98,11,High,Tick
25033,63,91,42,2,Maximum,Sizzle
99082,90,65,92,98,Minimum,Hiss
37751,12,6,71,53,Maximum,Gargle
91250,41,39,72,72,High,Tick
25550,8,44,92,100,High,Beep
45980,14,59,19,95,Maximum,Gargle
59837,31,46,76,31,Minimum,Rumble
50083,50,69,96,46,High,Gargle
64302,90,71,15,59,High,Gargle
61536,71,18,39,0,Low,Gargle
58346,80,47,26,87,High,Tick
99214,22,47,98,44,High,Beep
52317,6,29,26,52,Medium,Gargle
1104,55,47,88,70,Medium,Rumble
95780,92,39,39,49,Medium,Sizzle
23100,42,6,6,66,Minimum,Rumble
55910,75,78,76,25,High,Rumble
88974,38,41,7,72,Medium,Kaboom
92407,72,2,33,2,Minimum,Sizzle
63477,28,83,1,19,Low,Tick
35666,5,6,86,30,Medium,Gargle
15089,99,94,6,6,Medium,Hiss
21881,35,22,56,53,Medium,Kaboom
27459,22,42,57,41,Maximum,Rumble
47242,4,56,19,30,Low,Tick
43404,16,6,75,75,High,Gargle
48597,32,84,32,42,Low,Tick
55212,58,84,30,71,Medium,Rumble
80942,29,70,96,13,Minimum,Tick
46863,24,18,27,95,High,Gargle
52745,21,33,86,54,Maximum,Tick
68597,11,90,44,87,Maximum,Gargle
18937,77,84,41,57,Maximum,Sizzle
96128,4,37,59,32,High,Gargle
17319,43,74,95,32,Maximum,Kaboom
93195,81,41,6,54,High,Gargle
13965,93,34,34,79,High,Tick
45486,82,78,50,83,Low,Tick
40235,82,2,54,25,Medium,Sizzle
60938,44,22,64,22,Low,Gargle
12438,3,100,74,55,High,Gargle
59759,70,79,99,63,Medium,Sizzle
18568,63,24,63,73,Medium,Hiss
4515,95,81,68,47,Low,Tick
66193,85,4,56,56,High,Gargle
87143,79,96,10,30,Medium,Sizzle
47958,31,78,89,96,Maximum,Tick
67881,37,23,68,20,High,Gargle
45349,26,10,91,64,Low,Gargle
80754,91,42,97,68,Medium,Sizzle
54927,3,22,48,64,Medium,Gargle
32922,34,52,2,75,Maximum,Kaboom
81604,74,93,92,21,Low,Tick
54876,76,60,79,21,High,Rumble
8565,79,24,57,58,Maximum,Sizzle
83533,97,92,62,49,Maximum,Sizzle
10962,84,3,83,31,Maximum,Hiss
47687,29,96,50,39,Minimum,Tick
41945,93,15,56,41,Minimum,Rumble
77262,86,60,58,12,Maximum,Beep
82303,5,80,25,14,Medium,Gargle
25772,37,17,99,63,High,Gargle
23907,87,9,65,99,Maximum,Sizzle
32005,2,28,13,25,Medium,Gargle
7692,96,3,4,9,Maximum,Hiss
3186,47,99,67,15,Minimum,Sizzle
53603,41,4,28,26,High,Gargle
31268,60,62,24,4,Medium,Sizzle
17451,56,46,60,70,Low,Tick
78196,34,68,8,72,Low,Tick
85552,91,84,61,45,Low,Tick
45933,50,40,68,49,Minimum,Rumble
73827,83,42,47,12,High,Gargle
56464,41,72,85,45,Medium,Kaboom
73622,57,56,95,55,High,Gargle
50241,69,39,36,16,Low,Gargle
59304,5,47,32,62,Low,Gargle
32881,53,19,23,84,Maximum,Rumble
35991,9,16,98,4,High,Tick
48193,86,37,28,86,Minimum,Sizzle
31245,66,22,82,51,Low,Gargle
57833,89,16,93,41,Maximum,Hiss
23821,72,40,47,77,High,Gargle
11791,57,59,68,24,Low,Gargle
67352,2,26,72,24,Medium,Beep
8821,1,47,30,100,Low,Tick
76347,83,1,4,62,Minimum,Hiss
84431,54,35,63,75,Low,Gargle
27609,65,62,97,81,Low,Tick
20279,40,92,81,92,Low,Tick
30999,27,98,40,70,Minimum,Tick
72949,70,20,65,27,Minimum,Sizzle
48294,50,13,36,3,Medium,Rumble
99116,4,12,58,16,Low,Gargle
63550,96,92,64,79,Maximum,Sizzle
8780,98,91,15,31,Medium,Sizzle
69847,1,20,40,36,Medium,Gargle
88293,49,99,72,89,Maximum,Rumble
8054,18,44,7,4,Low,Tick
18654,84,91,74,90,High,Gargle
56546,46,25,77,70,Medium,Rumble
63809,11,97,92,27,Medium,Gargle
11608,55,11,51,8,Minimum,Sizzle
76998,86,91,3,27,High,Tick
5935,89,36,5,97,Minimum,Sizzle
64527,28,59,51,70,Medium,Tick
84246,89,83,82,57,Minimum,Hiss
30234,52,41,39,73,Maximum,Rumble
7077,95,53,48,9,Medium,Hiss
56182,52,12,6,37,Low,Tick
79764,85,84,82,61,Low,Tick
40525,71,91,3,50,Medium,Sizzle
6514,80,34,48,9,Maximum,Hiss
41427,62,31,13,81,Medium,Sizzle
77592,48,99,71,20,Low,Tick
8061,15,65,90,10,Medium,Gargle
96594,96,100,54,53,Low,Hiss
56332,21,69,37,0,Medium,Tick
4586,24,1,95,77,Maximum,Tick
70566,83,28,12,93,Low,Gargle
95946,85,99,25,70,High,Tick
37757,59,74,90,85,Maximum,Hiss
19798,62,37,94,93,Low,Gargle
5557,75,4,55,35,Medium,Sizzle
29060,79,84,2,58,Low,Tick
82908,88,50,80,2,Medium,Sizzle
53797,13,10,7,48,High,Gargle
53425,46,47,57,56,Minimum,Rumble
70441,13,47,48,79,Minimum,Gargle
87035,68,48,55,38,Low,Gargle
3621,7,13,86,17,Maximum,Gargle
49956,44,28,6,86,Maximum,Rumble
43282,69,73,76,4,Low,Tick
10802,28,0,0,61,Medium,Kaboom
13439,84,86,65,39,High,Gargle
33925,15,2,72,37,Low,Gargle
49617,25,24,75,61,Medium,Tick
64058,5,88,87,35,High,Gargle
75579,70,39,5,62,Low,Tick
7211,46,3,31,10,Maximum,Rumble
93845,26,49,70,95,Maximum,Rumble
5749,61,60,74,70,Low,Tick
77630,7,75,75,82,Minimum,Gargle
91873,74,76,74,75,Medium,Sizzle
87789,23,34,55,47,Medium,Tick
84959,36,10,36,64,Low,Gargle
44129,85,36,56,28,Minimum,Sizzle
25302,14,90,49,79,Medium,Gargle
91066,25,49,50,40,Maximum,Rumble
24940,0,80,1,18,Medium,Gargle
83109,47,8,22,4,Minimum,Rumble
3989,16,34,86,44,Medium,Gargle
68106,17,90,76,47,Medium,Beep
76388,1,45,69,50,High,Gargle
97304,12,97,23,60,Medium,Gargle
14482,54,12,44,74,High,Tick
60748,13,32,6,100,High,Gargle
92497,32,3,1,53,High,Beep
60661,57,82,63,14,Low,Tick
61844,87,13,33,24,Minimum,Hiss
46106,17,25,35,75,High,Gargle
64476,63,50,32,16,Low,Tick
43370,16,10,9,52,Low,Tick
73106,1,32,100,12,Low,Tick
98597,14,1,89,34,Minimum,Gargle
7753,28,96,23,8,High,Tick
46684,100,46,15,98,High,Gargle
33200,11,81,39,70,Minimum,Gargle
93832,99,96,63,92,High,Gargle
6793,40,75,85,13,Low,Tick
31868,5,1,11,11,Medium,Gargle
7842,97,52,10,96,Maximum,Rumble
90074,61,40,45,32,Low,Beep
70258,43,3,23,77,Medium,Rumble
20180,2,25,88,21,Medium,Gargle
37025,68,97,82,38,Maximum,Beep
17302,8,59,56,36,Medium,Gargle
97379,50,24,79,72,Low,Gargle
39577,25,50,89,18,High,Gargle
28082,22,85,6,31,High,Tick
11555,49,73,81,30,Low,Tick
81117,49,52,80,14,Minimum,Rumble
59960,51,64,89,6,Low,Tick
24735,58,53,24,64,Maximum,Sizzle
24152,96,80,27,15,Medium,Hiss
74926,11,58,76,7,Minimum,Gargle
59648,55,75,34,37,Minimum,Hiss
95365,27,35,31,3,Low,Gargle
58675,75,65,71,19,Maximum,Rumble
47869,42,96,79,61,Medium,Kaboom
17917,5,40,72,3,Maximum,Gargle
12050,69,15,74,85,Low,Tick
70377,13,29,24,86,High,Gargle
63760,88,24,95,64,Medium,Rumble
83093,95,51,87,75,Medium,Sizzle
9744,19,91,91,14,High,Tick
66161,77,17,41,20,High,Gargle
93250,64,71,24,88,Minimum,Sizzle
52221,6,49,84,26,Medium,Gargle
93588,36,93,1,96,Medium,Kaboom
79641,6,20,74,90,High,Gargle
79357,14,80,47,31,Maximum,Gargle
94826,94,91,98,43,Minimum,Sizzle
3388,99,53,45,53,Maximum,Sizzle
70376,3,46,95,80,High,Gargle
77518,50,6,26,43,Maximum,Rumble
12482,85,49,84,96,High,Beep
84613,1,5,100,49,High,Gargle
4572,30,87,13,21,Low,Tick
10460,6,81,21,60,Minimum,Tick
11318,83,0,93,99,Medium,Beep
92698,47,93,3,82,Low,Rumble
73994,68,43,82,73,Low,Beep
39736,18,76,85,90,Maximum,Beep
41635,69,26,6,24,Minimum,Sizzle
16090,95,23,18,42,Minimum,Beep
24558,47,56,83,74,High,Gargle
69500,3,14,77,98,Medium,Gargle
28209,18,80,73,50,Low,Tick
74373,12,37,17,62,Maximum,Tick
95762,73,16,88,79,Medium,Sizzle
9195,55,89,29,26,Medium,Sizzle
19322,100,30,58,17,Minimum,Sizzle
86329,85,25,0,8,High,Gargle
16628,49,27,83,70,Minimum,Rumble
37008,95,0,6,59,High,Gargle
56620,78,86,6,63,High,Gargle
97476,85,33,94,50,Medium,Beep
22234,70,48,3,73,Minimum,Sizzle
20336,81,76,99,89,Medium,Sizzle
12002,42,48,67,85,Medium,Kaboom
48567,28,48,14,58,Minimum,Kaboom
84052,79,65,30,80,Low,Tick
26637,28,97,78,23,High,Tick
4660,25,31,85,20,Maximum,Tick
3319,56,38,26,96,High,Gargle
49017,43,100,15,53,Minimum,Rumble
52982,11,24,69,65,Medium,Gargle
79224,1,7,50,49,High,Gargle
71207,28,61,92,74,Minimum,Tick
83825,84,53,52,35,Maximum,Hiss
31144,12,2,10,96,Minimum,Gargle
53275,55,66,42,28,Medium,Beep
91777,16,26,68,56,Low,Beep
64213,28,88,54,12,Minimum,Gargle
78596,42,43,28,18,Low,Rumble
69123,55,8,1,76,Minimum,Sizzle
6831,30,53,58,0,High,Gargle
73731,93,7,39,90,High,Beep
11277,51,63,58,8,Medium,Sizzle
79838,36,22,25,51,Medium,Hiss
94455,94,86,69,41,Low,Tick
18553,67,42,76,58,High,Gargle
51089,24,99,74,96,Low,Tick
27676,92,62,66,37,High,Tick
53877,51,91,4,88,Medium,Rumble
56220,98,96,34,33,High,Gargle
39671,16,72,65,98,Minimum,Beep
80096,6,78,67,71,Low,Tick
27716,4,77,57,27,Minimum,Gargle
38302,48,70,87,85,Minimum,Rumble
85060,4,11,16,5,Medium,Gargle
56395,99,18,74,80,Low,Gargle
94265,71,9,30,49,Low,Gargle
67206,10,55,26,56,Medium,Gargle
36684,87,20,29,3,Low,Gargle
28256,82,64,81,58,Medium,Sizzle
20360,13,52,75,14,Low,Beep
88642,70,97,2,74,Minimum,Hiss
49573,93,61,19,71,Maximum,Sizzle
37914,81,34,11,46,Medium,Sizzle
82116,45,78,29,22,High,Tick
38100,51,50,79,39,Minimum,Rumble
46137,12,67,11,77,Minimum,Gargle
9336,67,13,7,11,Maximum,Sizzle
7194,17,33,78,23,Minimum,Tick
43475,87,39,94,17,Minimum,Hiss
2009,28,9,72,94,Low,Beep
38187,73,57,64,66,Medium,Sizzle
8390,7,12,58,65,Medium,Gargle
70397,71,14,74,30,Maximum,Rumble
72648,87,78,21,82,Minimum,Sizzle
4493,51,3,52,40,Maximum,Rumble
61931,15,63,0,33,High,Gargle
23600,34,33,88,14,Medium,Sizzle
77900,74,58,75,33,Low,Tick
39645,22,60,76,77,Maximum,Tick
29795,24,96,26,72,Maximum,Tick
86539,69,15,67,16,Low,Gargle
42652,85,56,11,1,Medium,Sizzle
28856,93,0,86,17,High,Gargle
5742,55,87,95,21,High,Tick
18901,10,30,53,17,Low,Gargle
53210,91,68,59,22,Low,Tick
33343,48,1,93,77,Maximum,Rumble
47859,26,94,70,44,Minimum,Tick
64603,20,62,31,16,Medium,Tick
90132,46,4,40,93,Maximum,Rumble
22831,23,89,49,83,Low,Tick
14951,93,1,49,87,High,Gargle
47855,70,65,62,78,Minimum,Rumble
54908,90,19,43,78,Medium,Rumble
96241,91,22,6,51,Maximum,Sizzle
91297,60,92,76,34,Low,Gargle
20077,0,35,24,22,Low,Gargle
14253,2,9,83,51,Minimum,Gargle
51683,33,17,30,0,Medium,Rumble
2484,36,0,71,87,Medium,Sizzle
57469,7,40,51,94,Medium,Beep
76372,75,95,75,40,Low,Tick
32133,22,78,10,79,Minimum,Tick
61363,32,78,10,64,Low,Tick
23327,15,51,37,85,Medium,Gargle
93607,60,94,84,67,High,Gargle
86397,45,17,82,22,High,Gargle
63157,16,12,3,57,Minimum,Tick
70177,67,30,67,83,Medium,Sizzle
96001,15,83,32,44,High,Beep
96646,68,51,90,35,Maximum,Sizzle
62900,50,4,47,76,Maximum,Rumble
8910,34,33,95,55,Maximum,Sizzle
66439,53,18,17,33,High,Gargle
17722,5,97,5,38,Minimum,Gargle
80797,16,38,92,63,Minimum,Gargle
41890,72,35,71,68,High,Gargle
53978,10,2,54,89,High,Gargle
62750,10,67,72,10,Maximum,Gargle
7074,2,25,74,72,Medium,Gargle
81930,80,19,52,75,High,Gargle
50313,25,13,35,66,High,Tick
4801,76,6,78,15,High,Gargle
70637,88,35,3,54,Low,Tick
82569,18,35,7,17,Low,Tick
73269,37,68,7,33,Minimum,Kaboom
91378,21,85,92,7,High,Tick
56073,30,93,95,33,Maximum,Gargle
66801,19,52,23,76,Minimum,Tick
88269,39,64,51,76,High,Gargle
73501,57,52,72,18,Medium,Sizzle
65575,94,87,4,1,High,Tick
21455,67,100,28,8,Minimum,Sizzle
14824,6,96,73,71,Minimum,Gargle
87181,77,6,14,11,High,Gargle
42618,80,49,5,73,Medium,Hiss
27340,47,24,47,59,Maximum,Sizzle
31531,6,84,27,43,High,Tick
17354,30,10,71,33,Maximum,Gargle
34015,13,4,57,51,Maximum,Gargle
12951,2,29,62,31,Minimum,Gargle
77171,26,52,97,98,Maximum,Tick
26721,95,78,20,71,Maximum,Sizzle
78603,70,66,65,3,Low,Tick
3017,76,15,38,59,Minimum,Beep
21081,78,75,80,29,Medium,Sizzle
57414,59,64,88,89,High,Gargle
87869,83,70,9,71,Maximum,Sizzle
29009,38,17,27,17,Minimum,Kaboom
63209,60,58,29,69,Low,Tick
54066,1,97,42,63,Medium,Gargle
1034,70,22,58,58,Medium,Sizzle
42629,56,96,11,40,Medium,Sizzle
47568,62,77,22,92,High,Gargle
27268,90,69,16,75,Low,Tick
14565,87,92,96,99,Medium,Sizzle
44729,4,82,16,37,Low,Tick
7346,36,5,86,64,Medium,Kaboom
61722,94,58,98,54,Medium,Hiss
50402,16,87,85,84,Medium,Gargle
94696,90,40,93,64,High,Gargle
22311,96,55,64,51,Maximum,Sizzle
36932,71,28,72,31,High,Gargle
82703,24,47,57,10,High,Tick
14148,74,22,96,24,Medium,Hiss
78409,13,65,30,57,High,Beep
51021,7,49,1,36,High,Gargle
92535,43,83,45,21,High,Tick
89659,28,61,4,68,Medium,Tick
30965,62,23,93,19,Low,Gargle
93656,28,7,11,32,Low,Gargle
90570,49,6,68,62,Medium,Rumble
74782,1,67,30,99,High,Gargle
1372,50,37,32,98,Low,Gargle
28693,53,13,80,90,Minimum,Rumble
33658,80,11,82,38,Maximum,Sizzle
81959,79,73,59,54,High,Gargle
92486,81,91,99,78,Medium,Sizzle
76133,95,5,39,16,Maximum,Sizzle
73532,46,16,11,24,Low,Gargle
77210,61,16,40,11,Maximum,Hiss
27276,71,36,48,37,Medium,Sizzle
8781,91,30,33,66,Medium,Sizzle
10963,46,25,66,36,Minimum,Sizzle
94785,85,57,91,81,Maximum,Sizzle
7724,50,80,28,97,High,Gargle
29648,25,44,51,3,Maximum,Tick
47856,36,11,64,49,High,Gargle
14162,51,0,57,66,High,Gargle
98139,32,58,88,64,Minimum,Gargle
29477,13,4,99,97,Maximum,Gargle
95838,57,50,30,58,Minimum,Sizzle
55860,80,56,42,2,Medium,Rumble
95851,30,69,9,40,Minimum,Sizzle
75931,33,96,14,84,High,Tick
21649,79,87,31,84,Minimum,Sizzle
81753,32,44,12,49,Minimum,Hiss
64107,12,64,42,41,Medium,Tick
61937,65,87,51,81,High,Gargle
90649,98,18,85,78,Medium,Sizzle
23612,35,84,41,91,Maximum,Kaboom
64334,43,2,88,53,Maximum,Kaboom
99290,89,40,97,70,Low,Beep
43694,9,58,63,44,Low,Tick
73774,90,12,99,83,Minimum,Rumble
81293,8,26,43,58,High,Beep
4189,27,3,81,49,High,Gargle
60011,28,94,29,78,Low,Tick
7277,94,57,51,10,High,Gargle
99711,16,14,61,25,Low,Gargle
22801,100,55,84,6,Medium,Hiss
8824,63,31,72,71,High,Beep
26219,53,80,85,58,Medium,Hiss
65559,69,94,68,51,Low,Tick
39431,58,35,94,24,Medium,Sizzle
75364,72,22,13,66,High,Gargle
65034,11,72,44,49,Maximum,Gargle
8872,59,15,55,63,Low,Gargle
67107,32,63,96,80,Minimum,Hiss
19517,1,48,27,60,High,Gargle
87319,99,17,96,43,Maximum,Sizzle
80483,90,12,49,42,Medium,Hiss
96141,71,0,62,12,Low,Gargle
82002,16,13,96,56,High,Gargle
21483,84,100,68,11,Medium,Sizzle
95586,29,14,52,84,Medium,Hiss
32586,17,0,33,21,Medium,Tick
52305,17,66,20,39,Medium,Rumble
27664,5,23,19,57,Minimum,Gargle
26586,71,39,3,19,Maximum,Sizzle
79179,73,61,10,33,Medium,Hiss
66971,15,69,75,52,Low,Tick
47458,66,41,46,79,Medium,Beep
93482,22,8,53,61,Medium,Gargle
87428,50,87,34,5,Minimum,Rumble
19262,11,23,94,94,Medium,Gargle
21754,90,53,68,74,High,Gargle
12831,6,5,10,46,Maximum,Gargle
3046,81,19,4,80,Low,Tick
74039,3,25,100,38,Maximum,Gargle
38154,47,28,37,1,Minimum,Rumble
54044,84,54,94,67,Low,Beep
19842,6,92,54,61,Medium,Gargle
19228,63,45,20,12,Medium,Rumble
95147,77,35,53,94,Medium,Sizzle
23885,40,12,28,26,Medium,Kaboom
64667,49,42,56,36,Maximum,Hiss
99282,84,52,49,49,Maximum,Sizzle
45361,87,30,91,87,Medium,Hiss
2046,62,53,100,54,Minimum,Sizzle
83441,17,73,97,19,Maximum,Gargle
26351,43,38,96,18,High,Gargle
33698,53,95,12,37,Low,Tick
9243,58,67,14,3,Maximum,Hiss
80930,89,14,46,98,Maximum,Sizzle
51191,95,78,77,1,Medium,Hiss
46053,76,32,27,10,Maximum,Sizzle
