,Major,Score,Seniority,Grade
920,Statistics,27,Sophomore,
921,Statistics,22,Sophomore,
922,CS,64,Freshman,
923,Economics,65,Freshman,
924,Psychology,51,Junior,
925,Economics,99,Junior,
926,Economics,53,Freshman,
927,Economics,70,Junior,
928,CS,20,Junior,
929,Psychology,95,Sophomore,
930,Statistics,38,Junior,
931,Statistics,38,Freshman,
932,Psychology,87,Freshman,
933,CS,81,Junior,
934,CS,85,Senior,
935,Psychology,39,Junior,
936,Statistics,54,Junior,
937,Psychology,14,Sophomore,
938,Psychology,45,Freshman,
939,Psychology,82,Freshman,
940,Statistics,11,Sophomore,
941,Economics,86,Sophomore,
942,CS,86,Freshman,
943,Economics,57,Senior,
944,CS,97,Freshman,
945,Psychology,46,Junior,
946,Economics,63,Sophomore,
947,CS,65,Sophomore,
948,Economics,72,Senior,
949,Statistics,16,Freshman,
950,Economics,33,Sophomore,
951,Statistics,74,Freshman,
952,CS,65,Freshman,
953,Statistics,42,Senior,
954,Statistics,80,Sophomore,
955,CS,44,Freshman,
956,CS,74,Senior,
957,Statistics,49,Senior,
958,CS,94,Senior,
959,Psychology,7,Senior,
960,Economics,92,Freshman,
961,Economics,75,Freshman,
962,Psychology,61,Senior,
963,CS,28,Freshman,
964,Economics,7,Freshman,
965,CS,33,Sophomore,
966,Statistics,94,Junior,
967,Psychology,38,Sophomore,
968,Psychology,31,Junior,
969,CS,75,Sophomore,
970,Psychology,17,Senior,
971,CS,60,Senior,
972,Statistics,74,Senior,
973,Statistics,43,Junior,
974,Psychology,21,Freshman,
975,Statistics,96,Junior,
976,Statistics,35,Senior,
977,Psychology,9,Senior,
978,Psychology,31,Senior,
979,Economics,12,Freshman,
980,Psychology,18,Freshman,
981,Psychology,11,Sophomore,
982,CS,90,Junior,
983,CS,23,Freshman,
984,Economics,83,Junior,
985,Statistics,11,Junior,
986,Psychology,74,Junior,
987,CS,19,Freshman,
988,Statistics,92,Sophomore,
989,CS,100,Junior,
990,CS,45,Sophomore,
991,Psychology,47,Sophomore,
992,Statistics,41,Senior,
993,CS,75,Junior,
994,Statistics,71,Freshman,
995,Economics,9,Senior,
996,Psychology,68,Freshman,
997,Psychology,1,Sophomore,
998,Psychology,10,Senior,
999,Psychology,2,Senior,
1000,CS,36,Senior,
