Studentid,Attendance,Major,Questions,Score,Seniority,Texting,Grade
30047,1,Communication,Rarely,51,Freshman,Always,Pass
30048,90,Communication,Rarely,47,Senior,Always,Pass
30049,10,Cs,Rarely,70,Senior,Rarely,Pass
30050,9,Cs,Rarely,60,Senior,Always,Fail
30051,90,Communication,Rarely,42,Sophomore,Always,Pass
30052,23,Communication,Rarely,58,Freshman,Always,Fail
30053,8,Polsci,Always,50,Sophomore,Always,Pass
30054,53,Cs,Rarely,29,Sophomore,Always,Fail
30055,34,Cs,Rarely,48,Senior,Rarely,Fail
30056,37,Communication,Always,77,Junior,Rarely,Pass
30057,30,Stat,Rarely,2,Senior,Rarely,Fail
30058,46,Polsci,Rarely,41,Freshman,Rarely,Fail
30059,70,Communication,Rarely,3,Sophomore,Always,Fail
30060,24,Polsci,Rarely,74,Junior,Always,Fail
30061,47,Cs,Always,53,Freshman,Always,Pass
30062,15,Stat,Rarely,73,Junior,Rarely,Pass
30063,6,Cs,Always,7,Senior,Rarely,Fail
30064,26,Communication,Rarely,3,Senior,Always,Fail
30065,23,Cs,Rarely,0,Senior,Always,Fail
30066,68,Cs,Always,97,Sophomore,Rarely,Pass
30067,7,Polsci,Always,77,Junior,Always,Pass
30068,28,Polsci,Rarely,76,Senior,Always,Pass
30069,94,Communication,Always,8,Sophomore,Rarely,Fail
30070,100,Polsci,Rarely,78,Freshman,Always,Pass
30071,48,Stat,Always,94,Sophomore,Always,Pass
30072,51,Stat,Always,100,Junior,Rarely,Pass
30073,86,Cs,Rarely,87,Sophomore,Rarely,Pass
30074,98,Communication,Rarely,32,Freshman,Always,Pass
30075,75,Communication,Rarely,47,Sophomore,Rarely,Pass
30076,1,Cs,Rarely,56,Senior,Rarely,Fail
30077,30,Communication,Rarely,45,Junior,Rarely,Pass
30078,60,Communication,Rarely,27,Freshman,Rarely,Fail
30079,61,Cs,Always,9,Freshman,Rarely,Fail
30080,86,Communication,Always,82,Senior,Rarely,Pass
30081,87,Polsci,Rarely,61,Senior,Rarely,Pass
30082,99,Stat,Rarely,26,Senior,Rarely,Fail
30083,83,Communication,Rarely,50,Junior,Always,Pass
30084,55,Cs,Always,36,Junior,Always,Pass
30085,62,Communication,Rarely,95,Sophomore,Always,Pass
30086,86,Cs,Rarely,98,Senior,Rarely,Pass
30087,36,Cs,Rarely,28,Sophomore,Always,Fail
30088,0,Communication,Always,93,Senior,Always,Pass
30089,7,Polsci,Always,90,Freshman,Rarely,Pass
30090,74,Stat,Always,13,Freshman,Rarely,Fail
30091,52,Polsci,Always,49,Sophomore,Rarely,Pass
30092,58,Cs,Rarely,78,Freshman,Always,Pass
30093,41,Communication,Always,92,Senior,Rarely,Pass
30094,64,Stat,Always,22,Senior,Rarely,Fail
30095,96,Polsci,Rarely,22,Junior,Always,Fail
30096,58,Cs,Rarely,26,Senior,Always,Fail
30097,50,Polsci,Always,8,Freshman,Rarely,Pass
30098,96,Polsci,Always,55,Junior,Rarely,Pass
30099,100,Stat,Always,13,Junior,Always,Pass
30100,37,Polsci,Rarely,89,Sophomore,Rarely,Pass
30101,96,Cs,Rarely,26,Sophomore,Rarely,Fail
30102,18,Stat,Always,73,Freshman,Rarely,Pass
30103,36,Stat,Always,73,Junior,Always,Pass
30104,0,Cs,Rarely,54,Sophomore,Rarely,Pass
30105,65,Stat,Always,47,Junior,Rarely,Pass
30106,4,Communication,Always,23,Sophomore,Always,Fail
30107,90,Communication,Rarely,78,Junior,Always,Pass
30108,5,Stat,Always,68,Junior,Rarely,Pass
30109,95,Stat,Always,3,Senior,Always,Pass
30110,72,Stat,Rarely,40,Junior,Always,Fail
30111,51,Polsci,Rarely,70,Senior,Rarely,Fail
30112,21,Stat,Always,96,Senior,Always,Pass
30113,86,Stat,Always,64,Freshman,Rarely,Pass
30114,5,Communication,Always,45,Freshman,Rarely,Pass
30115,71,Stat,Rarely,94,Junior,Always,Pass
30116,23,Stat,Rarely,97,Sophomore,Rarely,Pass
30117,72,Cs,Always,79,Senior,Always,Pass
30118,45,Polsci,Rarely,11,Sophomore,Always,Fail
30119,98,Communication,Rarely,78,Senior,Always,Pass
30120,89,Communication,Rarely,91,Junior,Rarely,Pass
30121,98,Communication,Rarely,30,Freshman,Rarely,Fail
30122,74,Cs,Always,29,Senior,Rarely,Fail
30123,70,Cs,Always,68,Freshman,Rarely,Pass
30124,74,Stat,Rarely,81,Sophomore,Always,Pass
30125,19,Communication,Rarely,65,Senior,Rarely,Pass
30126,32,Polsci,Always,83,Senior,Rarely,Pass
30127,49,Polsci,Always,29,Junior,Rarely,Pass
30128,76,Communication,Rarely,6,Junior,Rarely,Fail
30129,11,Polsci,Rarely,27,Junior,Always,Fail
30130,80,Communication,Always,74,Junior,Always,Pass
30131,42,Communication,Always,23,Senior,Rarely,Fail
30132,63,Cs,Rarely,94,Freshman,Rarely,Pass
30133,14,Cs,Always,88,Junior,Always,Pass
30134,24,Communication,Rarely,14,Sophomore,Rarely,Fail
30135,93,Stat,Rarely,60,Senior,Always,Pass
30136,31,Stat,Always,65,Freshman,Always,Pass
30137,93,Communication,Always,66,Sophomore,Always,Pass
30138,72,Communication,Rarely,46,Freshman,Always,Pass
30139,64,Polsci,Rarely,64,Freshman,Always,Pass
30140,99,Cs,Rarely,46,Junior,Rarely,Fail
30141,34,Polsci,Rarely,36,Junior,Always,Fail
30142,5,Stat,Rarely,24,Sophomore,Always,Pass
30143,85,Communication,Always,42,Sophomore,Rarely,Pass
30144,35,Stat,Always,42,Senior,Rarely,Pass
30145,70,Stat,Always,54,Junior,Rarely,Fail
30146,47,Polsci,Rarely,18,Senior,Rarely,Fail
30147,5,Cs,Rarely,64,Junior,Rarely,Fail
30148,88,Cs,Always,55,Freshman,Always,Pass
30149,14,Communication,Rarely,38,Sophomore,Always,Fail
30150,96,Polsci,Always,30,Senior,Rarely,Pass
30151,70,Polsci,Rarely,27,Sophomore,Always,Fail
30152,76,Stat,Rarely,92,Junior,Rarely,Pass
30153,91,Stat,Rarely,75,Senior,Rarely,Pass
30154,95,Stat,Rarely,42,Junior,Rarely,Pass
30155,10,Stat,Rarely,46,Sophomore,Rarely,Fail
30156,12,Stat,Always,30,Junior,Rarely,Pass
30157,5,Communication,Always,4,Sophomore,Always,Pass
30158,58,Communication,Rarely,40,Senior,Rarely,Pass
30159,54,Cs,Always,18,Junior,Always,Fail
30160,46,Polsci,Rarely,85,Junior,Always,Pass
30161,28,Cs,Always,33,Freshman,Rarely,Fail
30162,35,Communication,Rarely,17,Senior,Rarely,Fail
30163,45,Communication,Rarely,86,Junior,Rarely,Pass
30164,51,Polsci,Rarely,33,Sophomore,Always,Fail
30165,26,Polsci,Always,50,Junior,Always,Pass
30166,98,Cs,Rarely,46,Freshman,Always,Pass
30167,97,Stat,Always,17,Junior,Rarely,Pass
30168,50,Polsci,Rarely,100,Senior,Always,Pass
30169,26,Polsci,Always,68,Senior,Rarely,Pass
30170,25,Cs,Rarely,28,Freshman,Always,Fail
30171,83,Cs,Rarely,82,Freshman,Always,Pass
30172,7,Stat,Always,58,Senior,Always,Fail
30173,41,Polsci,Rarely,98,Senior,Always,Pass
30174,82,Cs,Always,2,Senior,Rarely,Fail
30175,20,Communication,Rarely,28,Sophomore,Always,Fail
30176,33,Polsci,Always,32,Junior,Rarely,Pass
30177,87,Cs,Rarely,78,Freshman,Rarely,Pass
30178,57,Polsci,Always,78,Junior,Rarely,Pass
30179,47,Cs,Rarely,97,Sophomore,Rarely,Pass
30180,36,Stat,Always,12,Freshman,Always,Fail
30181,4,Stat,Always,62,Senior,Always,Fail
30182,39,Communication,Rarely,54,Sophomore,Rarely,Pass
30183,24,Communication,Always,36,Sophomore,Rarely,Fail
30184,78,Stat,Rarely,35,Freshman,Rarely,Pass
30185,12,Polsci,Rarely,26,Senior,Always,Fail
30186,77,Cs,Always,47,Junior,Rarely,Fail
30187,8,Communication,Rarely,77,Senior,Rarely,Pass
30188,85,Stat,Always,26,Junior,Always,Fail
30189,81,Communication,Always,17,Junior,Always,Fail
30190,43,Cs,Always,45,Senior,Rarely,Fail
30191,59,Communication,Rarely,87,Junior,Always,Pass
30192,46,Communication,Rarely,83,Senior,Rarely,Pass
30193,72,Communication,Rarely,39,Junior,Always,Fail
30194,39,Cs,Always,68,Sophomore,Rarely,Pass
30195,47,Cs,Always,39,Freshman,Rarely,Fail
30196,1,Polsci,Rarely,90,Junior,Always,Pass
30197,20,Communication,Always,74,Junior,Always,Pass
30198,47,Stat,Rarely,45,Senior,Always,Fail
30199,3,Communication,Always,100,Junior,Rarely,Pass
30200,1,Cs,Rarely,41,Junior,Always,Fail
30201,0,Polsci,Always,8,Senior,Always,Fail
30202,57,Cs,Rarely,89,Freshman,Rarely,Pass
30203,59,Polsci,Always,77,Sophomore,Always,Pass
30204,45,Stat,Always,9,Sophomore,Rarely,Pass
30205,18,Stat,Rarely,78,Freshman,Rarely,Pass
30206,68,Stat,Rarely,18,Senior,Rarely,Pass
30207,91,Polsci,Always,3,Freshman,Rarely,Pass
30208,39,Cs,Rarely,26,Junior,Always,Fail
30209,46,Cs,Rarely,2,Junior,Rarely,Fail
30210,69,Stat,Always,81,Junior,Always,Pass
30211,50,Polsci,Rarely,45,Sophomore,Rarely,Fail
30212,5,Stat,Rarely,83,Sophomore,Rarely,Pass
30213,42,Polsci,Rarely,54,Senior,Rarely,Pass
30214,13,Communication,Rarely,65,Freshman,Rarely,Fail
30215,31,Communication,Rarely,3,Freshman,Always,Fail
30216,42,Stat,Rarely,65,Sophomore,Rarely,Pass
30217,17,Stat,Rarely,99,Junior,Always,Pass
30218,22,Polsci,Rarely,92,Senior,Always,Pass
30219,73,Stat,Rarely,60,Sophomore,Always,Pass
30220,77,Cs,Always,59,Senior,Rarely,Fail
30221,50,Stat,Always,42,Junior,Rarely,Fail
30222,28,Stat,Rarely,48,Sophomore,Always,Pass
30223,50,Polsci,Rarely,29,Sophomore,Rarely,Fail
30224,58,Communication,Always,87,Freshman,Always,Pass
30225,83,Cs,Rarely,96,Senior,Always,Pass
30226,3,Communication,Always,93,Junior,Always,Pass
30227,88,Stat,Always,55,Junior,Always,Fail
30228,6,Cs,Rarely,65,Junior,Rarely,Fail
30229,85,Communication,Always,62,Freshman,Rarely,Pass
30230,69,Stat,Always,21,Freshman,Always,Fail
30231,28,Polsci,Always,34,Sophomore,Rarely,Pass
30232,17,Communication,Always,20,Freshman,Always,Fail
30233,95,Communication,Always,96,Freshman,Rarely,Pass
30234,14,Polsci,Always,50,Freshman,Always,Pass
30235,10,Communication,Rarely,6,Junior,Always,Fail
30236,72,Communication,Rarely,28,Freshman,Rarely,Fail
30237,99,Cs,Always,15,Senior,Always,Fail
30238,34,Communication,Always,52,Junior,Rarely,Pass
30239,49,Stat,Rarely,96,Freshman,Always,Pass
30240,11,Cs,Always,22,Freshman,Rarely,Fail
30241,30,Stat,Always,6,Sophomore,Rarely,Pass
30242,2,Cs,Always,17,Senior,Rarely,Fail
30243,93,Polsci,Rarely,26,Junior,Rarely,Fail
30244,57,Cs,Rarely,2,Freshman,Rarely,Fail
30245,44,Cs,Always,60,Freshman,Always,Pass
30246,35,Polsci,Always,61,Junior,Rarely,Pass
30247,0,Cs,Rarely,90,Freshman,Always,Pass
30248,70,Polsci,Rarely,99,Freshman,Rarely,Pass
30249,72,Stat,Always,22,Junior,Rarely,Pass
30250,81,Polsci,Rarely,83,Freshman,Always,Pass
30251,27,Communication,Always,10,Freshman,Always,Fail
30252,82,Cs,Rarely,93,Sophomore,Rarely,Pass
30253,77,Stat,Rarely,79,Junior,Rarely,Pass
30254,96,Polsci,Rarely,88,Senior,Rarely,Fail
30255,55,Communication,Rarely,26,Junior,Always,Fail
30256,21,Polsci,Always,29,Sophomore,Always,Pass
30257,2,Cs,Always,17,Junior,Always,Fail
30258,75,Polsci,Rarely,71,Freshman,Always,Pass
30259,52,Polsci,Always,11,Junior,Rarely,Pass
30260,5,Cs,Rarely,2,Freshman,Rarely,Fail
30261,66,Polsci,Always,22,Senior,Rarely,Fail
30262,97,Cs,Always,56,Freshman,Rarely,Pass
30263,26,Polsci,Rarely,29,Freshman,Rarely,Fail
30264,8,Stat,Always,38,Sophomore,Rarely,Fail
30265,80,Communication,Rarely,27,Freshman,Rarely,Fail
30266,26,Polsci,Rarely,76,Freshman,Always,Pass
30267,85,Cs,Always,51,Freshman,Rarely,Pass
30268,11,Communication,Always,29,Senior,Rarely,Fail
30269,45,Cs,Rarely,77,Freshman,Rarely,Pass
30270,5,Communication,Rarely,11,Sophomore,Always,Fail
30271,98,Cs,Rarely,63,Sophomore,Rarely,Pass
30272,74,Stat,Rarely,78,Junior,Rarely,Pass
30273,46,Cs,Rarely,37,Junior,Always,Fail
30274,85,Polsci,Rarely,28,Sophomore,Always,Fail
30275,93,Polsci,Rarely,28,Sophomore,Rarely,Fail
30276,25,Stat,Rarely,100,Freshman,Rarely,Pass
30277,87,Stat,Rarely,53,Freshman,Rarely,Pass
30278,13,Cs,Rarely,17,Freshman,Rarely,Fail
30279,15,Stat,Rarely,9,Freshman,Always,Pass
30280,8,Communication,Always,98,Junior,Always,Pass
30281,91,Polsci,Always,60,Junior,Rarely,Pass
30282,68,Stat,Rarely,35,Sophomore,Rarely,Fail
30283,0,Communication,Always,38,Sophomore,Rarely,Fail
30284,3,Stat,Rarely,22,Junior,Always,Fail
30285,20,Communication,Rarely,14,Junior,Always,Fail
30286,46,Communication,Rarely,6,Freshman,Always,Fail
30287,7,Cs,Rarely,1,Junior,Always,Fail
30288,46,Communication,Always,36,Freshman,Rarely,Fail
30289,73,Stat,Rarely,73,Junior,Always,Pass
30290,55,Stat,Rarely,24,Sophomore,Always,Fail
30291,21,Communication,Always,35,Senior,Always,Fail
30292,5,Communication,Rarely,8,Senior,Rarely,Fail
30293,35,Stat,Always,78,Sophomore,Rarely,Pass
30294,80,Cs,Always,69,Freshman,Always,Pass
30295,54,Polsci,Always,22,Freshman,Always,Fail
30296,41,Polsci,Rarely,47,Senior,Always,Fail
30297,55,Polsci,Rarely,75,Junior,Rarely,Pass
30298,12,Stat,Rarely,10,Sophomore,Rarely,Pass
30299,74,Polsci,Rarely,42,Freshman,Rarely,Fail
30300,50,Cs,Rarely,17,Senior,Rarely,Fail
30301,64,Polsci,Rarely,83,Senior,Always,Pass
30302,20,Polsci,Always,31,Junior,Rarely,Fail
30303,67,Communication,Rarely,9,Senior,Rarely,Fail
30304,41,Communication,Always,21,Sophomore,Rarely,Fail
30305,20,Stat,Rarely,93,Junior,Rarely,Pass
30306,52,Cs,Always,85,Junior,Rarely,Pass
30307,44,Cs,Rarely,84,Freshman,Always,Pass
30308,65,Stat,Always,64,Senior,Always,Pass
30309,76,Polsci,Always,46,Junior,Rarely,Pass
30310,84,Communication,Always,44,Senior,Always,Pass
30311,51,Polsci,Always,49,Senior,Always,Pass
30312,0,Polsci,Rarely,78,Freshman,Always,Pass
30313,1,Polsci,Rarely,8,Freshman,Always,Fail
30314,8,Communication,Rarely,21,Freshman,Rarely,Fail
30315,59,Stat,Rarely,70,Senior,Rarely,Pass
30316,99,Communication,Rarely,93,Freshman,Always,Fail
30317,73,Stat,Rarely,28,Sophomore,Always,Pass
30318,30,Cs,Rarely,75,Junior,Always,Pass
30319,94,Polsci,Always,72,Sophomore,Always,Pass
30320,32,Stat,Rarely,85,Junior,Rarely,Pass
30321,99,Polsci,Always,52,Sophomore,Rarely,Pass
30322,54,Polsci,Always,43,Freshman,Rarely,Fail
30323,69,Cs,Rarely,4,Senior,Rarely,Fail
30324,37,Cs,Rarely,67,Senior,Rarely,Fail
30325,90,Stat,Always,15,Sophomore,Rarely,Pass
30326,76,Stat,Rarely,23,Senior,Always,Pass
30327,28,Polsci,Always,65,Sophomore,Rarely,Pass
30328,28,Polsci,Always,7,Freshman,Rarely,Pass
30329,55,Stat,Always,89,Sophomore,Always,Pass
30330,52,Stat,Rarely,36,Freshman,Always,Fail
30331,58,Cs,Always,68,Junior,Always,Fail
30332,6,Communication,Rarely,51,Junior,Rarely,Pass
30333,29,Polsci,Rarely,42,Senior,Rarely,Fail
30334,17,Polsci,Rarely,88,Junior,Rarely,Pass
30335,88,Cs,Rarely,71,Freshman,Always,Pass
30336,22,Communication,Rarely,3,Junior,Rarely,Fail
30337,45,Stat,Rarely,46,Junior,Always,Pass
30338,88,Polsci,Always,53,Senior,Always,Pass
30339,85,Polsci,Rarely,68,Senior,Always,Pass
30340,19,Communication,Always,14,Junior,Always,Pass
30341,91,Cs,Always,38,Senior,Rarely,Fail
30342,40,Communication,Rarely,68,Sophomore,Always,Pass
30343,37,Stat,Rarely,45,Freshman,Always,Fail
30344,11,Polsci,Rarely,98,Senior,Rarely,Pass
30345,9,Cs,Rarely,81,Freshman,Rarely,Pass
30346,3,Communication,Always,62,Senior,Rarely,Fail
30347,86,Communication,Always,85,Sophomore,Rarely,Pass
30348,42,Stat,Always,12,Senior,Rarely,Fail
30349,51,Stat,Always,57,Freshman,Rarely,Fail
30350,48,Polsci,Rarely,21,Senior,Rarely,Fail
30351,85,Cs,Rarely,29,Senior,Always,Fail
30352,91,Stat,Rarely,80,Senior,Always,Pass
30353,37,Stat,Rarely,5,Freshman,Rarely,Fail
30354,100,Stat,Always,44,Freshman,Always,Fail
30355,48,Cs,Rarely,19,Freshman,Always,Fail
30356,56,Communication,Always,26,Senior,Always,Fail
30357,84,Communication,Rarely,82,Senior,Rarely,Pass
30358,4,Stat,Rarely,51,Senior,Rarely,Pass
30359,28,Cs,Always,44,Sophomore,Always,Fail
30360,26,Communication,Always,60,Junior,Rarely,Fail
30361,64,Polsci,Rarely,91,Freshman,Always,Pass
30362,66,Communication,Rarely,75,Junior,Rarely,Pass
30363,12,Cs,Rarely,28,Freshman,Always,Fail
30364,25,Cs,Rarely,80,Junior,Always,Pass
30365,91,Polsci,Rarely,8,Junior,Rarely,Fail
30366,79,Cs,Rarely,72,Sophomore,Always,Pass
30367,96,Communication,Always,2,Senior,Rarely,Fail
30368,48,Polsci,Always,79,Junior,Rarely,Pass
30369,97,Stat,Rarely,2,Sophomore,Always,Fail
30370,16,Stat,Always,100,Freshman,Rarely,Pass
30371,0,Cs,Rarely,24,Sophomore,Rarely,Fail
30372,60,Polsci,Rarely,49,Junior,Rarely,Fail
30373,78,Stat,Always,88,Junior,Rarely,Pass
30374,81,Cs,Rarely,11,Senior,Rarely,Fail
30375,44,Polsci,Always,97,Sophomore,Always,Pass
30376,69,Stat,Rarely,37,Junior,Always,Fail
30377,66,Polsci,Rarely,28,Junior,Always,Fail
30378,70,Cs,Rarely,21,Freshman,Always,Fail
30379,52,Polsci,Rarely,67,Senior,Always,Pass
30380,43,Stat,Rarely,87,Senior,Rarely,Pass
30381,94,Cs,Always,52,Freshman,Rarely,Pass
30382,38,Cs,Rarely,2,Sophomore,Always,Fail
30383,98,Cs,Rarely,29,Sophomore,Always,Fail
30384,37,Communication,Rarely,5,Freshman,Always,Fail
30385,10,Communication,Always,5,Senior,Always,Pass
30386,90,Stat,Rarely,46,Senior,Always,Pass
30387,68,Cs,Always,13,Junior,Always,Fail
30388,97,Communication,Always,45,Sophomore,Rarely,Pass
30389,58,Communication,Rarely,22,Junior,Rarely,Fail
30390,74,Polsci,Rarely,82,Freshman,Rarely,Pass
30391,44,Polsci,Always,81,Junior,Rarely,Pass
30392,29,Communication,Rarely,59,Freshman,Rarely,Pass
30393,25,Cs,Rarely,57,Junior,Always,Fail
30394,81,Stat,Rarely,60,Sophomore,Always,Pass
30395,46,Stat,Rarely,19,Freshman,Always,Pass
30396,67,Cs,Rarely,80,Freshman,Rarely,Pass
30397,31,Stat,Always,42,Sophomore,Rarely,Fail
30398,46,Cs,Always,2,Senior,Rarely,Fail
30399,65,Stat,Always,59,Junior,Rarely,Fail
30400,51,Communication,Always,34,Freshman,Always,Fail
30401,43,Communication,Always,86,Junior,Always,Pass
30402,88,Stat,Always,62,Sophomore,Rarely,Pass
30403,84,Polsci,Always,32,Freshman,Always,Pass
30404,84,Polsci,Always,80,Sophomore,Always,Pass
30405,42,Communication,Always,36,Junior,Always,Fail
30406,35,Polsci,Always,41,Sophomore,Rarely,Pass
30407,24,Polsci,Always,68,Senior,Rarely,Pass
30408,63,Polsci,Always,19,Junior,Rarely,Fail
30409,38,Stat,Always,40,Freshman,Always,Fail
30410,77,Cs,Always,41,Sophomore,Rarely,Fail
30411,33,Stat,Always,84,Sophomore,Rarely,Fail
30412,55,Communication,Always,72,Freshman,Always,Pass
30413,47,Communication,Always,82,Senior,Rarely,Fail
30414,60,Communication,Always,32,Senior,Always,Pass
30415,73,Stat,Rarely,59,Sophomore,Rarely,Pass
30416,71,Polsci,Always,89,Sophomore,Always,Pass
30417,91,Communication,Rarely,15,Junior,Rarely,Fail
30418,31,Cs,Rarely,48,Freshman,Rarely,Fail
30419,78,Polsci,Always,68,Senior,Always,Pass
30420,25,Polsci,Always,8,Sophomore,Rarely,Pass
30421,21,Cs,Always,16,Junior,Always,Fail
30422,95,Cs,Always,70,Freshman,Rarely,Pass
30423,29,Cs,Always,78,Freshman,Rarely,Pass
30424,36,Polsci,Rarely,5,Junior,Rarely,Fail
30425,92,Communication,Rarely,43,Freshman,Rarely,Fail
30426,49,Stat,Rarely,97,Junior,Rarely,Pass
30427,53,Communication,Always,1,Junior,Always,Fail
30428,43,Stat,Rarely,88,Senior,Rarely,Pass
30429,7,Communication,Always,56,Freshman,Always,Pass
30430,76,Communication,Always,46,Freshman,Always,Pass
30431,52,Cs,Rarely,39,Senior,Always,Fail
30432,8,Cs,Always,47,Sophomore,Rarely,Fail
30433,5,Stat,Rarely,33,Senior,Always,Fail
30434,44,Communication,Always,69,Junior,Always,Pass
30435,63,Communication,Always,12,Freshman,Rarely,Fail
30436,98,Stat,Always,49,Freshman,Always,Fail
30437,56,Polsci,Always,17,Senior,Rarely,Fail
30438,44,Communication,Rarely,68,Sophomore,Rarely,Pass
30439,16,Polsci,Rarely,63,Junior,Rarely,Pass
30440,0,Stat,Always,66,Junior,Always,Fail
30441,62,Polsci,Always,19,Sophomore,Rarely,Pass
30442,82,Cs,Always,91,Senior,Rarely,Pass
30443,43,Stat,Always,40,Freshman,Always,Fail
30444,95,Communication,Rarely,66,Sophomore,Rarely,Pass
30445,22,Polsci,Always,22,Junior,Rarely,Pass
30446,89,Communication,Rarely,21,Sophomore,Rarely,Fail
30447,70,Cs,Always,98,Junior,Always,Pass
30448,5,Stat,Rarely,79,Senior,Rarely,Pass
30449,81,Polsci,Rarely,7,Freshman,Always,Fail
30450,31,Communication,Always,2,Freshman,Always,Fail
30451,41,Stat,Rarely,80,Sophomore,Rarely,Pass
30452,30,Communication,Always,93,Freshman,Always,Pass
30453,78,Stat,Always,57,Sophomore,Rarely,Fail
30454,42,Communication,Always,73,Sophomore,Rarely,Pass
30455,50,Polsci,Always,24,Freshman,Rarely,Fail
30456,54,Communication,Always,22,Sophomore,Rarely,Fail
30457,92,Communication,Always,44,Senior,Rarely,Pass
30458,38,Stat,Always,31,Freshman,Always,Pass
30459,59,Stat,Rarely,14,Freshman,Rarely,Pass
30460,21,Communication,Rarely,86,Junior,Always,Pass
30461,49,Communication,Rarely,71,Senior,Rarely,Pass
30462,55,Communication,Rarely,98,Senior,Rarely,Fail
30463,61,Communication,Always,26,Senior,Rarely,Fail
30464,48,Stat,Always,61,Junior,Rarely,Pass
30465,20,Communication,Rarely,74,Senior,Always,Pass
30466,3,Stat,Always,77,Junior,Always,Pass
30467,79,Stat,Always,19,Freshman,Always,Fail
30468,83,Polsci,Always,78,Sophomore,Always,Pass
30469,66,Polsci,Always,95,Senior,Rarely,Pass
30470,80,Cs,Rarely,42,Junior,Always,Fail
30471,70,Polsci,Always,52,Senior,Rarely,Pass
30472,59,Stat,Rarely,64,Senior,Always,Pass
30473,7,Polsci,Rarely,22,Freshman,Always,Fail
30474,9,Polsci,Rarely,17,Senior,Always,Fail
30475,93,Communication,Always,52,Junior,Always,Pass
30476,18,Polsci,Rarely,59,Junior,Rarely,Pass
30477,84,Cs,Rarely,82,Sophomore,Rarely,Pass
30478,71,Stat,Always,24,Senior,Rarely,Pass
30479,41,Polsci,Rarely,16,Freshman,Always,Fail
30480,22,Communication,Rarely,37,Senior,Rarely,Fail
30481,58,Communication,Rarely,49,Sophomore,Always,Pass
30482,68,Cs,Always,5,Sophomore,Always,Fail
30483,59,Cs,Always,2,Sophomore,Always,Fail
30484,68,Stat,Always,45,Sophomore,Rarely,Fail
30485,93,Communication,Always,91,Freshman,Always,Pass
30486,17,Cs,Always,47,Junior,Always,Fail
30487,20,Communication,Always,3,Junior,Rarely,Fail
30488,87,Stat,Always,22,Junior,Rarely,Pass
30489,43,Stat,Rarely,39,Junior,Always,Pass
30490,97,Polsci,Rarely,26,Sophomore,Rarely,Fail
30491,28,Stat,Always,5,Senior,Rarely,Fail
30492,14,Cs,Rarely,78,Sophomore,Rarely,Pass
