country,content,imdb_score,Gross,Budget,genre
USA,G,7.61,High,High,Family
USA,G,7.69,High,High,Family
USA,G,8.31,High,High,Sci-Fi
USA,G,7.62,High,High,Family
USA,PG-13,5.92,High,High,Family
USA,PG-13,5.96,High,High,Family
USA,PG-13,6.09,High,High,Family
USA,PG-13,7.21,High,High,Action
USA,PG-13,6.63,High,High,Family
USA,PG-13,7.25,High,High,Action
USA,PG-13,6.37,High,High,Family
USA,PG-13,7.11,High,High,Drama
USA,PG-13,6.44,High,High,Family
USA,PG-13,7.11,High,High,Action
USA,PG-13,6.3,High,High,Family
USA,PG-13,8.09,High,High,Action
USA,PG-13,7.38,High,High,Family
USA,PG-13,7.42,High,High,Family
USA,PG-13,8.19,High,High,Sci-Fi
USA,PG-13,7.4,High,High,Family
USA,PG-13,7.25,High,High,Family
USA,PG-13,7.27,High,High,Family
USA,PG-13,7.18,High,High,Family
USA,PG-13,5.71,High,High,Family
USA,PG-13,6.37,High,High,Sci-Fi
Australia,PG-13,7.48,High,High,Drama
Australia,PG-13,6.71,High,High,Family
USA,PG-13,6.06,High,High,Family
USA,PG-13,6.72,High,High,Drama
USA,PG-13,5.9,High,High,Family
USA,PG-13,6.76,High,High,Sci-Fi
USA,PG-13,6.38,High,High,Family
USA,PG-13,6.47,High,High,Family
USA,PG-13,6.48,High,High,Family
USA,PG-13,5.73,High,High,Family
USA,PG-13,5.74,High,High,Family
USA,PG-13,5.71,High,High,Family
USA,PG-13,5.58,High,High,Family
USA,PG-13,6.34,High,High,Sci-Fi
USA,PG-13,5.65,High,High,Family
USA,PG,7.74,High,Low,History
USA,PG,7.88,High,Low,History
USA,PG,6.95,High,Low,Sci-Fi
USA,PG,7.76,High,Low,History
USA,PG,7.9,High,Low,History
USA,PG,6.64,High,High,Family
USA,PG,7.36,High,High,Sci-Fi
USA,PG,6.52,High,High,Family
USA,PG,6.6,High,High,Family
USA,PG,6.6,High,High,Family
USA,PG-13,6.84,High,High,Family
USA,PG-13,6.82,High,High,Family
USA,PG-13,6.97,High,High,Family
USA,PG-13,7.51,High,High,Action
USA,G,7.84,High,High,Family
USA,G,7.71,High,High,Family
USA,G,7.87,High,High,Family
USA,G,7.72,High,High,Family
USA,PG-13,5.57,High,High,Family
USA,PG-13,6.32,High,High,Action
USA,PG-13,6.25,High,High,Action
USA,PG-13,5.57,High,High,Family
USA,PG-13,5.23,High,High,Family
USA,PG-13,5.17,High,High,Family
USA,PG-13,5.18,High,High,Family
USA,PG,6.94,High,High,Sci-Fi
USA,PG,6.29,High,High,Family
USA,PG,6.28,High,High,Family
USA,PG,6.12,High,High,Family
USA,PG-13,4.9,Medium,High,Family
USA,PG-13,4.87,Medium,High,Family
USA,PG-13,4.79,Medium,High,Family
USA,PG-13,6.04,High,High,Family
USA,PG-13,6.01,High,High,Family
USA,PG-13,6.65,High,High,Drama
USA,PG-13,5.96,High,High,Family
USA,PG,6.37,High,High,Family
USA,PG,6.94,High,High,Sci-Fi
USA,PG,6.28,High,High,Family
USA,PG-13,6.72,High,High,Family
USA,PG-13,6.74,High,High,Family
USA,PG-13,6.73,High,High,Family
USA,PG-13,9.1,High,High,Action
USA,PG-13,8.39,High,High,Family
USA,PG-13,9.13,High,High,Action
USA,PG-13,8.35,High,High,Family
USA,PG,7.69,High,High,Family
USA,PG,7.7,High,High,Family
USA,PG,7.62,High,High,Family
USA,PG,7.69,High,High,Family
USA,PG,5.84,High,High,Family
USA,PG,5.94,High,High,Family
USA,PG,5.88,High,High,Family
USA,PG,5.81,High,High,Family
USA,PG,5.95,High,High,Family
USA,PG,5.87,High,High,Family
USA,PG-13,7.26,High,High,Family
USA,PG-13,7.21,High,High,Family
USA,PG-13,7.22,High,High,Family
USA,PG,6.82,High,High,Family
USA,PG,7.67,High,High,Drama
USA,PG,7,High,High,Family
USA,PG,6.94,High,High,Family
USA,PG-13,4.88,High,High,Action
USA,PG-13,4.2,High,High,Family
USA,PG-13,4.25,High,High,Family
USA,PG-13,4.15,High,High,Family
USA,PG-13,4.69,High,High,Family
USA,PG-13,5.36,High,High,Action
USA,PG-13,5.3,High,High,Drama
USA,PG-13,4.66,High,High,Family
USA,PG-13,5.24,High,High,Sci-Fi
USA,PG-13,6.25,High,High,Family
USA,PG-13,6.3,High,High,Family
USA,PG-13,6.37,High,High,Family
USA,PG-13,6.37,High,High,Family
USA,PG,4.86,High,High,Family
USA,PG,4.76,High,High,Family
USA,PG,5.57,High,High,Sci-Fi
USA,PG-13,7.21,High,High,Family
USA,PG-13,7.39,High,High,Family
USA,PG-13,7.33,High,High,Family
USA,PG-13,6.14,High,High,Action
USA,PG-13,5.52,High,High,Family
USA,PG-13,5.49,High,High,Family
USA,PG-13,5.41,High,High,Family
USA,PG-13,5.14,High,High,Family
USA,PG-13,5.28,High,High,Family
USA,PG-13,5.11,High,High,Family
USA,PG-13,6,High,High,Action
USA,PG,8.33,High,High,Sci-Fi
USA,PG,7.76,High,High,Family
USA,PG,7.68,High,High,Family
USA,PG,7.67,High,High,Family
USA,PG,7.7,High,High,Family
USA,PG,7.62,High,High,Family
UK,PG,8,High,High,Sci-Fi
UK,PG,7.28,High,High,Family
UK,PG,7.18,High,High,Family
UK,PG,7.12,High,High,Family
USA,PG-13,6.39,High,High,Family
USA,PG-13,6.49,High,High,Family
USA,PG-13,6.33,High,High,Family
USA,PG-13,5.5,High,High,Family
USA,PG-13,6.1,High,High,Sci-Fi
USA,PG-13,5.55,High,High,Family
USA,PG-13,5.52,High,High,Family
USA,PG,7.16,High,High,Drama
USA,PG,6.35,High,High,Family
USA,PG,6.45,High,High,Family
USA,PG,6.37,High,High,Family
USA,PG,7.01,High,High,Sci-Fi
USA,PG-13,6.96,High,High,Family
USA,PG-13,7.01,High,High,Family
USA,PG-13,7.09,High,High,Family
USA,PG-13,7.01,High,High,Family
Belgium,R,4.55,Low,Low,Drama
Belgium,R,5.44,Low,Low,History
Belgium,R,5.46,Low,Low,History
Belgium,R,5.55,Low,Low,History
USA,PG-13,5.63,Medium,High,Family
USA,PG-13,6.43,Medium,High,Sci-Fi
USA,PG-13,5.67,Medium,High,Family
USA,PG-13,5.79,Medium,High,Family
USA,PG-13,7.15,High,High,Family
USA,PG-13,7.19,High,High,Family
USA,PG-13,7.14,High,High,Family
USA,PG,5.84,High,High,Family
USA,PG,6.42,High,High,Sci-Fi
USA,PG,5.85,High,High,Family
USA,PG,5.71,High,High,Family
USA,PG,5.71,High,High,Family
USA,PG,5.93,High,High,Family
USA,PG,5.99,High,High,Family
USA,PG,6.54,High,High,Drama
USA,PG,5.9,High,High,Family
USA,PG,5.89,High,High,Family
USA,PG,7.22,High,High,Family
USA,PG,7.2,High,High,Family
USA,PG,7.26,High,High,Family
USA,PG,7.27,High,High,Family
USA,PG,7.3,High,High,Family
USA,PG,7.22,High,High,Family
USA,PG,7.26,High,High,Family
USA,PG,7.29,High,High,Family
USA,PG,7.24,High,High,Family
USA,PG,7.24,High,High,Family
USA,PG,7.17,High,High,Family
USA,G,6.1,Low,High,Family
USA,G,5.92,Low,High,Family
USA,G,6.78,Low,High,Sci-Fi
USA,G,6.03,Low,High,Family
USA,PG-13,4.83,High,High,Family
USA,PG-13,4.93,High,High,Family
USA,PG-13,4.91,High,High,Family
USA,PG,8.2,High,High,Sci-Fi
USA,PG,7.7,High,High,Family
USA,PG,7.58,High,High,Family
USA,PG,7.57,High,High,Family
USA,R,5.77,High,High,Family
USA,R,5.86,High,High,Family
USA,PG-13,7.56,High,High,Family
USA,PG-13,7.59,High,High,Family
USA,PG-13,7.52,High,High,Family
USA,PG-13,7.97,High,High,Family
USA,PG-13,8.09,High,High,Family
USA,PG-13,7.93,High,High,Family
USA,PG-13,8.24,High,High,Family
USA,PG-13,8.22,High,High,Family
USA,PG-13,8.86,High,High,Action
USA,PG-13,8.11,High,High,Family
USA,PG-13,7.99,High,High,Sci-Fi
USA,PG-13,7.35,High,High,Family
USA,PG-13,6.76,High,Medium,Comedy
USA,PG-13,6.78,High,Medium,Action
USA,PG-13,6.72,High,Medium,Action
USA,PG-13,7.81,High,High,Sci-Fi
USA,PG-13,7.95,High,High,Drama
USA,PG-13,7.28,High,High,Family
USA,PG-13,7.11,High,High,Family
USA,PG-13,7.26,High,High,Family
USA,PG-13,7.18,High,High,Family
USA,PG-13,5.97,High,High,Family
USA,PG-13,5.97,High,High,Family
USA,PG,5.46,High,High,Family
USA,PG,5.46,High,High,Family
USA,PG,6.24,High,High,Sci-Fi
USA,PG,5.53,High,High,Family
USA,PG-13,5.7,High,High,Action
USA,PG-13,4.96,High,High,Family
USA,PG-13,4.92,High,High,Family
USA,PG-13,5.02,High,High,Family
USA,PG,5.9,High,High,Family
USA,PG,6.56,High,High,Sci-Fi
USA,PG,5.87,High,High,Family
USA,PG,5.43,High,High,Family
USA,PG,5.45,High,High,Family
USA,PG,5.46,High,High,Family
USA,PG,6.11,High,High,Sci-Fi
USA,PG,5.43,High,High,Family
USA,PG-13,7.4,Medium,High,Sci-Fi
USA,PG-13,6.7,Medium,High,Family
USA,PG-13,6.66,Medium,High,Family
USA,PG-13,5.97,High,High,Family
USA,PG-13,6.04,High,High,Family
USA,PG-13,6.02,High,High,Family
USA,PG,6.34,High,High,Sci-Fi
USA,PG,5.69,High,High,Family
USA,PG,5.7,High,High,Family
USA,PG-13,6.26,High,High,Drama
USA,PG-13,5.56,High,High,Family
USA,PG-13,5.54,High,High,Family
USA,PG-13,6.29,High,High,History
USA,PG-13,5.54,High,High,Family
USA,PG-13,6.57,High,High,Family
USA,PG-13,6.58,High,High,Family
USA,PG-13,6.58,High,High,Family
Germany,R,4.83,Medium,High,Family
Germany,R,4.86,Medium,High,Family
Germany,R,5.64,Medium,High,History
Germany,R,4.96,Medium,High,Family
Germany,R,4.92,Medium,High,Family
Germany,R,5.58,Medium,High,Drama
UK,PG-13,7.55,High,High,Sci-Fi
UK,PG-13,6.89,High,High,Family
UK,PG-13,6.83,High,High,Family
UK,PG-13,7.55,High,High,Drama
UK,PG-13,7.03,High,High,Family
UK,PG-13,7.7,High,High,Drama
UK,PG-13,7.71,High,High,Sci-Fi
UK,PG-13,6.97,High,High,Family
USA,PG-13,5.77,High,High,Family
USA,PG-13,5.89,High,High,Family
USA,PG-13,6.54,High,High,Family
USA,PG-13,6.6,High,High,Family
USA,PG-13,7.29,High,High,Drama
USA,PG,6.17,High,High,Family
USA,PG,6.16,High,High,Family
USA,PG,6.05,High,High,Family
USA,PG,6.72,High,High,Sci-Fi
USA,G,7.49,High,High,Family
USA,G,8.1,High,High,Sci-Fi
USA,G,7.36,High,High,Family
USA,G,7.45,High,High,Family
USA,PG-13,7.79,High,High,Family
USA,PG-13,7.62,High,High,Family
USA,PG,6.13,High,High,Family
USA,PG,6.09,High,High,Family
USA,PG,6.08,High,High,Family
USA,PG,6.17,High,High,Family
USA,PG,6.07,High,High,Family
USA,PG,5.21,High,High,Family
USA,PG,5.35,High,High,Family
USA,PG,5.91,High,High,Sci-Fi
USA,PG,5.32,High,High,Family
USA,PG-13,6.79,High,High,Sci-Fi
USA,PG-13,6.19,High,High,Family
USA,PG-13,6.78,High,High,Action
USA,PG-13,6.18,High,High,Family
USA,PG-13,6,High,High,Family
Australia,R,6.2,High,High,Family
Australia,R,6.15,High,High,Family
USA,PG,7.7,High,High,Sci-Fi
USA,PG,6.93,High,High,Family
USA,PG,7.67,High,High,Comedy
USA,PG,7.07,High,High,Family
USA,PG,7.09,High,High,Family
USA,PG,7.06,High,High,Family
USA,R,6.69,High,High,Family
USA,R,6.66,High,High,Family
USA,PG-13,7.14,High,High,Sci-Fi
USA,PG-13,6.44,High,High,Family
USA,PG-13,6.48,High,High,Family
Australia,R,7.49,High,High,Family
Australia,R,7.5,High,High,Family
Australia,R,8.29,High,High,Action
Australia,R,7.45,High,High,Family
USA,PG-13,6.89,High,High,Action
USA,PG-13,6.85,High,High,Drama
USA,PG-13,6.34,High,High,Family
USA,PG-13,7.1,High,High,Sci-Fi
USA,PG-13,6.31,High,High,Family
USA,PG,6.31,High,High,Family
USA,PG,6.28,High,High,Family
USA,PG,6.35,High,High,Family
USA,PG,6.21,High,High,Family
USA,PG,6.33,High,High,Family
USA,PG,4.46,High,High,Family
USA,PG,4.59,High,High,Family
USA,PG,4.5,High,High,Family
USA,PG,4.45,High,High,Family
USA,PG,4.55,High,High,Family
USA,PG,5.18,High,High,Sci-Fi
USA,PG-13,5.14,High,High,Family
USA,PG-13,5.22,High,High,Family
USA,PG-13,6,High,High,Sci-Fi
USA,PG-13,6.32,High,High,Drama
USA,PG-13,6.25,High,High,Sci-Fi
USA,PG-13,5.56,High,High,Family
China,PG-13,6.87,High,High,Family
China,PG-13,6.85,High,High,Family
China,PG-13,7.51,High,High,Action
USA,R,5.94,High,High,Action
USA,R,5.85,High,High,Drama
USA,R,5.9,High,High,Sci-Fi
USA,R,5.13,High,High,Family
USA,PG-13,6.02,High,High,Family
USA,PG-13,6.09,High,High,Family
USA,PG-13,6.65,High,High,Drama
USA,PG-13,5.97,High,High,Family
USA,PG,5.57,High,High,Family
USA,PG,5.53,High,High,Family
USA,PG,5.52,High,High,Family
USA,PG,5.61,High,High,Family
USA,PG,6.76,High,High,Family
USA,PG,6.61,High,High,Family
USA,PG,6.77,High,High,Family
USA,PG,6.67,High,High,Family
USA,PG,6.64,High,High,Family
USA,PG,3.57,High,High,Family
USA,PG,3.51,High,High,Family
USA,PG,3.57,High,High,Family
USA,PG,4.36,High,High,Sci-Fi
USA,PG-13,6.4,High,High,Family
USA,PG-13,6.29,High,High,Family
USA,PG-13,7.01,High,High,Action
USA,PG-13,5.81,High,High,Family
USA,PG-13,5.88,High,High,Family
USA,PG-13,6.47,High,High,Action
USA,PG,4.83,Medium,High,Family
USA,PG,4.81,Medium,High,Family
USA,PG,4.79,Medium,High,Family
USA,PG,4.77,Medium,High,Family
USA,PG,4.77,Medium,High,Family
USA,PG,4.86,Medium,High,Family
UK,PG,6.02,High,High,Family
UK,PG,6.19,High,High,Family
UK,PG,6.05,High,High,Family
UK,PG,6.19,High,High,Family
USA,PG,5.22,Medium,High,Family
USA,PG,5.91,Medium,High,Sci-Fi
USA,PG,5.12,Medium,High,Family
USA,PG,6.22,High,High,Family
USA,PG,6.34,High,High,Family
USA,PG,6.31,High,High,Family
USA,PG,6.36,High,High,Family
USA,PG,6.38,High,High,Family
USA,R,6.7,High,High,Family
USA,PG,6.23,High,High,Family
USA,PG,6.29,High,High,Family
USA,PG,6.23,High,High,Family
USA,PG,6.28,High,High,Family
UK,PG-13,5.51,High,High,Family
UK,PG-13,5.4,High,High,Family
UK,PG-13,6.17,High,High,Action
USA,PG-13,5.53,High,High,Sci-Fi
USA,PG-13,4.95,High,High,Family
USA,PG-13,4.98,High,High,Family
USA,PG-13,4.82,High,High,Family
USA,PG-13,6.08,High,High,Family
USA,PG-13,5.91,High,High,Family
USA,PG-13,6.79,High,High,Action
USA,PG-13,6.09,High,High,Family
USA,PG-13,6.3,High,High,Sci-Fi
USA,PG-13,5.57,High,High,Family
USA,PG-13,5.58,High,High,Family
USA,PG-13,5.59,High,High,Family
USA,PG-13,5.57,High,High,Family
USA,PG-13,6.28,High,High,Drama
USA,PG-13,5.74,High,High,Family
USA,PG-13,5.74,High,High,Family
USA,PG-13,6.39,High,High,Sci-Fi
USA,PG-13,5.6,High,High,Family
USA,PG,6.62,High,High,Family
USA,PG,6.59,High,High,Family
USA,PG,6.57,High,High,Family
USA,PG,6.56,High,High,Family
USA,PG,6.58,High,High,Family
USA,PG-13,6.73,High,High,Family
USA,PG-13,7.42,High,High,Action
USA,PG-13,6.71,High,High,Family
USA,PG,6.65,High,High,Family
USA,PG,6.65,High,High,Family
USA,PG,6.74,High,High,Family
USA,PG,7.49,High,High,Sci-Fi
USA,PG-13,6.14,High,High,Action
USA,PG-13,5.59,High,High,Family
USA,R,7.89,High,High,History
USA,R,7.1,High,High,Family
USA,R,7.15,High,High,Family
USA,R,7.14,High,High,Family
UK,PG-13,5.48,High,High,Family
UK,PG-13,5.5,High,High,Family
UK,PG-13,5.58,High,High,Family
USA,PG-13,7.34,High,High,Family
USA,PG-13,7.36,High,High,Family
USA,PG-13,7.46,High,High,Family
USA,PG-13,6.62,High,High,Family
USA,PG-13,7.48,High,High,Drama
USA,PG-13,6.72,High,High,Family
USA,PG-13,7.42,High,High,Sci-Fi
USA,PG,7.35,High,High,Family
USA,PG,7.22,High,High,Family
USA,PG,8.02,High,High,Sci-Fi
USA,PG,7.22,High,High,Family
USA,PG,7.28,High,High,Family
USA,PG,7.23,High,High,Family
USA,PG-13,4.97,Medium,High,Family
USA,PG-13,5.53,Medium,High,Sci-Fi
USA,PG-13,4.85,Medium,High,Family
USA,PG-13,4.37,Medium,High,Family
USA,PG-13,4.39,Medium,High,Family
USA,PG-13,4.31,Medium,High,Family
USA,PG-13,5.13,Medium,High,Action
USA,R,7.05,High,High,Family
USA,R,7.13,High,High,Family
USA,R,7.77,High,High,Drama
USA,R,7.17,High,High,Family
USA,R,6.78,High,High,Action
USA,R,6.66,High,High,Action
USA,R,6.06,High,High,Family
USA,PG-13,5.14,High,High,Family
USA,PG-13,5.08,High,High,Family
USA,PG-13,5.22,High,High,Family
USA,PG-13,5.87,High,High,Action
USA,PG-13,5.28,High,High,Family
USA,PG-13,5.25,High,High,Family
UK,PG-13,5.38,High,High,Family
UK,PG-13,5.35,High,High,Family
UK,PG-13,5.35,High,High,Family
UK,PG-13,6.16,High,High,Action
USA,PG-13,5.83,Medium,High,Family
USA,PG-13,6.58,Medium,High,Sci-Fi
USA,PG-13,6.55,Medium,High,Drama
USA,PG-13,5.88,Medium,High,Family
USA,PG-13,5.75,Medium,High,Family
USA,PG-13,5.77,Medium,High,Family
USA,PG-13,6.33,High,High,Family
USA,PG-13,6.38,High,High,Family
USA,PG-13,6.32,High,High,Family
UK,PG-13,5.74,High,High,Family
UK,PG-13,6.5,High,High,Action
UK,PG-13,5.81,High,High,Family
USA,PG-13,6.73,High,High,Family
USA,PG-13,6.76,High,High,Family
USA,PG-13,6.8,High,High,Family
USA,PG-13,6.89,High,High,Family
USA,PG-13,7.53,High,High,History
USA,PG-13,4.99,High,High,Family
USA,PG-13,5.61,High,High,Drama
USA,PG-13,5.55,High,High,Sci-Fi
USA,PG-13,4.98,High,High,Family
Australia,PG,5.2,High,High,Family
Australia,PG,5.33,High,High,Family
Australia,PG,5.32,High,High,Family
Australia,PG,5.96,High,High,Comedy
USA,PG-13,6.11,High,High,Family
USA,PG-13,6.19,High,High,Family
USA,PG-13,6.12,High,High,Family
UK,PG,6.23,Medium,High,Family
UK,PG,6.96,Medium,High,Sci-Fi
UK,PG,6.28,Medium,High,Family
USA,R,7.42,High,High,Family
USA,R,7.52,High,High,Family
USA,R,8.11,High,High,Action
USA,R,8.16,High,High,Action
USA,PG,5.89,High,High,Family
USA,PG,5.98,High,High,Family
USA,PG,5.9,High,High,Family
USA,PG,5.86,High,High,Family
USA,PG,6.69,High,High,History
USA,PG,6.57,High,High,Family
USA,PG,7.23,High,High,Action
USA,PG,6.59,High,High,Family
USA,PG,6.54,High,High,Family
USA,PG,6.65,High,High,Family
USA,PG,6.16,High,High,Family
USA,PG,6.18,High,High,Family
USA,PG,6.01,High,High,Family
USA,PG,6.05,High,High,Family
USA,PG-13,8.28,High,High,Drama
USA,PG-13,8.23,High,High,Action
USA,PG-13,7.49,High,High,Family
USA,PG,7.06,High,High,Family
USA,PG,6.95,High,High,Family
USA,PG,7.05,High,High,Family
USA,PG,6.99,High,High,Family
USA,PG,7.1,High,High,Family
USA,PG-13,6.81,High,High,Family
USA,PG-13,6.8,High,High,Family
USA,PG-13,6.75,High,High,Family
USA,PG-13,6.78,High,High,Family
USA,PG-13,7.77,High,High,Action
USA,PG-13,6.93,High,High,Family
USA,PG-13,7.01,High,High,Family
USA,PG-13,4.92,High,High,Family
USA,PG-13,5.56,High,High,Drama
USA,PG-13,5.56,High,High,Sci-Fi
USA,PG-13,4.9,High,High,Family
USA,PG,6.05,High,High,Family
USA,PG,6.07,High,High,Family
USA,PG,6.78,High,High,Sci-Fi
USA,PG,6.09,High,High,Family
USA,PG,6.2,High,High,Family
USA,PG,6.04,High,High,Family
USA,PG-13,5.86,High,High,Family
USA,PG-13,6.67,High,High,Action
USA,PG-13,5.82,High,High,Family
USA,R,6.68,High,High,Action
USA,R,5.9,High,High,Family
USA,R,6.76,High,High,Action
USA,R,6.01,High,High,Family
USA,PG,6.17,High,High,Family
USA,PG,6.18,High,High,Family
USA,PG,6.12,High,High,Family
USA,PG,6.08,High,High,Family
USA,PG,6.87,High,High,Sci-Fi
USA,PG,6.17,High,High,Family
USA,PG-13,6.55,High,High,Drama
USA,PG-13,5.88,High,High,Family
USA,PG-13,6.47,High,High,Action
USA,PG-13,6.57,High,High,Action
USA,PG-13,5.22,High,High,Family
USA,PG-13,5.13,High,High,Family
USA,PG-13,5.3,High,High,Family
USA,PG,6.87,High,High,Family
USA,PG,6.72,High,High,Family
USA,PG,7.5,High,High,Drama
USA,PG,6.84,High,High,Family
UK,PG,7.22,High,High,Family
UK,PG,7.83,High,High,Drama
UK,PG,7.88,High,High,Sci-Fi
UK,PG,7.23,High,High,Family
Australia,PG-13,6,Medium,High,Family
Australia,PG-13,6.08,Medium,High,Family
Australia,PG-13,6.63,Medium,High,History
Australia,PG-13,6.68,Medium,High,Drama
USA,PG-13,4.26,High,High,Family
USA,PG-13,4.28,High,High,Family
USA,PG-13,4.29,High,High,Family
USA,PG,6.61,High,High,Action
USA,PG,5.8,High,High,Family
USA,PG,5.84,High,High,Family
USA,PG,5.81,High,High,Family
USA,PG,5.58,High,High,Family
USA,PG,5.59,High,High,Family
USA,PG,6.26,High,High,Sci-Fi
USA,PG,5.62,High,High,Family
USA,PG,6.61,High,High,Family
USA,PG,6.68,High,High,Family
USA,PG,6.77,High,High,Family
USA,PG,6.66,High,High,Family
USA,PG,6.65,High,High,Family
UK,PG,7.64,High,High,Sci-Fi
UK,PG,6.94,High,High,Family
UK,PG,6.99,High,High,Family
USA,PG-13,5,Medium,High,Family
USA,PG-13,5.66,Medium,High,Sci-Fi
USA,PG-13,5,Medium,High,Family
