Party,Music,Host,WasThere,WasNotThere,CaloriesDanc
Boring,Classical,Xi,Janusz,Manny,358
Boring,None,Xi,Eva,Joe,483
ItwasOK,HipHop,Janek,Eva,Manny,171
Fun,HipHop,Alex,Eva,Angela,484
Fun,HipHop,Xi,Qiong,Vladimir,98
Fun,Classical,Sonya,Ada,Angela,102
Boring,None,Xi,Eva,Joe,192
ItwasOK,Techno,Katya,Qiong,Joe,146
Boring,Classical,Sonya,Billy,Joe,112
Boring,Rock,Katya,Eva,Angela,395
Boring,Techno,Alex,Eva,Joe,479
Fun,Classical,Xi,Ada,Vladimir,122
Boring,Rock,Janek,Qiong,Joe,202
Fun,HipHop,Xi,Billy,Vladimir,55
Boring,Classical,Xi,Ada,Manny,311
Fun,None,Janek,Janusz,Vladimir,133
Boring,Rock,Katya,Billy,Joe,252
Boring,None,Katya,Billy,Joe,441
Fun,HipHop,Alex,Billy,Vladimir,179
Fun,HipHop,Janek,Janusz,Joe,255
Boring,Classical,Janek,Janusz,Manny,498
Boring,Techno,Janek,Janusz,Angela,146
Boring,None,Xi,Eva,Manny,329
ItwasOK,Rock,Alex,Billy,Joe,207
Boring,HipHop,Xi,Billy,Joe,58
ItwasOK,Rock,Janek,Qiong,Manny,209
ItwasOK,Classical,Sonya,Eva,Angela,267
Fun,HipHop,Sonya,Janusz,Manny,401
Fun,HipHop,Janek,Billy,Vladimir,424
ItwasOK,None,Alex,Billy,Joe,486
Fun,HipHop,Alex,Qiong,Vladimir,415
Fun,HipHop,Katya,Eva,Angela,286
Fun,None,Sonya,Ada,Vladimir,358
Fun,Classical,Alex,Ada,Manny,110
Boring,Classical,Sonya,Billy,Angela,85
Boring,Classical,Xi,Ada,Angela,211
Fun,HipHop,Katya,Eva,Vladimir,207
Boring,None,Katya,Ada,Joe,271
Boring,Classical,Xi,Eva,Joe,356
Boring,Rock,Katya,Qiong,Joe,326
Fun,Classical,Xi,Eva,Vladimir,421
Boring,Classical,Katya,Ada,Angela,248
Fun,None,Alex,Qiong,Vladimir,29
Boring,Techno,Sonya,Janusz,Joe,346
Fun,Rock,Alex,Eva,Vladimir,247
Boring,Rock,Xi,Billy,Angela,428
ItwasOK,Rock,Sonya,Eva,Manny,129
Fun,HipHop,Janek,Eva,Joe,383
Fun,HipHop,Alex,Billy,Vladimir,367
Boring,Classical,Katya,Eva,Angela,123
Fun,None,Katya,Ada,Vladimir,180
Boring,Rock,Janek,Ada,Manny,353
Fun,HipHop,Sonya,Ada,Vladimir,318
Boring,HipHop,Xi,Ada,Manny,189
Boring,Classical,Xi,Ada,Manny,164
Boring,Classical,Xi,Janusz,Joe,448
ItwasOK,HipHop,Janek,Ada,Manny,180
Fun,None,Alex,Ada,Joe,86
Fun,Classical,Sonya,Janusz,Vladimir,207
ItwasOK,Classical,Katya,Ada,Joe,185
Fun,Classical,Sonya,Ada,Vladimir,116
Boring,None,Katya,Qiong,Manny,497
Fun,Rock,Alex,Eva,Vladimir,311
Boring,Classical,Janek,Janusz,Manny,244
Boring,None,Janek,Qiong,Angela,63
Fun,None,Xi,Qiong,Angela,486
Fun,None,Alex,Eva,Vladimir,256
Boring,HipHop,Sonya,Ada,Angela,8
Fun,HipHop,Alex,Ada,Angela,303
Fun,Classical,Katya,Ada,Manny,340
Boring,Rock,Xi,Billy,Joe,84
Boring,Classical,Xi,Janusz,Manny,441
Fun,Classical,Alex,Ada,Vladimir,103
ItwasOK,Rock,Janek,Ada,Manny,122
Boring,Techno,Xi,Ada,Manny,108
Boring,Rock,Alex,Billy,Angela,481
Fun,None,Alex,Qiong,Manny,164
Boring,Classical,Katya,Qiong,Joe,461
Boring,None,Janek,Billy,Angela,484
Fun,Rock,Xi,Qiong,Vladimir,104
ItwasOK,HipHop,Sonya,Janusz,Vladimir,413
Boring,None,Alex,Qiong,Angela,144
Boring,Techno,Janek,Qiong,Angela,463
Boring,Rock,Alex,Billy,Angela,259
Fun,HipHop,Katya,Janusz,Manny,330
Fun,None,Sonya,Billy,Vladimir,306
Fun,Rock,Janek,Billy,Manny,438
Boring,Classical,Janek,Ada,Angela,463
Boring,Classical,Xi,Qiong,Angela,242
Fun,None,Alex,Qiong,Joe,29
Fun,Classical,Katya,Qiong,Vladimir,232
Fun,Rock,Alex,Qiong,Vladimir,20
Fun,None,Xi,Qiong,Vladimir,316
Fun,Techno,Janek,Billy,Vladimir,77
Boring,None,Xi,Billy,Joe,52
Boring,None,Xi,Eva,Joe,349
Boring,Techno,Sonya,Ada,Joe,93
Fun,Rock,Xi,Qiong,Vladimir,320
Fun,Techno,Alex,Eva,Joe,467
Fun,HipHop,Janek,Billy,Vladimir,154
Fun,None,Sonya,Janusz,Vladimir,466
Boring,Techno,Sonya,Billy,Angela,208
Boring,None,Xi,Qiong,Joe,110
Fun,None,Sonya,Qiong,Joe,377
Boring,None,Xi,Qiong,Joe,111
ItwasOK,Rock,Janek,Ada,Joe,108
Boring,Techno,Janek,Billy,Joe,432
Fun,HipHop,Janek,Billy,Angela,303
ItwasOK,HipHop,Katya,Billy,Manny,27
Boring,HipHop,Janek,Eva,Manny,30
Boring,None,Alex,Janusz,Joe,165
Boring,Techno,Xi,Billy,Manny,361
Fun,HipHop,Alex,Eva,Vladimir,416
ItwasOK,Rock,Alex,Qiong,Joe,458
Fun,HipHop,Katya,Qiong,Vladimir,268
Boring,None,Alex,Eva,Manny,399
Boring,Classical,Janek,Qiong,Joe,290
Fun,Techno,Alex,Ada,Manny,449
ItwasOK,Classical,Katya,Billy,Manny,55
Fun,Classical,Sonya,Eva,Manny,422
Boring,None,Janek,Billy,Angela,303
Fun,None,Janek,Janusz,Vladimir,356
Boring,Rock,Janek,Qiong,Manny,223
Fun,Classical,Alex,Janusz,Vladimir,377
Boring,Techno,Alex,Qiong,Manny,251
Fun,None,Alex,Eva,Vladimir,467
Boring,Rock,Alex,Billy,Angela,83
Boring,Classical,Alex,Billy,Angela,391
Fun,HipHop,Alex,Eva,Joe,364
Boring,Techno,Alex,Billy,Joe,164
Boring,None,Sonya,Ada,Manny,410
Fun,Rock,Janek,Billy,Joe,175
ItwasOK,Techno,Janek,Eva,Joe,133
ItwasOK,Rock,Janek,Ada,Manny,24
Fun,Classical,Janek,Eva,Vladimir,219
Boring,Classical,Katya,Janusz,Angela,458
Boring,Techno,Sonya,Eva,Joe,481
Fun,Rock,Janek,Ada,Vladimir,57
Boring,Rock,Janek,Billy,Angela,224
Fun,None,Alex,Ada,Vladimir,386
Boring,None,Xi,Janusz,Joe,406
Fun,None,Sonya,Ada,Vladimir,216
ItwasOK,Rock,Alex,Ada,Joe,287
Fun,Rock,Janek,Janusz,Joe,12
Fun,None,Sonya,Janusz,Joe,237
ItwasOK,HipHop,Katya,Janusz,Manny,359
Boring,Classical,Janek,Billy,Angela,258
Fun,HipHop,Katya,Eva,Vladimir,472
Boring,Techno,Katya,Ada,Angela,155
ItwasOK,None,Sonya,Janusz,Vladimir,252
Fun,Classical,Xi,Billy,Angela,56
Boring,None,Sonya,Qiong,Angela,397
Fun,None,Sonya,Billy,Vladimir,126
Boring,None,Janek,Janusz,Angela,258
Fun,None,Xi,Ada,Vladimir,101
Boring,Rock,Sonya,Ada,Angela,72
Fun,Techno,Janek,Qiong,Vladimir,389
Fun,Techno,Janek,Janusz,Vladimir,438
Fun,Rock,Katya,Eva,Vladimir,336
Fun,None,Sonya,Eva,Vladimir,237
Fun,Techno,Alex,Janusz,Manny,451
Fun,Rock,Xi,Ada,Vladimir,183
Fun,None,Sonya,Janusz,Vladimir,60
Boring,Rock,Xi,Ada,Manny,36
Fun,Classical,Sonya,Billy,Vladimir,145
Boring,Classical,Sonya,Ada,Angela,83
Boring,None,Katya,Qiong,Manny,8
Fun,Classical,Xi,Billy,Vladimir,427
Fun,Rock,Janek,Eva,Manny,288
Fun,None,Katya,Eva,Joe,197
Boring,None,Alex,Ada,Angela,109
Fun,None,Janek,Qiong,Manny,411
ItwasOK,None,Janek,Billy,Angela,457
Fun,HipHop,Katya,Billy,Joe,166
Fun,HipHop,Sonya,Billy,Angela,260
Fun,Classical,Alex,Janusz,Vladimir,406
Fun,Rock,Sonya,Eva,Manny,24
ItwasOK,None,Janek,Ada,Joe,141
Boring,None,Katya,Janusz,Angela,487
Boring,Techno,Sonya,Ada,Manny,415
ItwasOK,HipHop,Sonya,Eva,Manny,235
Fun,Rock,Katya,Qiong,Manny,94
Fun,None,Xi,Eva,Joe,73
Fun,Classical,Janek,Billy,Joe,108
Boring,None,Xi,Billy,Manny,25
Fun,Techno,Katya,Eva,Vladimir,386
Fun,HipHop,Sonya,Qiong,Joe,444
Fun,Rock,Katya,Billy,Vladimir,366
Fun,Rock,Janek,Janusz,Joe,478
Boring,Techno,Xi,Eva,Joe,40
Fun,HipHop,Alex,Janusz,Angela,245
Boring,Rock,Xi,Ada,Joe,497
ItwasOK,Classical,Janek,Janusz,Manny,468
Boring,None,Xi,Qiong,Manny,340
Boring,Techno,Janek,Billy,Manny,493
Boring,Techno,Xi,Eva,Angela,264
Boring,Rock,Xi,Janusz,Manny,54
Fun,Classical,Alex,Janusz,Vladimir,460
ItwasOK,Rock,Sonya,Janusz,Manny,21
Boring,Classical,Katya,Ada,Joe,143
Fun,None,Janek,Janusz,Manny,290
Fun,None,Katya,Qiong,Vladimir,298
Fun,Rock,Katya,Qiong,Joe,411
Fun,Rock,Katya,Eva,Vladimir,357
ItwasOK,Rock,Alex,Janusz,Joe,197
Boring,Techno,Sonya,Janusz,Angela,348
Boring,Techno,Janek,Janusz,Manny,416
Boring,Techno,Alex,Janusz,Manny,245
Fun,HipHop,Katya,Janusz,Joe,303
Boring,Techno,Xi,Ada,Manny,207
ItwasOK,Techno,Xi,Billy,Vladimir,488
Boring,Classical,Alex,Janusz,Joe,345
Fun,Techno,Sonya,Qiong,Manny,466
Boring,Techno,Janek,Ada,Manny,4
Boring,Classical,Katya,Qiong,Angela,495
ItwasOK,Classical,Katya,Eva,Manny,473
Fun,Rock,Katya,Janusz,Vladimir,397
Boring,None,Katya,Qiong,Angela,5
Fun,Classical,Janek,Ada,Vladimir,129
ItwasOK,None,Sonya,Janusz,Manny,196
Fun,None,Janek,Qiong,Vladimir,421
Fun,None,Katya,Billy,Vladimir,343
ItwasOK,HipHop,Katya,Qiong,Joe,31
Boring,Rock,Katya,Eva,Joe,61
ItwasOK,Techno,Janek,Billy,Manny,246
Boring,None,Xi,Qiong,Manny,158
ItwasOK,HipHop,Alex,Janusz,Joe,169
Fun,Rock,Xi,Ada,Vladimir,427
ItwasOK,Rock,Janek,Ada,Manny,161
Boring,Techno,Xi,Janusz,Angela,112
Fun,HipHop,Janek,Ada,Manny,60
Fun,Techno,Janek,Ada,Vladimir,278
Boring,Rock,Katya,Qiong,Manny,483
Boring,Classical,Katya,Billy,Angela,49
Boring,HipHop,Sonya,Ada,Angela,159
ItwasOK,Techno,Alex,Billy,Manny,176
Boring,Techno,Xi,Janusz,Angela,356
Fun,None,Sonya,Billy,Vladimir,345
ItwasOK,Techno,Katya,Qiong,Angela,251
Fun,None,Alex,Ada,Vladimir,28
Fun,Classical,Sonya,Billy,Manny,196
Fun,Rock,Xi,Billy,Vladimir,245
Boring,None,Katya,Eva,Manny,270
Fun,Techno,Alex,Billy,Joe,54
Boring,HipHop,Katya,Ada,Angela,174
Fun,Classical,Alex,Billy,Manny,486
Boring,Rock,Janek,Billy,Angela,245
Boring,Classical,Sonya,Eva,Vladimir,364
Fun,Techno,Katya,Qiong,Joe,486
ItwasOK,Rock,Sonya,Janusz,Manny,350
Fun,HipHop,Xi,Eva,Vladimir,151
Boring,Techno,Katya,Billy,Angela,436
Fun,HipHop,Janek,Billy,Vladimir,455
Boring,None,Katya,Eva,Manny,114
Fun,Techno,Sonya,Janusz,Manny,282
Boring,Techno,Xi,Qiong,Joe,382
Boring,Classical,Alex,Billy,Angela,350
Boring,Techno,Sonya,Janusz,Angela,188
ItwasOK,None,Janek,Qiong,Joe,241
Boring,Rock,Sonya,Ada,Joe,121
Boring,Classical,Sonya,Billy,Joe,328
Fun,HipHop,Sonya,Ada,Angela,232
Boring,Techno,Xi,Ada,Manny,332
Boring,HipHop,Xi,Janusz,Angela,401
Fun,HipHop,Alex,Billy,Manny,276
Boring,Rock,Alex,Eva,Manny,258
Fun,HipHop,Janek,Eva,Manny,471
Boring,Rock,Xi,Janusz,Manny,331
Fun,HipHop,Alex,Qiong,Joe,278
Boring,Rock,Janek,Janusz,Angela,109
Fun,Classical,Katya,Qiong,Joe,192
Fun,Rock,Xi,Eva,Vladimir,42
Fun,None,Janek,Ada,Joe,145
ItwasOK,Classical,Alex,Janusz,Joe,205
Fun,None,Xi,Janusz,Vladimir,317
ItwasOK,HipHop,Katya,Eva,Manny,27
Fun,HipHop,Alex,Eva,Manny,283
Boring,None,Katya,Qiong,Manny,499
Boring,Rock,Sonya,Billy,Angela,405
Boring,Techno,Janek,Billy,Manny,195
Boring,HipHop,Xi,Eva,Joe,266
Boring,HipHop,Xi,Eva,Angela,199
Fun,HipHop,Janek,Eva,Manny,70
Fun,HipHop,Katya,Ada,Vladimir,81
ItwasOK,Rock,Alex,Eva,Joe,292
Boring,Classical,Sonya,Billy,Manny,28
Boring,Classical,Xi,Qiong,Angela,483
ItwasOK,Rock,Alex,Qiong,Angela,456
Boring,Classical,Xi,Janusz,Vladimir,429
Boring,None,Alex,Janusz,Manny,86
Boring,Techno,Sonya,Janusz,Angela,26
Boring,None,Janek,Eva,Angela,43
ItwasOK,Rock,Sonya,Janusz,Vladimir,186
Fun,Classical,Sonya,Billy,Vladimir,124
Fun,None,Alex,Eva,Vladimir,145
Boring,Rock,Sonya,Eva,Angela,9
ItwasOK,Techno,Janek,Billy,Manny,366
ItwasOK,Techno,Sonya,Eva,Vladimir,363
Boring,Classical,Janek,Janusz,Angela,209
Fun,HipHop,Xi,Ada,Vladimir,309
Fun,Techno,Alex,Qiong,Vladimir,97
Boring,Classical,Janek,Qiong,Angela,148
Boring,Techno,Xi,Qiong,Joe,266
Boring,Rock,Katya,Billy,Joe,146
Fun,Rock,Katya,Ada,Vladimir,221
Fun,None,Katya,Ada,Vladimir,383
Fun,HipHop,Janek,Ada,Angela,264
Boring,Classical,Alex,Eva,Angela,214
Boring,None,Sonya,Janusz,Angela,377
ItwasOK,Techno,Alex,Qiong,Joe,234
Boring,None,Sonya,Ada,Angela,147
Fun,HipHop,Sonya,Eva,Joe,316
Fun,Rock,Alex,Eva,Vladimir,85
Boring,Techno,Sonya,Ada,Angela,281
Fun,Techno,Katya,Eva,Joe,15
ItwasOK,Techno,Janek,Ada,Joe,309
Fun,Classical,Katya,Janusz,Joe,127
Boring,HipHop,Alex,Ada,Joe,6
Boring,Techno,Sonya,Janusz,Angela,156
Fun,HipHop,Janek,Eva,Joe,391
Boring,None,Janek,Billy,Manny,273
Boring,Classical,Alex,Billy,Manny,15
Boring,None,Katya,Ada,Angela,53
Fun,None,Sonya,Janusz,Joe,38
Boring,Rock,Janek,Billy,Angela,252
Boring,None,Xi,Ada,Joe,140
Boring,Rock,Katya,Ada,Angela,131
Boring,Techno,Sonya,Ada,Manny,210
Boring,Classical,Alex,Eva,Angela,472
Boring,Techno,Xi,Qiong,Angela,114
Boring,Rock,Alex,Ada,Manny,85
Boring,Classical,Xi,Ada,Joe,49
Fun,None,Sonya,Billy,Vladimir,263
Boring,Classical,Janek,Ada,Joe,223
Boring,None,Xi,Janusz,Joe,122
Fun,None,Xi,Qiong,Vladimir,244
Boring,Classical,Janek,Janusz,Manny,96
Fun,Classical,Alex,Janusz,Manny,169
Boring,HipHop,Xi,Ada,Angela,123
Boring,None,Alex,Eva,Manny,290
Fun,HipHop,Sonya,Janusz,Vladimir,141
Boring,Rock,Xi,Ada,Joe,96
Boring,Classical,Xi,Janusz,Manny,442
Fun,Techno,Katya,Eva,Joe,438
Fun,Techno,Alex,Janusz,Joe,331
Fun,None,Alex,Billy,Joe,285
Boring,Rock,Katya,Eva,Angela,172
Boring,None,Alex,Eva,Joe,227
Fun,Techno,Sonya,Qiong,Vladimir,296
Boring,Rock,Alex,Qiong,Angela,337
Boring,Techno,Alex,Janusz,Joe,238
Boring,HipHop,Xi,Ada,Manny,102
Boring,None,Katya,Janusz,Joe,391
Fun,None,Janek,Eva,Vladimir,16
Fun,None,Sonya,Qiong,Vladimir,56
ItwasOK,Techno,Katya,Janusz,Joe,148
ItwasOK,Classical,Sonya,Janusz,Manny,177
Boring,Techno,Sonya,Billy,Manny,453
ItwasOK,None,Alex,Billy,Manny,146
Fun,HipHop,Alex,Qiong,Vladimir,13
Fun,Classical,Xi,Ada,Vladimir,317
Boring,None,Alex,Billy,Angela,215
Boring,Techno,Xi,Janusz,Joe,291
Fun,Classical,Katya,Billy,Vladimir,240
Fun,HipHop,Katya,Ada,Vladimir,329
Fun,HipHop,Alex,Qiong,Manny,167
Boring,None,Katya,Qiong,Angela,187
Boring,Rock,Katya,Eva,Joe,387
Fun,Rock,Janek,Qiong,Manny,262
Fun,HipHop,Katya,Janusz,Joe,356
Boring,Classical,Alex,Billy,Angela,430
Boring,HipHop,Alex,Eva,Manny,178
Boring,Classical,Janek,Qiong,Joe,289
Boring,Rock,Janek,Ada,Manny,170
Fun,Rock,Alex,Qiong,Joe,198
Fun,None,Janek,Janusz,Joe,339
Fun,HipHop,Xi,Eva,Vladimir,268
Fun,None,Katya,Billy,Manny,146
Boring,None,Janek,Eva,Angela,334
Boring,Techno,Xi,Ada,Angela,398
Boring,HipHop,Xi,Eva,Joe,324
Fun,Techno,Janek,Eva,Vladimir,269
ItwasOK,Classical,Alex,Eva,Joe,435
Boring,HipHop,Xi,Janusz,Manny,53
Boring,Techno,Xi,Janusz,Manny,250
Fun,Techno,Alex,Ada,Manny,239
Boring,Techno,Xi,Janusz,Manny,77
Boring,Techno,Katya,Eva,Angela,147
ItwasOK,HipHop,Sonya,Eva,Manny,143
Fun,Techno,Janek,Janusz,Vladimir,496
Boring,Classical,Sonya,Ada,Joe,226
Boring,None,Alex,Qiong,Angela,62
Boring,Rock,Xi,Ada,Joe,347
Fun,Techno,Katya,Eva,Vladimir,423
Fun,HipHop,Sonya,Eva,Angela,368
ItwasOK,Classical,Alex,Qiong,Manny,368
Fun,Rock,Janek,Ada,Joe,268
Boring,Classical,Sonya,Eva,Angela,8
Boring,HipHop,Xi,Ada,Joe,115
Boring,Classical,Janek,Eva,Manny,135
Fun,HipHop,Sonya,Ada,Vladimir,114
Boring,None,Xi,Qiong,Angela,253
Fun,Rock,Alex,Janusz,Vladimir,459
ItwasOK,None,Katya,Qiong,Joe,144
Fun,HipHop,Katya,Billy,Vladimir,322
Fun,Rock,Janek,Eva,Vladimir,431
Fun,None,Alex,Janusz,Manny,341
Boring,Rock,Alex,Eva,Angela,150
Fun,Classical,Alex,Eva,Manny,150
Fun,Classical,Janek,Janusz,Vladimir,190
Fun,Rock,Xi,Janusz,Vladimir,203
Fun,HipHop,Xi,Billy,Vladimir,356
ItwasOK,Classical,Sonya,Ada,Joe,186
Boring,Classical,Alex,Ada,Angela,336
Boring,Techno,Janek,Eva,Angela,306
Fun,Techno,Alex,Qiong,Vladimir,185
Fun,None,Alex,Ada,Manny,339
Boring,HipHop,Xi,Eva,Manny,356
Fun,None,Janek,Billy,Vladimir,291
Boring,HipHop,Alex,Eva,Manny,1
Fun,None,Alex,Janusz,Vladimir,424
Boring,None,Sonya,Eva,Angela,73
Fun,Techno,Katya,Ada,Manny,454
Fun,HipHop,Xi,Billy,Vladimir,144
Boring,Classical,Xi,Janusz,Joe,257
Boring,Classical,Janek,Qiong,Angela,462
Fun,None,Janek,Eva,Vladimir,250
Boring,None,Janek,Qiong,Angela,491
ItwasOK,Classical,Sonya,Qiong,Joe,364
ItwasOK,Rock,Alex,Janusz,Manny,19
Boring,None,Xi,Qiong,Manny,424
Boring,None,Xi,Eva,Manny,418
Boring,Classical,Janek,Ada,Manny,24
Boring,None,Alex,Ada,Joe,195
Fun,Rock,Sonya,Qiong,Vladimir,30
Fun,Classical,Katya,Eva,Manny,224
Fun,HipHop,Sonya,Eva,Manny,446
Boring,Rock,Xi,Billy,Angela,479
Boring,Classical,Alex,Janusz,Manny,301
Fun,Techno,Xi,Billy,Vladimir,427
Boring,Rock,Alex,Eva,Angela,467
Boring,None,Xi,Ada,Joe,4
Fun,Classical,Xi,Ada,Vladimir,223
Boring,None,Xi,Eva,Joe,264
Boring,Classical,Xi,Qiong,Joe,477
Fun,Techno,Janek,Ada,Vladimir,35
Boring,Techno,Xi,Billy,Manny,122
Boring,Classical,Xi,Eva,Angela,19
Fun,Classical,Xi,Qiong,Vladimir,345
Fun,None,Sonya,Janusz,Joe,359
ItwasOK,Classical,Sonya,Billy,Manny,205
Boring,Rock,Xi,Billy,Angela,0
Boring,Techno,Xi,Billy,Manny,228
Fun,Classical,Janek,Ada,Vladimir,187
ItwasOK,Classical,Janek,Qiong,Joe,459
Fun,HipHop,Sonya,Ada,Vladimir,368
Boring,Techno,Katya,Ada,Angela,254
Fun,Techno,Katya,Janusz,Vladimir,15
ItwasOK,Techno,Katya,Eva,Manny,190
Boring,Classical,Alex,Janusz,Joe,305
Boring,HipHop,Xi,Billy,Joe,294
ItwasOK,Rock,Alex,Ada,Angela,463
Boring,Classical,Katya,Janusz,Manny,489
Boring,Techno,Xi,Eva,Manny,450
Fun,Classical,Katya,Janusz,Vladimir,435
ItwasOK,Techno,Xi,Janusz,Vladimir,383
Fun,HipHop,Sonya,Ada,Vladimir,77
Boring,Techno,Katya,Qiong,Manny,65
Fun,Classical,Sonya,Janusz,Vladimir,180
Boring,Classical,Xi,Eva,Manny,352
Boring,Techno,Katya,Qiong,Angela,104
Boring,Techno,Katya,Qiong,Joe,143
Boring,Classical,Xi,Eva,Manny,290
Boring,Classical,Janek,Eva,Angela,108
ItwasOK,None,Janek,Eva,Vladimir,83
Boring,Classical,Sonya,Ada,Manny,45
Boring,Rock,Janek,Ada,Manny,168
Fun,HipHop,Janek,Billy,Vladimir,247
Boring,HipHop,Katya,Eva,Joe,338
Fun,Classical,Katya,Billy,Manny,494
ItwasOK,None,Katya,Qiong,Manny,166
Fun,Classical,Katya,Billy,Vladimir,185
Fun,HipHop,Katya,Eva,Joe,481
Boring,HipHop,Sonya,Ada,Angela,16
Boring,HipHop,Janek,Ada,Angela,167
ItwasOK,Techno,Janek,Qiong,Joe,428
Boring,Rock,Sonya,Billy,Angela,70
Fun,HipHop,Katya,Janusz,Vladimir,187
Boring,Techno,Alex,Janusz,Angela,331
Boring,Techno,Alex,Eva,Joe,387
Boring,Rock,Janek,Qiong,Angela,206
ItwasOK,Rock,Janek,Qiong,Joe,117
Boring,HipHop,Xi,Billy,Manny,328
Fun,Classical,Katya,Billy,Vladimir,302
Boring,Techno,Katya,Qiong,Joe,54
Fun,Rock,Alex,Janusz,Vladimir,474
Fun,HipHop,Alex,Ada,Vladimir,471
Fun,None,Alex,Eva,Vladimir,30
Fun,Classical,Katya,Eva,Vladimir,407
