Dealership,Season,Car,Buyer,Buyer_Age
Columbus,Spring,Chevrolet,Female,42
Columbus,Summer,Chevrolet,Male,45
Philladephia,Winter,Hyundai,Male,62
LA,Spring,Ram,Male,73
Austin,Spring,Ford,Female,29
Phoenix,Fall,Toyota,Male,73
Houston,Fall,Honda,Female,61
San Diego,Winter,Jeep,Female,41
NYC,Winter,Hyundai,Female,35
Seattle,Summer,Subaru,Female,51
NYC,Spring,Ram,Male,62
NYC,Summer,GMC,Male,56
Seattle,Fall,Jeep,Male,50
Phoenix,Winter,Honda,Female,73
Columbus,Summer,GMC,Male,74
Houston,Spring,Jeep,Female,60
Houston,Winter,Ram,Male,25
Phoenix,Summer,Hyundai,Male,79
San Antonio,Fall,Subaru,Male,56
Columbus,Spring,Toyota,Female,74
Houston,Spring,Hyundai,Male,21
Columbus,Spring,Ford,Female,27
LA,Spring,Subaru,Female,52
San Antonio,Spring,Toyota,Female,26
LA,Spring,GMC,Female,59
Philladephia,Summer,Jeep,Male,37
Austin,Spring,Chevrolet,Male,54
Austin,Fall,Kia,Female,60
Houston,Fall,GMC,Female,41
Chicago,Spring,Kia,Female,44
Chicago,Summer,Ford,Male,73
San Diego,Spring,Nissan,Female,59
LA,Summer,Chevrolet,Male,62
Phoenix,Winter,Hyundai,Female,75
NYC,Fall,Honda,Male,39
NYC,Winter,Chevrolet,Female,40
Seattle,Spring,Hyundai,Female,29
LA,Summer,Nissan,Male,20
Austin,Winter,Toyota,Male,66
Austin,Summer,Jeep,Male,78
San Diego,Fall,GMC,Male,40
LA,Summer,Toyota,Male,58
Columbus,Winter,Subaru,Female,50
San Antonio,Summer,GMC,Male,28
Philladephia,Winter,Jeep,Male,33
Philladephia,Spring,Nissan,Male,28
Philladephia,Spring,Kia,Female,51
Columbus,Spring,Toyota,Female,42
Phoenix,Spring,Ford,Female,79
Chicago,Winter,Honda,Male,28
Chicago,Winter,Chevrolet,Female,37
San Diego,Spring,Chevrolet,Female,67
NYC,Fall,Ford,Male,43
San Diego,Fall,Nissan,Female,55
Seattle,Fall,Hyundai,Female,55
NYC,Winter,Chevrolet,Male,70
Houston,Summer,Kia,Female,67
Philladephia,Winter,Nissan,Male,20
Philladephia,Winter,Chevrolet,Male,40
Austin,Spring,Ram,Female,59
Houston,Spring,Honda,Male,75
Columbus,Fall,Hyundai,Female,58
Philladephia,Spring,Chevrolet,Male,28
Philladephia,Spring,Nissan,Male,46
Phoenix,Winter,GMC,Male,46
San Antonio,Fall,GMC,Male,47
Phoenix,Winter,Jeep,Male,47
Columbus,Summer,Toyota,Female,57
NYC,Fall,Hyundai,Male,42
LA,Winter,Jeep,Female,54
Chicago,Spring,Ford,Male,44
Austin,Summer,Nissan,Female,34
NYC,Fall,Kia,Male,68
Austin,Summer,Ram,Male,28
San Diego,Spring,GMC,Female,42
NYC,Summer,GMC,Male,48
San Diego,Summer,Nissan,Male,48
Chicago,Fall,Kia,Male,44
NYC,Spring,Nissan,Male,43
Austin,Fall,Kia,Female,20
Seattle,Spring,Ram,Male,46
San Diego,Winter,Hyundai,Female,37
San Antonio,Winter,Hyundai,Female,45
Austin,Fall,Subaru,Male,38
NYC,Summer,Honda,Male,32
Philladephia,Winter,Kia,Male,43
LA,Winter,Hyundai,Female,33
Seattle,Fall,Honda,Male,49
San Antonio,Summer,Honda,Male,51
San Antonio,Fall,Kia,Female,45
Phoenix,Winter,Chevrolet,Female,42
Columbus,Summer,Hyundai,Female,22
LA,Fall,Ford,Female,67
Austin,Fall,GMC,Male,71
Philladephia,Summer,Ram,Female,28
Columbus,Winter,Nissan,Female,20
Columbus,Fall,Toyota,Female,76
Austin,Fall,Nissan,Male,50
NYC,Summer,Subaru,Female,20
Chicago,Spring,Kia,Female,68
LA,Winter,Nissan,Male,41
NYC,Winter,Ram,Female,30
Phoenix,Summer,Chevrolet,Male,22
Phoenix,Spring,Nissan,Male,47
Philladephia,Summer,Chevrolet,Male,30
Austin,Fall,Chevrolet,Male,48
Houston,Winter,GMC,Male,45
San Antonio,Fall,Ram,Male,59
Columbus,Spring,Subaru,Male,20
NYC,Fall,Toyota,Male,44
Philladephia,Winter,GMC,Female,51
Philladephia,Spring,Jeep,Male,55
Phoenix,Fall,Ram,Male,80
NYC,Summer,Jeep,Female,24
NYC,Winter,Toyota,Female,65
Austin,Spring,Kia,Female,33
Phoenix,Winter,Hyundai,Male,30
San Antonio,Fall,GMC,Male,26
Seattle,Spring,GMC,Male,73
Chicago,Fall,Chevrolet,Male,21
LA,Winter,Ram,Female,67
Philladephia,Spring,Nissan,Male,74
Houston,Winter,Kia,Female,68
NYC,Fall,Nissan,Male,58
Columbus,Winter,Ram,Female,54
San Antonio,Spring,Honda,Female,47
Austin,Summer,Ford,Female,56
Seattle,Summer,Jeep,Female,20
Philladephia,Summer,Jeep,Male,65
LA,Winter,Ram,Male,60
LA,Summer,Chevrolet,Male,55
Houston,Summer,Honda,Female,64
San Antonio,Fall,Honda,Female,30
Columbus,Winter,GMC,Male,37
Phoenix,Fall,Kia,Male,53
San Diego,Spring,Subaru,Female,55
Chicago,Summer,Hyundai,Male,42
San Diego,Spring,Toyota,Male,48
Austin,Fall,Toyota,Male,29
San Diego,Summer,Ram,Male,48
NYC,Winter,Nissan,Male,61
LA,Fall,Subaru,Female,45
Philladephia,Winter,Hyundai,Male,26
Chicago,Spring,Hyundai,Female,62
Columbus,Winter,Ford,Male,53
NYC,Fall,Ford,Female,75
LA,Fall,Subaru,Male,47
Houston,Summer,Hyundai,Male,43
San Antonio,Winter,Subaru,Male,44
Columbus,Fall,Nissan,Female,68
San Diego,Winter,Nissan,Female,69
Phoenix,Summer,Chevrolet,Female,35
San Antonio,Winter,Nissan,Male,23
Seattle,Winter,Chevrolet,Male,49
NYC,Summer,Nissan,Female,60
San Diego,Winter,Chevrolet,Male,54
NYC,Fall,Toyota,Female,21
Columbus,Summer,Chevrolet,Male,20
San Antonio,Winter,Hyundai,Male,51
NYC,Spring,Kia,Male,71
Houston,Spring,Toyota,Female,38
Phoenix,Summer,Jeep,Male,39
NYC,Winter,Subaru,Male,73
San Antonio,Fall,Nissan,Male,22
Seattle,Summer,Ram,Male,33
Phoenix,Winter,Toyota,Male,70
Seattle,Fall,Honda,Female,74
NYC,Fall,Subaru,Male,26
Seattle,Winter,Ram,Male,26
Philladephia,Fall,Kia,Male,66
Houston,Spring,Honda,Male,28
Phoenix,Spring,Ram,Female,64
San Diego,Summer,Kia,Female,53
Philladephia,Summer,Kia,Male,54
Chicago,Spring,Ford,Female,23
San Diego,Winter,Kia,Male,77
NYC,Winter,Kia,Male,64
San Antonio,Summer,Jeep,Female,24
Austin,Spring,Honda,Male,56
Phoenix,Fall,Kia,Female,69
Austin,Summer,Ram,Male,34
Houston,Summer,Chevrolet,Male,46
Houston,Fall,Ford,Male,57
San Antonio,Summer,Honda,Female,51
Houston,Summer,GMC,Male,77
LA,Fall,Toyota,Male,63
Seattle,Spring,Chevrolet,Female,40
San Antonio,Fall,Chevrolet,Female,63
Philladephia,Summer,Chevrolet,Male,40
LA,Summer,Subaru,Male,26
Seattle,Winter,Ram,Female,55
Columbus,Fall,Jeep,Female,52
Austin,Spring,Ram,Female,74
Houston,Winter,Toyota,Female,44
San Antonio,Summer,Kia,Male,66
Seattle,Spring,Subaru,Female,49
Columbus,Summer,GMC,Male,53
Seattle,Summer,Jeep,Male,59
LA,Fall,Chevrolet,Female,35
Seattle,Spring,Chevrolet,Female,59
Seattle,Spring,Ram,Male,41
LA,Spring,Chevrolet,Male,59
Phoenix,Spring,Ram,Female,34
Seattle,Fall,Toyota,Male,40
Columbus,Summer,Ford,Female,28
Houston,Winter,Nissan,Female,57
Chicago,Winter,Jeep,Female,63
Austin,Winter,Jeep,Female,56
Columbus,Fall,Kia,Male,21
San Antonio,Summer,Kia,Female,28
Chicago,Spring,Jeep,Female,79
LA,Winter,Toyota,Female,25
Philladephia,Summer,Chevrolet,Female,62
Chicago,Summer,Toyota,Male,42
Chicago,Winter,Hyundai,Female,64
NYC,Fall,Ford,Female,65
San Antonio,Spring,GMC,Female,40
Seattle,Fall,Subaru,Female,57
San Diego,Spring,Hyundai,Female,72
Seattle,Winter,Honda,Female,54
Seattle,Summer,Nissan,Male,74
Seattle,Summer,GMC,Male,48
Austin,Spring,GMC,Female,35
Philladephia,Winter,Subaru,Female,63
Columbus,Spring,Hyundai,Female,68
Chicago,Winter,Toyota,Female,55
Seattle,Fall,Ford,Female,74
Phoenix,Summer,Ram,Female,22
Houston,Fall,Hyundai,Female,54
LA,Winter,GMC,Female,61
Seattle,Summer,Nissan,Female,26
Houston,Spring,Jeep,Female,26
San Antonio,Spring,Ford,Male,68
San Antonio,Winter,Ford,Female,50
Chicago,Spring,Chevrolet,Male,80
Chicago,Fall,Kia,Female,80
Chicago,Summer,Subaru,Female,23
San Antonio,Spring,Toyota,Male,24
Philladephia,Fall,Nissan,Male,19
Houston,Spring,Ford,Female,78
Austin,Summer,Jeep,Male,39
Phoenix,Summer,Toyota,Female,65
Phoenix,Spring,GMC,Male,53
NYC,Spring,Ram,Female,52
Phoenix,Summer,Toyota,Male,64
San Antonio,Summer,Chevrolet,Male,31
Seattle,Fall,Honda,Female,51
Columbus,Winter,Chevrolet,Female,40
Houston,Fall,Toyota,Male,30
Seattle,Fall,Subaru,Female,77
Columbus,Spring,GMC,Male,58
San Antonio,Winter,Hyundai,Male,49
Philladephia,Spring,Hyundai,Male,23
Seattle,Summer,Hyundai,Male,44
San Antonio,Winter,GMC,Male,69
San Antonio,Fall,Toyota,Male,59
NYC,Winter,Toyota,Male,49
Houston,Summer,Nissan,Male,66
Phoenix,Fall,Toyota,Female,30
Austin,Summer,GMC,Female,44
San Diego,Winter,Subaru,Female,30
LA,Fall,Honda,Male,79
Columbus,Spring,GMC,Male,19
Houston,Summer,Hyundai,Male,35
LA,Fall,Ram,Male,76
Phoenix,Winter,Chevrolet,Female,57
LA,Winter,Ram,Male,30
Houston,Summer,Chevrolet,Male,48
Houston,Fall,Subaru,Female,23
Chicago,Summer,Ram,Female,56
Houston,Spring,Nissan,Female,71
Phoenix,Winter,GMC,Female,41
NYC,Winter,Honda,Male,33
Philladephia,Fall,Hyundai,Male,20
Chicago,Winter,Toyota,Female,57
San Antonio,Winter,Nissan,Male,55
Austin,Fall,Chevrolet,Male,74
San Diego,Fall,Ford,Female,28
San Diego,Winter,Jeep,Female,59
LA,Winter,Ram,Female,46
NYC,Spring,Jeep,Female,48
Columbus,Winter,Nissan,Female,57
Phoenix,Winter,Ram,Female,71
San Diego,Fall,Kia,Female,56
NYC,Fall,Chevrolet,Male,65
NYC,Spring,Nissan,Male,65
Columbus,Summer,Jeep,Female,53
Columbus,Summer,Honda,Male,32
Columbus,Winter,Ford,Male,26
Austin,Summer,Chevrolet,Male,51
Seattle,Winter,Ram,Female,44
Houston,Spring,Subaru,Male,61
Philladephia,Spring,Toyota,Female,56
Austin,Summer,Chevrolet,Female,80
San Antonio,Spring,Subaru,Male,36
NYC,Winter,Toyota,Male,73
Philladephia,Fall,Kia,Female,39
San Diego,Winter,Chevrolet,Male,57
San Antonio,Summer,Hyundai,Male,42
San Diego,Fall,Jeep,Female,22
Austin,Winter,Ram,Female,56
Chicago,Fall,Hyundai,Male,25
San Antonio,Winter,Jeep,Female,32
Columbus,Winter,Ford,Female,36
Austin,Summer,GMC,Male,62
Philladephia,Summer,Subaru,Male,23
Chicago,Winter,Ford,Male,49
Philladephia,Spring,Chevrolet,Female,40
Austin,Summer,Nissan,Female,79
NYC,Summer,Honda,Female,65
Houston,Fall,Toyota,Female,23
LA,Summer,Honda,Female,73
Seattle,Fall,Jeep,Male,75
Austin,Fall,Ram,Female,52
San Antonio,Winter,Nissan,Female,49
LA,Fall,GMC,Female,75
NYC,Spring,GMC,Female,65
San Diego,Winter,Ram,Female,52
LA,Summer,Ford,Male,36
Philladephia,Spring,Kia,Male,29
Chicago,Winter,Jeep,Female,70
Austin,Summer,Ford,Female,58
LA,Summer,Kia,Male,69
Houston,Winter,Toyota,Male,64
NYC,Spring,Jeep,Female,66
Houston,Winter,Hyundai,Female,73
San Diego,Winter,Jeep,Female,36
Houston,Fall,Kia,Female,47
Columbus,Winter,Jeep,Male,33
NYC,Summer,Ram,Male,29
San Antonio,Summer,Kia,Male,63
Philladephia,Winter,Subaru,Male,74
Philladephia,Summer,Ram,Male,46
NYC,Summer,Kia,Male,79
NYC,Winter,Subaru,Male,19
LA,Summer,Chevrolet,Male,75
Austin,Summer,Kia,Female,49
Seattle,Winter,Subaru,Female,65
Seattle,Winter,Honda,Female,46
Austin,Fall,Ford,Female,34
Phoenix,Spring,Subaru,Male,56
NYC,Winter,Ram,Male,28
LA,Spring,Honda,Male,39
NYC,Fall,Ram,Female,62
Columbus,Winter,GMC,Male,56
Philladephia,Winter,Ford,Male,48
Houston,Fall,Subaru,Male,28
Houston,Spring,Subaru,Male,61
Houston,Spring,Honda,Male,65
San Diego,Winter,Chevrolet,Female,29
Philladephia,Summer,Subaru,Male,36
San Antonio,Spring,Honda,Male,48
NYC,Spring,Ford,Female,73
Austin,Fall,Hyundai,Male,57
Columbus,Summer,Chevrolet,Male,73
Seattle,Winter,Ford,Female,61
LA,Winter,Toyota,Male,27
Houston,Fall,Kia,Female,55
San Diego,Spring,Nissan,Female,45
Philladephia,Spring,Chevrolet,Male,53
Philladephia,Winter,Toyota,Female,35
LA,Fall,Ram,Male,26
Austin,Summer,GMC,Male,53
San Antonio,Winter,Toyota,Female,22
Chicago,Winter,GMC,Male,72
San Antonio,Fall,GMC,Female,43
Columbus,Spring,Jeep,Female,29
Columbus,Spring,Kia,Male,68
San Diego,Spring,Chevrolet,Female,35
Seattle,Winter,Honda,Male,45
Chicago,Spring,GMC,Male,66
Houston,Summer,Hyundai,Male,75
Philladephia,Fall,Subaru,Female,52
San Diego,Spring,Honda,Female,37
NYC,Summer,Ram,Male,69
Austin,Summer,Kia,Female,19
Chicago,Summer,Ford,Male,45
Houston,Fall,Kia,Male,59
Austin,Winter,Toyota,Male,53
Chicago,Winter,Kia,Male,75
Seattle,Fall,Ram,Male,48
Philladephia,Winter,Honda,Male,62
Austin,Fall,Subaru,Female,75
San Antonio,Fall,Nissan,Female,37
Chicago,Winter,Kia,Male,29
NYC,Spring,Nissan,Male,50
San Diego,Winter,Ram,Male,46
Phoenix,Winter,GMC,Female,55
San Antonio,Summer,Ram,Female,25
LA,Fall,GMC,Female,55
Phoenix,Winter,Chevrolet,Female,39
Philladephia,Spring,Honda,Female,69
San Antonio,Fall,Toyota,Male,44
San Diego,Fall,Hyundai,Male,73
Columbus,Winter,Kia,Male,57
Houston,Spring,Nissan,Female,68
Philladephia,Fall,Toyota,Female,64
San Diego,Summer,Nissan,Male,55
San Antonio,Spring,Nissan,Male,48
Philladephia,Winter,Ford,Female,28
Chicago,Spring,Honda,Female,77
San Diego,Summer,Honda,Male,63
Austin,Winter,GMC,Male,54
LA,Winter,Kia,Male,73
LA,Spring,Toyota,Male,58
Columbus,Fall,Honda,Male,69
San Diego,Fall,Ram,Male,46
Philladephia,Spring,Chevrolet,Male,47
LA,Winter,Jeep,Female,79
San Diego,Fall,GMC,Female,64
Seattle,Winter,Ford,Female,50
Austin,Fall,Honda,Female,34
Seattle,Spring,Honda,Female,29
LA,Summer,Kia,Male,38
Seattle,Spring,Nissan,Female,76
Chicago,Spring,Kia,Female,63
Seattle,Summer,Hyundai,Female,27
San Antonio,Spring,Chevrolet,Female,42
Austin,Summer,Hyundai,Female,70
San Diego,Fall,Subaru,Female,26
San Diego,Winter,Ford,Female,63
NYC,Summer,Ford,Male,80
Phoenix,Fall,Jeep,Male,74
Austin,Spring,Chevrolet,Male,29
NYC,Spring,GMC,Female,61
Austin,Summer,Subaru,Male,62
San Antonio,Spring,GMC,Female,48
NYC,Spring,Kia,Female,38
Chicago,Summer,Hyundai,Male,37
San Diego,Spring,Honda,Male,80
LA,Spring,Kia,Female,54
Philladephia,Summer,GMC,Female,66
Philladephia,Fall,Hyundai,Male,76
San Diego,Fall,Jeep,Female,67
Philladephia,Fall,Chevrolet,Female,25
Columbus,Spring,Chevrolet,Female,71
Houston,Winter,Toyota,Male,30
San Diego,Summer,Hyundai,Female,46
San Antonio,Summer,Toyota,Male,54
Houston,Spring,Subaru,Male,20
Philladephia,Spring,GMC,Male,65
Columbus,Fall,Jeep,Male,19
Seattle,Fall,Kia,Female,63
Phoenix,Fall,Ram,Male,51
Philladephia,Summer,Hyundai,Male,51
Phoenix,Summer,Jeep,Female,43
Columbus,Winter,Kia,Male,48
Phoenix,Fall,Hyundai,Male,61
Austin,Spring,Kia,Male,36
Columbus,Winter,Ram,Female,60
Houston,Summer,Honda,Female,70
Seattle,Fall,Toyota,Female,37
Chicago,Summer,Hyundai,Female,28
Seattle,Winter,Chevrolet,Male,73
Seattle,Summer,GMC,Male,34
Philladephia,Summer,GMC,Male,31
LA,Summer,GMC,Female,76
Houston,Spring,Toyota,Female,66
NYC,Fall,Chevrolet,Female,27
NYC,Summer,Subaru,Male,67
Austin,Summer,Chevrolet,Female,67
Houston,Spring,GMC,Female,21
Philladephia,Fall,Nissan,Male,80
NYC,Spring,Ford,Female,51
Columbus,Winter,Hyundai,Female,25
Houston,Summer,Honda,Male,28
Phoenix,Summer,Chevrolet,Male,22
Houston,Winter,Nissan,Male,28
Chicago,Winter,Subaru,Male,64
Philladephia,Fall,Jeep,Male,39
San Antonio,Winter,Subaru,Male,34
Austin,Winter,Subaru,Female,34
Houston,Summer,Nissan,Male,77
Phoenix,Winter,Kia,Male,58
Seattle,Fall,Nissan,Female,42
Columbus,Winter,Kia,Female,41
LA,Winter,Toyota,Male,80
Philladephia,Fall,Jeep,Female,38
Chicago,Summer,Nissan,Male,27
Phoenix,Fall,Toyota,Male,64
Seattle,Spring,GMC,Male,53
Phoenix,Winter,Kia,Male,50
LA,Winter,Honda,Female,49
LA,Spring,Kia,Female,61
LA,Summer,GMC,Female,41
Phoenix,Winter,Chevrolet,Male,35
NYC,Summer,Kia,Male,34
Seattle,Spring,Ram,Male,77
Philladephia,Summer,Kia,Male,64
Philladephia,Winter,GMC,Male,19
Phoenix,Summer,Honda,Female,64
Austin,Winter,Toyota,Female,48
Philladephia,Fall,GMC,Female,75
LA,Fall,Hyundai,Male,41
Houston,Fall,Hyundai,Female,67
Phoenix,Fall,Hyundai,Male,70
Austin,Fall,Ford,Female,43
LA,Winter,Kia,Male,26
Phoenix,Winter,Honda,Female,20
San Diego,Summer,Honda,Male,63
Chicago,Fall,Honda,Male,74
San Antonio,Fall,Toyota,Female,20
Houston,Summer,Ram,Male,68
San Diego,Winter,Toyota,Female,24
San Diego,Fall,Kia,Female,65
San Antonio,Fall,Jeep,Male,35
NYC,Fall,Subaru,Female,45
Phoenix,Summer,GMC,Male,30
LA,Winter,Subaru,Female,67
LA,Winter,Toyota,Female,37
Phoenix,Summer,Ram,Male,32
San Antonio,Winter,Hyundai,Male,28
Austin,Summer,Ram,Female,56
Columbus,Winter,Honda,Male,33
LA,Spring,Chevrolet,Male,46
Houston,Winter,Ford,Male,34
Philladephia,Spring,Chevrolet,Male,23
San Diego,Fall,Honda,Female,23
Chicago,Spring,GMC,Female,52
San Diego,Fall,Jeep,Male,78
Austin,Spring,Ram,Female,65
Columbus,Winter,Jeep,Female,21
Houston,Summer,Chevrolet,Female,79
Chicago,Summer,Hyundai,Female,79
Philladephia,Winter,Subaru,Male,27
Philladephia,Fall,GMC,Male,56
Seattle,Fall,Ford,Male,63
Chicago,Spring,Chevrolet,Male,51
Philladephia,Spring,Kia,Female,21
Philladephia,Fall,Hyundai,Male,59
San Diego,Summer,Honda,Female,44
Chicago,Winter,Kia,Female,55
Austin,Summer,Kia,Male,44
Chicago,Fall,GMC,Male,19
Chicago,Summer,GMC,Female,33
Phoenix,Winter,Ram,Female,73
LA,Fall,Toyota,Male,20
Philladephia,Summer,Jeep,Male,32
San Antonio,Spring,Subaru,Male,30
Houston,Fall,GMC,Female,44
Chicago,Spring,Hyundai,Male,32
San Diego,Summer,Subaru,Male,45
Phoenix,Fall,Jeep,Male,26
Chicago,Spring,Jeep,Male,74
Chicago,Spring,Jeep,Male,47
NYC,Summer,GMC,Male,73
Philladephia,Winter,Kia,Male,71
Phoenix,Fall,Hyundai,Female,51
LA,Summer,Jeep,Female,72
Houston,Summer,Chevrolet,Male,20
Houston,Winter,Honda,Female,56
Austin,Summer,Toyota,Female,49
Austin,Fall,Nissan,Female,22
NYC,Fall,Toyota,Female,22
Seattle,Summer,Hyundai,Male,30
San Antonio,Winter,Nissan,Male,55
Chicago,Summer,Nissan,Male,46
NYC,Winter,Honda,Female,35
Phoenix,Winter,Jeep,Male,80
Phoenix,Fall,Ram,Female,50
Austin,Fall,Jeep,Male,24
NYC,Spring,Subaru,Female,39
Philladephia,Summer,Toyota,Female,38
Phoenix,Spring,Toyota,Male,34
Seattle,Fall,Nissan,Male,38
Philladephia,Fall,Chevrolet,Male,50
San Diego,Summer,Nissan,Male,61
NYC,Spring,Ram,Female,35
Seattle,Summer,Subaru,Female,53
Phoenix,Winter,Toyota,Female,49
LA,Winter,Kia,Male,75
San Diego,Winter,Nissan,Male,71
NYC,Fall,Honda,Female,76
Houston,Fall,GMC,Male,32
Columbus,Summer,Nissan,Female,20
NYC,Spring,GMC,Female,41
Houston,Winter,Subaru,Male,51
Columbus,Winter,Chevrolet,Female,32
Houston,Spring,Hyundai,Female,18
San Antonio,Winter,Ram,Female,65
LA,Winter,Chevrolet,Male,21
Philladephia,Spring,GMC,Female,54
Austin,Winter,Kia,Male,58
Philladephia,Summer,Kia,Male,63
Columbus,Summer,Nissan,Female,62
Houston,Winter,Nissan,Male,68
Chicago,Summer,Ford,Male,37
Houston,Spring,Hyundai,Female,33
NYC,Spring,Honda,Male,78
San Antonio,Spring,Ram,Male,47
Seattle,Summer,Ford,Male,79
Philladephia,Spring,Honda,Female,70
Philladephia,Winter,Toyota,Female,28
LA,Spring,Ford,Male,23
Phoenix,Summer,Hyundai,Female,77
NYC,Winter,Jeep,Male,45
Seattle,Winter,GMC,Female,30
Phoenix,Winter,Hyundai,Male,46
Philladephia,Summer,Subaru,Male,71
Austin,Fall,GMC,Male,54
San Antonio,Winter,Nissan,Male,32
Chicago,Summer,Toyota,Male,43
Philladephia,Fall,Toyota,Female,49
Columbus,Fall,Toyota,Female,71
San Diego,Winter,Chevrolet,Female,27
Houston,Spring,Honda,Female,23
NYC,Summer,GMC,Female,73
San Antonio,Winter,Ram,Male,62
San Antonio,Summer,Chevrolet,Male,32
NYC,Fall,Jeep,Male,74
Phoenix,Fall,Toyota,Female,33
Philladephia,Winter,GMC,Male,25
San Antonio,Winter,Subaru,Male,24
Seattle,Fall,Ford,Male,40
Columbus,Summer,Kia,Female,58
San Diego,Winter,Honda,Male,22
San Diego,Winter,Ram,Female,37
Seattle,Winter,Subaru,Male,59
Columbus,Summer,Jeep,Male,60
San Antonio,Summer,Ford,Male,56
Chicago,Summer,Hyundai,Male,75
Seattle,Winter,Ram,Male,39
San Diego,Fall,Ford,Female,26
Columbus,Winter,Nissan,Male,43
Seattle,Spring,Ford,Male,75
Chicago,Fall,Kia,Male,80
Houston,Fall,Ford,Male,33
Philladephia,Fall,GMC,Male,54
Philladephia,Fall,Chevrolet,Male,48
Philladephia,Fall,Toyota,Male,67
Austin,Summer,Chevrolet,Female,57
Austin,Fall,Kia,Male,79
Chicago,Spring,Honda,Female,23
San Diego,Fall,Kia,Male,48
Houston,Winter,Hyundai,Female,58
Houston,Winter,Subaru,Male,18
San Diego,Spring,Ram,Female,74
Columbus,Spring,Jeep,Male,43
NYC,Summer,Toyota,Male,29
Philladephia,Winter,Chevrolet,Female,63
San Antonio,Winter,Honda,Male,19
Seattle,Spring,Toyota,Female,56
San Antonio,Fall,Nissan,Female,35
Philladephia,Fall,Chevrolet,Male,51
Phoenix,Spring,GMC,Male,67
Seattle,Spring,Chevrolet,Female,23
NYC,Winter,Toyota,Female,55
LA,Fall,Ram,Male,60
San Diego,Spring,Ram,Male,32
San Diego,Winter,Chevrolet,Male,44
Columbus,Winter,Ford,Female,48
Phoenix,Fall,Nissan,Female,49
San Antonio,Winter,Ford,Male,55
LA,Summer,Hyundai,Female,42
LA,Winter,Subaru,Male,73
Philladephia,Fall,Jeep,Female,38
Chicago,Fall,Ford,Male,33
LA,Summer,Honda,Female,52
Columbus,Summer,Ford,Male,68
Columbus,Fall,Hyundai,Male,36
NYC,Fall,Honda,Male,21
Phoenix,Summer,GMC,Female,53
Columbus,Fall,Chevrolet,Male,65
LA,Spring,Subaru,Male,65
San Diego,Winter,Subaru,Female,33
