"Studentid","Attendance","Major","Questions","Score","Seniority","Texting","Grade"
"39636","64","Communication","Rarely","18","Junior","Rarely","Fail"
"39637","7","Cs","Always","7","Senior","Rarely","Fail"
"39638","100","Communication","Rarely","80","Freshman","Always","Pass"
"39639","4","Communication","Always","41","Senior","Always","Pass"
"39640","24","Cs","Rarely","20","Senior","Rarely","Fail"
"39641","92","Stat","Rarely","97","Senior","Always","Pass"
"39642","88","Stat","Always","69","Senior","Always","Pass"
"39643","69","Communication","Rarely","15","Freshman","Always","Pass"
"39644","86","Polsci","Rarely","56","Senior","Rarely","Pass"
"39645","81","Stat","Always","78","Senior","Always","Pass"
"39646","76","Cs","Rarely","100","Sophomore","Always","Pass"
"39647","58","Polsci","Rarely","100","Sophomore","Rarely","Pass"
"39648","3","Polsci","Always","81","Senior","Always","Pass"
"39649","67","Cs","Rarely","8","Sophomore","Always","Fail"
"39650","77","Cs","Always","31","Senior","Rarely","Fail"
"39651","42","Polsci","Always","12","Junior","Rarely","Pass"
"39652","7","Cs","Rarely","12","Senior","Always","Fail"
"39653","29","Cs","Rarely","87","Sophomore","Always","Pass"
"39654","54","Communication","Always","71","Senior","Always","Pass"
"39655","54","Communication","Rarely","7","Senior","Rarely","Fail"
"39656","57","Stat","Rarely","63","Sophomore","Always","Pass"
"39657","71","Communication","Always","48","Junior","Rarely","Pass"
"39658","28","Polsci","Rarely","5","Freshman","Always","Fail"
"39659","9","Communication","Always","85","Junior","Always","Pass"
"39660","82","Polsci","Always","46","Freshman","Always","Fail"
"39661","74","Stat","Always","98","Senior","Always","Pass"
"39662","25","Communication","Rarely","50","Junior","Always","Pass"
"39663","24","Communication","Rarely","15","Freshman","Rarely","Fail"
"39664","33","Cs","Always","66","Freshman","Rarely","Pass"
"39665","30","Communication","Always","32","Junior","Rarely","Fail"
"39666","87","Stat","Rarely","20","Freshman","Rarely","Pass"
"39667","94","Cs","Always","34","Sophomore","Always","Fail"
"39668","84","Communication","Rarely","14","Freshman","Rarely","Fail"
"39669","85","Polsci","Always","32","Freshman","Rarely","Pass"
"39670","34","Polsci","Rarely","5","Sophomore","Always","Fail"
"39671","30","Polsci","Rarely","29","Junior","Always","Fail"
"39672","20","Cs","Always","6","Senior","Rarely","Fail"
"39673","20","Cs","Rarely","67","Freshman","Rarely","Pass"
"39674","50","Stat","Always","68","Sophomore","Always","Pass"
"39675","56","Polsci","Always","26","Freshman","Always","Pass"
"39676","43","Stat","Rarely","37","Junior","Rarely","Fail"
"39677","65","Polsci","Always","6","Junior","Always","Pass"
"39678","23","Polsci","Rarely","73","Junior","Rarely","Pass"
"39679","33","Communication","Always","16","Senior","Rarely","Fail"
"39680","100","Cs","Always","60","Junior","Rarely","Fail"
"39681","36","Communication","Rarely","65","Sophomore","Always","Pass"
"39682","30","Communication","Always","16","Junior","Rarely","Fail"
"39683","47","Cs","Rarely","32","Freshman","Always","Fail"
"39684","59","Stat","Always","22","Junior","Always","Pass"
"39685","100","Polsci","Always","10","Freshman","Always","Pass"
"39686","18","Cs","Always","8","Junior","Always","Fail"
"39687","47","Communication","Always","48","Junior","Always","Pass"
"39688","45","Polsci","Always","65","Junior","Always","Pass"
"39689","92","Communication","Always","84","Freshman","Rarely","Pass"
"39690","19","Polsci","Always","30","Junior","Always","Fail"
"39691","11","Cs","Always","89","Junior","Rarely","Pass"
"39692","33","Cs","Always","28","Sophomore","Rarely","Fail"
"39693","27","Polsci","Always","15","Senior","Rarely","Pass"
"39694","76","Stat","Always","96","Junior","Rarely","Pass"
"39695","40","Polsci","Rarely","10","Freshman","Rarely","Fail"
"39696","52","Stat","Always","10","Sophomore","Always","Fail"
"39697","78","Communication","Rarely","100","Sophomore","Always","Pass"
"39698","92","Communication","Always","51","Junior","Always","Pass"
"39699","80","Polsci","Always","71","Senior","Always","Pass"
"39700","81","Cs","Rarely","11","Junior","Always","Fail"
"39701","42","Communication","Rarely","68","Senior","Rarely","Pass"
"39702","60","Communication","Rarely","75","Freshman","Rarely","Pass"
"39703","42","Cs","Rarely","57","Junior","Rarely","Fail"
"39704","81","Cs","Rarely","49","Senior","Rarely","Fail"
"39705","28","Cs","Always","44","Freshman","Always","Fail"
"39706","12","Polsci","Rarely","26","Freshman","Always","Fail"
"39707","46","Cs","Always","21","Sophomore","Always","Fail"
"39708","85","Communication","Rarely","38","Freshman","Rarely","Fail"
"39709","23","Polsci","Always","39","Senior","Always","Fail"
"39710","81","Polsci","Always","53","Freshman","Always","Pass"
"39711","32","Stat","Rarely","79","Freshman","Always","Pass"
"39712","29","Communication","Rarely","61","Senior","Rarely","Pass"
"39713","71","Cs","Always","59","Freshman","Rarely","Pass"
"39714","46","Cs","Rarely","5","Freshman","Always","Fail"
"39715","77","Stat","Always","16","Sophomore","Always","Pass"
"39716","36","Polsci","Always","77","Junior","Always","Pass"
"39717","91","Communication","Rarely","31","Senior","Rarely","Pass"
"39718","84","Polsci","Rarely","85","Senior","Always","Pass"
"39719","94","Stat","Rarely","57","Sophomore","Always","Pass"
"39720","98","Communication","Always","11","Senior","Rarely","Fail"
"39721","64","Communication","Always","41","Freshman","Rarely","Pass"
"39722","55","Stat","Rarely","39","Senior","Rarely","Pass"
"39723","43","Cs","Always","23","Junior","Rarely","Fail"
"39724","88","Cs","Always","18","Freshman","Rarely","Fail"
"39725","23","Polsci","Always","79","Sophomore","Rarely","Pass"
"39726","36","Communication","Always","91","Freshman","Always","Pass"
"39727","25","Communication","Rarely","23","Sophomore","Always","Fail"
"39728","39","Stat","Rarely","28","Junior","Always","Fail"
"39729","26","Communication","Rarely","24","Junior","Rarely","Fail"
"39730","25","Polsci","Always","54","Sophomore","Rarely","Pass"
"39731","17","Cs","Always","84","Sophomore","Rarely","Pass"
"39732","3","Polsci","Always","84","Freshman","Always","Pass"
"39733","80","Stat","Rarely","57","Senior","Always","Fail"
"39734","19","Communication","Rarely","84","Sophomore","Rarely","Pass"
"39735","37","Communication","Rarely","6","Senior","Rarely","Fail"
"39736","16","Cs","Always","21","Freshman","Always","Fail"
"39737","41","Stat","Rarely","6","Sophomore","Rarely","Fail"
"39738","79","Communication","Rarely","70","Freshman","Rarely","Pass"
"39739","27","Cs","Always","3","Freshman","Rarely","Fail"
"39740","12","Cs","Always","100","Sophomore","Rarely","Pass"
"39741","58","Cs","Always","36","Sophomore","Rarely","Fail"
"39742","95","Stat","Rarely","66","Freshman","Rarely","Pass"
"39743","39","Polsci","Rarely","15","Sophomore","Rarely","Fail"
"39744","60","Stat","Rarely","63","Freshman","Always","Pass"
"39745","24","Cs","Rarely","55","Sophomore","Rarely","Pass"
"39746","12","Stat","Rarely","57","Sophomore","Always","Fail"
"39747","1","Communication","Always","70","Freshman","Rarely","Fail"
"39748","74","Communication","Rarely","33","Senior","Rarely","Fail"
"39749","9","Cs","Rarely","8","Freshman","Rarely","Fail"
"39750","35","Stat","Rarely","62","Junior","Rarely","Pass"
"39751","82","Communication","Always","97","Senior","Always","Pass"
"39752","65","Cs","Rarely","89","Senior","Rarely","Pass"
"39753","46","Cs","Always","0","Senior","Always","Fail"
"39754","80","Communication","Rarely","10","Freshman","Always","Pass"
"39755","71","Stat","Rarely","12","Sophomore","Always","Pass"
"39756","0","Communication","Always","23","Senior","Rarely","Fail"
"39757","100","Polsci","Rarely","27","Freshman","Rarely","Fail"
"39758","82","Communication","Always","15","Freshman","Always","Pass"
"39759","83","Polsci","Rarely","9","Freshman","Rarely","Fail"
"39760","31","Stat","Always","57","Senior","Rarely","Fail"
"39761","27","Stat","Always","12","Sophomore","Always","Fail"
"39762","83","Polsci","Always","0","Sophomore","Always","Fail"
"39763","4","Polsci","Always","61","Freshman","Rarely","Pass"
"39764","57","Cs","Always","64","Junior","Rarely","Fail"
"39765","8","Communication","Rarely","80","Freshman","Rarely","Pass"
"39766","42","Polsci","Rarely","84","Sophomore","Rarely","Fail"
"39767","64","Stat","Always","22","Freshman","Always","Pass"
"39768","49","Communication","Rarely","39","Senior","Rarely","Fail"
"39769","42","Stat","Always","12","Freshman","Rarely","Pass"
"39770","16","Polsci","Always","37","Senior","Rarely","Pass"
"39771","86","Communication","Always","62","Senior","Rarely","Pass"
"39772","67","Cs","Rarely","27","Junior","Always","Fail"
"39773","42","Communication","Always","66","Senior","Rarely","Pass"
"39774","48","Cs","Rarely","37","Junior","Always","Pass"
"39775","70","Cs","Always","87","Freshman","Always","Pass"
"39776","55","Stat","Rarely","23","Senior","Always","Pass"
"39777","84","Cs","Always","87","Freshman","Rarely","Pass"
"39778","35","Stat","Rarely","40","Freshman","Rarely","Pass"
"39779","98","Stat","Rarely","77","Junior","Rarely","Pass"
"39780","35","Polsci","Always","0","Senior","Always","Pass"
"39781","38","Stat","Rarely","16","Sophomore","Rarely","Pass"
"39782","55","Polsci","Rarely","83","Junior","Rarely","Pass"
"39783","56","Polsci","Rarely","70","Sophomore","Rarely","Pass"
"39784","62","Communication","Always","100","Senior","Always","Pass"
"39785","99","Polsci","Rarely","39","Sophomore","Always","Fail"
"39786","32","Cs","Always","61","Senior","Always","Fail"
"39787","43","Polsci","Rarely","18","Junior","Always","Fail"
"39788","58","Cs","Rarely","26","Sophomore","Always","Fail"
"39789","10","Communication","Rarely","38","Junior","Always","Fail"
"39790","58","Polsci","Always","29","Freshman","Rarely","Fail"
"39791","68","Stat","Rarely","70","Sophomore","Rarely","Pass"
"39792","92","Stat","Always","46","Freshman","Rarely","Fail"
"39793","36","Stat","Rarely","59","Sophomore","Always","Fail"
"39794","95","Communication","Always","69","Freshman","Rarely","Pass"
"39795","83","Communication","Rarely","22","Sophomore","Rarely","Fail"
"39796","33","Polsci","Rarely","70","Junior","Rarely","Pass"
"39797","6","Communication","Always","65","Freshman","Rarely","Pass"
"39798","15","Communication","Always","76","Sophomore","Always","Pass"
"39799","48","Cs","Rarely","6","Freshman","Rarely","Fail"
"39800","2","Cs","Always","42","Senior","Rarely","Fail"
"39801","67","Cs","Always","93","Sophomore","Always","Pass"
"39802","10","Cs","Always","49","Freshman","Always","Fail"
"39803","100","Cs","Always","35","Junior","Always","Fail"
"39804","83","Cs","Always","67","Junior","Always","Pass"
"39805","46","Polsci","Rarely","54","Freshman","Always","Pass"
"39806","47","Stat","Always","23","Senior","Always","Pass"
"39807","12","Communication","Always","58","Senior","Always","Pass"
"39808","86","Cs","Always","96","Freshman","Always","Pass"
"39809","16","Communication","Rarely","36","Senior","Rarely","Fail"
"39810","73","Communication","Always","8","Junior","Always","Fail"
"39811","48","Cs","Always","6","Freshman","Always","Fail"
"39812","39","Polsci","Always","81","Senior","Rarely","Pass"
"39813","64","Communication","Always","88","Senior","Always","Pass"
"39814","11","Communication","Rarely","56","Junior","Always","Pass"
"39815","46","Stat","Rarely","21","Freshman","Always","Pass"
"39816","72","Stat","Always","40","Senior","Rarely","Pass"
"39817","57","Stat","Always","76","Sophomore","Always","Pass"
"39818","25","Stat","Rarely","0","Freshman","Rarely","Fail"
"39819","37","Stat","Rarely","96","Sophomore","Rarely","Pass"
"39820","91","Stat","Always","74","Freshman","Always","Pass"
"39821","96","Stat","Rarely","47","Sophomore","Rarely","Pass"
"39822","82","Stat","Always","54","Sophomore","Rarely","Fail"
"39823","68","Polsci","Rarely","96","Freshman","Always","Pass"
"39824","77","Cs","Always","4","Sophomore","Rarely","Fail"
"39825","55","Polsci","Always","95","Junior","Rarely","Pass"
"39826","81","Cs","Always","18","Senior","Rarely","Fail"
"39827","86","Stat","Rarely","37","Freshman","Always","Fail"
"39828","13","Communication","Rarely","57","Freshman","Rarely","Fail"
"39829","62","Communication","Always","16","Senior","Always","Fail"
"39830","29","Communication","Rarely","99","Senior","Always","Pass"
"39831","87","Communication","Always","79","Sophomore","Always","Pass"
"39832","86","Cs","Rarely","20","Freshman","Rarely","Fail"
"39833","26","Cs","Rarely","40","Sophomore","Rarely","Fail"
"39834","33","Communication","Rarely","76","Senior","Rarely","Pass"
"39835","60","Communication","Rarely","97","Senior","Rarely","Fail"
"39836","88","Stat","Rarely","2","Sophomore","Rarely","Pass"
"39837","40","Polsci","Rarely","89","Junior","Rarely","Pass"
"39838","48","Stat","Always","25","Freshman","Rarely","Pass"
"39839","70","Stat","Always","96","Senior","Always","Pass"
"39840","34","Stat","Always","58","Sophomore","Always","Fail"
"39841","3","Polsci","Rarely","0","Sophomore","Rarely","Fail"
"39842","19","Communication","Always","39","Sophomore","Rarely","Fail"
"39843","46","Polsci","Rarely","7","Sophomore","Always","Fail"
"39844","94","Stat","Always","23","Junior","Rarely","Fail"
"39845","38","Stat","Rarely","41","Freshman","Rarely","Fail"
"39846","16","Polsci","Rarely","36","Senior","Always","Fail"
"39847","21","Stat","Always","20","Junior","Always","Pass"
"39848","56","Cs","Rarely","96","Sophomore","Always","Pass"
"39849","7","Cs","Always","69","Freshman","Always","Pass"
"39850","52","Polsci","Always","41","Freshman","Always","Pass"
"39851","99","Polsci","Always","21","Junior","Rarely","Pass"
"39852","54","Stat","Rarely","37","Senior","Rarely","Fail"
"39853","22","Polsci","Rarely","86","Freshman","Rarely","Pass"
"39854","17","Cs","Always","93","Senior","Rarely","Pass"
"39855","59","Stat","Rarely","23","Junior","Always","Pass"
"39856","6","Stat","Rarely","46","Senior","Rarely","Pass"
"39857","70","Polsci","Always","97","Junior","Rarely","Pass"
"39858","37","Polsci","Rarely","33","Junior","Rarely","Fail"
"39859","60","Cs","Rarely","41","Sophomore","Always","Fail"
"39860","50","Polsci","Always","29","Senior","Rarely","Pass"
"39861","64","Polsci","Rarely","30","Senior","Always","Fail"
"39862","0","Stat","Rarely","10","Sophomore","Rarely","Pass"
"39863","35","Stat","Always","60","Senior","Always","Pass"
"39864","47","Stat","Always","26","Junior","Rarely","Pass"
"39865","33","Communication","Rarely","40","Sophomore","Always","Pass"
"39866","9","Communication","Always","22","Sophomore","Always","Fail"
"39867","92","Cs","Always","48","Freshman","Rarely","Pass"
"39868","10","Cs","Always","28","Sophomore","Always","Fail"
"39869","25","Polsci","Always","56","Sophomore","Rarely","Pass"
"39870","7","Communication","Always","29","Junior","Always","Pass"
"39871","64","Cs","Always","83","Junior","Always","Pass"
"39872","37","Stat","Always","92","Freshman","Always","Pass"
"39873","43","Stat","Always","79","Senior","Rarely","Pass"
"39874","44","Stat","Rarely","43","Senior","Rarely","Fail"
"39875","36","Stat","Always","97","Junior","Rarely","Pass"
"39876","76","Communication","Rarely","75","Senior","Rarely","Pass"
"39877","47","Cs","Always","6","Sophomore","Rarely","Fail"
"39878","76","Communication","Rarely","43","Freshman","Always","Pass"
"39879","27","Communication","Rarely","54","Senior","Always","Pass"
"39880","97","Cs","Always","63","Junior","Always","Fail"
"39881","95","Cs","Rarely","40","Sophomore","Rarely","Fail"
"39882","31","Cs","Rarely","36","Junior","Rarely","Pass"
"39883","93","Communication","Rarely","7","Sophomore","Always","Pass"
"39884","89","Stat","Always","70","Freshman","Always","Pass"
"39885","77","Cs","Rarely","24","Freshman","Always","Fail"
"39886","14","Communication","Rarely","68","Junior","Always","Pass"
"39887","25","Cs","Rarely","25","Sophomore","Rarely","Fail"
"39888","99","Cs","Rarely","3","Junior","Rarely","Fail"
"39889","20","Stat","Always","16","Senior","Always","Pass"
"39890","3","Communication","Always","86","Sophomore","Rarely","Pass"
"39891","74","Communication","Rarely","48","Sophomore","Always","Pass"
"39892","4","Cs","Rarely","31","Junior","Rarely","Fail"
"39893","36","Polsci","Always","48","Senior","Rarely","Pass"
"39894","21","Polsci","Always","99","Sophomore","Always","Pass"
"39895","71","Stat","Rarely","6","Senior","Rarely","Pass"
"39896","0","Communication","Always","90","Senior","Rarely","Pass"
"39897","45","Polsci","Rarely","12","Freshman","Always","Fail"
"39898","69","Stat","Always","71","Junior","Always","Pass"
"39899","58","Stat","Always","28","Senior","Rarely","Fail"
"39900","2","Stat","Rarely","67","Senior","Rarely","Pass"
"39901","73","Cs","Rarely","17","Senior","Rarely","Fail"
"39902","17","Communication","Rarely","42","Freshman","Always","Pass"
"39903","10","Stat","Always","34","Freshman","Always","Fail"
"39904","48","Polsci","Rarely","39","Senior","Rarely","Fail"
"39905","97","Polsci","Rarely","87","Sophomore","Always","Pass"
"39906","65","Cs","Rarely","19","Freshman","Rarely","Fail"
"39907","28","Communication","Rarely","36","Senior","Rarely","Fail"
"39908","81","Polsci","Rarely","44","Freshman","Rarely","Fail"
"39909","42","Communication","Rarely","89","Sophomore","Rarely","Pass"
"39910","10","Polsci","Always","16","Senior","Always","Pass"
"39911","55","Polsci","Rarely","27","Sophomore","Always","Fail"
"39912","8","Communication","Rarely","46","Sophomore","Rarely","Pass"
"39913","11","Stat","Always","74","Junior","Always","Fail"
"39914","37","Polsci","Rarely","52","Senior","Rarely","Pass"
"39915","77","Polsci","Always","30","Junior","Always","Pass"
"39916","21","Communication","Rarely","57","Senior","Always","Pass"
"39917","35","Cs","Always","48","Junior","Always","Fail"
"39918","83","Stat","Always","74","Sophomore","Rarely","Pass"
"39919","99","Polsci","Rarely","83","Sophomore","Always","Pass"
"39920","62","Cs","Rarely","93","Freshman","Rarely","Pass"
"39921","89","Communication","Always","96","Freshman","Always","Pass"
"39922","82","Communication","Rarely","65","Junior","Rarely","Pass"
"39923","4","Communication","Always","91","Senior","Rarely","Pass"
"39924","93","Polsci","Always","31","Freshman","Rarely","Pass"
"39925","100","Communication","Always","27","Senior","Rarely","Fail"
"39926","39","Stat","Rarely","82","Senior","Always","Pass"
"39927","62","Stat","Rarely","61","Senior","Always","Pass"
"39928","86","Cs","Rarely","56","Senior","Rarely","Fail"
"39929","78","Cs","Rarely","83","Junior","Always","Pass"
"39930","13","Stat","Always","88","Senior","Always","Pass"
"39931","100","Communication","Rarely","54","Junior","Rarely","Pass"
"39932","100","Stat","Always","87","Junior","Rarely","Pass"
"39933","30","Communication","Rarely","90","Freshman","Rarely","Pass"
"39934","85","Communication","Rarely","96","Freshman","Rarely","Pass"
"39935","2","Cs","Rarely","25","Sophomore","Always","Fail"
"39936","50","Cs","Rarely","81","Junior","Rarely","Pass"
"39937","21","Communication","Always","9","Senior","Always","Fail"
"39938","7","Cs","Always","96","Freshman","Always","Pass"
"39939","54","Communication","Always","87","Freshman","Always","Pass"
"39940","11","Cs","Rarely","91","Freshman","Rarely","Pass"
"39941","4","Cs","Always","76","Freshman","Always","Pass"
"39942","63","Polsci","Always","39","Freshman","Rarely","Pass"
"39943","27","Polsci","Always","78","Sophomore","Rarely","Pass"
"39944","9","Cs","Rarely","6","Senior","Always","Fail"
"39945","32","Stat","Rarely","58","Senior","Rarely","Pass"
"39946","75","Stat","Always","67","Sophomore","Always","Pass"
"39947","49","Cs","Rarely","48","Sophomore","Always","Fail"
"39948","20","Cs","Always","10","Senior","Rarely","Fail"
"39949","92","Cs","Always","88","Sophomore","Always","Pass"
"39950","2","Communication","Rarely","65","Sophomore","Always","Pass"
"39951","80","Cs","Always","32","Junior","Rarely","Pass"
"39952","83","Communication","Always","89","Junior","Always","Pass"
"39953","54","Cs","Always","98","Freshman","Rarely","Pass"
"39954","79","Polsci","Always","42","Junior","Rarely","Fail"
"39955","40","Stat","Rarely","21","Sophomore","Rarely","Pass"
"39956","94","Stat","Always","21","Freshman","Rarely","Fail"
"39957","69","Communication","Rarely","45","Senior","Always","Pass"
"39958","28","Polsci","Rarely","50","Freshman","Always","Pass"
"39959","35","Communication","Always","88","Senior","Rarely","Pass"
"39960","55","Stat","Always","100","Junior","Always","Pass"
"39961","4","Communication","Always","45","Freshman","Always","Pass"
"39962","6","Polsci","Always","35","Sophomore","Always","Pass"
"39963","17","Polsci","Rarely","82","Senior","Always","Pass"
"39964","41","Polsci","Always","70","Junior","Rarely","Pass"
"39965","62","Polsci","Rarely","11","Freshman","Always","Fail"
"39966","63","Communication","Rarely","15","Junior","Always","Fail"
"39967","70","Cs","Rarely","100","Junior","Rarely","Pass"
"39968","83","Cs","Always","6","Senior","Always","Fail"
"39969","34","Communication","Always","81","Junior","Rarely","Pass"
"39970","61","Stat","Rarely","63","Junior","Rarely","Pass"
"39971","87","Stat","Rarely","14","Sophomore","Rarely","Pass"
"39972","57","Communication","Always","67","Senior","Always","Pass"
"39973","99","Polsci","Always","19","Junior","Always","Pass"
"39974","71","Communication","Rarely","34","Freshman","Rarely","Fail"
"39975","91","Cs","Rarely","5","Senior","Always","Fail"
"39976","58","Stat","Rarely","52","Senior","Rarely","Fail"
"39977","43","Cs","Rarely","100","Freshman","Rarely","Pass"
"39978","96","Stat","Rarely","97","Freshman","Always","Fail"
"39979","8","Stat","Always","83","Senior","Rarely","Pass"
"39980","95","Stat","Always","19","Senior","Rarely","Pass"
"39981","53","Polsci","Always","10","Sophomore","Rarely","Pass"
"39982","11","Communication","Rarely","28","Sophomore","Rarely","Fail"
"39983","96","Cs","Always","67","Freshman","Always","Pass"
"39984","25","Communication","Always","7","Sophomore","Always","Fail"
"39985","7","Cs","Always","45","Senior","Rarely","Fail"
"39986","60","Stat","Always","91","Junior","Always","Pass"
"39987","25","Cs","Always","48","Freshman","Rarely","Fail"
"39988","63","Cs","Rarely","99","Sophomore","Rarely","Pass"
"39989","93","Stat","Always","6","Sophomore","Rarely","Pass"
"39990","32","Polsci","Always","87","Freshman","Rarely","Pass"
"39991","94","Communication","Rarely","43","Senior","Rarely","Pass"
"39992","94","Cs","Rarely","42","Junior","Always","Fail"
"39993","92","Stat","Always","77","Senior","Rarely","Pass"
"39994","13","Cs","Rarely","32","Sophomore","Always","Fail"
"39995","0","Cs","Rarely","71","Senior","Always","Pass"
"39996","73","Polsci","Rarely","47","Sophomore","Always","Fail"
"39997","97","Communication","Always","80","Junior","Rarely","Pass"
"39998","57","Stat","Always","53","Senior","Always","Fail"
"39999","9","Polsci","Rarely","95","Sophomore","Always","Pass"
"40000","96","Communication","Always","47","Junior","Always","Pass"
"40001","31","Stat","Always","77","Sophomore","Always","Pass"
"40002","52","Cs","Always","24","Freshman","Rarely","Fail"
"40003","92","Communication","Rarely","71","Freshman","Always","Pass"
"40004","76","Cs","Rarely","36","Freshman","Always","Fail"
"40005","85","Stat","Always","91","Senior","Always","Pass"
"40006","96","Cs","Rarely","86","Senior","Rarely","Pass"
"40007","57","Cs","Always","48","Senior","Always","Fail"
"40008","96","Stat","Always","59","Junior","Always","Pass"
"40009","76","Communication","Rarely","38","Junior","Always","Pass"
"40010","89","Stat","Rarely","50","Junior","Rarely","Fail"
"40011","7","Stat","Rarely","54","Freshman","Always","Pass"
"40012","83","Cs","Rarely","42","Junior","Always","Pass"
"40013","91","Polsci","Always","36","Freshman","Always","Pass"
"40014","10","Communication","Rarely","58","Sophomore","Always","Pass"
"40015","21","Communication","Rarely","29","Junior","Always","Fail"
"40016","83","Communication","Rarely","58","Senior","Always","Pass"
"40017","85","Polsci","Always","76","Senior","Always","Pass"
"40018","2","Cs","Always","86","Senior","Always","Pass"
"40019","64","Cs","Rarely","4","Sophomore","Rarely","Fail"
"40020","47","Communication","Rarely","82","Senior","Always","Pass"
"40021","48","Cs","Rarely","0","Junior","Always","Fail"
"40022","86","Cs","Always","62","Senior","Always","Fail"
"40023","59","Communication","Rarely","58","Sophomore","Rarely","Fail"
"40024","35","Cs","Always","42","Sophomore","Always","Fail"
"40025","9","Polsci","Rarely","23","Senior","Always","Fail"
"40026","74","Polsci","Always","4","Freshman","Rarely","Pass"
"40027","99","Cs","Rarely","50","Sophomore","Always","Pass"
"40028","45","Communication","Always","95","Junior","Rarely","Pass"
"40029","66","Polsci","Always","48","Freshman","Rarely","Pass"
"40030","95","Communication","Always","45","Freshman","Rarely","Pass"
"40031","89","Communication","Always","71","Junior","Rarely","Pass"
"40032","31","Polsci","Always","43","Senior","Always","Fail"
"40033","53","Communication","Rarely","65","Junior","Rarely","Pass"
"40034","40","Communication","Always","25","Freshman","Rarely","Fail"
"40035","70","Polsci","Rarely","94","Junior","Rarely","Pass"
"40036","27","Stat","Rarely","96","Sophomore","Rarely","Pass"
"40037","5","Communication","Rarely","36","Sophomore","Rarely","Fail"
"40038","27","Stat","Rarely","77","Senior","Always","Fail"
