"SCORE","GRADE","DOZES_OFF","TEXTING_IN_CLASS","PARTICIPATION"
21.24,"F","sometimes","rarely",0.66
32.4,"D","sometimes","never",0.55
59.03,"C","always","never",0.139318632753566
40.2,"D","sometimes","rarely",0.03
73.49,"B","always","never",0.0496743964031339
61.24,"B","always","always",0.176751397922635
97.59,"A","always","always",0.291576367849484
69.36,"B","sometimes","rarely",0.69
39.33,"D","always","never",0.0777396391145885
65.65,"B","sometimes","never",0.71
5.45,"F","never","never",0.67
35.96,"D","always","rarely",0.10550300590694
20.07,"F","never","rarely",1
42.18,"D","always","always",0.00921119684353471
18.03,"F","sometimes","rarely",0.57
88.43,"A","sometimes","never",0.26
30.51,"F","never","rarely",0.12
41.34,"D","sometimes","always",0.19
54.47,"C","never","never",0.78
56.19,"C","sometimes","always",0.89
62.92,"C","never","rarely",0.34
13.74,"F","never","never",0.97
38.13,"D","sometimes","never",0.78
49.33,"D","never","rarely",0.07
70.74,"B","sometimes","never",0.66
52.34,"C","sometimes","rarely",0.96
62.82,"C","sometimes","rarely",0.37
10.9,"F","always","always",0.137009969120845
79.28,"B","always","rarely",0.187383088981733
28.37,"D","never","always",0.76
36.86,"D","sometimes","always",0.77
31.78,"D","never","never",0.82
38.81,"D","always","rarely",0.194534191116691
66.42,"C","always","never",0.113024005107582
73.49,"A","always","rarely",0.116987770050764
93.24,"A","always","always",0.276067512715235
26.53,"F","sometimes","always",0.46
81.2,"A","always","rarely",0.255480240564793
40.2,"D","sometimes","rarely",0.63
75.46,"B","always","never",0.126890921918675
23.86,"F","never","always",0.44
17.25,"F","always","always",0.0427687804214656
53.95,"D","sometimes","never",0.36
87.74,"A","always","always",0.205681446101517
60.53,"B","always","never",0.0516892720013857
60.73,"C","never","rarely",0.13
48.89,"D","never","never",0.29
64.97,"C","never","rarely",0.23
49.66,"D","sometimes","always",0.27
1.78,"F","always","rarely",0.024857478030026
67.28,"C","sometimes","rarely",0.39
6.82,"F","sometimes","never",0.86
46.23,"D","always","always",0.140458697639406
49.8,"D","always","always",0.11403351444751
13.67,"F","never","rarely",0.27
81.58,"B","never","always",0.32
42.28,"D","never","always",0.81
71.42,"B","sometimes","never",0.03
65.68,"C","never","never",0.43
74.68,"A","sometimes","rarely",1.05
72.62,"A","always","never",0.118294780142605
43.41,"D","sometimes","always",0.28
8.83,"F","always","always",0.181280093034729
67.15,"B","never","rarely",0.79
66,"B","sometimes","rarely",0.6
68.09,"B","always","always",0.0715626047924161
48.36,"C","never","rarely",0.68
9.87,"F","sometimes","rarely",0.61
30.11,"D","never","always",0.84
57.1,"C","sometimes","never",0.48
45.12,"C","never","rarely",0.87
46.92,"C","always","rarely",0.0861931306775659
85.55,"A","never","rarely",0.95
68.12,"B","sometimes","always",0.9
46.2,"D","sometimes","rarely",0.07
15.95,"F","always","always",0.0562466638628393
48.19,"C","always","rarely",0.0545101742260158
50.68,"D","always","rarely",0.182041941164061
42.73,"D","never","always",0.09
62.5,"C","sometimes","never",0.18
82.16,"A","never","always",0.91
87.74,"A","always","rarely",0.15981161147356
13.33,"F","sometimes","rarely",0.22
37.65,"D","sometimes","always",0.07
50.96,"C","always","never",0.194616746623069
61.2,"C","never","rarely",0.49
92.53,"A","sometimes","never",0.35
30.8,"F","sometimes","rarely",0.28
36.94,"D","always","rarely",0.122572694253176
87.21,"A","never","never",0.13
57.32,"C","always","never",0.0511363118886948
56.74,"C","always","always",0.0675430751871318
73.7,"A","always","never",0.116341460496187
22.17,"F","never","always",0.52
15.27,"F","always","never",0.0346769998781383
53.74,"C","sometimes","never",0.73
15.2,"F","sometimes","always",0.74
54.51,"C","sometimes","always",0.77
46.93,"C","always","rarely",0.0250748882070184
73.64,"A","sometimes","never",0.86
38.49,"D","always","always",0.0126008103601635
53.09,"D","never","rarely",0.32
12.39,"F","always","rarely",0.0176491591148078
52.87,"C","always","rarely",0.0236615262459964
33.57,"D","always","rarely",0.197509637475014
66.52,"B","never","rarely",0.81
97.84,"A","always","never",0.106442862283438
39.47,"D","always","rarely",0.0787118382751942
42.21,"D","sometimes","always",0.76
78.45,"B","always","always",0.0542629209812731
40.64,"D","sometimes","always",0.89
35.48,"D","sometimes","rarely",0.76
30.54,"D","sometimes","never",0.83
64.22,"B","sometimes","never",0.55
11.17,"F","always","rarely",0.0394040481653065
71.8,"B","never","always",0.59
24.52,"D","sometimes","never",0.69
26.03,"D","always","rarely",0.127686911728233
15.79,"F","never","always",0.24
30.03,"D","never","rarely",0.61
74.1,"A","always","always",0.144100369699299
4.24,"F","never","always",0.28
44.53,"D","always","rarely",0.0718264841008931
46.33,"C","sometimes","never",0.91
84.47,"A","always","always",0.282664531096816
58.99,"C","sometimes","never",0.29
21.48,"F","sometimes","never",0.57
71.44,"B","sometimes","always",0.47
96.13,"A","sometimes","rarely",0.39
41.75,"D","never","always",0.79
86.99,"A","sometimes","never",0.63
20.3,"F","sometimes","always",0.23
14.97,"F","sometimes","always",0.35
50.76,"D","never","rarely",0.35
18.8,"F","always","rarely",0.130896132439375
45.52,"C","always","rarely",0.0738719494082034
37.14,"D","always","never",0.103008003346622
79.39,"B","sometimes","rarely",0.24
12.93,"F","sometimes","never",0.69
22.66,"F","never","always",0.29
93.67,"A","always","never",0.271985411643982
81.28,"A","sometimes","always",0.63
51.08,"C","sometimes","never",0.54
21.2,"F","always","rarely",0.190949877724051
98.41,"A","never","never",0.15
42.45,"D","sometimes","always",0.44
37.33,"D","sometimes","always",0.17
56.82,"C","always","rarely",0.136724035255611
39.59,"D","sometimes","rarely",0.17
35.34,"D","never","never",0.39
47.15,"C","sometimes","never",0.86
34,"D","sometimes","never",0.28
52.63,"D","never","rarely",0.43
65.13,"C","sometimes","never",0.03
43.73,"D","sometimes","always",0.11
24.53,"F","always","always",0.128918209113181
13.94,"F","never","never",0.38
11.62,"F","never","never",0.48
40.58,"D","always","never",0.108498451160267
3.73,"F","sometimes","never",0.57
24.48,"F","always","never",0.163422923581675
43.91,"D","always","never",0.0885863269213587
8.26,"F","never","rarely",0.99
18.39,"F","never","rarely",0.5
66.41,"B","sometimes","never",0.64
59.27,"B","always","rarely",0.126247891457751
82.14,"A","sometimes","rarely",0.24
38.76,"D","sometimes","rarely",0.19
87.67,"A","sometimes","always",1.07
47.89,"C","never","rarely",0.79
55.11,"C","always","rarely",0.0801736086606979
73.38,"B","never","never",0.16
68.07,"B","sometimes","always",0.24
42.11,"D","sometimes","never",0.38
57.13,"C","never","never",0.4
53.61,"C","sometimes","always",0.78
84.86,"A","always","always",0.160649216733873
22.15,"F","sometimes","rarely",0.49
41.94,"D","never","always",0.21
36.96,"D","always","always",0.0749115025624633
17.99,"F","always","never",0.0143094510305673
51.09,"D","sometimes","always",0.26
11.21,"F","never","never",0.29
83.18,"A","sometimes","never",0.73
53.96,"C","always","always",0.0575288419611752
19.43,"F","never","rarely",0.28
70.96,"B","always","always",0.169337713485584
35.48,"D","sometimes","rarely",0.88
50.58,"C","always","always",0.175369772408158
95.89,"A","always","rarely",0.273821119312197
31.86,"F","sometimes","always",0.37
23.68,"D","never","never",0.74
85.88,"A","never","always",1.06
18.11,"F","never","always",0.21
54.08,"C","never","always",0.34
83.76,"A","never","always",0.85
92.57,"A","never","never",0.13
37.47,"D","always","rarely",0.15654444009997
77.51,"A","never","always",1
31.03,"D","always","always",0.155702153593302
29.62,"D","sometimes","never",0.88
91.9,"A","sometimes","rarely",0.3
68.83,"B","sometimes","always",0.9
80.8,"A","never","always",0.69
20.46,"F","always","rarely",0.188598084449768
29.38,"F","always","rarely",0.0506000950466841
21.31,"F","never","rarely",0.17
95.07,"A","sometimes","rarely",0.28
21.93,"F","sometimes","always",0.59
46.2,"C","always","always",0.076199043309316
53.95,"C","never","always",0.89
95.45,"A","never","never",0.52
31.87,"D","never","rarely",0.67
36.59,"D","always","always",0.0173789515625685
3.64,"F","sometimes","never",0.07
95.98,"A","never","always",0.7
69.98,"B","never","always",0.57
72.11,"B","always","always",0.0585114922840148
40.04,"D","always","never",0.0808112846221775
32.37,"D","always","always",0.102435810957104
22.69,"F","always","never",0.0887774419039488
81.6,"A","always","never",0.207947703963146
41.17,"D","sometimes","never",0.14
32.09,"D","never","always",0.83
52.82,"C","always","rarely",0.147334768297151
70.42,"A","always","always",0.109871886251494
98.62,"A","sometimes","rarely",0.74
84.79,"A","never","always",0.25
88.82,"A","sometimes","rarely",1
22.57,"F","always","rarely",0.0295379169750959
16.43,"F","sometimes","never",0.67
54.6,"C","sometimes","rarely",0.63
68.04,"B","always","never",0.137778666755185
19.36,"F","sometimes","never",0.95
49.79,"D","sometimes","always",0.19
8.14,"F","never","rarely",0.96
46.42,"C","never","always",0.69
54.47,"D","always","rarely",0.0722778780851513
54.86,"C","always","always",0.0415060388855636
40.28,"D","sometimes","never",0.87
47.07,"D","sometimes","always",0.19
74.42,"A","sometimes","never",0.84
56.78,"C","always","always",0.132462914520875
82.61,"A","sometimes","never",0.9
49.92,"D","sometimes","never",0.28
93.1,"A","sometimes","never",0.16
69.86,"B","always","always",0.170210497360677
30.12,"D","sometimes","always",0.62
61.02,"C","never","never",0.22
26.3,"F","always","always",0.06382936835289
56.69,"C","never","always",0.66
25.92,"F","sometimes","never",0.44
41.94,"D","never","always",0.73
38.06,"D","never","rarely",0.25
61.79,"B","always","rarely",0.14150696946308
9.61,"F","always","rarely",0.152185807097703
53.59,"C","never","never",0.03
88.5,"A","always","always",0.217719555320218
10.09,"F","never","never",0.4
62.3,"C","never","rarely",0.01
98.28,"A","never","rarely",0.99
80.58,"A","always","always",0.106246217945591
60.49,"B","sometimes","rarely",0.97
43.66,"C","sometimes","never",0.95
46.54,"D","sometimes","never",0.09
36.76,"D","never","always",0.94
16.43,"F","sometimes","rarely",0.55
53.48,"C","sometimes","never",0.81
26.15,"F","sometimes","never",0.27
81.21,"A","always","always",0.109115350339562
16.68,"F","never","never",0.01
9.3,"F","never","always",0.27
28.7,"F","always","never",0.127563731838018
18.58,"F","sometimes","rarely",0.81
60.39,"C","always","rarely",0.199629338691011
95.62,"A","never","never",0.86
27.23,"D","always","rarely",0.00452630957588553
28.65,"F","always","always",0.0723733767401427
32.86,"D","sometimes","never",0.93
49.55,"C","sometimes","never",0.84
58.7,"C","never","rarely",0.3
9.39,"F","always","rarely",0.14790059030056
81.93,"B","sometimes","rarely",0.3
73.4,"A","sometimes","never",0.88
52.58,"C","never","always",0.07
95.72,"A","never","never",0.31
43.02,"D","always","rarely",0.0754898593295366
51.84,"C","never","rarely",0.69
17.76,"F","sometimes","never",0.17
45.58,"D","sometimes","always",0.29
41.4,"D","always","never",0.175082433177158
14.04,"F","never","never",0.87
76.62,"B","always","rarely",0.0459398929961026
51.57,"C","sometimes","always",0.95
46.36,"C","sometimes","rarely",0.55
44.09,"D","never","always",0.14
44.34,"D","always","always",0.198538501001894
93.13,"A","sometimes","always",1.08
79.22,"A","always","always",0.238778692251071
4.26,"F","sometimes","never",0.87
38.06,"D","always","rarely",0.110320296464488
90.47,"A","never","rarely",0.27
37.16,"D","never","always",0.59
19.03,"F","never","always",0.54
75.12,"A","sometimes","never",0.68
45.32,"C","always","never",0.174112180992961
34.5,"F","sometimes","rarely",0.47
26.83,"D","sometimes","rarely",0.88
40.58,"D","never","always",0.76
72.48,"B","never","never",0.17
17.98,"F","sometimes","rarely",0.4
96.32,"A","always","always",0.201514539169148
32.15,"F","sometimes","always",0.46
17.85,"F","sometimes","rarely",0.24
92.67,"A","sometimes","rarely",0.68
9.26,"F","never","always",0.78
40.7,"D","always","never",0.168073186045513
36.55,"D","always","always",0.0862095485907048
78.87,"A","always","never",0.214335934491828
34.65,"F","always","never",0.096982402401045
70.47,"A","always","always",0.139100783271715
18.17,"F","always","rarely",0.0865462886169553
52.48,"C","never","rarely",0.75
66.7,"C","always","never",0.163820372521877
55.52,"C","never","always",0.9
64.04,"C","always","rarely",0.172067192522809
85.17,"A","always","always",0.170642124256119
42.24,"D","sometimes","always",0.27
27.72,"F","sometimes","rarely",0.48
62.71,"C","sometimes","always",0.25
70.52,"B","never","rarely",0.82
65.52,"C","sometimes","rarely",0.27
65.35,"B","sometimes","never",0.88
65.8,"B","sometimes","always",0.78
68.09,"B","always","rarely",0.148281564097852
67.93,"C","always","never",0.0893650967162102
42.83,"D","sometimes","never",0.75
62.42,"C","never","never",0.22
52.56,"C","never","rarely",0.2
70.17,"B","sometimes","always",0.65
67,"B","sometimes","rarely",0.77
59.89,"B","never","rarely",0.75
45.69,"C","sometimes","never",0.94
60.76,"B","always","rarely",0.0887628449127078
61.9,"B","never","never",0.84
57.57,"C","sometimes","never",0.61
50.04,"D","always","rarely",0.0779419753234833
59.3,"B","never","always",0.97
42.49,"D","sometimes","always",0.62
18.47,"F","always","always",0.192588401306421
93.8,"A","always","never",0.26197507972829
87.96,"A","always","never",0.192267989413813
79.76,"A","never","never",1.04
22.92,"F","sometimes","always",0.48
44.58,"C","never","never",0.95
32.09,"D","always","rarely",0.0513916902244091
95.25,"A","always","never",0.129762058565393
2.68,"F","never","always",0.68
78.11,"A","never","always",0.97
95.45,"A","never","always",0.81
59.53,"C","always","rarely",0.175577198434621
55.54,"C","always","never",0.0592310702428222
95.56,"A","never","always",0.88
44.68,"D","never","rarely",0.53
77.89,"A","sometimes","rarely",0.61
31.93,"F","always","always",0.164867545757443
35.19,"D","never","never",0.22
36.94,"D","sometimes","always",0.23
23.73,"F","never","never",0.13
76.8,"B","never","rarely",0.26
67.92,"B","sometimes","rarely",0.61
89.26,"A","always","always",0.288177762040868
41.4,"D","always","never",0.0950187944341451
7.65,"F","never","always",0.22
82.62,"A","never","always",1.07
54.11,"C","never","never",0.96
11.22,"F","always","always",0.19412976927124
54.3,"C","sometimes","always",0.27
13.57,"F","always","always",0.125711536733434
33.13,"D","always","never",0.0107777899131179
9.1,"F","sometimes","always",0.25
61.72,"B","sometimes","rarely",0.96
44.2,"D","never","never",0.14
50.39,"C","never","never",0.91
34.69,"D","always","rarely",0.0468415813520551
91.71,"A","always","never",0.219174911314622
72.16,"B","always","always",0.0702564809005708
37.17,"D","never","always",0.61
49.48,"C","always","never",0.184182149916887
80.41,"A","always","rarely",0.227162977261469
77.38,"B","sometimes","always",0.43
61.99,"C","always","always",0.0529303012415767
32.12,"D","never","rarely",0.12
52.62,"C","never","never",0.91
53.09,"C","never","always",0.19
24.49,"D","sometimes","never",0.7
63.1,"B","always","rarely",0.154052505688742
65.67,"C","sometimes","rarely",0.05
73.87,"A","never","never",0.9
97.99,"A","never","rarely",0.51
42.87,"D","never","rarely",0.04
94.7,"A","never","rarely",1.06
63.36,"C","sometimes","rarely",0.03
41.75,"D","never","rarely",0.05
39.52,"D","never","never",0.02
73.67,"A","sometimes","rarely",1.03
92.37,"A","always","never",0.259111080272123
63.76,"B","always","never",0.0869693707674742
78.71,"A","always","always",0.106057294504717
54.23,"C","sometimes","always",0.54
90.23,"A","always","rarely",0.193542042560875
47.32,"D","always","rarely",0.110041215782985
38.11,"D","sometimes","never",0.43
87.84,"A","never","rarely",1.04
44,"D","sometimes","rarely",0.62
38.2,"D","never","rarely",0.8
44.28,"D","never","always",0.34
74.43,"B","sometimes","always",0.58
10.27,"F","always","rarely",0.0748617835342884
73.83,"A","never","rarely",0.95
13.81,"F","never","always",0.21
47.95,"D","always","never",0.102307548699901
58.47,"C","always","rarely",0.117583436099812
7.35,"F","sometimes","rarely",0.08
59.95,"B","always","always",0.0564352590590715
85.21,"A","sometimes","always",0.33
74.68,"A","never","rarely",0.72
70.38,"B","always","never",0.181833951408044
66.55,"A","always","always",0.269702412700281
40.01,"D","never","rarely",0.09
40.83,"D","always","rarely",0.196793097443879
38.84,"D","never","always",0.64
4.09,"F","sometimes","always",0.57
60.55,"C","sometimes","always",0.36
70.27,"B","never","never",0.56
29.37,"F","never","always",0.22
8.75,"F","sometimes","always",0.37
20.15,"F","never","never",0.75
50.02,"D","sometimes","always",0.08
70.87,"B","sometimes","rarely",0.12
44.74,"D","never","never",0.54
50.23,"C","always","never",0.0881516533903778
88.59,"A","never","always",0.9
21.69,"F","never","always",0.68
55.27,"C","sometimes","always",0.56
6.97,"F","always","rarely",0.0277743563987315
93.03,"A","always","always",0.185426129633561
65.65,"B","never","never",0.8
91.52,"A","sometimes","always",0.25
57.18,"C","always","always",0.13037770986557
24.77,"D","sometimes","never",0.98
50.23,"C","never","always",0.93
23.2,"F","sometimes","always",0.39
60.41,"C","always","always",0.129591244691983
42.93,"D","sometimes","never",0.67
75.27,"A","sometimes","rarely",0.95
67.27,"C","never","never",0.28
22.51,"F","never","rarely",0.74
21.12,"F","sometimes","rarely",0.69
59.88,"C","sometimes","rarely",0.47
32.36,"F","sometimes","always",0.26
67.25,"C","never","always",0.27
5.64,"F","sometimes","never",0.14
26.43,"F","sometimes","always",0.44
43.22,"D","never","never",0.39
40.26,"D","always","always",0.191246663359925
13.33,"F","always","always",0.19315259330906
74.62,"A","sometimes","never",0.89
17.01,"F","never","never",0.87
89.62,"A","never","never",0.55
23.6,"F","always","never",0.107524943677709
26.02,"F","never","never",0.04
19.09,"F","sometimes","never",0.16
70.45,"B","never","always",0.2
8.55,"F","sometimes","rarely",0.22
64.14,"C","always","never",0.162260414287448
30.98,"F","sometimes","rarely",0.26
84.36,"A","always","always",0.136980087962002
6.06,"F","sometimes","always",0.51
46.28,"D","always","never",0.116012447047979
44.59,"D","never","always",0.47
77.05,"B","never","never",0.1
16.24,"F","always","never",0.16360425548628
68.46,"C","never","never",0.3
84.79,"A","always","rarely",0.206560540664941
61.98,"C","sometimes","rarely",0.39
7.74,"F","sometimes","always",0.01
87.95,"A","never","never",0.88
13.39,"F","always","rarely",0.0166212724521756
24.68,"D","never","never",0.97
99.35,"A","sometimes","rarely",0.43
83.58,"A","sometimes","rarely",0.21
16.88,"F","never","never",0.84
88.33,"A","sometimes","always",0.19
87.13,"A","sometimes","always",0.71
18.05,"F","never","always",0.5
83.34,"A","always","rarely",0.219956875033677
59.3,"B","never","rarely",0.99
63.25,"B","never","never",0.79
74.79,"B","sometimes","rarely",0.09
15.75,"F","sometimes","always",0.11
40.59,"D","always","never",0.117376000713557
64.22,"B","always","rarely",0.114453972037882
55.52,"C","always","rarely",0.124845192627981
71.49,"B","never","rarely",0.7
92,"A","never","never",0.85
86.55,"A","sometimes","never",0.84
62.34,"C","sometimes","always",0.44
69.64,"B","sometimes","always",0.05
67.38,"B","never","always",0.02
65.4,"B","always","never",0.122884648526087
62.25,"C","never","never",0.19
57.03,"C","always","never",0.0933331113308668
67.84,"B","sometimes","never",0.51
16.19,"F","never","rarely",0.25
61.82,"B","always","rarely",0.00102757960557938
88.7,"A","always","rarely",0.108861985523254
51.1,"D","always","rarely",0.115126258693635
33.8,"D","always","always",0.166223567770794
49.71,"C","never","always",0.69
29.69,"D","never","always",0.53
61.07,"B","never","never",0.84
62.98,"B","never","always",0.96
45.57,"C","sometimes","always",0.99
43.23,"C","never","rarely",0.76
66.51,"B","always","rarely",0.0288279279600829
60.32,"B","always","always",0.145772430021316
62.88,"B","always","always",0.098145400872454
83.61,"A","sometimes","never",0.64
29.71,"D","never","rarely",0.99
41.38,"D","sometimes","rarely",0.85
12.89,"F","always","always",0.162972056074068
91.42,"A","never","rarely",0.51
48.17,"C","always","rarely",0.0233642343897373
51.5,"C","sometimes","never",0.71
89.71,"A","never","never",0.38
90.56,"A","never","never",0.84
74,"B","sometimes","always",0.33
79.78,"A","always","never",0.139121977798641
8.6,"F","never","never",0.98
51.4,"D","always","rarely",0.190247722715139
24.42,"D","never","never",0.73
79.63,"B","never","never",0.38
94.57,"A","never","rarely",0.3
57.63,"C","sometimes","rarely",0.16
58.57,"B","never","never",0.85
39.33,"D","never","always",0.97
81.21,"A","always","rarely",0.144390102056786
14.91,"F","sometimes","always",0.13
31.56,"D","never","always",0.09
78.56,"B","always","never",0.0722340389154851
33.71,"D","sometimes","always",0.64
47.34,"D","sometimes","always",0.07
39.46,"D","always","always",0.13698924803175
50.08,"C","always","never",0.164529467467219
72.79,"B","sometimes","always",0.17
85.69,"A","always","never",0.282460857182741
4.04,"F","never","rarely",0.53
60.02,"C","never","rarely",0.03
64.44,"B","sometimes","never",0.61
62.57,"C","sometimes","rarely",0.13
29.47,"F","always","rarely",0.0937688112258911
52.19,"C","never","never",0.55
66.61,"C","never","never",0.21
13.68,"F","sometimes","always",0.73
56.71,"C","never","rarely",0.71
8.09,"F","always","always",0.0684369856026024
75.95,"B","always","always",0.112513891933486
81.52,"B","sometimes","never",0.27
73.84,"A","sometimes","never",0.98
38.56,"D","never","never",0.71
52.88,"C","always","never",0.0575920066796243
47.42,"C","sometimes","never",0.69
34.23,"D","sometimes","always",0.74
62.38,"B","sometimes","never",0.93
63.42,"C","never","never",0.36
16.94,"F","sometimes","always",0.77
73.3,"B","always","rarely",0.176981824962422
66.83,"B","always","always",0.0303810714744031
42.21,"D","never","never",0.07
60.2,"C","sometimes","always",0.33
61.21,"B","sometimes","rarely",0.89
93.78,"A","always","never",0.269171550497413
27.54,"D","sometimes","never",0.78
43.12,"D","sometimes","never",0.21
27.8,"F","sometimes","always",0.27
84.18,"A","never","rarely",0.18
20.78,"F","sometimes","rarely",0.54
18.74,"F","never","always",0.76
20.38,"F","never","always",0.52
65.54,"C","sometimes","never",0.4
37.18,"D","always","rarely",0.0157990604173392
33.15,"F","sometimes","always",0.3
46.89,"C","always","never",0.0844124041963369
2.67,"F","sometimes","rarely",0.23
45.28,"D","sometimes","always",0.33
92.05,"A","always","never",0.15433166436851
61.54,"B","always","always",0.0152088711503893
78.34,"A","always","rarely",0.195773916179314
92.28,"A","sometimes","never",0.77
22.15,"D","always","always",0.193083010381088
94.23,"A","never","rarely",0.14
48.09,"D","always","rarely",0.0464364980347455
47.74,"C","sometimes","always",0.53
79.63,"A","always","never",0.228931395383552
71.46,"B","sometimes","rarely",0.79
13.97,"F","never","rarely",0.33
86.69,"A","sometimes","never",0.81
9.12,"F","sometimes","always",0.4
88.81,"A","never","never",0.38
57.13,"C","always","always",0.173115440271795
8.38,"F","always","never",0.132952269772068
45.16,"D","never","rarely",0.11
51.41,"D","never","always",0.33
62.31,"B","never","never",0.64
53.13,"C","sometimes","rarely",0.52
36.63,"D","never","always",0.6
52.55,"C","sometimes","always",0.64
61.52,"C","never","rarely",0.5
16.06,"F","never","never",0.24
40.55,"D","never","always",0.07
86.17,"A","sometimes","rarely",0.14
63.05,"B","sometimes","rarely",0.68
56.26,"C","sometimes","always",0.78
69.35,"B","never","never",0.09
76.1,"B","never","never",0.09
67.15,"B","never","always",0.15
28.35,"F","never","rarely",0.28
80.27,"A","always","always",0.223932781210169
30.44,"D","always","always",0.0170839414000511
11.75,"F","sometimes","always",0.71
42.83,"D","sometimes","always",0.67
61.69,"B","always","never",0.015073849959299
88.41,"A","never","never",0.61
39.84,"D","sometimes","rarely",0.22
73.08,"A","always","always",0.107988240057603
56.98,"C","never","rarely",0.83
32.86,"D","never","rarely",0.85
80.53,"A","sometimes","never",0.92
63.71,"B","sometimes","rarely",0.62
60.94,"C","sometimes","always",0.05
59.34,"B","sometimes","never",0.98
62.48,"C","sometimes","always",0.09
62.92,"C","sometimes","rarely",0.17
65.75,"C","sometimes","always",0.27
90.91,"A","always","rarely",0.119769140379503
23.19,"F","never","never",0.7
69.12,"B","never","always",0.1
21.42,"F","never","rarely",0.47
33.39,"D","sometimes","never",0.86
25.45,"D","sometimes","rarely",0.87
24.99,"F","sometimes","never",0.1
46.78,"D","never","always",0.12
87.18,"A","never","always",1.04
11.43,"F","never","rarely",0.07
10.23,"F","never","always",0.63
13.58,"F","sometimes","never",0.23
87.17,"A","always","never",0.157734013767913
56.19,"C","always","always",0.0397629010025412
25.02,"D","always","never",0.0217557912226766
46.73,"D","never","rarely",0.04
53.47,"C","always","never",0.0483384985942394
53.52,"C","sometimes","never",0.59
61.59,"B","always","always",0.192152903787792
66.98,"B","sometimes","rarely",0.02
50,"D","never","always",0.47
69.78,"B","sometimes","rarely",0.97
85.03,"A","sometimes","always",0.22
75.79,"A","always","always",0.229925750335678
21.12,"F","sometimes","never",0.2
38.62,"D","always","rarely",0.114094200870022
96.32,"A","always","always",0.218162199296057
43.82,"C","sometimes","never",0.68
53.71,"C","never","always",0.09
60.61,"B","sometimes","never",0.91
63.87,"B","never","rarely",0.73
59.39,"B","sometimes","always",0.8
99.37,"A","never","rarely",0.63
10.4,"F","sometimes","rarely",0.22
5.54,"F","sometimes","always",0.8
41.43,"D","never","rarely",0.38
59,"C","never","always",0.35
9.18,"F","always","never",0.00416470738127828
68.46,"A","always","never",0.149140451755375
38.29,"D","never","rarely",0.53
68.81,"C","always","always",0.130870391428471
67.81,"B","always","always",0.171928811911494
54.87,"C","always","never",0.0877823701594025
78.93,"B","always","always",0.0581625829916447
32.02,"D","sometimes","rarely",1
61.18,"C","sometimes","never",0.37
57.15,"C","never","never",0.32
9.24,"F","never","always",0.74
46.89,"C","never","never",0.69
48.18,"D","sometimes","rarely",0.12
46.07,"C","sometimes","rarely",0.83
16.64,"F","always","always",0.135629424871877
22.9,"F","always","never",0.113492160709575
57.08,"C","sometimes","never",0.56
63.6,"B","always","never",0.184783886186779
69.03,"B","never","never",0.6
25.95,"D","never","always",0.98
52.57,"C","sometimes","rarely",0.04
42.6,"C","sometimes","never",0.93
27.21,"F","never","always",0.08
38.02,"D","never","always",0.55
43.05,"C","sometimes","rarely",0.82
4.11,"F","always","never",0.099118056986481
81.85,"B","never","always",0.44
37.92,"D","always","never",0.113350370945409
87.26,"A","sometimes","always",0.15
45.9,"D","never","always",0.46
