Party,VoterID
Republican ,12737
Democratic,10959
Republican ,18615
Republican ,1585
Republican ,829
Republican ,6018
Republican ,4971
Republican ,15409
Democratic,1547
Republican ,9312
Democratic,936
Republican ,17391
Democratic,2800
Republican ,11633
Democratic,6536
Republican ,6866
Democratic,40
Republican ,8576
Republican ,12139
Republican ,8332
Republican ,18223
Democratic,4888
Republican ,2988
Republican ,9780
Democratic,9572
Republican ,13593
Democratic,6662
Democratic,4732
Democratic,14423
Republican ,2986
Democratic,5856
Democratic,13748
Republican ,5935
Republican ,15517
Republican ,12912
Republican ,13338
Republican ,18288
Republican ,2902
Republican ,19611
Republican ,3778
Republican ,16361
Republican ,2532
Democratic,13819
Republican ,17319
Democratic,6268
Republican ,6699
Democratic,19861
Democratic,1054
Democratic,17047
Democratic,16957
Democratic,17320
Democratic,7327
Democratic,893
Republican ,471
Republican ,17296
Republican ,3371
Republican ,4678
Democratic,18805
Republican ,11640
Democratic,19356
Democratic,12835
Democratic,6572
Republican ,4666
Republican ,18811
Democratic,12258
Democratic,13410
Republican ,8115
Republican ,9284
Democratic,9061
Republican ,15950
Democratic,8759
Republican ,4999
Democratic,18196
Republican ,10636
Democratic,10522
Republican ,5842
Democratic,8215
Republican ,8194
Republican ,18123
Democratic,2252
Republican ,14823
Republican ,12736
Democratic,7069
Democratic,1716
Democratic,10189
Republican ,5169
Republican ,11995
Republican ,5811
Democratic,1431
Democratic,19905
Republican ,10264
Republican ,8016
Democratic,14924
Republican ,118
Republican ,9883
Democratic,16580
Democratic,7482
Democratic,6905
Democratic,14944
Democratic,15460
Republican ,6409
Democratic,15093
Democratic,1748
Republican ,16387
Republican ,17715
Republican ,10435
Democratic,11552
Republican ,4491
Republican ,8713
Democratic,16093
Democratic,14334
Republican ,19625
Democratic,4867
Republican ,5568
Democratic,2401
Republican ,1207
Republican ,1682
Republican ,11150
Republican ,3727
Republican ,5928
Democratic,19855
Democratic,5882
Republican ,18409
Democratic,15016
Republican ,7508
Democratic,10543
Republican ,16657
Republican ,6417
Democratic,6552
Republican ,9889
Republican ,2621
Republican ,18898
Republican ,18516
Republican ,10515
Republican ,13158
Republican ,4323
Democratic,16713
Democratic,9351
Democratic,17336
Republican ,10517
Republican ,3334
Democratic,15170
Democratic,10776
Republican ,10377
Democratic,4367
Republican ,12359
Republican ,16511
Republican ,11244
Democratic,5890
Democratic,15015
Democratic,15754
Democratic,6663
Republican ,17185
Republican ,17350
Democratic,13994
Republican ,13954
Republican ,13787
Republican ,14102
Democratic,1463
Democratic,65
Republican ,10065
Democratic,6306
Democratic,2530
Republican ,18947
Republican ,17997
Republican ,10927
Republican ,5632
Democratic,5209
Republican ,17641
Democratic,19407
Democratic,12716
Republican ,13439
Democratic,4355
Republican ,19811
Democratic,10786
Republican ,16704
Democratic,7453
Democratic,18654
Republican ,6798
Democratic,17110
Republican ,810
Democratic,8425
Republican ,6939
Democratic,4946
Republican ,17530
Democratic,21
Republican ,561
Republican ,14649
Democratic,15167
Republican ,17079
Republican ,4189
Democratic,9894
Democratic,15734
Democratic,1587
Republican ,3122
Democratic,9762
Democratic,18389
Democratic,17297
Republican ,4585
Republican ,1193
Republican ,3702
Republican ,2775
Republican ,13464
Republican ,13704
Democratic,10504
Republican ,2810
Democratic,5159
Republican ,2640
Republican ,8351
Democratic,5569
Republican ,13462
Democratic,13030
Democratic,6931
Republican ,19867
Democratic,19677
Democratic,4870
Republican ,12766
Democratic,18475
Democratic,4739
Republican ,13840
Republican ,8232
Republican ,1507
Republican ,14892
Republican ,2900
Democratic,8865
Republican ,3378
Democratic,13466
Republican ,4543
Democratic,10144
Republican ,15865
Republican ,340
Democratic,9439
Democratic,14404
Republican ,2878
Democratic,4074
Republican ,7154
Republican ,6605
Democratic,14454
Democratic,8126
Republican ,9155
Democratic,16972
Democratic,12868
Republican ,15272
Democratic,18372
Democratic,284
Republican ,11044
Republican ,2137
Democratic,17031
Democratic,14006
Republican ,6341
Democratic,9346
Republican ,161
Democratic,17144
Republican ,8180
Republican ,12626
Republican ,7082
Democratic,1134
Republican ,5005
Democratic,16174
Republican ,7429
Democratic,8571
Republican ,10031
Republican ,17465
Republican ,751
Democratic,3883
Democratic,14204
Republican ,18647
Republican ,19109
Republican ,9770
Democratic,2185
Democratic,16624
Republican ,12506
Democratic,1869
Republican ,6471
Democratic,2066
Democratic,8758
Republican ,4561
Republican ,3037
Republican ,596
Republican ,13318
Republican ,11184
Republican ,16198
Democratic,1216
Republican ,19121
Democratic,6929
Democratic,1872
Republican ,19449
Democratic,12882
Democratic,8791
Democratic,4272
Republican ,17909
Republican ,4212
Republican ,11162
Democratic,15982
Democratic,6144
Democratic,14016
Democratic,16625
Democratic,3507
Democratic,1686
Republican ,11147
Republican ,18393
Democratic,6365
Republican ,7643
Republican ,5786
Democratic,10183
Democratic,12044
Republican ,2422
Republican ,11052
Democratic,12629
Republican ,246
Republican ,14657
Democratic,19904
Republican ,11840
Democratic,7385
Republican ,15839
Democratic,10798
Democratic,11464
Republican ,1627
Democratic,100
Republican ,6534
Republican ,17213
Republican ,6602
Democratic,19007
Republican ,4609
Republican ,7433
Republican ,5228
Republican ,11530
Republican ,13189
Democratic,3677
Democratic,8060
Democratic,15380
Democratic,7306
Republican ,12428
Democratic,4099
Democratic,10607
Republican ,17575
Democratic,12891
Democratic,15193
Republican ,18492
Republican ,1238
Democratic,14271
Democratic,2337
Democratic,9445
Republican ,10145
Democratic,2762
Democratic,12745
Democratic,19406
Democratic,9878
Democratic,12199
Republican ,7551
Republican ,13235
Republican ,13161
Democratic,18796
Republican ,9717
Republican ,17466
Democratic,5098
Democratic,18870
Democratic,7229
Republican ,15765
Republican ,19961
Republican ,2463
Republican ,9512
Republican ,4196
Democratic,6445
Democratic,11875
Democratic,19373
Democratic,8867
Democratic,12339
Democratic,2462
Republican ,16220
Democratic,9975
Democratic,16856
Republican ,6584
Democratic,3457
Republican ,15191
Democratic,2894
Republican ,3779
Republican ,8003
Republican ,19445
Republican ,8287
Republican ,14546
Republican ,19280
Republican ,16171
Democratic,3773
Democratic,17916
Democratic,7059
Democratic,15158
Republican ,17649
Democratic,7061
Democratic,10340
Republican ,15442
Republican ,5983
Democratic,4763
Republican ,13218
Republican ,5889
Republican ,2706
Republican ,10118
Republican ,9343
Republican ,3995
Republican ,1283
Republican ,15827
Democratic,15808
Democratic,3198
Democratic,13491
Republican ,6000
Republican ,2774
Republican ,2659
Republican ,19418
Republican ,8656
Democratic,6899
Republican ,10538
Democratic,8353
Republican ,17028
Democratic,9223
Democratic,12191
Republican ,2086
Republican ,17958
Republican ,6051
Democratic,9152
Democratic,17838
Democratic,13290
Democratic,6089
Republican ,6972
Republican ,3694
Republican ,735
Republican ,1617
Democratic,13419
Republican ,12086
Republican ,8784
Republican ,17734
Republican ,6801
Republican ,6740
Republican ,1397
Republican ,9454
Republican ,1940
Republican ,9288
Democratic,19152
Republican ,10818
Democratic,16094
Republican ,2843
Democratic,18345
Democratic,5320
Republican ,619
Republican ,9069
Democratic,12684
Democratic,14379
Democratic,15097
Democratic,17671
Democratic,3854
Republican ,4615
Republican ,2292
Republican ,12880
Republican ,11829
Republican ,6476
Republican ,13359
Republican ,12541
Democratic,17842
Republican ,10316
Republican ,5269
Democratic,9083
Democratic,11521
Republican ,1694
Democratic,13322
Democratic,17291
Republican ,4076
Republican ,13870
Democratic,11017
Democratic,469
Democratic,9841
Republican ,3609
Republican ,9349
Democratic,554
Democratic,9457
Democratic,10271
Democratic,12944
Republican ,5966
Democratic,18819
Republican ,6501
Democratic,4552
Democratic,10262
Republican ,18325
Democratic,14413
Democratic,11242
Democratic,15576
Democratic,7236
Republican ,18937
Republican ,15527
Democratic,8788
Republican ,17964
Republican ,3519
Republican ,9588
Democratic,2002
Democratic,8742
Democratic,7727
Republican ,14665
Republican ,250
Democratic,1766
Republican ,11596
Republican ,2424
Republican ,8316
Republican ,5318
Republican ,19860
Republican ,5450
Democratic,10540
Republican ,2409
Democratic,18853
Republican ,17911
Republican ,14627
Republican ,2630
Democratic,3974
Republican ,8909
Republican ,9698
Republican ,7228
Democratic,8201
Republican ,1539
Democratic,11234
Republican ,15021
Republican ,13232
Republican ,16121
Democratic,15688
Democratic,17889
Democratic,9931
Republican ,394
Democratic,5662
Democratic,8421
Democratic,15605
Democratic,16416
Democratic,7391
Democratic,8448
Democratic,11272
Democratic,16626
Republican ,19487
Republican ,8543
Republican ,18279
Democratic,2741
Republican ,5772
Democratic,17172
Republican ,12703
Democratic,10566
Republican ,18097
Republican ,8778
Republican ,156
Republican ,17398
Democratic,17843
Democratic,13587
Democratic,6131
Republican ,6925
Republican ,11047
Republican ,16628
Republican ,8986
Democratic,2978
Republican ,18003
Democratic,12501
Republican ,5643
Democratic,15708
Republican ,2459
Republican ,83
Democratic,6373
Republican ,16300
Republican ,16129
Democratic,7133
Republican ,14245
Republican ,427
Republican ,16905
Democratic,14122
Republican ,3672
Republican ,1577
Democratic,16295
Democratic,2165
Democratic,8691
Republican ,8238
Republican ,2007
Democratic,12192
Republican ,9608
Republican ,1973
Republican ,6318
Republican ,5436
Republican ,2623
Republican ,12649
Democratic,2615
Republican ,8221
Democratic,17193
Republican ,3405
Democratic,19377
Republican ,9141
Republican ,9132
Republican ,9738
Republican ,11850
Republican ,19468
Republican ,6953
Democratic,7258
Democratic,2612
Republican ,12733
Republican ,19663
Republican ,7041
Democratic,12278
Democratic,8362
Democratic,18666
Republican ,4236
Democratic,5482
Democratic,19546
Republican ,1270
Republican ,10225
Republican ,19833
Democratic,11388
Republican ,17529
Republican ,10035
Republican ,14347
Democratic,10924
Democratic,12756
Republican ,14985
Republican ,18311
Republican ,11409
Democratic,1382
Republican ,13554
Republican ,11951
Republican ,9830
Democratic,1918
Republican ,6064
Republican ,5308
Republican ,5092
Republican ,11337
Democratic,13193
Democratic,7667
Democratic,18422
Democratic,17114
Democratic,5309
Democratic,3453
Democratic,7456
Republican ,8139
Republican ,7366
Republican ,16834
Republican ,3952
Republican ,4244
Republican ,19393
Democratic,19051
Republican ,8249
Republican ,17720
Republican ,3905
Democratic,2975
Republican ,1599
Republican ,10806
Democratic,18769
Republican ,14666
Republican ,668
Republican ,4336
Democratic,17468
Democratic,14378
Republican ,2152
Republican ,3346
Republican ,10910
Democratic,822
Democratic,3936
Republican ,9016
Republican ,6566
Republican ,11816
Democratic,13857
Republican ,18376
Democratic,7373
Republican ,16293
Republican ,5918
Democratic,15045
Democratic,10326
Democratic,8009
Democratic,13509
Democratic,3172
Democratic,12459
Republican ,15366
Republican ,19656
Democratic,7742
Republican ,6895
Democratic,8743
Democratic,12435
Democratic,4597
Republican ,5135
Democratic,8949
Republican ,12734
Democratic,5437
Republican ,5451
Republican ,11197
Republican ,16852
Republican ,18087
Republican ,17690
Democratic,16800
Democratic,5300
Republican ,19389
Republican ,16841
Republican ,1320
Republican ,7415
Republican ,890
Republican ,9527
Republican ,2030
Democratic,16495
Republican ,7063
Republican ,16577
Republican ,9221
Republican ,7435
Republican ,2786
Republican ,1012
Democratic,11788
Republican ,19574
Democratic,11000
Republican ,9311
Republican ,5970
Democratic,7201
Democratic,539
Democratic,4038
Democratic,7677
Republican ,13468
Democratic,7689
Republican ,2528
Republican ,15807
Democratic,6286
Republican ,4457
Republican ,5494
Republican ,7244
Republican ,15712
Democratic,1474
Republican ,17399
Republican ,19562
Republican ,16097
Democratic,16751
Democratic,10874
Republican ,19774
Republican ,3088
Democratic,8223
Democratic,12712
Democratic,5279
Republican ,2003
Democratic,10157
Republican ,6164
Democratic,17273
Democratic,16533
Republican ,15130
Republican ,778
Democratic,15838
Democratic,2490
Republican ,7968
Republican ,19206
Republican ,13946
Democratic,5647
Republican ,11215
Democratic,19843
Democratic,11253
Democratic,3651
Democratic,4304
Democratic,7248
Republican ,6576
Republican ,12651
Democratic,16369
Democratic,7195
Democratic,10778
Democratic,12718
Republican ,10030
Republican ,6745
Republican ,6275
Democratic,6177
Democratic,11527
Republican ,19421
Democratic,9316
Democratic,5458
Republican ,796
Democratic,19746
Democratic,4981
Democratic,1436
Democratic,6580
Republican ,12965
Democratic,5144
Republican ,11876
Democratic,14373
Democratic,19788
Republican ,5076
Democratic,6857
Republican ,9795
Republican ,6886
Democratic,18540
Democratic,16574
Democratic,9393
Republican ,401
Republican ,12848
Democratic,11261
Democratic,16229
Republican ,10697
Democratic,4232
Democratic,18578
Democratic,4341
Republican ,7531
Republican ,16215
Republican ,16787
Republican ,10476
Democratic,2104
Republican ,13345
Democratic,324
Republican ,12606
Republican ,1777
Republican ,17395
Democratic,570
Republican ,12301
Republican ,14932
Republican ,15733
Republican ,11024
Republican ,13698
Republican ,10765
Republican ,564
Republican ,17867
Republican ,7553
Republican ,12085
Republican ,7301
Republican ,16895
Republican ,17796
Republican ,6002
Republican ,16961
Democratic,19004
Republican ,16993
Republican ,3417
Democratic,14585
Democratic,9977
Democratic,17479
Republican ,15758
Democratic,1024
Democratic,13178
Democratic,1563
Republican ,16632
Republican ,4443
Democratic,3216
Republican ,1272
Democratic,11070
Republican ,2158
Republican ,8739
Republican ,17626
Democratic,19010
Democratic,6270
Democratic,5649
Democratic,4399
Democratic,8841
Republican ,19392
Democratic,5495
Democratic,2143
Republican ,11011
Democratic,9066
Democratic,18206
Democratic,10743
Democratic,19264
Democratic,7875
Republican ,7748
Republican ,13725
Republican ,6818
Democratic,7960
Republican ,14244
Democratic,5353
Republican ,9713
Republican ,6049
Republican ,17334
Republican ,12533
Republican ,1329
Republican ,8697
Democratic,10109
Republican ,5834
Republican ,13733
Republican ,11991
Democratic,17080
Republican ,17893
Democratic,1
Republican ,11320
Democratic,11207
Republican ,8165
Republican ,4496
Republican ,14625
Republican ,18941
Democratic,8263
Republican ,9895
Republican ,9010
Democratic,4317
Democratic,2991
Republican ,3774
Democratic,6689
Democratic,9105
Democratic,15365
Republican ,17584
Republican ,13874
Democratic,13045
Democratic,13877
Republican ,12798
Democratic,19318
Republican ,5393
Democratic,6302
Democratic,1149
Republican ,19640
Democratic,11227
Republican ,3826
Republican ,1653
Republican ,8607
Republican ,15432
Republican ,6377
Republican ,15224
Democratic,17283
Democratic,13942
Democratic,17240
Democratic,9985
Republican ,18292
Republican ,16551
Democratic,2234
Democratic,19654
Republican ,2909
Republican ,14520
Democratic,19922
Republican ,15872
Democratic,10644
Democratic,7488
Republican ,1492
Republican ,4645
Republican ,14501
Democratic,4430
Republican ,19891
Democratic,4223
Republican ,4072
Democratic,3714
Republican ,18426
Democratic,16739
Republican ,13147
Republican ,15050
Republican ,16791
Democratic,19743
Democratic,17792
Democratic,8476
Democratic,15414
Republican ,878
Democratic,3654
Republican ,15177
Republican ,6127
Republican ,10095
Republican ,18899
Republican ,9412
Democratic,16821
Republican ,4011
Democratic,1395
Democratic,664
Democratic,1853
Democratic,361
Republican ,15656
Democratic,3837
Democratic,4306
Democratic,10785
Republican ,19755
Republican ,7363
Republican ,10110
Democratic,13377
Republican ,16100
Republican ,5225
Democratic,12099
Republican ,15113
Democratic,14221
Democratic,8570
Republican ,424
Republican ,4102
Democratic,2085
Democratic,3092
Democratic,18807
Republican ,6017
Republican ,611
Republican ,6913
Republican ,17143
Democratic,2727
Republican ,15287
Democratic,7846
Republican ,166
Republican ,18587
Republican ,6692
Republican ,11258
Republican ,16830
Democratic,3631
Democratic,18851
Republican ,1133
Democratic,13830
Republican ,2064
Democratic,2704
Republican ,4898
Republican ,14465
Republican ,17595
Democratic,16715
Republican ,4513
Republican ,2366
Republican ,8979
Republican ,3558
Democratic,18750
Republican ,5134
Democratic,19887
Democratic,683
Republican ,6987
Democratic,11475
Republican ,16401
Republican ,5763
Democratic,16323
Democratic,2962
Democratic,12407
Democratic,1027
Republican ,2330
Democratic,10257
Republican ,9934
Democratic,15653
Republican ,11828
Democratic,19682
Republican ,18346
Republican ,9410
Democratic,15066
Republican ,12143
Republican ,766
Democratic,5994
Democratic,1863
Republican ,3400
Democratic,3127
Republican ,16411
Democratic,4522
Republican ,11210
Republican ,16142
Democratic,18215
Democratic,2201
Democratic,6677
Democratic,5210
Democratic,8170
Republican ,18435
Democratic,15032
Republican ,15039
Democratic,6632
Republican ,483
Democratic,8499
Republican ,18269
Republican ,7038
Republican ,1075
Republican ,7557
Democratic,7214
Republican ,4993
Democratic,16224
Republican ,14912
Republican ,17339
Democratic,7145
Democratic,14417
Republican ,5656
Republican ,2170
Republican ,16306
Republican ,18111
Republican ,11265
Republican ,13578
Democratic,14278
Democratic,12594
Democratic,17840
Republican ,5388
Republican ,17312
Republican ,2958
Republican ,2966
Republican ,10251
Democratic,14953
Democratic,14052
Democratic,17897
Democratic,7055
Republican ,14766
Democratic,18612
Democratic,2179
Republican ,13099
Democratic,15168
Democratic,17098
Republican ,11343
Republican ,15406
Republican ,19265
Democratic,688
Democratic,159
Democratic,16324
Democratic,4110
Democratic,19695
Republican ,19270
Democratic,12552
Democratic,4145
Republican ,14703
Republican ,8592
Republican ,10055
Democratic,14323
Democratic,8508
Republican ,18799
Democratic,7708
Republican ,7971
Republican ,17931
Republican ,1568
Democratic,15363
Democratic,1526
Democratic,9150
Republican ,3573
Republican ,9167
Republican ,11894
Republican ,11373
Democratic,9667
Democratic,2341
Republican ,14919
Democratic,4659
Republican ,12337
Republican ,17589
Republican ,18741
Republican ,17309
Republican ,6920
Republican ,5379
Republican ,7931
Republican ,11513
Republican ,17033
Republican ,19216
Republican ,7100
Republican ,659
Democratic,2908
Republican ,7369
Democratic,17817
Republican ,9210
Republican ,12064
Democratic,13255
Republican ,7464
Republican ,19179
Republican ,12194
Republican ,8852
Republican ,15323
Democratic,2729
Republican ,13685
Democratic,14231
Democratic,14619
Democratic,18669
Democratic,4020
Democratic,2395
Democratic,3661
Democratic,9057
Republican ,10208
Republican ,19023
Republican ,9943
Republican ,19975
Democratic,13603
Republican ,7872
Republican ,18525
Democratic,367
Republican ,18433
Republican ,1385
Democratic,1098
Republican ,50
Democratic,8010
Democratic,13851
Republican ,4252
Republican ,13527
Republican ,2600
Republican ,6103
Republican ,10911
Republican ,2689
Democratic,9118
Republican ,11976
Democratic,11333
Republican ,8650
Republican ,2377
Republican ,16006
Democratic,13094
Republican ,11726
Democratic,11023
Republican ,9473
Democratic,19147
Republican ,10368
Republican ,5346
Republican ,7160
Republican ,5853
Republican ,13498
Democratic,10590
Republican ,19140
Democratic,7042
Republican ,12498
Democratic,5315
Republican ,19921
Democratic,13504
Republican ,2951
Republican ,8341
Republican ,2683
Republican ,18822
Republican ,1125
Republican ,3416
Democratic,17427
Republican ,11118
Democratic,14080
Democratic,9322
Democratic,16343
Democratic,16391
Republican ,10790
Republican ,5664
Republican ,2755
Republican ,13648
Democratic,16371
Republican ,157
Republican ,12710
Republican ,18919
Republican ,8345
Republican ,2000
Republican ,19517
Democratic,15588
Republican ,16370
Democratic,4777
Republican ,10805
Republican ,5560
Democratic,5476
Republican ,1220
Democratic,5797
Democratic,5849
Republican ,17452
Democratic,9125
Republican ,1663
Republican ,18497
Republican ,4632
Republican ,18694
Democratic,4095
Republican ,14105
Democratic,16332
Republican ,19858
Democratic,13087
Democratic,6829
Democratic,13283
Republican ,14858
Democratic,8937
Democratic,11916
Republican ,7747
Democratic,10417
Republican ,14563
Democratic,13732
Democratic,6503
Republican ,5813
Republican ,3662
Democratic,19400
Republican ,5046
Republican ,15912
Republican ,10763
Democratic,14773
Democratic,2283
Republican ,15630
Republican ,499
Democratic,3047
Democratic,17510
Democratic,9392
Democratic,5962
Republican ,8647
Republican ,797
Republican ,16539
Democratic,3649
Democratic,19724
Republican ,8096
Republican ,18336
Republican ,10192
Democratic,2126
Democratic,13597
Republican ,13391
Democratic,6822
Republican ,17929
Republican ,18350
Republican ,10120
Democratic,1189
Democratic,1842
Republican ,10921
Democratic,2356
Republican ,3958
Republican ,4616
Democratic,16670
Republican ,9339
Democratic,2604
Democratic,18801
Democratic,2371
Democratic,14082
Republican ,11431
Republican ,10279
Republican ,6368
Democratic,4818
Republican ,19395
Democratic,15953
Republican ,5064
Democratic,9021
Republican ,327
Democratic,2713
Democratic,5533
Republican ,5129
Republican ,8213
Democratic,8551
Republican ,6057
Republican ,15897
Republican ,6234
Democratic,3058
Democratic,9673
Democratic,19709
Democratic,2987
Republican ,18195
Democratic,245
Democratic,8727
Democratic,15639
Democratic,18982
Democratic,14818
Democratic,10083
Democratic,16242
Republican ,2399
Democratic,2475
Republican ,15392
Republican ,5286
Democratic,19066
Republican ,9398
Republican ,16562
Republican ,17244
Democratic,220
Republican ,13791
Democratic,959
Republican ,13476
Republican ,481
Republican ,15663
Democratic,5769
Democratic,14012
Republican ,3718
Republican ,17832
Republican ,8260
Republican ,10153
Democratic,12610
Republican ,11230
Republican ,14922
Democratic,7635
Democratic,5535
Democratic,18912
Republican ,7138
Republican ,12215
Republican ,4721
Democratic,8843
Republican ,399
Republican ,3911
Republican ,13383
Republican ,10437
Republican ,16674
Republican ,17545
Republican ,5555
Democratic,14714
Democratic,9735
Republican ,3234
Republican ,16460
Democratic,17954
Democratic,13668
Democratic,7869
Democratic,10393
Republican ,11797
Republican ,8835
Republican ,5115
Republican ,5339
Democratic,8193
Republican ,3005
Republican ,750
Republican ,10753
Republican ,18284
Democratic,16429
Republican ,7080
Republican ,6217
Republican ,16191
Democratic,13519
Republican ,1061
Republican ,10894
Democratic,7844
Republican ,11495
Democratic,11375
