country,content,imdb_score,Gross,Budget,genre,DataMaker
USA,PG,4.58,Medium,Medium,Comedy,FellAsleep
USA,PG-13,7.45,Medium,Medium,Comedy,FellAsleep
USA,R,10.38,Low,Low,Action,LikedIt
USA,R,4.92,Medium,High,Family,Quit
USA,PG-13,5.75,High,High,Action,Quit
USA,R,7.02,Medium,High,Family,FellAsleep
USA,R,9.42,Medium,Medium,Comedy,LikedIt
USA,PG-13,5.54,High,Medium,Comedy,Quit
USA,PG-13,5.57,Medium,Medium,Comedy,Quit
USA,PG-13,6.16,High,High,Family,FellAsleep
USA,PG-13,4.62,High,Medium,Comedy,LikedIt
USA,R,7.35,High,Medium,Comedy,LovedIt
USA,R,6.49,Medium,Medium,Comedy,Quit
USA,PG-13,7.34,Medium,Low,Comedy,FellAsleep
USA,R,6.8,Medium,Low,Action,Survived
USA,PG-13,2.86,High,Medium,Drama,Quit
USA,R,7.17,Low,Medium,Action,Quit
USA,R,6.27,Medium,Medium,Action,Survived
UK,PG-13,8.14,High,High,Family,LikedIt
USA,R,10.46,High,Medium,Comedy,LikedIt
USA,PG,6.11,High,High,Family,Survived
USA,R,8.61,High,Medium,Comedy,LikedIt
USA,R,6.73,High,Medium,Action,LovedIt
Canada,R,5.25,High,Low,Drama,Quit
USA,PG-13,6.73,Low,Medium,Comedy,Quit
UK,R,10.28,Medium,Low,History,LikedIt
USA,R,6.19,High,Medium,Drama,LovedIt
USA,R,10.24,High,Medium,Action,LikedIt
USA,PG,7.8,High,Medium,Comedy,FellAsleep
USA,R,5.77,Medium,Medium,Action,Quit
USA,R,6.52,Medium,Medium,Comedy,Survived
USA,PG-13,4.12,High,Medium,Comedy,Quit
USA,R,7.83,Low,Low,History,Quit
USA,PG-13,5.69,High,High,Family,Quit
USA,R,7.58,Medium,Low,History,Quit
USA,G,6.22,Medium,Medium,Comedy,FellAsleep
USA,R,8.5,Low,Low,Drama,LikedIt
USA,R,8.57,Low,Low,History,LikedIt
USA,PG-13,4.99,High,High,Family,Quit
Canada,R,5.45,Low,Medium,Drama,Quit
USA,R,6.29,Medium,Medium,Action,FellAsleep
USA,PG,5.96,Medium,Low,Drama,Quit
Germany,R,6.93,High,Medium,Comedy,FellAsleep
UK,R,7.86,Low,Low,History,Survived
UK,G,7.36,High,Medium,Comedy,LovedIt
USA,PG,3.51,Low,Medium,Comedy,LikedIt
UK,R,7.33,Medium,Medium,Sci-Fi,Quit
USA,R,5.38,High,Medium,Comedy,Quit
USA,PG-13,6.82,High,Medium,Action,Quit
USA,PG-13,7.22,High,Medium,Comedy,LovedIt
USA,PG-13,5.9,Medium,Medium,Comedy,Quit
Germany,PG-13,6.77,High,High,Drama,Quit
Germany,PG-13,5.9,Medium,High,Drama,Quit
UK,R,6.31,Low,Low,Action,Quit
Germany,PG,5.06,Medium,High,Family,Quit
Australia,PG-13,7.26,Low,Low,History,Survived
USA,PG-13,6.78,Medium,High,Sci-Fi,LovedIt
USA,PG,6.66,High,High,Family,Survived
USA,PG-13,5.96,Medium,Medium,Comedy,Quit
USA,PG-13,8.16,High,Medium,Drama,Quit
USA,PG,5.21,Medium,Medium,Comedy,FellAsleep
USA,R,7.34,High,High,Action,Survived
USA,PG-13,8.38,High,High,Action,Quit
USA,PG-13,9.3,High,Low,History,LovedIt
USA,R,6.29,Low,Medium,Comedy,FellAsleep
UK,R,6.47,Low,Low,History,Survived
USA,PG-13,5.8,High,High,Family,Quit
India,PG,6.34,Low,Low,History,Survived
France,R,6.5,High,Medium,Action,LovedIt
USA,PG,5.99,High,High,Family,Quit
USA,R,7.84,High,Medium,Comedy,LovedIt
USA,G,5.74,Low,Medium,Comedy,Quit
USA,PG-13,6.24,High,Medium,Comedy,LovedIt
UK,R,8.08,Low,Low,History,Quit
USA,R,5.6,High,Medium,Comedy,Quit
USA,PG-13,5.39,High,High,Sci-Fi,Quit
USA,R,6.79,Low,Medium,Comedy,FellAsleep
USA,PG,5.96,High,High,Family,Quit
USA,PG-13,7.58,High,Medium,Comedy,Quit
USA,R,6.55,Low,Medium,Comedy,Survived
UK,R,6.73,Medium,High,Action,Quit
USA,PG,5.39,Medium,Medium,Action,FellAsleep
USA,PG,5.34,High,High,Comedy,LovedIt
USA,R,6.66,High,High,Action,Quit
USA,PG-13,6.19,High,Low,Comedy,LovedIt
USA,PG,6.84,Medium,Low,History,FellAsleep
UK,PG,4.03,Medium,Medium,Comedy,FellAsleep
USA,PG-13,6.01,High,High,Action,LovedIt
France,R,8.64,Low,Low,Action,LikedIt
USA,PG-13,5.66,High,Medium,History,Quit
USA,PG,5.35,Medium,Medium,Drama,LovedIt
USA,PG-13,5.57,High,High,Family,Quit
USA,R,6.97,Low,Low,Action,Survived
USA,R,6.01,Low,Low,Action,Survived
USA,PG-13,5.6,High,Low,Drama,Quit
USA,PG-13,5.01,Medium,Medium,Drama,Quit
USA,R,9.07,Low,Low,History,Survived
USA,R,6.66,Medium,Low,Drama,Quit
UK,PG,7.41,Medium,Medium,Comedy,FellAsleep
USA,PG,5.64,High,High,Family,Quit
USA,PG,5.58,Medium,High,Family,Quit
USA,PG-13,3.25,Low,High,Family,Quit
France,PG-13,6.74,Low,Medium,Comedy,Quit
USA,PG,4.21,High,Medium,Comedy,FellAsleep
USA,R,8.12,High,Medium,Comedy,Survived
USA,PG-13,5.04,High,High,Family,Quit
USA,R,6.18,Medium,Low,History,LovedIt
USA,PG,8.09,Medium,Low,Drama,FellAsleep
USA,PG-13,6.1,High,High,Sci-Fi,FellAsleep
UK,R,9.98,Low,Low,History,LikedIt
USA,PG,7.58,High,Low,History,LovedIt
USA,PG-13,9.45,High,High,Family,LikedIt
USA,PG,6.04,High,High,Family,Quit
USA,R,7.26,High,Medium,Comedy,LovedIt
UK,PG,6.56,Medium,High,Family,Quit
USA,G,5.83,Medium,Medium,Comedy,Quit
USA,R,7.06,Medium,Medium,Comedy,Survived
USA,R,6.47,High,Medium,Comedy,LovedIt
UK,PG,7.91,Low,Low,History,Survived
USA,PG-13,5.4,High,Medium,Sci-Fi,Quit
USA,PG,7.47,High,Medium,Comedy,FellAsleep
USA,PG,5.91,Medium,High,Sci-Fi,Quit
USA,PG,5.31,High,Medium,Comedy,FellAsleep
UK,PG-13,8.91,High,Medium,Comedy,LikedIt
USA,R,4.6,Low,Low,Drama,LovedIt
USA,PG,7.92,High,Medium,History,FellAsleep
USA,PG,7.36,Low,Medium,History,Survived
USA,R,7.49,High,Medium,Drama,LovedIt
USA,R,10.04,Medium,Medium,Comedy,Survived
USA,R,9.3,High,Medium,Comedy,LikedIt
USA,R,7.43,Low,Low,Action,Quit
USA,R,6.69,High,High,Family,LovedIt
USA,R,6.56,Medium,Medium,Action,Survived
USA,PG-13,7.32,Low,Medium,History,FellAsleep
USA,PG,4.86,High,High,Family,Quit
USA,PG-13,6.62,Medium,Medium,Comedy,FellAsleep
USA,G,5.48,Medium,Medium,Comedy,Quit
USA,PG,7.7,High,High,Sci-Fi,LovedIt
UK,R,6.32,High,Medium,Comedy,LovedIt
USA,PG-13,7,High,High,Sci-Fi,FellAsleep
USA,PG-13,6.39,High,High,Action,Quit
USA,PG-13,6.62,Medium,Medium,Comedy,Quit
Canada,R,6.72,Low,Medium,Comedy,Quit
USA,R,7.43,Low,Low,History,LovedIt
UK,G,6.27,High,High,Sci-Fi,LovedIt
USA,R,8.11,High,High,Action,FellAsleep
Australia,G,8.92,High,Medium,Comedy,LikedIt
USA,R,5.36,Low,Medium,Action,Quit
USA,R,5.87,Medium,Medium,Drama,Quit
USA,R,5.49,Low,Low,Drama,Quit
USA,R,8.79,Medium,Medium,Action,LikedIt
USA,R,8.01,Medium,Low,History,Quit
Australia,PG-13,4.48,Medium,High,Family,Quit
USA,R,6.97,High,Medium,Comedy,LovedIt
USA,G,6.64,High,High,Family,Quit
USA,PG,6,Medium,Medium,Comedy,FellAsleep
USA,R,6.66,Medium,Medium,Comedy,FellAsleep
USA,R,7.42,Low,Low,History,Quit
Canada,R,6.11,Low,Low,History,Quit
UK,G,7.53,Medium,Medium,Comedy,Quit
USA,PG-13,6.84,High,High,Drama,FellAsleep
Germany,R,7.84,Low,Low,Drama,Quit
USA,R,7.97,High,Low,History,LovedIt
USA,PG-13,8.29,High,High,Action,Quit
USA,PG-13,6.95,High,Medium,Comedy,LovedIt
UK,PG-13,9.26,Low,Low,History,LikedIt
France,R,8.65,Low,High,Family,LikedIt
UK,R,9.56,Medium,Medium,Comedy,LikedIt
USA,R,6.6,Medium,Medium,Comedy,FellAsleep
USA,PG-13,7.22,High,High,Family,LikedIt
UK,R,9.23,Low,Low,Drama,LikedIt
USA,PG-13,6.53,Medium,Medium,Comedy,Survived
China,R,7,Low,Medium,Comedy,Quit
USA,PG,7.03,Medium,Medium,Comedy,FellAsleep
USA,PG,6.08,High,High,Family,LovedIt
USA,R,6.06,Low,Low,Drama,Survived
USA,PG,3.32,Low,Low,Action,Quit
Ireland,R,7.38,High,Low,History,Quit
USA,PG-13,4.76,High,Medium,Comedy,Quit
USA,R,6.3,High,High,Action,Survived
USA,R,6.76,High,Low,History,LovedIt
UK,PG-13,5.99,High,High,Family,Quit
USA,R,6.15,High,Medium,Drama,LovedIt
USA,PG-13,9.06,Medium,Medium,History,LikedIt
Germany,PG-13,8.22,Medium,Low,History,FellAsleep
USA,PG,6.87,High,High,Sci-Fi,Survived
USA,PG,4.29,High,Medium,Comedy,FellAsleep
USA,PG,5.36,High,High,Family,Quit
USA,PG-13,7.27,High,High,Drama,LovedIt
USA,PG-13,6.58,High,High,Family,LovedIt
Hong Kong,R,7.23,Low,Medium,Action,FellAsleep
USA,R,7.31,High,Medium,Comedy,LovedIt
USA,PG,8.56,Medium,High,Family,LikedIt
USA,PG-13,4.06,Medium,High,Family,LikedIt
Canada,PG-13,5.7,Low,Low,History,Quit
USA,R,6.71,High,Medium,Action,LovedIt
USA,PG,7.57,Low,Low,Comedy,FellAsleep
USA,R,8.09,High,Low,History,LovedIt
Hong Kong,PG,7.39,Low,Medium,History,FellAsleep
USA,PG,4.81,Medium,High,Family,Quit
USA,PG-13,8.25,Medium,Medium,Sci-Fi,LikedIt
USA,G,6.69,Low,Medium,Comedy,Quit
USA,PG,5.02,Medium,High,Family,Quit
USA,PG-13,5.25,Medium,High,Family,Quit
USA,PG,7.66,High,Medium,Comedy,FellAsleep
USA,PG-13,6.87,Low,Low,History,FellAsleep
USA,PG-13,8.44,High,High,Family,LikedIt
USA,R,4.59,Medium,Medium,Comedy,Quit
China,PG,4.22,High,Low,History,Quit
USA,R,9.6,Medium,Medium,Comedy,LikedIt
USA,PG-13,8.07,High,Medium,Comedy,Quit
USA,PG-13,6.33,Medium,High,Family,Survived
Czech Republic,R,6.44,Low,Medium,Action,FellAsleep
USA,R,5.32,Medium,Medium,Comedy,Quit
USA,PG,6.99,Medium,Low,Sci-Fi,Quit
USA,PG-13,5.91,High,High,Family,Quit
USA,PG,6.31,High,High,Family,Survived
USA,R,9.32,Low,Low,History,Quit
USA,PG-13,9.38,High,Medium,Comedy,LikedIt
USA,R,6.3,Low,Low,Action,Quit
USA,PG,3.99,High,High,Sci-Fi,Quit
USA,PG,6.54,Medium,Medium,Comedy,FellAsleep
Hong Kong,PG-13,5.31,Medium,Medium,Comedy,Quit
USA,PG,6.05,High,High,Family,Survived
Australia,PG-13,7.23,Low,Low,History,FellAsleep
USA,PG,6.83,High,High,History,LovedIt
USA,PG-13,4.82,High,High,Family,Quit
USA,R,5.68,Medium,Medium,Action,Quit
USA,PG,8.09,Medium,Low,History,LikedIt
USA,R,5.69,High,High,Family,Quit
USA,PG,7.33,High,Medium,Comedy,FellAsleep
USA,G,7.47,High,Low,History,FellAsleep
USA,R,6.46,Medium,High,Sci-Fi,Survived
USA,R,6.71,High,Medium,Drama,LovedIt
USA,PG,6.81,Low,Medium,Comedy,FellAsleep
UK,PG-13,7.06,Low,Low,Action,Quit
USA,R,7.95,High,Medium,History,LovedIt
USA,R,5.14,High,Low,Action,Quit
UK,R,7.05,Medium,Low,Drama,Survived
USA,R,4.17,High,Low,Drama,Quit
USA,PG-13,5.02,Medium,High,Family,Quit
USA,PG,4.64,Low,Medium,History,Quit
USA,PG-13,6.34,High,High,Family,Survived
UK,R,7.71,High,Medium,Drama,Quit
USA,PG,5.67,High,High,Action,Quit
USA,PG-13,5.45,Medium,Medium,Action,Quit
USA,R,4.81,Low,Low,Action,Quit
USA,PG-13,7.42,High,High,Family,Quit
Germany,PG,5.2,Medium,High,Family,Quit
USA,R,6.14,High,Low,Drama,LovedIt
USA,PG-13,6.63,High,High,Family,LovedIt
USA,PG-13,8.45,High,High,Family,LikedIt
USA,PG-13,5.28,High,Medium,Comedy,Quit
USA,PG-13,6,Medium,High,Family,FellAsleep
USA,R,6.52,Low,Medium,Comedy,Survived
Germany,R,6.83,High,Low,History,LovedIt
USA,PG-13,7.01,Medium,Medium,History,Survived
USA,R,6.53,Low,Medium,Comedy,FellAsleep
UK,R,6.6,Low,Medium,Comedy,Quit
Canada,R,7.73,High,Medium,Drama,LovedIt
USA,R,6.13,Low,Low,History,FellAsleep
Japan,PG-13,6.3,Low,High,Family,FellAsleep
France,R,5.45,High,Medium,Drama,Quit
USA,R,7.27,Low,Low,History,FellAsleep
UK,PG-13,7.25,High,High,Family,Survived
USA,R,7.55,Medium,Medium,Drama,Survived
USA,G,5.76,Medium,Medium,Comedy,Quit
UK,R,6.73,High,Medium,Comedy,LovedIt
USA,PG,8.12,Low,Low,History,FellAsleep
UK,PG-13,6.81,High,High,Action,LovedIt
USA,PG-13,5.34,Low,Medium,Action,Quit
USA,R,7.42,Low,Low,History,Survived
USA,PG-13,7.64,Medium,Medium,Comedy,Survived
UK,R,8.2,Low,Low,History,Quit
USA,R,6.82,Medium,Medium,Comedy,Survived
USA,PG-13,6.88,High,High,Drama,LovedIt
USA,PG,3.71,High,Medium,Comedy,FellAsleep
USA,R,8.15,Low,Low,Action,LikedIt
Israel,R,9.01,High,Low,History,LovedIt
USA,PG-13,5.7,High,High,Action,Survived
Germany,PG-13,7.44,High,Low,History,LovedIt
USA,R,6.66,Medium,Medium,Comedy,Survived
USA,PG-13,5.65,Medium,High,Family,Quit
USA,PG-13,9.03,High,High,Drama,LikedIt
Germany,PG-13,4.71,High,Medium,Comedy,Quit
USA,PG,7.22,Medium,Low,History,Survived
UK,R,7.15,High,Medium,Comedy,LovedIt
UK,R,5.78,Low,Low,Drama,Quit
USA,R,9.89,Low,Low,History,LikedIt
USA,PG,5.7,High,Medium,Comedy,FellAsleep
USA,R,5.4,High,Low,Action,Quit
UK,PG,7.54,High,High,Sci-Fi,Quit
USA,PG-13,8.04,High,High,Family,LikedIt
USA,PG-13,6.17,High,Medium,Drama,LovedIt
USA,PG-13,7.31,High,High,Sci-Fi,LovedIt
USA,PG-13,6.04,High,High,Family,FellAsleep
USA,PG-13,7.77,Medium,Medium,Comedy,Survived
USA,PG,5.36,Medium,Medium,Comedy,FellAsleep
USA,R,7.63,High,Low,History,LovedIt
UK,PG,7.63,Low,Medium,Comedy,FellAsleep
USA,R,6.81,Low,Medium,Comedy,FellAsleep
UK,PG,7.03,High,Medium,Comedy,FellAsleep
USA,PG-13,3.28,Medium,Low,Drama,Quit
USA,R,7.76,High,Medium,Action,LovedIt
USA,PG,5.91,High,Medium,Comedy,FellAsleep
Spain,R,9.65,Medium,Low,Action,LikedIt
USA,PG,4.94,Medium,Medium,Comedy,FellAsleep
USA,PG-13,6,Medium,Medium,Drama,Survived
USA,PG,3.01,Medium,High,Family,Quit
USA,PG,5.73,High,High,Action,Quit
USA,R,8.65,High,Medium,Action,LikedIt
USA,PG-13,6.85,High,Medium,Drama,FellAsleep
USA,R,8.88,Medium,Medium,Drama,LikedIt
USA,R,6.39,Low,Medium,Drama,Survived
USA,PG-13,6.19,Medium,Medium,Drama,FellAsleep
USA,PG-13,8.87,Low,Medium,Comedy,LikedIt
USA,R,8.04,High,Low,History,Quit
USA,PG,8.6,Low,High,Family,LikedIt
USA,R,5.01,High,Medium,Comedy,Quit
France,R,8.26,Low,Low,History,Survived
USA,PG,5.31,Medium,Medium,Comedy,FellAsleep
USA,PG,8.65,Medium,Medium,Sci-Fi,LikedIt
Germany,R,6.3,Medium,Medium,Comedy,Quit
USA,R,6.78,High,Medium,Action,LovedIt
UK,R,6.42,High,Medium,Comedy,LovedIt
USA,R,10.71,High,Medium,Drama,LikedIt
USA,PG,6.67,High,High,Family,FellAsleep
USA,PG-13,7.19,High,Medium,Comedy,Survived
USA,R,7.24,Low,Low,Action,Quit
UK,R,8.27,Medium,Low,History,FellAsleep
Russia,R,5.66,Low,Medium,Action,Quit
USA,PG,6.42,High,High,Family,FellAsleep
USA,R,9.06,High,High,Family,LikedIt
USA,PG-13,7.87,High,High,Drama,LovedIt
USA,PG-13,5.29,Medium,High,Family,Quit
USA,PG-13,6.72,High,High,Drama,LovedIt
USA,R,7.21,Medium,High,Family,Survived
UK,PG-13,5.96,Medium,Medium,Action,Quit
USA,R,6.19,Low,Medium,Action,Quit
UK,PG-13,6.89,Low,Medium,History,Quit
UK,PG-13,7.45,Medium,Medium,Comedy,Survived
USA,PG,6.67,Medium,Medium,Comedy,FellAsleep
USA,PG-13,6.14,Medium,High,Family,Survived
USA,PG,7.64,Low,Medium,Drama,Quit
USA,PG,5.15,High,Medium,Comedy,FellAsleep
USA,R,6.63,Low,Low,History,Quit
USA,PG,2.18,Low,Medium,Comedy,FellAsleep
USA,PG-13,5.39,Low,Medium,Drama,Quit
USA,PG,4.99,Medium,Medium,Comedy,FellAsleep
France,R,6.32,Medium,Medium,Action,Survived
USA,PG,5.19,High,High,Family,Survived
USA,R,7.28,High,Medium,Action,LovedIt
UK,R,8.17,Medium,Low,History,FellAsleep
USA,PG-13,7.05,High,High,Family,Survived
USA,R,6.52,Low,Low,History,FellAsleep
UK,G,8.77,High,Low,History,Survived
USA,R,8.53,Medium,Low,Drama,Survived
Canada,R,9.72,Low,Low,Drama,LikedIt
Denmark,G,7.77,High,Low,History,LovedIt
USA,PG-13,6.2,High,High,Family,LovedIt
USA,R,4.11,Medium,Medium,Drama,Quit
USA,R,7.6,High,Low,History,LovedIt
UK,PG-13,6.74,Medium,Low,Drama,Quit
USA,PG-13,7.27,High,Medium,Comedy,Survived
South Africa,R,8.88,Low,Low,History,Quit
USA,PG-13,5.77,High,Medium,Comedy,Quit
USA,PG-13,5.7,High,High,Family,Quit
USA,PG-13,6.52,High,Medium,Action,FellAsleep
USA,PG,5.2,Medium,Medium,Comedy,LikedIt
USA,PG,7.14,High,Medium,Comedy,FellAsleep
UK,PG-13,9.58,Medium,Medium,Comedy,LikedIt
UK,R,10.2,Low,Low,History,LikedIt
USA,R,5.97,Low,Low,History,Quit
UK,PG,8.05,Medium,Low,History,Quit
USA,R,8.66,Medium,Medium,Comedy,LikedIt
USA,PG,5.75,High,High,Family,LikedIt
USA,PG-13,7.03,Medium,Medium,History,Quit
USA,PG-13,6.06,High,High,Family,LovedIt
USA,PG-13,5.7,High,High,Family,Quit
USA,R,6.37,Low,Low,History,FellAsleep
Canada,R,5.88,High,Medium,Drama,Quit
USA,R,9.56,High,Medium,History,LikedIt
USA,R,4.96,Low,Low,Drama,Quit
USA,R,5.01,Medium,High,Family,Quit
USA,R,5.69,Medium,Low,Action,Quit
UK,PG-13,7.84,High,High,Action,Survived
USA,G,9,Low,Medium,Comedy,Survived
USA,PG,3.71,Medium,High,Family,Quit
USA,PG-13,5.92,High,Medium,Sci-Fi,Quit
USA,R,6.16,Low,Low,History,Quit
USA,PG-13,6.15,High,Medium,Comedy,Survived
UK,PG-13,3.69,Low,High,Family,Quit
France,R,6.01,Low,Medium,Comedy,FellAsleep
UK,PG,7.22,Low,Medium,Comedy,FellAsleep
USA,PG,6.05,High,High,Family,LovedIt
USA,PG,6.81,High,Medium,Comedy,FellAsleep
USA,PG,6.95,High,Medium,Comedy,FellAsleep
USA,PG,3.58,Medium,Medium,Comedy,LovedIt
USA,R,5.51,High,High,Family,Quit
USA,PG,7.32,Low,Low,History,Quit
USA,R,8.93,High,Medium,Comedy,Survived
UK,PG-13,7.22,High,High,Action,LovedIt
USA,PG-13,7.37,Medium,Medium,Comedy,FellAsleep
USA,PG,7.59,Low,Low,Drama,FellAsleep
USA,PG-13,4.64,High,High,Family,Quit
USA,R,5.16,Medium,Medium,Action,Quit
USA,PG,6,Medium,Medium,Comedy,FellAsleep
USA,PG-13,6.08,High,High,Family,FellAsleep
USA,PG-13,6.85,Low,Low,Drama,Survived
UK,PG,5.7,Low,Low,Action,Quit
USA,R,5.41,High,Low,History,Quit
USA,R,9.14,Medium,Medium,Action,LikedIt
USA,PG,6.15,High,Medium,Comedy,FellAsleep
France,R,6.75,Low,Medium,Comedy,Survived
USA,PG-13,4.93,Medium,High,Sci-Fi,Quit
USA,PG-13,6.72,High,High,Family,LovedIt
USA,PG-13,8.96,Low,Medium,History,LikedIt
UK,R,8.71,Low,Low,History,Survived
USA,R,6.26,Medium,High,Action,FellAsleep
USA,PG,5.48,Medium,Medium,Comedy,FellAsleep
USA,R,7.47,High,Medium,Comedy,FellAsleep
USA,R,7.89,High,Medium,Comedy,LovedIt
Ireland,R,6.22,Low,Low,Drama,Survived
USA,R,6.97,Low,Medium,Action,Survived
USA,PG-13,5.57,High,High,Family,Quit
USA,PG,6.18,High,High,Family,Survived
USA,PG-13,4.39,High,High,Family,Quit
USA,PG-13,8.35,Medium,Medium,History,LikedIt
USA,PG,5.83,High,High,Family,Quit
UK,R,8.05,Medium,Low,History,FellAsleep
Canada,R,6.51,Low,Medium,Comedy,FellAsleep
USA,PG-13,8.03,High,High,Family,LikedIt
USA,PG-13,7.54,High,Medium,History,FellAsleep
USA,PG,4.2,Medium,High,Family,Quit
USA,PG-13,4.69,Medium,High,Family,Quit
USA,R,7.15,High,High,Family,FellAsleep
USA,R,7.57,High,Medium,Drama,FellAsleep
USA,R,5.99,Low,Low,History,Quit
France,PG-13,5.09,High,Low,History,Quit
USA,PG-13,3.95,High,High,History,Quit
USA,R,7.14,High,High,Family,FellAsleep
USA,R,5.43,High,Low,Drama,Quit
USA,PG-13,7.44,High,High,Drama,Quit
USA,PG,4.22,Medium,Medium,Comedy,FellAsleep
USA,R,6.85,High,High,Drama,LovedIt
UK,R,5.76,Low,Medium,Comedy,Quit
USA,PG-13,8.76,High,Medium,Comedy,LikedIt
USA,R,9.19,Medium,Medium,Action,LikedIt
France,R,8.71,Low,Medium,Comedy,LikedIt
Australia,PG,8.59,Low,Low,History,Quit
USA,R,5.78,High,High,Family,Quit
USA,PG,6.36,Medium,Medium,Comedy,FellAsleep
Japan,G,7.84,Medium,Medium,Sci-Fi,Survived
USA,G,7.53,Low,Low,History,Survived
USA,R,4.71,Medium,Medium,Comedy,Quit
Thailand,PG,5.76,High,Low,History,Quit
USA,PG,7.31,Low,Medium,Comedy,FellAsleep
USA,R,5.53,Medium,Medium,Action,Quit
USA,R,6.97,High,Medium,Action,LovedIt
USA,PG,6.16,High,Medium,Action,Survived
UK,R,8.15,Low,Low,History,Survived
Canada,R,7.06,Low,Low,Action,Survived
France,R,7.49,Low,Low,History,Survived
USA,PG-13,6.81,Low,Medium,Drama,Survived
USA,PG,5.73,High,High,Family,Quit
USA,R,6.62,Medium,Medium,Comedy,Quit
USA,PG-13,5.19,High,Medium,Comedy,Quit
Slovakia,R,6.91,High,Low,History,LovedIt
USA,PG,5.51,High,Medium,Comedy,FellAsleep
USA,G,7.27,High,Medium,Comedy,Survived
USA,PG-13,6,High,High,Family,Quit
USA,R,7.99,Medium,Medium,Comedy,FellAsleep
USA,R,4.26,Low,Low,Action,Quit
USA,R,5.92,Low,Low,Action,Quit
USA,R,6.51,High,Medium,Comedy,Survived
USA,R,5.7,High,High,Family,Quit
USA,PG-13,8.16,High,Medium,Comedy,LikedIt
USA,PG,5.47,High,High,Family,Quit
USA,R,6.31,High,Medium,Drama,LovedIt
USA,R,6.33,High,Low,History,LovedIt
USA,R,7.36,High,High,Action,FellAsleep
Australia,R,8.36,Low,Medium,Drama,LikedIt
USA,PG,6.68,Medium,Medium,Comedy,FellAsleep
USA,PG-13,6.55,High,High,Drama,Quit
China,PG-13,10.21,Low,Low,History,LikedIt
USA,R,5.32,Low,Low,Drama,Quit
USA,PG-13,7.54,Medium,Medium,Action,FellAsleep
Spain,R,10.38,Medium,Medium,History,LikedIt
USA,R,7.94,High,Medium,History,FellAsleep
USA,R,9.62,High,Low,History,LovedIt
USA,PG-13,7.85,Low,Medium,Drama,Quit
Germany,R,7.91,Medium,Low,Action,Survived
USA,PG-13,5.66,Medium,High,Sci-Fi,Quit
USA,R,5.72,Medium,Medium,Sci-Fi,Quit
France,R,6.97,High,Low,Comedy,LovedIt
USA,R,5.36,Medium,Medium,Action,Quit
USA,R,8.38,Low,Medium,Comedy,LikedIt
USA,PG-13,6.03,High,High,Family,Quit
France,R,8.66,Medium,Medium,Comedy,LikedIt
USA,PG-13,6.04,Medium,High,Drama,FellAsleep
USA,PG,7.39,Low,Medium,History,Survived
USA,PG,7.09,High,Low,History,LovedIt
USA,PG,7.04,High,Medium,Comedy,FellAsleep
USA,PG,8.53,High,Low,History,LovedIt
USA,PG-13,6.43,Medium,Medium,Comedy,FellAsleep
USA,R,6.71,Low,Low,History,FellAsleep
Germany,PG-13,5.33,Low,Low,Sci-Fi,Quit
USA,R,7.83,High,High,Family,Quit
Spain,PG-13,7.79,Medium,Medium,Sci-Fi,FellAsleep
China,PG-13,5.08,Low,High,Family,Quit
USA,PG-13,5,High,Low,History,Quit
Canada,R,5.83,High,Medium,Comedy,Quit
