"Party","Music","Host","WasThere","WasNotThere","CaloriesDanc"
"Boring","Classical","Xi","Janusz","Angela",443
"Boring","None","Katya","Billy","Angela",358
"Fun","Classical","Alex","Qiong","Vladimir",298
"Fun","Techno","Janek","Eva","Manny",364
"Fun","Classical","Xi","Eva","Vladimir",270
"Fun","Rock","Xi","Janusz","Vladimir",320
"Fun","HipHop","Alex","Qiong","Manny",176
"Fun","Rock","Alex","Ada","Vladimir",88
"Fun","HipHop","Alex","Eva","Joe",296
"Fun","Classical","Xi","Ada","Vladimir",122
"Fun","None","Xi","Janusz","Vladimir",313
"Boring","Techno","Janek","Eva","Angela",410
"ItwasOK","None","Sonya","Janusz","Angela",34
"Boring","Classical","Janek","Qiong","Joe",356
"Boring","Classical","Xi","Billy","Angela",208
"Fun","HipHop","Janek","Janusz","Manny",450
"Fun","HipHop","Xi","Billy","Manny",446
"ItwasOK","Techno","Sonya","Qiong","Joe",437
"Boring","None","Xi","Qiong","Angela",70
"Fun","None","Sonya","Qiong","Angela",397
"Fun","Classical","Katya","Ada","Manny",232
"ItwasOK","HipHop","Katya","Ada","Manny",81
"Boring","Techno","Alex","Qiong","Manny",297
"Fun","HipHop","Janek","Eva","Manny",235
"Fun","Rock","Janek","Janusz","Vladimir",100
"Fun","HipHop","Sonya","Eva","Manny",398
"ItwasOK","None","Xi","Qiong","Manny",424
"Boring","Techno","Xi","Ada","Joe",362
"Fun","HipHop","Sonya","Qiong","Vladimir",186
"ItwasOK","Techno","Janek","Qiong","Vladimir",3
"Boring","None","Xi","Qiong","Manny",250
"Boring","HipHop","Katya","Eva","Joe",481
"Boring","Classical","Katya","Eva","Manny",83
"Boring","Classical","Xi","Janusz","Angela",2
"Fun","HipHop","Sonya","Janusz","Joe",330
"ItwasOK","Rock","Alex","Billy","Joe",338
"Fun","HipHop","Janek","Eva","Vladimir",47
"Boring","HipHop","Xi","Billy","Angela",139
"Fun","None","Alex","Billy","Joe",114
"ItwasOK","HipHop","Xi","Janusz","Manny",53
"ItwasOK","None","Janek","Qiong","Joe",461
"ItwasOK","HipHop","Katya","Billy","Vladimir",401
"Boring","Classical","Katya","Eva","Angela",208
"Boring","Techno","Alex","Eva","Angela",40
"Fun","HipHop","Sonya","Ada","Angela",212
"Boring","Techno","Janek","Qiong","Manny",42
"ItwasOK","None","Sonya","Janusz","Manny",290
"Fun","Techno","Alex","Qiong","Vladimir",484
"ItwasOK","Classical","Alex","Ada","Joe",198
"Fun","Classical","Xi","Janusz","Joe",156
"Boring","Rock","Katya","Ada","Angela",2
"Fun","Techno","Katya","Eva","Vladimir",324
"Fun","Classical","Xi","Janusz","Vladimir",265
"Fun","None","Sonya","Ada","Vladimir",169
"Fun","HipHop","Katya","Billy","Joe",347
"Boring","Techno","Sonya","Eva","Angela",470
"Boring","None","Alex","Ada","Angela",396
"ItwasOK","Classical","Alex","Janusz","Joe",168
"ItwasOK","None","Alex","Janusz","Joe",480
"Boring","Techno","Sonya","Janusz","Angela",188
"Boring","None","Xi","Eva","Angela",399
"ItwasOK","Rock","Alex","Janusz","Joe",54
"Boring","HipHop","Xi","Billy","Angela",108
"Fun","None","Xi","Qiong","Vladimir",454
"Boring","None","Alex","Ada","Angela",414
"ItwasOK","Rock","Alex","Janusz","Manny",332
"Fun","None","Sonya","Eva","Joe",387
"Fun","Techno","Janek","Janusz","Vladimir",494
"Fun","Techno","Alex","Janusz","Manny",309
"Boring","Classical","Sonya","Eva","Angela",8
"Boring","Rock","Alex","Ada","Manny",346
"Fun","HipHop","Sonya","Eva","Joe",32
"Fun","Classical","Xi","Ada","Manny",231
"ItwasOK","Techno","Janek","Janusz","Vladimir",496
"Boring","Techno","Janek","Billy","Manny",344
"Boring","Rock","Sonya","Qiong","Angela",238
"Boring","Classical","Katya","Billy","Vladimir",236
"Boring","None","Xi","Ada","Joe",284
"Fun","HipHop","Xi","Billy","Vladimir",104
"ItwasOK","Techno","Xi","Janusz","Manny",326
"Fun","Classical","Xi","Janusz","Vladimir",27
"Boring","Classical","Katya","Janusz","Manny",266
"Fun","Techno","Katya","Eva","Vladimir",74
"Boring","Techno","Katya","Qiong","Joe",225
"ItwasOK","None","Xi","Janusz","Joe",183
"Fun","HipHop","Alex","Eva","Manny",259
"Fun","Techno","Sonya","Qiong","Joe",120
"Boring","Classical","Alex","Eva","Angela",270
"ItwasOK","None","Sonya","Janusz","Manny",480
"Boring","None","Katya","Eva","Angela",440
"Fun","None","Katya","Ada","Vladimir",155
"Fun","Techno","Janek","Qiong","Vladimir",311
"Fun","None","Katya","Eva","Angela",460
"Fun","None","Sonya","Ada","Joe",109
"ItwasOK","Techno","Katya","Qiong","Angela",104
"Fun","Techno","Janek","Janusz","Vladimir",435
"Boring","None","Xi","Janusz","Angela",306
"ItwasOK","None","Xi","Janusz","Joe",50
"Fun","HipHop","Janek","Ada","Vladimir",46
"Fun","Classical","Katya","Qiong","Vladimir",345
"Fun","None","Sonya","Qiong","Angela",85
"Boring","Rock","Janek","Ada","Manny",353
"Boring","HipHop","Sonya","Ada","Angela",81
"Fun","None","Sonya","Eva","Manny",296
"Fun","Rock","Sonya","Ada","Manny",224
"Boring","Rock","Janek","Eva","Vladimir",146
"Boring","Rock","Katya","Janusz","Manny",100
"Boring","None","Alex","Janusz","Joe",390
"Fun","None","Alex","Qiong","Joe",52
"Fun","Techno","Katya","Janusz","Vladimir",481
"Fun","Techno","Sonya","Janusz","Joe",324
"Boring","None","Xi","Eva","Angela",456
"Boring","Classical","Katya","Ada","Vladimir",348
"Fun","None","Sonya","Eva","Manny",358
"Fun","Rock","Alex","Ada","Vladimir",452
"ItwasOK","None","Xi","Eva","Manny",254
"ItwasOK","HipHop","Sonya","Ada","Vladimir",126
"Fun","Classical","Janek","Janusz","Angela",209
"Fun","HipHop","Alex","Ada","Manny",200
"Boring","Classical","Katya","Eva","Joe",413
"Boring","Rock","Katya","Eva","Joe",387
"Boring","Rock","Alex","Ada","Angela",278
"Fun","HipHop","Alex","Ada","Angela",303
"Boring","Techno","Xi","Qiong","Joe",382
"Boring","Rock","Janek","Billy","Angela",252
"Boring","Classical","Alex","Billy","Joe",36
"ItwasOK","None","Xi","Billy","Joe",178
"ItwasOK","None","Katya","Qiong","Joe",135
"Fun","Classical","Katya","Qiong","Manny",414
"Fun","Classical","Alex","Qiong","Angela",285
"Boring","Techno","Janek","Ada","Angela",120
"ItwasOK","Techno","Janek","Qiong","Manny",247
"Fun","Classical","Alex","Billy","Vladimir",235
"Boring","None","Alex","Janusz","Joe",197
"Fun","HipHop","Sonya","Janusz","Angela",317
"Boring","Rock","Janek","Eva","Angela",408
"Boring","None","Alex","Ada","Joe",398
"ItwasOK","Rock","Janek","Billy","Manny",465
"Boring","None","Sonya","Eva","Angela",194
"Fun","None","Sonya","Ada","Vladimir",386
"ItwasOK","None","Xi","Billy","Manny",238
"Boring","HipHop","Katya","Billy","Vladimir",230
"Fun","None","Alex","Janusz","Joe",232
"Fun","HipHop","Xi","Billy","Vladimir",211
"Boring","HipHop","Alex","Billy","Angela",93
"ItwasOK","Classical","Sonya","Janusz","Joe",48
"Boring","Rock","Katya","Eva","Vladimir",89
"Boring","Techno","Alex","Billy","Manny",69
"Fun","Rock","Xi","Eva","Manny",103
"Fun","Techno","Sonya","Janusz","Vladimir",144
"Boring","None","Janek","Billy","Angela",288
"ItwasOK","Rock","Xi","Billy","Angela",485
"Fun","None","Janek","Ada","Joe",169
"Boring","Classical","Katya","Billy","Angela",142
"Fun","None","Alex","Qiong","Manny",96
"Fun","HipHop","Alex","Eva","Vladimir",395
"ItwasOK","Rock","Xi","Janusz","Joe",168
"Boring","HipHop","Alex","Janusz","Angela",355
"Fun","Rock","Katya","Qiong","Manny",94
"Boring","Techno","Alex","Janusz","Joe",121
"Boring","None","Xi","Ada","Joe",136
"ItwasOK","Classical","Sonya","Ada","Manny",162
"Boring","Techno","Janek","Qiong","Angela",463
"Boring","Classical","Sonya","Ada","Joe",226
"Boring","None","Alex","Qiong","Angela",62
"Boring","Techno","Sonya","Qiong","Manny",347
"Boring","Techno","Sonya","Ada","Manny",210
"Fun","Classical","Xi","Ada","Vladimir",140
"Boring","Rock","Xi","Eva","Joe",62
"Boring","Classical","Sonya","Billy","Manny",28
"Fun","Classical","Katya","Billy","Manny",273
"ItwasOK","None","Sonya","Janusz","Joe",259
"Boring","Techno","Xi","Eva","Angela",459
"Fun","HipHop","Katya","Eva","Manny",398
"ItwasOK","Rock","Alex","Janusz","Manny",19
"Fun","None","Janek","Janusz","Vladimir",61
"Boring","Rock","Alex","Billy","Angela",481
"Fun","HipHop","Sonya","Eva","Joe",363
"ItwasOK","HipHop","Alex","Billy","Vladimir",352
"Fun","None","Sonya","Janusz","Vladimir",165
"Fun","Rock","Alex","Eva","Vladimir",11
"Boring","Techno","Sonya","Janusz","Angela",500
"Fun","None","Janek","Janusz","Joe",216
"Fun","Techno","Xi","Ada","Vladimir",83
"Boring","None","Janek","Janusz","Angela",11
"Fun","Techno","Alex","Billy","Vladimir",239
"Fun","None","Alex","Billy","Vladimir",96
"Boring","Rock","Xi","Eva","Vladimir",436
"Fun","Rock","Katya","Eva","Vladimir",81
"Boring","None","Alex","Eva","Angela",287
"Fun","HipHop","Sonya","Eva","Manny",446
"Fun","None","Sonya","Billy","Vladimir",126
"ItwasOK","Classical","Katya","Janusz","Angela",458
"Fun","None","Sonya","Eva","Manny",65
"ItwasOK","Techno","Sonya","Qiong","Manny",234
"Fun","Classical","Janek","Qiong","Vladimir",256
"ItwasOK","Rock","Janek","Janusz","Manny",23
"ItwasOK","Techno","Janek","Qiong","Manny",498
"Fun","Rock","Katya","Billy","Vladimir",34
"Fun","Techno","Janek","Eva","Joe",116
"Boring","Rock","Katya","Qiong","Manny",460
"Fun","None","Katya","Qiong","Vladimir",193
"Boring","Classical","Katya","Janusz","Angela",192
"Boring","HipHop","Katya","Ada","Angela",174
"Fun","Rock","Janek","Janusz","Vladimir",384
"Boring","None","Alex","Eva","Joe",405
"Fun","Rock","Janek","Billy","Joe",69
"ItwasOK","None","Xi","Billy","Joe",261
"Boring","HipHop","Katya","Janusz","Manny",74
"ItwasOK","Techno","Sonya","Qiong","Manny",378
"ItwasOK","Classical","Katya","Janusz","Manny",414
"Fun","Techno","Katya","Qiong","Vladimir",388
"Boring","Techno","Alex","Eva","Manny",190
"Boring","None","Janek","Qiong","Angela",118
"Fun","None","Alex","Billy","Manny",140
"Fun","HipHop","Alex","Janusz","Joe",392
"Boring","Rock","Xi","Qiong","Angela",102
"ItwasOK","Rock","Katya","Qiong","Manny",294
"Fun","HipHop","Alex","Ada","Vladimir",311
"Fun","Techno","Janek","Janusz","Joe",208
"Fun","HipHop","Katya","Qiong","Vladimir",285
"Fun","HipHop","Alex","Janusz","Joe",145
"Fun","Techno","Alex","Ada","Manny",252
"Fun","Rock","Katya","Qiong","Manny",392
"Boring","Classical","Alex","Qiong","Angela",432
"Boring","Classical","Xi","Eva","Manny",293
"Fun","HipHop","Xi","Eva","Vladimir",25
"ItwasOK","None","Katya","Ada","Manny",149
"Fun","Classical","Janek","Ada","Manny",289
"Fun","Classical","Sonya","Qiong","Vladimir",399
"Fun","HipHop","Alex","Janusz","Angela",490
"Boring","Classical","Sonya","Janusz","Joe",401
"Boring","HipHop","Alex","Billy","Manny",48
"Fun","Classical","Katya","Ada","Manny",418
"Fun","Rock","Janek","Eva","Vladimir",134
"ItwasOK","Techno","Xi","Billy","Vladimir",259
"Boring","Rock","Alex","Janusz","Angela",450
"Fun","Classical","Alex","Janusz","Manny",35
"Fun","HipHop","Katya","Billy","Angela",37
"Fun","Techno","Sonya","Ada","Vladimir",446
"ItwasOK","Rock","Janek","Janusz","Joe",47
"Boring","None","Sonya","Ada","Manny",119
"Fun","HipHop","Alex","Qiong","Vladimir",257
"Fun","Classical","Katya","Qiong","Vladimir",474
"Boring","HipHop","Katya","Eva","Angela",23
"ItwasOK","Techno","Xi","Billy","Manny",260
"Boring","HipHop","Katya","Ada","Vladimir",81
"Fun","None","Sonya","Qiong","Vladimir",79
"ItwasOK","Rock","Alex","Ada","Vladimir",404
"Boring","Rock","Sonya","Ada","Angela",238
"Boring","Classical","Alex","Billy","Joe",326
"Fun","Rock","Alex","Janusz","Vladimir",459
"Fun","Classical","Alex","Qiong","Manny",137
"Fun","Techno","Sonya","Janusz","Vladimir",3
"Boring","Rock","Alex","Qiong","Angela",405
"ItwasOK","None","Alex","Billy","Joe",486
"Fun","None","Janek","Billy","Vladimir",46
"Fun","HipHop","Katya","Janusz","Vladimir",313
"Fun","Classical","Katya","Eva","Manny",399
"Fun","HipHop","Alex","Eva","Joe",88
"Boring","Rock","Janek","Eva","Angela",465
"Fun","Rock","Sonya","Eva","Vladimir",405
"ItwasOK","HipHop","Katya","Billy","Manny",27
"Fun","Rock","Sonya","Qiong","Vladimir",159
"Boring","Techno","Xi","Billy","Manny",122
"ItwasOK","HipHop","Katya","Janusz","Angela",351
"ItwasOK","Rock","Alex","Ada","Joe",410
"Fun","Classical","Alex","Janusz","Vladimir",476
"Fun","None","Alex","Qiong","Vladimir",94
"Fun","HipHop","Sonya","Ada","Joe",499
"Fun","Techno","Alex","Ada","Vladimir",263
"ItwasOK","Rock","Sonya","Ada","Joe",64
"Fun","None","Alex","Eva","Vladimir",145
"Boring","Rock","Alex","Eva","Angela",467
"Boring","Rock","Xi","Billy","Joe",152
"Fun","Techno","Alex","Janusz","Joe",422
"ItwasOK","None","Janek","Ada","Manny",325
"Boring","Rock","Alex","Eva","Angela",467
"Boring","None","Xi","Billy","Angela",177
"Boring","Techno","Sonya","Eva","Angela",231
"ItwasOK","Classical","Janek","Billy","Angela",444
"Fun","Rock","Alex","Billy","Vladimir",267
"Fun","None","Sonya","Billy","Vladimir",471
"ItwasOK","Rock","Alex","Janusz","Joe",270
"Boring","Techno","Xi","Qiong","Angela",183
"Fun","Rock","Sonya","Qiong","Manny",315
"ItwasOK","Classical","Alex","Billy","Manny",487
"Fun","HipHop","Alex","Billy","Vladimir",329
"Boring","Techno","Janek","Billy","Joe",432
"Fun","Classical","Sonya","Qiong","Joe",471
"Fun","Classical","Janek","Billy","Manny",319
"Fun","None","Sonya","Ada","Joe",403
"Fun","Techno","Janek","Billy","Joe",159
"Boring","Techno","Sonya","Qiong","Joe",76
"Boring","Techno","Alex","Eva","Angela",14
"Fun","Techno","Katya","Ada","Joe",3
"Boring","Classical","Alex","Ada","Angela",298
"ItwasOK","Techno","Katya","Billy","Joe",190
"Boring","Rock","Janek","Ada","Joe",296
"ItwasOK","None","Katya","Qiong","Joe",66
"ItwasOK","None","Alex","Qiong","Manny",67
"Fun","None","Katya","Janusz","Manny",10
"Fun","Techno","Alex","Eva","Joe",54
"Fun","None","Janek","Qiong","Vladimir",90
"Fun","Rock","Alex","Janusz","Vladimir",43
"Fun","HipHop","Alex","Janusz","Manny",432
"Fun","None","Janek","Eva","Joe",91
"Boring","Rock","Sonya","Billy","Angela",216
"Fun","None","Katya","Janusz","Vladimir",395
"ItwasOK","Techno","Katya","Qiong","Manny",460
"Boring","Classical","Xi","Qiong","Angela",242
"ItwasOK","None","Sonya","Billy","Manny",467
"Fun","HipHop","Xi","Eva","Joe",442
"ItwasOK","None","Sonya","Eva","Vladimir",207
"Fun","Rock","Janek","Eva","Vladimir",316
"Boring","Classical","Xi","Qiong","Joe",496
"Boring","None","Xi","Janusz","Angela",298
"ItwasOK","Techno","Janek","Ada","Vladimir",44
"Boring","Rock","Janek","Ada","Joe",268
"Fun","Rock","Xi","Ada","Vladimir",74
"Fun","Classical","Janek","Ada","Vladimir",311
"Fun","Rock","Sonya","Qiong","Vladimir",96
"Boring","Classical","Katya","Janusz","Angela",233
"Boring","Rock","Janek","Qiong","Angela",60
"ItwasOK","Rock","Alex","Janusz","Vladimir",196
"ItwasOK","None","Sonya","Billy","Manny",409
"Fun","Rock","Sonya","Qiong","Vladimir",73
"Fun","HipHop","Xi","Eva","Vladimir",201
"Boring","Classical","Janek","Eva","Manny",135
"Boring","Rock","Katya","Eva","Vladimir",126
"Boring","HipHop","Katya","Ada","Joe",146
"Fun","Rock","Xi","Eva","Vladimir",331
"Boring","None","Xi","Eva","Manny",491
"Boring","HipHop","Sonya","Qiong","Manny",57
"Boring","Techno","Alex","Billy","Manny",317
"Boring","Rock","Xi","Janusz","Angela",284
"Fun","None","Katya","Eva","Manny",32
"Fun","HipHop","Katya","Ada","Angela",316
"Boring","HipHop","Sonya","Eva","Joe",262
"Boring","HipHop","Janek","Janusz","Joe",332
"Fun","HipHop","Katya","Janusz","Joe",493
"Boring","None","Katya","Janusz","Angela",70
"Fun","Classical","Janek","Qiong","Vladimir",457
"Fun","None","Sonya","Eva","Vladimir",464
"Boring","Rock","Sonya","Billy","Angela",70
"ItwasOK","Rock","Janek","Billy","Joe",20
"Fun","Rock","Xi","Billy","Vladimir",71
"ItwasOK","None","Sonya","Eva","Joe",366
"Boring","HipHop","Alex","Janusz","Vladimir",146
"Boring","Techno","Xi","Qiong","Angela",477
"ItwasOK","None","Xi","Janusz","Joe",459
"Fun","None","Sonya","Ada","Manny",247
"Fun","Classical","Katya","Billy","Manny",494
"Boring","None","Xi","Ada","Angela",267
"ItwasOK","Classical","Xi","Billy","Manny",300
"ItwasOK","None","Janek","Eva","Joe",221
"ItwasOK","Techno","Katya","Janusz","Joe",94
"ItwasOK","None","Sonya","Janusz","Manny",280
"Boring","Rock","Sonya","Ada","Angela",123
"Fun","HipHop","Janek","Eva","Manny",284
"Boring","Techno","Katya","Janusz","Manny",333
"Fun","None","Katya","Eva","Vladimir",18
"ItwasOK","Techno","Xi","Eva","Joe",47
"Fun","Techno","Alex","Janusz","Angela",396
"ItwasOK","Classical","Janek","Qiong","Joe",464
"ItwasOK","Classical","Katya","Billy","Joe",109
"Boring","None","Sonya","Ada","Angela",329
"ItwasOK","Classical","Katya","Ada","Angela",205
"ItwasOK","Classical","Katya","Qiong","Vladimir",153
"Fun","HipHop","Sonya","Qiong","Manny",435
"ItwasOK","Rock","Xi","Janusz","Angela",306
"Boring","Classical","Alex","Eva","Angela",41
"ItwasOK","HipHop","Sonya","Janusz","Joe",122
"Boring","None","Katya","Eva","Angela",225
"ItwasOK","Rock","Sonya","Qiong","Joe",77
"ItwasOK","Rock","Katya","Eva","Angela",172
"Fun","HipHop","Sonya","Ada","Manny",345
"Fun","Classical","Xi","Janusz","Joe",185
"Boring","Rock","Janek","Eva","Angela",364
"Fun","Techno","Xi","Billy","Vladimir",308
"ItwasOK","Rock","Janek","Qiong","Joe",480
"Boring","HipHop","Alex","Janusz","Joe",20
"ItwasOK","HipHop","Katya","Billy","Joe",111
"Fun","Classical","Sonya","Eva","Joe",221
"Boring","Classical","Katya","Janusz","Vladimir",86
"Boring","Rock","Alex","Eva","Joe",269
"Fun","HipHop","Janek","Ada","Angela",244
"ItwasOK","Classical","Katya","Billy","Manny",458
"Boring","Rock","Sonya","Ada","Angela",8
"Boring","Techno","Janek","Billy","Manny",450
"ItwasOK","Rock","Janek","Ada","Manny",320
"Boring","Classical","Xi","Qiong","Angela",260
"Fun","Rock","Sonya","Janusz","Vladimir",145
"Boring","None","Alex","Janusz","Angela",498
"Fun","HipHop","Janek","Qiong","Manny",307
"Fun","None","Katya","Billy","Vladimir",315
"Boring","Classical","Alex","Ada","Joe",399
"Fun","None","Katya","Qiong","Manny",334
"Fun","Rock","Sonya","Billy","Vladimir",96
"Boring","Rock","Alex","Ada","Angela",286
"Fun","HipHop","Sonya","Eva","Manny",443
"Boring","Classical","Katya","Janusz","Manny",267
"Fun","Classical","Katya","Ada","Angela",462
"Boring","HipHop","Sonya","Ada","Manny",62
"Fun","Classical","Janek","Billy","Joe",478
"ItwasOK","None","Katya","Janusz","Manny",200
"ItwasOK","Classical","Alex","Billy","Manny",192
"Fun","Rock","Janek","Qiong","Manny",262
"Boring","Classical","Katya","Ada","Manny",375
"Fun","Classical","Janek","Eva","Vladimir",219
"Fun","Rock","Alex","Ada","Vladimir",54
"Fun","HipHop","Katya","Ada","Joe",497
"Fun","HipHop","Janek","Ada","Manny",117
"ItwasOK","Techno","Katya","Ada","Manny",319
"Boring","HipHop","Katya","Eva","Angela",286
"Fun","HipHop","Katya","Ada","Manny",452
"Boring","HipHop","Xi","Janusz","Vladimir",246
"ItwasOK","Classical","Xi","Ada","Angela",483
"Boring","Rock","Xi","Qiong","Joe",291
"Boring","Techno","Katya","Qiong","Manny",282
"Fun","Techno","Sonya","Ada","Vladimir",364
"Fun","Techno","Janek","Ada","Vladimir",8
"Fun","HipHop","Janek","Eva","Joe",226
"Fun","None","Sonya","Janusz","Angela",400
"Fun","HipHop","Alex","Janusz","Joe",12
"Boring","Rock","Sonya","Qiong","Joe",409
"ItwasOK","Classical","Xi","Billy","Joe",328
"Boring","None","Katya","Janusz","Angela",384
"Fun","Classical","Sonya","Eva","Angela",127
"Fun","Rock","Xi","Janusz","Vladimir",435
"Boring","Rock","Janek","Eva","Angela",213
"Fun","HipHop","Alex","Billy","Joe",275
"Fun","Classical","Janek","Qiong","Vladimir",238
"ItwasOK","Classical","Xi","Janusz","Manny",362
"Fun","Rock","Janek","Eva","Joe",233
"Fun","HipHop","Janek","Eva","Manny",346
"Boring","Classical","Sonya","Qiong","Joe",459
"Fun","None","Sonya","Eva","Vladimir",475
"Boring","HipHop","Xi","Qiong","Angela",173
"Boring","Classical","Sonya","Eva","Angela",189
"Boring","None","Alex","Ada","Angela",247
"Boring","None","Janek","Billy","Manny",273
"Fun","Rock","Alex","Ada","Joe",127
"Fun","Rock","Sonya","Billy","Vladimir",265
"Boring","HipHop","Sonya","Janusz","Manny",179
"Fun","None","Katya","Ada","Angela",443
"Boring","Classical","Janek","Billy","Angela",444
"ItwasOK","Classical","Janek","Qiong","Joe",459
"Fun","Techno","Xi","Ada","Vladimir",470
"Boring","Rock","Katya","Billy","Angela",23
"Boring","Rock","Alex","Eva","Manny",409
"ItwasOK","Techno","Katya","Eva","Manny",272
"Fun","HipHop","Sonya","Qiong","Joe",433
"Boring","None","Janek","Billy","Angela",484
"ItwasOK","Rock","Janek","Janusz","Joe",250
"ItwasOK","None","Janek","Qiong","Joe",53
"Fun","HipHop","Xi","Ada","Angela",454
"Boring","HipHop","Janek","Qiong","Manny",378
"Boring","None","Alex","Billy","Angela",361
"Boring","HipHop","Sonya","Janusz","Angela",100
"Fun","None","Alex","Janusz","Manny",131
"Boring","Techno","Alex","Qiong","Joe",330
"Fun","Classical","Janek","Janusz","Joe",190
"Fun","Classical","Sonya","Janusz","Vladimir",180
"Boring","Classical","Alex","Qiong","Joe",390
"Fun","HipHop","Katya","Janusz","Vladimir",486
"Boring","None","Janek","Ada","Joe",408
"Fun","None","Katya","Janusz","Vladimir",311
"Boring","Classical","Alex","Billy","Angela",278
"ItwasOK","Techno","Alex","Billy","Joe",8
"ItwasOK","Techno","Janek","Eva","Joe",133
"ItwasOK","None","Sonya","Billy","Angela",405
"Boring","Techno","Xi","Eva","Manny",80
"Boring","Classical","Xi","Ada","Manny",75
"ItwasOK","None","Sonya","Qiong","Angela",288
"Boring","Classical","Sonya","Janusz","Joe",21
"ItwasOK","Classical","Sonya","Janusz","Joe",183
"Boring","Classical","Janek","Qiong","Joe",173
"Fun","Techno","Janek","Janusz","Vladimir",95
"Boring","Techno","Alex","Eva","Angela",45
"Fun","Rock","Sonya","Qiong","Vladimir",422
"Fun","None","Janek","Qiong","Angela",98
"ItwasOK","HipHop","Sonya","Billy","Joe",41
"Boring","Techno","Katya","Qiong","Joe",63
"Fun","Classical","Janek","Janusz","Manny",213
"Fun","Classical","Sonya","Janusz","Joe",67
"ItwasOK","Rock","Xi","Janusz","Angela",363
"Fun","HipHop","Xi","Ada","Vladimir",208
"Boring","None","Sonya","Janusz","Angela",235
"ItwasOK","None","Xi","Qiong","Vladimir",316
"Boring","None","Alex","Billy","Manny",206
"ItwasOK","Techno","Janek","Billy","Manny",366
"ItwasOK","Techno","Katya","Ada","Manny",77
"Boring","Techno","Sonya","Eva","Angela",94
"Fun","Rock","Sonya","Ada","Angela",494
"Fun","Classical","Janek","Qiong","Vladimir",260
"Fun","HipHop","Alex","Eva","Joe",389
"ItwasOK","HipHop","Alex","Janusz","Joe",169
"Boring","HipHop","Katya","Ada","Joe",42
"Fun","HipHop","Xi","Janusz","Manny",231
"ItwasOK","Rock","Alex","Ada","Joe",441
"ItwasOK","Classical","Sonya","Janusz","Vladimir",121
"ItwasOK","Techno","Katya","Janusz","Joe",148
"Boring","Techno","Xi","Ada","Manny",82
"Fun","Techno","Sonya","Janusz","Manny",8
"Boring","Rock","Sonya","Ada","Angela",286
"Boring","Techno","Janek","Qiong","Joe",291
"Boring","None","Alex","Ada","Angela",31
"Boring","Rock","Sonya","Eva","Angela",277
"Fun","Rock","Katya","Qiong","Vladimir",451
"Boring","Techno","Katya","Ada","Joe",55
"Boring","Techno","Katya","Qiong","Vladimir",351
"Fun","None","Janek","Billy","Vladimir",467
"ItwasOK","Classical","Sonya","Eva","Manny",335
"Fun","HipHop","Janek","Ada","Vladimir",288
"Fun","Classical","Janek","Janusz","Manny",192
"Boring","HipHop","Alex","Ada","Joe",6
"Boring","HipHop","Xi","Ada","Vladimir",280
"Fun","None","Sonya","Ada","Joe",397
"Fun","Techno","Katya","Janusz","Angela",116
"Boring","Classical","Alex","Billy","Manny",259
"Fun","Classical","Xi","Billy","Manny",407
"ItwasOK","HipHop","Alex","Qiong","Manny",204
"Fun","Techno","Katya","Janusz","Vladimir",105
"ItwasOK","None","Xi","Qiong","Manny",487
"Fun","Techno","Janek","Billy","Vladimir",96
