Beer,Day,Location,SoftDrinks,Sweets,Wine,Snacks
None,Weekend,Princeton,Cola,Milky Way,Red,Popcorn
Lager,Weekend,New Brunswick,Cola,Snickers,None,None
None,Weekend,Metuchen,Orange  Juice,Snickers,White,None
Ale,Weekend,Metuchen,None,Twix,Red,Pretzels
Lager,Weekend,New Brunswick,None,Twix,White,Crackers
Lager,Weekday,Metuchen,None,Twix,White,None
None,Weekday,Edison,Orange  Juice,Twix,Red,None
Ale,Weekday,New Brunswick,None,Twix,White,None
None,Weekday,Princeton,Sprite,Twix,None,Potato Chips
Ale,Weekday,New Brunswick,Sprite,Milky Way,White,None
None,Weekday,Metuchen,Orange  Juice,Snickers,None,None
Ale,Weekend,Metuchen,Cola,Milky Way,White,None
Ale,Weekend,Metuchen,Orange  Juice,Milky Way,White,Popcorn
Ale,Weekday,Edison,None,Milky Way,Red,None
Lager,Weekday,Metuchen,Cola,Snickers,Red,Popcorn
Lager,Weekend,New Brunswick,Sprite,Milky Way,White,Crackers
Ale,Weekend,Edison,None,Twix,Red,None
Ale,Weekend,Edison,Orange  Juice,Twix,White,None
Ale,Weekday,Edison,Cola,Milky Way,White,Crackers
Lager,Weekday,Princeton,None,Milky Way,Red,Crackers
Lager,Weekend,New Brunswick,Cola,Snickers,White,Potato Chips
Lager,Weekday,Princeton,Orange  Juice,Milky Way,White,Crackers
Lager,Weekend,Metuchen,None,Twix,None,None
None,Weekend,Metuchen,Orange  Juice,Twix,Red,Potato Chips
Ale,Weekday,Princeton,Sprite,Milky Way,Red,Potato Chips
Ale,Weekday,Princeton,None,Snickers,Red,None
None,Weekday,New Brunswick,Cola,Milky Way,Red,None
Lager,Weekend,New Brunswick,Orange  Juice,Milky Way,White,None
Lager,Weekend,Metuchen,Sprite,Snickers,Red,Pretzels
None,Weekday,Metuchen,Sprite,Milky Way,White,Popcorn
None,Weekday,Princeton,Orange  Juice,Twix,None,None
None,Weekday,Edison,Cola,Milky Way,Red,None
None,Weekend,Princeton,Orange  Juice,Twix,White,None
None,Weekday,Edison,Cola,Snickers,None,None
Ale,Weekend,Edison,Cola,Snickers,None,None
None,Weekend,Princeton,Orange  Juice,Twix,Red,None
Lager,Weekday,Edison,None,Snickers,White,Popcorn
Lager,Weekday,New Brunswick,None,Snickers,Red,None
None,Weekend,Princeton,None,Twix,Red,Pretzels
Ale,Weekday,Metuchen,Sprite,Snickers,Red,None
Lager,Weekday,Edison,Sprite,Milky Way,None,Pretzels
Ale,Weekend,Princeton,Orange  Juice,Snickers,White,None
Ale,Weekend,New Brunswick,Cola,Milky Way,Red,None
Ale,Weekday,Metuchen,None,Snickers,White,Pretzels
None,Weekend,Edison,Cola,Milky Way,White,None
None,Weekend,New Brunswick,Orange  Juice,Milky Way,None,Pretzels
None,Weekday,New Brunswick,Cola,Milky Way,White,None
Ale,Weekday,New Brunswick,Orange  Juice,Milky Way,Red,Popcorn
Lager,Weekday,New Brunswick,None,Snickers,None,None
Lager,Weekday,New Brunswick,Orange  Juice,Snickers,Red,Crackers
None,Weekday,Metuchen,Orange  Juice,Milky Way,Red,Potato Chips
Lager,Weekday,Edison,Sprite,Twix,Red,None
Ale,Weekday,New Brunswick,Sprite,Twix,None,None
Lager,Weekend,New Brunswick,Cola,Snickers,White,Pretzels
Lager,Weekday,Princeton,Sprite,Snickers,Red,Pretzels
Ale,Weekend,New Brunswick,Cola,Milky Way,White,None
Lager,Weekend,Edison,Cola,Twix,None,None
Lager,Weekend,New Brunswick,None,Snickers,None,Potato Chips
None,Weekend,Edison,Orange  Juice,Snickers,White,None
Lager,Weekend,Princeton,Sprite,Milky Way,White,None
Lager,Weekend,Edison,Orange  Juice,Twix,None,Popcorn
Ale,Weekend,New Brunswick,None,Milky Way,None,None
None,Weekend,Edison,Orange  Juice,Twix,White,Crackers
Ale,Weekend,New Brunswick,None,Twix,None,Pretzels
Lager,Weekday,Metuchen,Orange  Juice,Snickers,Red,Potato Chips
Ale,Weekday,Metuchen,Orange  Juice,Milky Way,None,Crackers
Lager,Weekend,New Brunswick,Orange  Juice,Snickers,None,Popcorn
Ale,Weekend,New Brunswick,None,Milky Way,White,None
Ale,Weekend,Metuchen,Sprite,Twix,Red,None
None,Weekend,Metuchen,Cola,Snickers,None,None
Ale,Weekday,Princeton,Cola,Twix,Red,Pretzels
None,Weekend,Metuchen,None,Twix,Red,Potato Chips
Ale,Weekday,New Brunswick,None,Snickers,Red,None
Ale,Weekend,Metuchen,None,Snickers,Red,Popcorn
Ale,Weekend,Metuchen,Cola,Snickers,None,None
Lager,Weekday,Metuchen,Orange  Juice,Milky Way,White,Potato Chips
Ale,Weekday,Edison,None,Milky Way,White,None
None,Weekend,Edison,Orange  Juice,Twix,None,None
None,Weekday,Edison,None,Milky Way,White,Potato Chips
None,Weekday,Princeton,Orange  Juice,Twix,White,None
Lager,Weekday,Edison,Cola,Milky Way,None,Popcorn
Ale,Weekday,Princeton,Sprite,Twix,Red,None
Ale,Weekday,Edison,Cola,Milky Way,None,Pretzels
Ale,Weekday,Edison,None,Snickers,White,None
Lager,Weekend,Metuchen,Cola,Milky Way,None,Popcorn
Lager,Weekend,New Brunswick,Orange  Juice,Twix,White,Potato Chips
Ale,Weekday,Edison,Cola,Twix,Red,None
Lager,Weekday,New Brunswick,Sprite,Snickers,None,Popcorn
Ale,Weekday,Princeton,None,Twix,None,None
Lager,Weekday,Edison,Orange  Juice,Milky Way,None,None
None,Weekday,Metuchen,Sprite,Milky Way,Red,None
None,Weekday,Princeton,Sprite,Snickers,White,Popcorn
None,Weekend,New Brunswick,Sprite,Snickers,None,None
Lager,Weekend,Edison,None,Twix,Red,None
None,Weekday,Edison,Orange  Juice,Milky Way,Red,Popcorn
Ale,Weekday,Metuchen,Orange  Juice,Milky Way,None,Popcorn
None,Weekend,New Brunswick,Sprite,Milky Way,Red,Pretzels
None,Weekday,Princeton,None,Snickers,None,None
Ale,Weekday,New Brunswick,Sprite,Snickers,White,None
Lager,Weekday,New Brunswick,None,Milky Way,Red,Potato Chips
None,Weekday,Princeton,Sprite,Milky Way,None,None
Ale,Weekday,Princeton,None,Twix,Red,Potato Chips
Ale,Weekday,New Brunswick,Orange  Juice,Milky Way,White,None
Lager,Weekday,Edison,Orange  Juice,Snickers,White,None
Ale,Weekend,Metuchen,Orange  Juice,Milky Way,None,None
Ale,Weekend,Princeton,Orange  Juice,Milky Way,Red,Pretzels
Ale,Weekend,Metuchen,Sprite,Milky Way,Red,None
Lager,Weekday,Metuchen,Sprite,Snickers,White,None
Ale,Weekend,New Brunswick,Orange  Juice,Snickers,None,Popcorn
None,Weekday,Metuchen,Cola,Twix,White,Crackers
Lager,Weekend,New Brunswick,None,Snickers,White,Pretzels
None,Weekday,New Brunswick,None,Milky Way,White,None
None,Weekend,Metuchen,Orange  Juice,Milky Way,None,Potato Chips
None,Weekend,Metuchen,Cola,Milky Way,Red,None
Lager,Weekend,Princeton,Orange  Juice,Milky Way,None,None
Lager,Weekday,Metuchen,Cola,Milky Way,None,None
None,Weekend,Edison,Cola,Twix,Red,None
Ale,Weekday,Princeton,Orange  Juice,Snickers,None,Pretzels
Lager,Weekend,Princeton,Cola,Snickers,None,Popcorn
Ale,Weekday,Metuchen,None,Snickers,Red,None
None,Weekday,New Brunswick,Sprite,Milky Way,Red,None
Lager,Weekday,New Brunswick,Sprite,Milky Way,None,None
Ale,Weekend,Edison,Orange  Juice,Snickers,Red,Crackers
Ale,Weekend,Edison,Orange  Juice,Milky Way,White,Potato Chips
None,Weekend,Edison,Cola,Milky Way,None,None
None,Weekend,Edison,Cola,Snickers,White,None
Ale,Weekend,New Brunswick,None,Snickers,White,Pretzels
Lager,Weekday,Princeton,Orange  Juice,Twix,Red,None
Ale,Weekday,Edison,None,Twix,White,None
None,Weekday,Edison,Cola,Milky Way,Red,None
None,Weekend,Metuchen,None,Milky Way,Red,Potato Chips
Ale,Weekend,Edison,Sprite,Twix,White,Pretzels
Lager,Weekday,Princeton,Sprite,Twix,None,Crackers
Lager,Weekend,Princeton,Cola,Twix,Red,Potato Chips
None,Weekend,New Brunswick,Sprite,Twix,White,None
None,Weekend,Metuchen,Orange  Juice,Milky Way,Red,Crackers
None,Weekday,Edison,Cola,Milky Way,White,None
Ale,Weekday,Princeton,None,Snickers,White,None
None,Weekday,New Brunswick,Orange  Juice,Snickers,None,None
None,Weekend,Princeton,Orange  Juice,Twix,White,None
Lager,Weekday,Princeton,Sprite,Snickers,Red,None
Lager,Weekday,Princeton,Sprite,Milky Way,None,None
None,Weekend,Edison,Orange  Juice,Twix,Red,None
Lager,Weekday,Edison,Cola,Snickers,White,None
Ale,Weekday,Metuchen,Cola,Twix,Red,None
None,Weekday,Metuchen,Orange  Juice,Milky Way,None,Crackers
Ale,Weekday,Metuchen,Sprite,Snickers,None,None
None,Weekend,Metuchen,None,Milky Way,White,Crackers
Lager,Weekday,Metuchen,Cola,Milky Way,Red,Popcorn
Ale,Weekday,New Brunswick,None,Twix,Red,None
Ale,Weekday,Metuchen,Cola,Snickers,None,None
None,Weekday,Metuchen,Sprite,Milky Way,White,None
None,Weekday,Metuchen,Cola,Snickers,Red,None
Ale,Weekend,Edison,Orange  Juice,Milky Way,Red,None
Ale,Weekday,Edison,Cola,Milky Way,White,None
None,Weekend,Metuchen,Orange  Juice,Twix,None,None
Ale,Weekday,New Brunswick,Sprite,Milky Way,None,None
None,Weekend,Edison,None,Snickers,Red,Crackers
Lager,Weekend,New Brunswick,None,Twix,White,None
None,Weekend,Metuchen,Orange  Juice,Milky Way,Red,None
Lager,Weekday,Edison,Cola,Twix,White,Crackers
Lager,Weekend,Metuchen,Cola,Milky Way,White,None
Lager,Weekday,New Brunswick,Sprite,Milky Way,None,Popcorn
None,Weekend,Metuchen,None,Snickers,None,Crackers
None,Weekday,New Brunswick,None,Milky Way,White,Pretzels
Ale,Weekday,New Brunswick,Sprite,Snickers,White,None
None,Weekday,Metuchen,None,Twix,None,Potato Chips
Lager,Weekend,Princeton,Orange  Juice,Snickers,White,None
Lager,Weekday,Princeton,None,Twix,Red,None
None,Weekend,New Brunswick,Cola,Twix,White,None
None,Weekday,Edison,Orange  Juice,Twix,None,Popcorn
Ale,Weekend,Edison,None,Twix,White,None
None,Weekday,Metuchen,None,Snickers,None,Potato Chips
None,Weekend,Princeton,None,Twix,Red,Crackers
Ale,Weekday,Edison,Cola,Twix,Red,None
Lager,Weekend,Metuchen,Sprite,Snickers,White,None
None,Weekend,Princeton,Sprite,Milky Way,None,None
None,Weekend,Edison,None,Snickers,White,None
None,Weekday,Metuchen,Sprite,Twix,None,Crackers
None,Weekday,Princeton,Orange  Juice,Twix,White,None
None,Weekday,New Brunswick,Cola,Milky Way,Red,None
Ale,Weekday,Princeton,Sprite,Snickers,None,Popcorn
Lager,Weekend,Princeton,Cola,Snickers,White,None
None,Weekday,Edison,None,Snickers,None,Pretzels
Ale,Weekend,New Brunswick,Cola,Twix,None,None
Ale,Weekend,Edison,None,Milky Way,Red,Crackers
Lager,Weekend,Edison,Sprite,Snickers,None,Pretzels
Lager,Weekend,Edison,Cola,Twix,None,None
Ale,Weekday,Edison,Cola,Milky Way,None,None
None,Weekend,New Brunswick,Cola,Twix,Red,Popcorn
None,Weekday,New Brunswick,Orange  Juice,Milky Way,White,Pretzels
None,Weekday,Metuchen,Sprite,Twix,White,None
Ale,Weekday,Princeton,Orange  Juice,Twix,Red,None
None,Weekend,Princeton,Sprite,Snickers,Red,Pretzels
Lager,Weekend,New Brunswick,Cola,Milky Way,Red,Potato Chips
Lager,Weekday,Metuchen,None,Twix,None,None
Lager,Weekday,Edison,Cola,Twix,None,Potato Chips
Ale,Weekday,Edison,Sprite,Milky Way,White,Potato Chips
Ale,Weekend,Edison,Sprite,Milky Way,Red,None
None,Weekend,Princeton,None,Milky Way,None,None
None,Weekend,Princeton,Cola,Milky Way,White,None
Lager,Weekend,New Brunswick,Sprite,Snickers,None,Crackers
None,Weekend,Princeton,Cola,Twix,White,None
None,Weekday,Metuchen,Orange  Juice,Milky Way,Red,None
None,Weekday,Princeton,Orange  Juice,Twix,None,Pretzels
Lager,Weekday,Edison,None,Snickers,Red,None
Ale,Weekday,Metuchen,Sprite,Twix,Red,Crackers
None,Weekday,Princeton,None,Twix,Red,None
None,Weekend,Metuchen,None,Twix,None,None
Ale,Weekday,Edison,None,Twix,Red,Popcorn
None,Weekday,Metuchen,Sprite,Milky Way,Red,Pretzels
None,Weekend,Princeton,None,Snickers,None,None
None,Weekday,Metuchen,Orange  Juice,Twix,None,None
Ale,Weekend,Edison,None,Twix,Red,Potato Chips
Lager,Weekend,Princeton,Orange  Juice,Snickers,White,None
Ale,Weekday,Princeton,Orange  Juice,Twix,White,None
None,Weekend,New Brunswick,None,Snickers,None,Pretzels
Ale,Weekend,Metuchen,Cola,Milky Way,White,None
None,Weekend,Princeton,Sprite,Twix,White,None
Lager,Weekday,Metuchen,Sprite,Snickers,None,Crackers
None,Weekday,Princeton,Cola,Twix,None,Popcorn
Ale,Weekday,New Brunswick,Cola,Twix,None,None
None,Weekday,New Brunswick,None,Twix,White,None
None,Weekday,Princeton,Sprite,Milky Way,None,None
Ale,Weekday,Metuchen,None,Snickers,White,None
None,Weekday,Princeton,Orange  Juice,Milky Way,None,Popcorn
Ale,Weekday,Edison,Sprite,Twix,White,None
None,Weekday,Edison,Cola,Milky Way,Red,None
Lager,Weekend,Metuchen,Cola,Milky Way,Red,Potato Chips
Lager,Weekend,Metuchen,Cola,Twix,Red,Potato Chips
Lager,Weekend,Metuchen,Orange  Juice,Milky Way,None,None
None,Weekend,Edison,Sprite,Milky Way,None,Crackers
Lager,Weekend,Metuchen,None,Twix,None,Potato Chips
Lager,Weekend,Metuchen,None,Twix,White,None
Ale,Weekend,New Brunswick,Sprite,Twix,Red,None
Lager,Weekend,Edison,Sprite,Snickers,None,Potato Chips
None,Weekday,Edison,Orange  Juice,Milky Way,None,None
Lager,Weekend,Metuchen,Cola,Milky Way,Red,None
None,Weekday,Princeton,Orange  Juice,Twix,Red,None
Ale,Weekend,Edison,Cola,Twix,White,None
None,Weekday,Princeton,None,Twix,Red,Potato Chips
Ale,Weekday,Edison,Orange  Juice,Snickers,None,None
Lager,Weekend,Princeton,None,Milky Way,White,Popcorn
None,Weekend,Princeton,Cola,Milky Way,White,None
None,Weekend,Edison,Orange  Juice,Twix,White,Crackers
Lager,Weekday,Princeton,Cola,Twix,Red,Popcorn
None,Weekday,New Brunswick,Orange  Juice,Snickers,Red,None
Lager,Weekday,Metuchen,Cola,Twix,Red,None
Lager,Weekend,Metuchen,Cola,Twix,None,None
Ale,Weekday,Metuchen,Sprite,Milky Way,None,None
Lager,Weekend,Edison,Sprite,Twix,None,Popcorn
Ale,Weekday,Metuchen,Cola,Milky Way,None,None
Lager,Weekend,Princeton,None,Twix,White,None
None,Weekday,Princeton,Sprite,Milky Way,None,None
Ale,Weekday,New Brunswick,Sprite,Twix,White,None
Lager,Weekday,Metuchen,Sprite,Milky Way,None,None
None,Weekend,New Brunswick,Orange  Juice,Twix,White,Potato Chips
Ale,Weekend,New Brunswick,Sprite,Snickers,White,Potato Chips
Ale,Weekend,Metuchen,Sprite,Twix,Red,None
None,Weekday,New Brunswick,None,Snickers,White,None
Ale,Weekday,Edison,Cola,Milky Way,White,None
Lager,Weekday,Princeton,None,Snickers,None,Potato Chips
Lager,Weekend,Edison,Cola,Twix,Red,None
Lager,Weekday,Metuchen,Sprite,Snickers,None,Crackers
None,Weekday,New Brunswick,None,Snickers,Red,Pretzels
None,Weekday,Princeton,Sprite,Snickers,Red,None
None,Weekday,Princeton,Orange  Juice,Snickers,Red,None
Lager,Weekday,Princeton,Sprite,Snickers,White,None
None,Weekend,New Brunswick,None,Twix,White,Popcorn
Ale,Weekday,Princeton,Orange  Juice,Milky Way,White,Potato Chips
Lager,Weekday,Edison,Orange  Juice,Twix,White,Crackers
Ale,Weekend,Metuchen,Orange  Juice,Snickers,Red,Pretzels
None,Weekend,New Brunswick,None,Milky Way,None,None
None,Weekday,Princeton,None,Twix,Red,None
Lager,Weekday,Metuchen,None,Twix,Red,Crackers
None,Weekday,Princeton,Cola,Milky Way,None,None
None,Weekend,Edison,Sprite,Snickers,White,Crackers
Ale,Weekday,New Brunswick,Cola,Milky Way,White,None
None,Weekend,Edison,Cola,Twix,Red,Popcorn
Lager,Weekend,Edison,Orange  Juice,Milky Way,None,Potato Chips
None,Weekend,Princeton,Cola,Snickers,Red,Popcorn
None,Weekday,Edison,Cola,Milky Way,White,Pretzels
Ale,Weekend,Metuchen,Cola,Milky Way,None,None
Ale,Weekday,New Brunswick,Sprite,Milky Way,White,None
Ale,Weekend,Metuchen,Sprite,Snickers,None,Crackers
Lager,Weekend,Metuchen,Cola,Milky Way,White,None
Lager,Weekday,Edison,Sprite,Snickers,None,Crackers
Ale,Weekday,Metuchen,Orange  Juice,Snickers,White,None
Ale,Weekend,New Brunswick,None,Snickers,None,None
Lager,Weekday,Metuchen,Orange  Juice,Snickers,None,Popcorn
Lager,Weekday,Edison,Sprite,Milky Way,White,Popcorn
Lager,Weekend,Metuchen,None,Milky Way,Red,None
Lager,Weekday,Princeton,Cola,Milky Way,White,Popcorn
None,Weekday,Metuchen,Cola,Snickers,None,None
Ale,Weekend,Metuchen,Sprite,Twix,Red,Pretzels
Ale,Weekday,Edison,Cola,Milky Way,Red,None
None,Weekend,Edison,Cola,Snickers,White,Popcorn
None,Weekend,Princeton,Orange  Juice,Milky Way,Red,None
Lager,Weekend,Princeton,Orange  Juice,Milky Way,None,Crackers
Lager,Weekday,Metuchen,Orange  Juice,Twix,Red,None
Lager,Weekend,Metuchen,Sprite,Milky Way,None,Crackers
None,Weekday,Edison,Cola,Milky Way,Red,None
Ale,Weekday,Edison,Orange  Juice,Milky Way,None,None
Lager,Weekday,Edison,Cola,Snickers,White,Popcorn
Ale,Weekend,Princeton,Orange  Juice,Snickers,Red,Popcorn
Lager,Weekday,Metuchen,Cola,Milky Way,Red,None
Lager,Weekday,Princeton,Sprite,Milky Way,White,None
None,Weekday,New Brunswick,Cola,Twix,Red,Popcorn
Ale,Weekday,Princeton,None,Milky Way,White,Pretzels
Lager,Weekend,Metuchen,Cola,Twix,None,None
None,Weekday,Princeton,Cola,Snickers,Red,None
Ale,Weekday,New Brunswick,Sprite,Snickers,White,Potato Chips
Ale,Weekend,Edison,None,Snickers,Red,None
Lager,Weekend,Princeton,Cola,Milky Way,Red,None
None,Weekday,New Brunswick,Sprite,Milky Way,White,Crackers
Ale,Weekday,Metuchen,Sprite,Twix,None,Potato Chips
Lager,Weekend,Princeton,Orange  Juice,Twix,Red,None
None,Weekday,Edison,Cola,Twix,Red,Crackers
Ale,Weekend,New Brunswick,Orange  Juice,Milky Way,Red,None
Ale,Weekend,Edison,Sprite,Snickers,None,None
Lager,Weekday,New Brunswick,Sprite,Milky Way,Red,None
Ale,Weekend,Princeton,Cola,Milky Way,White,None
Ale,Weekend,New Brunswick,Cola,Snickers,Red,None
Ale,Weekday,Princeton,Sprite,Snickers,Red,None
Lager,Weekend,Metuchen,None,Milky Way,None,Popcorn
Ale,Weekend,Metuchen,None,Twix,Red,Pretzels
Lager,Weekday,New Brunswick,Sprite,Milky Way,Red,None
Ale,Weekday,Edison,None,Snickers,Red,None
Lager,Weekday,Metuchen,Cola,Twix,None,Crackers
None,Weekday,Princeton,Cola,Twix,None,Popcorn
Lager,Weekday,Princeton,Orange  Juice,Snickers,Red,None
Ale,Weekday,New Brunswick,Sprite,Twix,Red,None
Lager,Weekday,Metuchen,Cola,Milky Way,None,None
Lager,Weekend,Metuchen,None,Snickers,None,Popcorn
Ale,Weekend,Edison,Sprite,Milky Way,White,Pretzels
Lager,Weekday,New Brunswick,Orange  Juice,Milky Way,Red,None
Ale,Weekend,Metuchen,Sprite,Twix,Red,None
Lager,Weekday,Metuchen,Orange  Juice,Twix,None,Popcorn
Ale,Weekend,Princeton,Cola,Twix,Red,Popcorn
Lager,Weekday,Princeton,None,Milky Way,None,Popcorn
None,Weekday,Edison,Sprite,Twix,White,Crackers
None,Weekend,Princeton,Cola,Twix,None,None
None,Weekend,New Brunswick,Sprite,Twix,White,None
Lager,Weekday,Metuchen,Sprite,Milky Way,Red,Pretzels
Lager,Weekday,Metuchen,Cola,Twix,White,None
None,Weekday,Edison,None,Twix,White,Crackers
None,Weekend,New Brunswick,Cola,Twix,Red,None
Ale,Weekday,Princeton,Sprite,Snickers,White,Potato Chips
Lager,Weekday,Princeton,Orange  Juice,Milky Way,Red,None
Ale,Weekday,Princeton,Sprite,Milky Way,White,Crackers
Lager,Weekday,Princeton,None,Twix,None,None
None,Weekend,Metuchen,Cola,Snickers,None,None
None,Weekday,New Brunswick,Cola,Twix,White,None
None,Weekday,Metuchen,Cola,Twix,White,Potato Chips
Ale,Weekend,Princeton,None,Twix,White,None
Ale,Weekend,Princeton,Cola,Snickers,None,Pretzels
Ale,Weekday,New Brunswick,Sprite,Snickers,None,None
Lager,Weekend,New Brunswick,None,Milky Way,White,Crackers
Ale,Weekend,New Brunswick,Orange  Juice,Milky Way,White,None
Lager,Weekday,Edison,None,Twix,None,Popcorn
Lager,Weekend,Princeton,Sprite,Snickers,Red,Crackers
Lager,Weekend,Edison,Orange  Juice,Milky Way,None,Potato Chips
Ale,Weekday,New Brunswick,Orange  Juice,Snickers,Red,Popcorn
None,Weekend,Princeton,Orange  Juice,Twix,White,None
Ale,Weekend,New Brunswick,Orange  Juice,Milky Way,None,None
Ale,Weekday,New Brunswick,Sprite,Twix,None,None
None,Weekend,New Brunswick,None,Milky Way,None,None
None,Weekday,New Brunswick,None,Milky Way,White,None
None,Weekday,Princeton,Orange  Juice,Snickers,None,None
Lager,Weekday,New Brunswick,Orange  Juice,Snickers,Red,Popcorn
Ale,Weekend,Edison,Cola,Snickers,Red,None
None,Weekday,Princeton,Orange  Juice,Twix,None,None
Lager,Weekday,New Brunswick,Cola,Snickers,Red,Crackers
None,Weekend,New Brunswick,Orange  Juice,Snickers,White,Crackers
Lager,Weekend,Princeton,Cola,Milky Way,White,Pretzels
Lager,Weekend,Edison,Sprite,Snickers,None,None
None,Weekday,Edison,Cola,Twix,White,None
Ale,Weekend,Edison,Sprite,Twix,Red,None
None,Weekday,Princeton,Orange  Juice,Milky Way,White,None
Ale,Weekday,Princeton,Cola,Milky Way,Red,Popcorn
Ale,Weekday,Metuchen,Sprite,Snickers,White,None
None,Weekend,Princeton,Orange  Juice,Snickers,White,Pretzels
Ale,Weekday,Princeton,Orange  Juice,Twix,None,None
None,Weekday,Princeton,Cola,Milky Way,None,Pretzels
None,Weekend,Edison,Sprite,Snickers,White,Crackers
Lager,Weekday,Metuchen,Cola,Twix,Red,None
None,Weekday,Edison,Sprite,Twix,White,Crackers
Ale,Weekday,Princeton,Cola,Snickers,Red,None
Ale,Weekday,Princeton,Cola,Snickers,White,Potato Chips
Lager,Weekend,Metuchen,Sprite,Milky Way,Red,Pretzels
None,Weekday,New Brunswick,None,Snickers,Red,None
Ale,Weekend,Metuchen,None,Milky Way,None,None
Lager,Weekend,Princeton,Sprite,Milky Way,White,Crackers
Ale,Weekday,New Brunswick,Sprite,Milky Way,White,None
Ale,Weekend,Metuchen,Orange  Juice,Snickers,Red,None
Ale,Weekday,Princeton,None,Twix,White,None
None,Weekday,Edison,Orange  Juice,Twix,Red,Popcorn
Lager,Weekend,Metuchen,Orange  Juice,Twix,Red,Crackers
Ale,Weekend,Princeton,Sprite,Twix,None,None
Ale,Weekday,Metuchen,Cola,Milky Way,Red,None
Lager,Weekday,New Brunswick,None,Milky Way,White,None
Ale,Weekend,Edison,Cola,Twix,White,Potato Chips
Lager,Weekend,Edison,Cola,Milky Way,None,None
None,Weekday,Edison,Orange  Juice,Snickers,Red,None
Ale,Weekend,Metuchen,Orange  Juice,Milky Way,Red,Crackers
Ale,Weekday,New Brunswick,Cola,Snickers,Red,Popcorn
Lager,Weekday,Metuchen,Orange  Juice,Twix,White,None
None,Weekend,Princeton,Cola,Snickers,Red,None
None,Weekday,Edison,Orange  Juice,Snickers,None,Popcorn
Ale,Weekday,Edison,Cola,Milky Way,None,None
