Studentid,Attendance,Major,Questions,Score,Seniority,Texting
39929,78,Cs,Rarely,83,Junior,Always
39930,13,Stat,Always,88,Senior,Always
39931,100,Communication,Rarely,54,Junior,Rarely
39932,100,Stat,Always,87,Junior,Rarely
39933,30,Communication,Rarely,90,Freshman,Rarely
39934,85,Communication,Rarely,96,Freshman,Rarely
39935,2,Cs,Rarely,25,Sophomore,Always
39936,50,Cs,Rarely,81,Junior,Rarely
39937,21,Communication,Always,9,Senior,Always
39938,7,Cs,Always,96,Freshman,Always
39939,54,Communication,Always,87,Freshman,Always
39940,11,Cs,Rarely,91,Freshman,Rarely
39941,4,Cs,Always,76,Freshman,Always
39942,63,Polsci,Always,39,Freshman,Rarely
39943,27,Polsci,Always,78,Sophomore,Rarely
39944,9,Cs,Rarely,6,Senior,Always
39945,32,Stat,Rarely,58,Senior,Rarely
39946,75,Stat,Always,67,Sophomore,Always
39947,49,Cs,Rarely,48,Sophomore,Always
39948,20,Cs,Always,10,Senior,Rarely
39949,92,Cs,Always,88,Sophomore,Always
39950,2,Communication,Rarely,65,Sophomore,Always
39951,80,Cs,Always,32,Junior,Rarely
39952,83,Communication,Always,89,Junior,Always
39953,54,Cs,Always,98,Freshman,Rarely
39954,79,Polsci,Always,42,Junior,Rarely
39955,40,Stat,Rarely,21,Sophomore,Rarely
39956,94,Stat,Always,21,Freshman,Rarely
39957,69,Communication,Rarely,45,Senior,Always
39958,28,Polsci,Rarely,50,Freshman,Always
39959,35,Communication,Always,88,Senior,Rarely
39960,55,Stat,Always,100,Junior,Always
39961,4,Communication,Always,45,Freshman,Always
39962,6,Polsci,Always,35,Sophomore,Always
39963,17,Polsci,Rarely,82,Senior,Always
39964,41,Polsci,Always,70,Junior,Rarely
39965,62,Polsci,Rarely,11,Freshman,Always
39966,63,Communication,Rarely,15,Junior,Always
39967,70,Cs,Rarely,100,Junior,Rarely
39968,83,Cs,Always,6,Senior,Always
39969,34,Communication,Always,81,Junior,Rarely
39970,61,Stat,Rarely,63,Junior,Rarely
39971,87,Stat,Rarely,14,Sophomore,Rarely
39972,57,Communication,Always,67,Senior,Always
39973,99,Polsci,Always,19,Junior,Always
39974,71,Communication,Rarely,34,Freshman,Rarely
39975,91,Cs,Rarely,5,Senior,Always
39976,58,Stat,Rarely,52,Senior,Rarely
39977,43,Cs,Rarely,100,Freshman,Rarely
39978,96,Stat,Rarely,97,Freshman,Always
39979,8,Stat,Always,83,Senior,Rarely
39980,95,Stat,Always,19,Senior,Rarely
39981,53,Polsci,Always,10,Sophomore,Rarely
39982,11,Communication,Rarely,28,Sophomore,Rarely
39983,96,Cs,Always,67,Freshman,Always
39984,25,Communication,Always,7,Sophomore,Always
39985,7,Cs,Always,45,Senior,Rarely
39986,60,Stat,Always,91,Junior,Always
39987,25,Cs,Always,48,Freshman,Rarely
39988,63,Cs,Rarely,99,Sophomore,Rarely
39989,93,Stat,Always,6,Sophomore,Rarely
39990,32,Polsci,Always,87,Freshman,Rarely
39991,94,Communication,Rarely,43,Senior,Rarely
39992,94,Cs,Rarely,42,Junior,Always
39993,92,Stat,Always,77,Senior,Rarely
39994,13,Cs,Rarely,32,Sophomore,Always
39995,0,Cs,Rarely,71,Senior,Always
39996,73,Polsci,Rarely,47,Sophomore,Always
39997,97,Communication,Always,80,Junior,Rarely
39998,57,Stat,Always,53,Senior,Always
39999,9,Polsci,Rarely,95,Sophomore,Always
40000,96,Communication,Always,47,Junior,Always
40001,31,Stat,Always,77,Sophomore,Always
40002,52,Cs,Always,24,Freshman,Rarely
40003,92,Communication,Rarely,71,Freshman,Always
40004,76,Cs,Rarely,36,Freshman,Always
40005,85,Stat,Always,91,Senior,Always
40006,96,Cs,Rarely,86,Senior,Rarely
40007,57,Cs,Always,48,Senior,Always
40008,96,Stat,Always,59,Junior,Always
40009,76,Communication,Rarely,38,Junior,Always
40010,89,Stat,Rarely,50,Junior,Rarely
40011,7,Stat,Rarely,54,Freshman,Always
40012,83,Cs,Rarely,42,Junior,Always
40013,91,Polsci,Always,36,Freshman,Always
40014,10,Communication,Rarely,58,Sophomore,Always
40015,21,Communication,Rarely,29,Junior,Always
40016,83,Communication,Rarely,58,Senior,Always
40017,85,Polsci,Always,76,Senior,Always
40018,2,Cs,Always,86,Senior,Always
40019,64,Cs,Rarely,4,Sophomore,Rarely
40020,47,Communication,Rarely,82,Senior,Always
40021,48,Cs,Rarely,0,Junior,Always
40022,86,Cs,Always,62,Senior,Always
40023,59,Communication,Rarely,58,Sophomore,Rarely
40024,35,Cs,Always,42,Sophomore,Always
40025,9,Polsci,Rarely,23,Senior,Always
40026,74,Polsci,Always,4,Freshman,Rarely
40027,99,Cs,Rarely,50,Sophomore,Always
40028,45,Communication,Always,95,Junior,Rarely
40029,66,Polsci,Always,48,Freshman,Rarely
40030,95,Communication,Always,45,Freshman,Rarely
40031,89,Communication,Always,71,Junior,Rarely
40032,31,Polsci,Always,43,Senior,Always
40033,53,Communication,Rarely,65,Junior,Rarely
40034,40,Communication,Always,25,Freshman,Rarely
40035,70,Polsci,Rarely,94,Junior,Rarely
40036,27,Stat,Rarely,96,Sophomore,Rarely
40037,5,Communication,Rarely,36,Sophomore,Rarely
40038,27,Stat,Rarely,77,Senior,Always
40039,45,Stat,Always,70,Junior,Rarely
40040,22,Communication,Always,67,Junior,Rarely
40041,92,Stat,Always,79,Junior,Rarely
40042,98,Polsci,Always,90,Senior,Always
40043,85,Cs,Always,25,Freshman,Always
40044,64,Polsci,Rarely,16,Junior,Always
40045,51,Polsci,Rarely,5,Freshman,Rarely
40046,63,Stat,Rarely,64,Senior,Rarely
40047,24,Communication,Always,38,Freshman,Always
40048,64,Communication,Always,10,Senior,Rarely
40049,40,Polsci,Always,90,Sophomore,Rarely
40050,81,Communication,Always,7,Senior,Always
40051,47,Cs,Rarely,97,Sophomore,Rarely
40052,18,Polsci,Rarely,6,Sophomore,Always
40053,54,Cs,Rarely,85,Freshman,Always
40054,0,Communication,Rarely,6,Senior,Always
40055,17,Cs,Rarely,72,Junior,Rarely
40056,22,Communication,Always,19,Sophomore,Always
40057,60,Stat,Always,89,Freshman,Rarely
40058,35,Polsci,Always,29,Junior,Rarely
40059,87,Polsci,Always,46,Freshman,Rarely
40060,34,Stat,Rarely,17,Sophomore,Always
40061,41,Communication,Always,65,Senior,Always
40062,92,Cs,Always,64,Freshman,Rarely
40063,92,Stat,Always,57,Senior,Rarely
40064,11,Communication,Rarely,72,Junior,Always
40065,80,Stat,Always,59,Sophomore,Always
40066,18,Polsci,Rarely,27,Freshman,Always
40067,27,Communication,Rarely,55,Junior,Always
40068,41,Communication,Always,61,Freshman,Always
40069,25,Cs,Always,57,Junior,Always
40070,4,Cs,Rarely,20,Freshman,Always
40071,92,Cs,Always,12,Junior,Rarely
40072,27,Polsci,Always,53,Junior,Rarely
40073,47,Cs,Always,97,Freshman,Always
40074,14,Communication,Always,37,Senior,Rarely
40075,80,Stat,Always,97,Sophomore,Rarely
40076,93,Cs,Always,53,Freshman,Always
40077,54,Polsci,Always,95,Sophomore,Always
40078,28,Communication,Always,63,Freshman,Always
40079,59,Cs,Rarely,0,Sophomore,Always
40080,73,Polsci,Rarely,74,Sophomore,Rarely
40081,5,Cs,Always,72,Junior,Always
40082,63,Polsci,Always,19,Senior,Rarely
40083,18,Polsci,Rarely,32,Sophomore,Rarely
40084,13,Polsci,Rarely,10,Senior,Always
40085,88,Stat,Rarely,86,Sophomore,Rarely
40086,76,Polsci,Always,32,Sophomore,Always
40087,89,Polsci,Always,7,Junior,Always
40088,50,Stat,Rarely,74,Freshman,Rarely
40089,97,Polsci,Rarely,26,Freshman,Rarely
40090,81,Stat,Always,93,Senior,Always
40091,25,Stat,Rarely,43,Senior,Always
40092,83,Communication,Always,75,Senior,Rarely
40093,86,Communication,Always,84,Senior,Always
40094,96,Polsci,Rarely,91,Sophomore,Rarely
40095,87,Polsci,Always,92,Freshman,Always
40096,100,Stat,Rarely,74,Junior,Always
40097,81,Polsci,Rarely,99,Sophomore,Always
40098,57,Cs,Rarely,56,Freshman,Rarely
40099,95,Stat,Always,5,Freshman,Always
40100,19,Stat,Always,61,Sophomore,Rarely
40101,30,Polsci,Always,87,Sophomore,Always
40102,45,Stat,Rarely,31,Junior,Always
40103,87,Communication,Rarely,80,Sophomore,Rarely
40104,70,Communication,Always,22,Sophomore,Rarely
40105,60,Communication,Always,9,Sophomore,Rarely
40106,71,Communication,Always,7,Junior,Rarely
40107,33,Stat,Always,10,Freshman,Rarely
40108,3,Polsci,Always,90,Junior,Always
40109,79,Stat,Rarely,97,Freshman,Always
40110,26,Polsci,Always,94,Senior,Always
40111,0,Polsci,Rarely,77,Sophomore,Always
40112,94,Polsci,Rarely,45,Sophomore,Always
40113,30,Stat,Always,33,Sophomore,Rarely
40114,91,Polsci,Rarely,91,Senior,Rarely
40115,61,Stat,Rarely,9,Junior,Always
40116,100,Polsci,Rarely,49,Senior,Rarely
40117,84,Cs,Rarely,17,Junior,Always
40118,96,Stat,Rarely,9,Senior,Rarely
40119,41,Stat,Rarely,84,Freshman,Always
40120,36,Stat,Always,71,Freshman,Rarely
40121,9,Polsci,Rarely,81,Junior,Rarely
40122,77,Polsci,Always,26,Junior,Always
40123,76,Polsci,Rarely,75,Sophomore,Always
40124,49,Polsci,Always,49,Sophomore,Always
40125,16,Polsci,Rarely,100,Sophomore,Always
40126,51,Communication,Always,16,Freshman,Always
40127,88,Cs,Always,51,Senior,Always
40128,39,Cs,Rarely,81,Sophomore,Rarely
40129,78,Communication,Rarely,3,Senior,Always
40130,40,Stat,Rarely,85,Freshman,Rarely
40131,84,Polsci,Rarely,74,Senior,Always
40132,78,Communication,Rarely,94,Junior,Rarely
40133,17,Communication,Rarely,18,Junior,Rarely
40134,31,Stat,Always,29,Freshman,Always
40135,77,Cs,Always,18,Sophomore,Rarely
40136,24,Stat,Rarely,38,Sophomore,Rarely
40137,74,Stat,Rarely,38,Freshman,Rarely
40138,26,Polsci,Rarely,31,Freshman,Rarely
40139,71,Communication,Rarely,1,Sophomore,Always
40140,43,Stat,Always,94,Senior,Rarely
40141,25,Cs,Always,74,Junior,Always
40142,53,Stat,Always,32,Sophomore,Always
40143,66,Stat,Rarely,27,Sophomore,Rarely
40144,58,Stat,Rarely,18,Senior,Rarely
40145,32,Stat,Rarely,49,Junior,Rarely
40146,24,Cs,Rarely,1,Sophomore,Rarely
40147,5,Polsci,Rarely,23,Sophomore,Rarely
40148,58,Stat,Always,4,Freshman,Always
40149,77,Communication,Always,2,Freshman,Rarely
40150,48,Communication,Rarely,63,Junior,Rarely
40151,26,Polsci,Always,71,Freshman,Always
40152,86,Cs,Always,80,Senior,Always
40153,54,Communication,Always,44,Freshman,Rarely
40154,71,Cs,Always,81,Senior,Rarely
