IDN,AGE,COUNTRY,GENDER,IMMIGRANT,INCOME,HAPPINESS
39443,63,Uzbekistan,Female,0,55069,4.66
84529,46,Switzerland,Female,0,102043,8.52
75974,27,Belgium,Female,0,92714,7.32
80492,68,Nicaragua,Female,0,95792,7.73
10629,36,Croatia,Male,1,26915,6.22
33162,41,Panama,Male,0,50072,4.44
29516,27,Bahrain,Male,0,44666,3.29
73783,26,El Salvador,Male,0,89362,7.31
49356,60,Vietnam,Male,0,64900,5.64
23830,45,Syria,Male,0,37513,3.47
27855,39,China,Male,0,42704,3.41
21465,30,Nigeria,Female,0,36717,3.32
66372,26,Vietnam,Female,0,81811,6.30
84464,48,Philippines,Male,0,99289,8.54
66546,22,United Arab Emirates,Male,1,84182,9.57
44147,44,Botswana,Female,0,58139,4.47
41644,20,Benin,Male,0,54959,4.23
81594,62,Montenegro,Female,0,96789,8.68
13615,55,Spain,Male,0,29715,2.56
72734,25,Montenegro,Male,0,87852,7.30
27958,22,Zambia,Female,0,42834,3.24
51857,54,Mauritius,Female,0,67136,5.58
53196,42,Italy,Male,0,69147,5.46
83715,52,Uruguay,Male,0,100023,8.58
80980,39,Morocco,Female,0,95809,7.44
38824,45,Hungary,Female,0,53467,4.48
92611,18,Mozambique,Male,0,107584,8.24
73034,64,Tunisia,Male,0,87761,7.69
22432,38,Congo-Brazzaville,Female,0,36750,3.40
51605,59,Panama,Male,0,68658,5.63
81908,61,Kazakhstan,Male,0,97593,8.67
52930,53,Malta,Male,0,68739,5.57
28663,39,Botswana,Female,0,42492,3.41
73278,28,Taiwan,Female,0,89288,7.33
36785,66,Turkey,Male,0,51933,4.69
46089,44,Nepal,Female,0,60121,5.48
92048,21,Denmark,Male,0,109583,9.28
82008,41,Luxembourg,Female,0,98828,8.47
79420,62,Uzbekistan,Female,0,94855,7.67
95260,44,South Korea,Female,0,111562,9.51
80784,22,Taiwan,Male,0,96780,8.28
29405,69,Benin,Male,0,42685,3.71
28929,27,Lesotho,Male,0,43729,3.29
50524,57,Gabon,Female,0,64476,5.61
28209,41,Hong Kong,Female,0,43629,3.43
75519,30,Paraguay,Male,0,91231,7.35
36852,40,Sri Lanka,Male,0,50991,4.43
41972,50,Nicaragua,Male,0,57389,4.53
85711,30,Portugal,Male,0,100773,8.36
65769,37,Lithuania,Female,0,81206,6.41
43222,25,Czech Republic,Male,0,59470,4.28
28361,64,Ghana,Female,0,43498,3.66
76359,70,Philippines,Male,0,91160,7.75
91237,69,Greece,Female,0,106447,8.75
19542,35,Zimbabwe,Female,0,34358,2.36
44230,69,Egypt,Female,0,58260,4.72
58336,21,Laos,Male,0,72931,6.25
82182,49,Tanzania,Female,0,95868,7.54
74767,27,Georgia,Female,0,88777,7.32
54483,38,Malawi,Male,0,68491,5.42
92350,67,Algeria,Male,0,107739,8.73
78402,56,India,Female,0,93113,7.61
24082,56,Latvia,Male,0,38993,3.58
32773,28,Iran,Male,0,47333,3.30
25982,32,Honduras,Male,0,40985,3.34
58445,34,Tunisia,Female,0,73050,6.38
49333,24,South Korea,Male,0,65521,5.28
34305,59,Togo,Female,0,47108,3.61
53575,51,Zimbabwe,Male,0,68212,5.55
11806,24,Jamaica,Female,1,27684,9.07
89142,49,Uzbekistan,Female,0,104628,8.55
36120,23,Swaziland,Female,0,50797,4.26
86508,66,Guinea,Female,0,100266,8.72
15541,19,Honduras,Female,0,30435,2.20
75319,54,Hungary,Female,0,89858,7.59
95775,38,Thailand,Female,0,112093,9.45
29128,20,Moldova,Male,0,44683,3.22
79509,40,Togo,Male,0,92288,7.45
44255,47,Germany,Female,0,60659,5.51
18530,41,Syria,Female,0,32370,2.42
32502,42,Palestinian Territories,Female,1,47413,7.42
73149,64,Russia,Female,0,88436,7.69
70999,52,Swaziland,Female,0,85787,7.57
92928,54,Ecuador,Male,0,108717,9.61
54988,27,Vietnam,Male,0,70378,5.31
12101,61,Romania,Male,0,26956,2.62
53640,61,Georgia,Female,0,67625,5.65
57147,60,Iraq,Female,0,71861,5.64
18697,51,Philippines,Female,1,33814,2.70
75908,58,Pakistan,Male,0,91220,7.63
21021,21,Sierra Leone,Male,0,35126,2.22
31108,30,Iceland,Female,0,48270,4.33
17607,18,India,Female,0,32360,2.19
24298,65,Belarus,Female,0,39746,3.67
87013,34,Sudan,Male,0,101418,8.40
51318,40,Myanmar,Male,0,65527,5.44
53561,18,Macedonia,Male,0,68114,5.22
31069,27,Sweden,Female,0,48539,4.30
99247,55,Mauritius,Female,0,114557,9.62
56592,41,Ecuador,Male,0,72262,6.45
90594,34,Egypt,Male,0,104769,8.40
75627,68,Pakistan,Male,0,90677,7.73
55336,31,Brazil,Male,0,72199,6.35
21987,47,Benin,Female,0,35381,2.48
48739,34,Malawi,Female,0,62864,5.38
52666,38,United Kingdom,Female,0,69474,5.42
30205,32,Romania,Female,0,45178,3.34
62007,25,Costa Rica,Male,0,79265,6.29
19511,30,Germany,Male,0,35963,2.31
16095,32,Burkina Faso,Female,0,30158,2.33
62627,33,Benin,Male,0,76161,6.37
32209,26,Honduras,Female,0,47268,3.28
47499,38,Nepal,Male,0,61517,5.42
89532,25,Syria,Female,0,103420,8.31
38718,41,Chad,Male,0,52608,4.44
59849,49,Ukraine,Female,1,74975,7.56
21975,52,Uzbekistan,Female,0,37553,3.54
84919,26,Colombia,Female,0,101238,8.32
15254,35,Bangladesh,Female,0,29800,2.36
22360,63,Tunisia,Male,0,37056,3.65
15396,66,Malta,Female,0,31374,2.67
38690,32,Haiti,Female,0,53033,4.35
96000,66,El Salvador,Male,0,111698,9.73
80213,18,Germany,Female,0,96666,8.24
65555,70,United Kingdom,Female,0,82326,6.74
74883,69,Mozambique,Female,1,90223,3.95
26362,27,Belarus,Female,0,41802,3.29
45018,58,Philippines,Female,1,60290,9.57
82763,70,United Arab Emirates,Female,0,99934,8.76
45512,50,Belgium,Female,0,62509,5.54
30097,58,Portugal,Male,0,45199,3.60
17842,33,Uganda,Female,0,32136,2.34
30238,34,Vietnam,Male,0,45563,3.36
38598,62,Belgium,Male,1,55833,6.51
85444,35,Cyprus,Female,1,102490,9.28
12266,48,United Kingdom,Male,0,29021,2.49
65261,54,Denmark,Male,0,82850,6.58
97082,55,Suriname,Female,0,113392,9.62
78374,41,Mauritania,Male,0,93084,7.46
70455,64,Bolivia,Male,0,86312,7.69
15755,22,Uruguay,Male,0,31911,2.23
35459,61,Mauritania,Male,0,49994,4.64
21639,53,Venezuela,Male,0,38428,3.55
41875,28,Serbia,Male,0,56665,4.31
55743,41,Oman,Male,1,73143,7.01
20907,65,Sweden,Female,0,38335,3.67
15243,22,Nepal,Female,0,29289,2.23
10919,42,Japan,Female,0,26970,2.43
81355,20,Ghana,Female,0,96330,8.26
82072,20,Uganda,Male,0,96347,8.26
57172,28,Czech Republic,Female,0,73362,6.32
65430,59,Slovakia,Female,0,81363,6.63
20996,32,Hungary,Female,1,36389,8.47
47570,36,Qatar,Male,0,64076,5.40
49073,59,Mexico,Female,0,66076,5.63
42097,50,Niger,Male,0,56024,4.53
96566,53,Hungary,Male,0,111205,9.60
63627,22,Canada,Female,0,80893,6.26
55146,63,Suriname,Female,0,71402,5.67
99390,27,Egypt,Female,0,113670,9.34
97073,43,Laos,Male,1,112414,6.62
25480,27,Cyprus,Male,0,41720,3.29
79327,27,Yemen,Male,0,93257,7.32
81974,64,Uruguay,Male,0,98111,8.70
97596,56,Vietnam,Male,0,113147,9.63
68441,28,Iraq,Female,0,83161,6.32
92926,46,Rwand2a4,Male,0,106610,8.52
85561,29,Armenia,Male,0,99862,8.35
21663,27,Suriname,Male,0,37953,3.29
45032,33,Mauritius,Female,0,60356,5.37
60735,29,Switzerland,Female,0,78406,6.33
86440,19,Paraguay,Male,0,102124,8.25
73526,47,Ireland,Male,0,90520,7.52
30886,64,Guatemala,Male,0,46813,3.66
32912,48,Ghana,Female,1,48247,7.63
87624,55,Cyprus,Female,0,104004,8.61
23635,50,Senegal,Male,0,37592,3.52
95734,54,Poland,Male,0,111403,9.61
45789,48,France,Female,0,62294,5.52
91091,30,Bolivia,Male,0,106773,8.36
19894,52,United Kingdom,Male,1,36952,3.01
44887,58,United States,Female,0,61779,5.62
54581,46,Serbia,Female,0,69345,5.50
28184,64,Liberia,Female,0,42231,3.66
57990,40,Sudan,Female,0,72209,6.44
18626,35,Canada,Female,0,36082,3.37
34297,28,Costa Rica,Female,0,51397,4.31
36269,29,Cameroon,Female,0,50640,4.32
30340,21,Cambodia,Male,0,44285,3.23
25451,27,Uruguay,Female,0,41531,3.29
63026,35,Estonia,Female,0,78312,6.39
58002,44,Spain,Male,0,74184,6.48
70531,53,Kyrgyzstan,Female,0,85550,7.58
64971,40,Senegal,Female,0,78710,6.44
86909,46,Sudan,Female,0,101333,8.52
97813,24,Mexico,Male,0,114871,9.31
90028,21,Vietnam,Male,0,105463,8.27
74308,60,Costa Rica,Female,0,91342,7.65
58998,48,Bulgaria,Male,0,72843,6.52
59870,31,Thailand,Female,1,76573,9.44
52301,38,Central African Republic,Female,0,65749,5.42
25368,70,Madagascar,Male,0,39239,3.72
56926,24,Sweden,Female,0,74284,6.28
24807,64,Bolivia,Female,0,40534,3.66
43182,32,Taiwan,Female,0,59185,4.35
47868,35,Qatar,Female,0,64434,5.39
71282,43,Slovakia,Male,0,87233,7.48
71576,55,Madagascar,Female,0,85556,7.60
41892,40,Thailand,Female,0,58061,4.43
32330,69,Italy,Male,1,48800,7.52
43205,41,Libya,Female,1,58955,5.47
88517,37,El Salvador,Female,0,104164,8.43
14243,42,Zambia,Female,0,29204,2.43
86166,55,Nigeria,Male,0,101406,8.61
77581,36,Myanmar,Male,0,92027,7.41
69069,19,South Korea,Male,0,85263,7.24
62679,65,Denmark,Male,0,80167,6.69
80768,35,Chad,Female,0,94644,7.40
49727,40,Algeria,Female,1,65546,4.14
15038,38,Hungary,Female,0,29576,2.39
88460,20,Burkina Faso,Female,0,102715,8.26
49708,35,Venezuela,Male,0,66484,5.39
41186,44,Uruguay,Female,1,57648,8.94
91906,57,Congo-Kinshasa,Female,0,106258,8.63
59131,40,Poland,Female,0,74860,6.44
26652,61,Burundi,Male,0,40257,3.63
17163,29,Norway,Female,0,34804,2.30
88511,41,Paraguay,Male,0,104261,8.47
21304,18,Kazakhstan,Female,1,37027,4.68
74643,36,Israel,Male,0,91749,7.41
36317,20,Saudi Arabia,Male,0,52652,4.23
37066,48,North Cyprus,Female,0,52391,4.51
65646,54,Tunisia,Male,0,80225,6.58
33255,21,Australia,Male,0,50570,4.24
86587,66,Tunisia,Female,0,101425,8.72
69613,44,Luxembourg,Female,0,86455,7.49
68799,69,Turkmenistan,Female,0,84229,7.74
57590,44,Madagascar,Female,0,71492,5.48
84915,40,Malaysia,Male,0,100704,8.46
73781,55,Uganda,Female,0,88251,7.60
55540,24,Guinea,Female,0,69158,5.28
70743,61,Syria,Male,0,84528,7.66
91518,51,United States,Male,0,108515,9.58
18129,35,Moldova,Female,0,33795,2.36
75760,57,United Kingdom,Female,0,92472,7.62
23719,45,Morocco,Female,0,38452,3.47
18649,48,Taiwan,Male,0,34664,2.49
33346,45,Malaysia,Female,0,48939,4.48
62312,56,Cyprus,Male,0,78603,6.60
87551,24,Congo-Kinshasa,Male,0,101979,8.30
14437,63,Finland,Female,1,32363,9.73
19173,70,Nigeria,Male,0,34194,2.71
68049,66,Burundi,Female,0,81717,6.70
15816,47,Guinea,Male,0,29560,2.48
50239,55,Norway,Female,1,68069,4.70
97315,24,Ecuador,Male,1,113873,2.81
89138,67,Bosnia and Herzegovina,Female,0,103697,8.73
17804,57,Czech Republic,Male,0,34106,2.58
82935,48,Peru,Female,0,98700,8.54
48146,32,Russia,Female,1,64239,3.66
87593,48,Cyprus,Male,1,104188,3.25
34669,65,Austria,Male,0,51857,4.68
62375,23,Indonesia,Male,0,77652,6.27
33707,47,Moldova,Male,1,50201,8.84
38667,45,Tajikistan,Male,0,52920,4.48
57291,48,Mexico,Male,0,74376,6.52
84499,56,Costa Rica,Male,0,101620,8.62
35929,37,Malaysia,Male,0,51566,4.40
63946,70,Kuwait,Male,1,81197,2.47
65708,53,Bahrain,Female,1,81077,4.33
95118,70,Serbia,Female,0,109949,9.77
96233,19,Oman,Male,1,113297,4.94
37814,65,Armenia,Female,0,52142,4.68
35183,69,Kazakhstan,Male,0,50873,4.72
67426,20,Sri Lanka,Female,0,81371,6.24
30398,31,Syria,Female,0,44091,3.33
90832,56,Croatia,Female,1,106963,6.77
32935,31,Iceland,Female,0,50278,4.34
68481,28,Malta,Female,0,84271,7.33
97825,57,Ethiopia,Male,0,112137,9.64
29150,36,Chile,Female,0,45616,3.38
60820,26,Estonia,Male,1,76549,2.64
10553,35,Chad,Male,0,24539,2.36
19446,47,Liberia,Male,0,33570,2.48
69648,62,Luxembourg,Female,0,86633,7.67
48401,18,Serbia,Female,1,63694,8.93
57695,32,Albania,Female,0,73158,6.36
44303,24,Canada,Female,1,62351,4.76
37297,25,Switzerland,Male,0,54725,4.28
36492,37,Malawi,Male,0,50399,4.40
53107,28,Russia,Female,1,68977,8.90
15676,64,Benin,Female,0,29013,2.65
83818,70,Switzerland,Male,0,101499,8.76
89186,55,Panama,Male,0,106116,8.61
81824,39,Jamaica,Male,0,97163,8.45
33940,70,Finland,Female,0,51211,4.73
80535,63,Palestinian Territories,Male,0,95221,7.68
38800,46,Mauritius,Female,0,54144,4.49
88098,61,Burundi,Male,0,101663,8.67
21490,47,Suriname,Male,0,37504,3.49
44709,46,Zambia,Female,0,59543,4.49
90403,36,South Africa,Female,0,105119,8.42
53209,58,Hong Kong,Male,0,68571,5.62
75627,66,China,Male,1,90845,7.23
13008,62,Zambia,Female,0,27773,2.63
51898,57,Albania,Female,0,67250,5.61
52860,26,Australia,Female,1,70699,3.78
63479,64,Bosnia and Herzegovina,Male,0,78086,6.68
46688,47,Sweden,Male,0,64152,5.51
35002,40,Laos,Male,0,49611,4.43
67818,50,Togo,Female,0,80555,6.54
87421,61,Moldova,Male,0,103236,8.67
26558,42,Botswana,Male,0,40279,3.44
38642,31,Finland,Male,0,55765,4.34
55994,26,Malaysia,Male,0,71553,5.30
88351,36,Philippines,Male,0,103107,8.42
35356,58,Mozambique,Male,0,50108,4.61
96802,32,Costa Rica,Male,1,114275,4.27
49602,60,Georgia,Female,0,63786,5.64
98213,50,Uzbekistan,Female,0,113590,9.57
86645,21,Brazil,Male,0,103490,8.27
58188,28,Ireland,Male,0,75068,6.32
82198,65,Poland,Female,0,98046,8.71
97110,36,Spain,Male,0,113236,9.43
88106,69,Mexico,Female,0,105096,8.75
72625,70,Moldova,Female,0,88366,7.75
70642,33,United Kingdom,Male,0,87356,7.38
78134,32,Kenya,Female,0,92307,7.37
60088,33,Montenegro,Male,0,75222,6.37
93387,35,Finland,Female,0,110523,9.42
96274,20,Georgia,Male,0,110359,9.27
95521,28,Costa Rica,Female,0,112561,9.35
77954,55,Czech Republic,Male,1,94294,5.00
83509,65,Georgia,Male,0,97627,8.71
25501,54,Bulgaria,Male,0,39410,3.56
44607,48,New Zealand,Male,0,61812,5.52
27651,58,Panama,Female,0,44583,3.60
47548,22,Rwand2a4,Female,0,61204,5.26
23861,50,Nigeria,Male,0,39038,3.52
80070,18,Burundi,Male,0,93693,7.23
72425,20,Gabon,Male,0,86350,7.25
79707,40,Georgia,Male,0,93846,7.45
73931,37,Romania,Male,0,88818,7.42
53232,47,Portugal,Female,0,68346,5.51
83761,57,Liberia,Female,0,97833,8.63
26599,28,Israel,Male,0,43769,3.30
42764,46,Qatar,Male,0,59278,4.49
88429,56,Montenegro,Male,0,103580,8.62
33081,32,Belarus,Male,0,48554,4.35
77716,23,Madagascar,Female,0,91493,7.28
23462,66,Kazakhstan,Female,0,38910,3.68
64971,67,Congo-Kinshasa,Female,0,79360,6.71
61651,66,Honduras,Female,0,76739,6.70
63225,61,Slovenia,Female,0,79060,6.65
91614,48,New Zealand,Female,0,108649,9.55
12562,56,Colombia,Female,1,29463,8.67
55043,54,Bulgaria,Female,0,68982,5.58
20153,60,Taiwan,Male,0,36327,3.62
85979,64,North Cyprus,Male,0,101236,8.70
69471,44,Algeria,Female,0,84793,7.49
56988,61,Taiwan,Male,0,73173,6.65
10673,59,Cyprus,Female,1,27636,7.46
26526,65,Myanmar,Male,0,40884,3.67
68619,45,Vietnam,Female,0,83902,6.49
88534,33,Bangladesh,Male,0,103348,8.39
55699,48,Saudi Arabia,Male,0,72164,6.52
58511,62,Turkmenistan,Female,0,74146,6.66
39502,58,Mauritius,Male,0,54904,4.61
24783,24,Peru,Female,0,40551,3.26
46190,44,Belarus,Female,0,61482,5.48
39560,48,Laos,Female,0,54365,4.51
51307,31,Georgia,Female,0,65440,5.35
28065,64,Russia,Female,0,43552,3.66
78857,26,Norway,Male,0,96476,8.32
33666,19,Spain,Male,1,50160,8.94
88200,69,Spain,Male,0,104560,8.75
23836,48,Rwand2a4,Female,0,37461,3.50
53623,26,Ireland,Male,0,70542,5.30
50091,29,Moldova,Female,0,65862,5.33
17194,53,France,Female,0,33853,2.54
35044,54,Myanmar,Male,0,49393,4.57
77207,50,Slovakia,Female,1,93914,6.91
86167,23,India,Male,0,100914,8.29
66031,68,Tanzania,Male,0,79701,6.72
46568,39,Jordan,Male,0,61807,5.43
44442,19,Finland,Female,0,61826,5.23
57370,35,South Korea,Male,1,73746,4.83
50902,18,Bolivia,Male,1,67355,7.16
38111,19,Belarus,Female,0,53355,4.22
69595,54,Morocco,Female,0,84244,7.59
69294,32,Togo,Female,0,81967,6.36
55540,22,Jamaica,Female,0,70806,5.26
12233,51,Bosnia and Herzegovina,Male,0,26910,2.52
64856,48,Lithuania,Female,0,80121,6.52
58953,62,Cambodia,Female,0,73008,6.66
24950,58,Bosnia and Herzegovina,Female,0,39592,3.60
56079,51,Mauritius,Male,0,71546,5.55
39069,47,Mali,Male,0,53193,4.50
27988,43,Djibouti,Female,0,42679,3.45
47802,19,Madagascar,Female,0,61526,5.23
84754,34,Taiwan,Female,0,100919,8.40
18205,44,Tunisia,Female,1,33427,5.47
63774,40,Paraguay,Male,0,79453,6.44
82204,46,Burundi,Male,0,95758,7.51
28020,53,North Cyprus,Female,0,43229,3.55
68254,65,Madagascar,Female,0,82052,6.69
21982,33,Cameroon,Female,0,36296,3.35
41819,57,Mongolia,Male,0,56491,4.60
32611,70,Madagascar,Male,0,46592,3.72
16159,25,Djibouti,Male,1,31397,5.39
62882,23,Bulgaria,Male,0,76659,6.27
85736,41,Guinea,Female,0,99346,8.47
25257,50,Brazil,Female,0,41934,3.52
53459,38,Slovenia,Female,0,69517,5.42
11143,35,Burundi,Female,0,24649,2.36
51278,61,Kuwait,Female,0,67603,5.65
96518,28,Algeria,Female,1,112348,8.66
12293,69,Gabon,Female,0,26423,2.70
41001,23,Lebanon,Female,1,55968,7.79
13228,29,Paraguay,Male,0,28869,2.30
79053,29,Costa Rica,Female,1,97014,3.53
38934,33,Estonia,Female,0,54298,4.36
92330,46,Spain,Female,0,108664,9.53
77924,53,Ukraine,Female,0,92913,7.58
32452,44,Moldova,Female,0,48154,4.47
14600,48,Liberia,Male,0,28765,2.49
98635,32,Nepal,Male,0,112758,9.39
78474,62,Morocco,Female,0,93179,7.67
63268,30,Paraguay,Female,0,78910,6.34
81466,60,Sweden,Male,0,98890,8.66
29713,49,China,Male,0,44489,3.51
19662,48,Slovenia,Female,0,35557,2.49
18083,46,Zimbabwe,Male,0,32897,2.47
98916,44,Comoros,Male,0,112688,9.51
88520,39,Sri Lanka,Female,0,102619,8.45
44597,31,Estonia,Female,0,60000,5.35
48867,49,Yemen,Male,0,62923,5.53
63348,39,Benin,Female,0,76617,6.43
77615,53,Sudan,Female,0,91944,7.58
70053,49,Laos,Male,0,84649,7.54
37468,56,Bosnia and Herzegovina,Female,1,52769,5.29
19133,50,Myanmar,Male,0,33600,2.51
58132,18,Bolivia,Female,0,73735,6.22
45206,64,Portugal,Female,1,60373,9.36
48876,63,Macedonia,Female,0,63262,5.67
76917,60,Iraq,Male,0,91681,7.65
79167,52,Comoros,Male,0,92795,7.57
59101,53,Montenegro,Male,0,74250,6.57
72928,19,Congo-Kinshasa,Female,1,88122,3.31
29729,58,Canada,Male,0,47031,3.60
72120,65,Hong Kong,Male,0,87648,7.70
41136,48,Malta,Female,0,56971,4.51
46417,51,Iceland,Male,0,63604,5.55
71893,21,Croatia,Female,0,87368,7.26
85802,46,United Arab Emirates,Female,1,103496,6.23
65755,43,Saudi Arabia,Male,0,82176,6.47
50296,29,Argentina,Male,1,67027,5.14
61013,43,Czech Republic,Male,0,77264,6.47
49710,54,Romania,Female,0,64689,5.58
40570,67,Nigeria,Female,0,55839,4.70
20280,22,Montenegro,Female,0,35526,2.23
95495,37,Palestinian Territories,Female,0,110012,9.44
65264,26,Nigeria,Male,0,80503,6.30
22137,70,Turkmenistan,Female,0,37638,3.72
41175,56,Malawi,Male,0,55216,4.59
25827,41,Uzbekistan,Male,1,41837,3.58
28162,24,Norway,Female,1,46500,8.37
32724,18,Nigeria,Female,0,47847,3.20
16376,43,Belarus,Female,0,31897,2.44
18951,67,Bulgaria,Female,0,32870,2.68
93727,44,Palestinian Territories,Male,0,108259,9.51
42305,64,Kazakhstan,Male,0,57782,4.67
91483,63,Bosnia and Herzegovina,Female,0,106239,8.69
61879,36,Lebanon,Female,0,76725,6.40
74857,37,Lithuania,Female,0,90074,7.42
29297,28,Syria,Male,0,43047,3.30
90412,65,Tanzania,Female,0,104030,8.71
86251,29,India,Female,1,101662,5.52
18232,49,Algeria,Female,0,33618,2.50
24331,23,Morocco,Male,0,39118,3.25
49546,62,Somaliland region,Female,0,64291,5.66
33993,66,Slovakia,Male,0,49981,4.69
22414,69,Congo-Brazzaville,Female,0,36514,3.71
35380,55,Slovenia,Female,0,51390,4.58
40267,25,Bangladesh,Male,0,55005,4.28
21491,55,Pakistan,Female,0,36661,3.57
