SchoolRank,Income,Tuition,SAT,GPA
25,188690.7085,48000,1300,4
97,11056.51687,12000,441,4
36,161910.4588,42500,1169,1.9997374
98,8788.993346,11500,427,3
83,45382.3404,19000,607,1.987870147
45,138375.972,38000,1055,3
42,147426.5887,39500,1101,1.940138564
31,174480.0276,45000,1232,1.737082413
0,250451.622,60500,1598,1.864996403
36,161493.0272,42500,1170,2.113734808
16,211122.7699,52500,1410,1.97368486
28,180091.018,46500,1261,2.527219909
57,108011.7802,32000,911,4
16,210135.8472,52500,1404,2.715044994
90,27081.39527,15500,517,3
100,3893.18486,10500,404,4
93,21140.48852,14000,488,3
97,10879.13804,12000,437,4
97,9367.974696,12000,432,2.993565273
80,53333.70938,20500,646,2.822691412
70,78045.87284,25500,763,1.132761276
32,170071.9861,44500,1212,1.195732171
85,40697.31199,18000,583,1.580377059
9,227670.6017,56000,1487,3
99,4673.572586,11000,408,3
98,9168.557839,11500,429,2.314688811
85,40284.57147,18000,579,2.832312912
98,8954.683852,11500,430,3
10,226400.9549,55500,1482,1.217498155
21,199328.2229,50000,1350,2.590552069
33,167738.2499,44000,1200,3
89,30862.83086,16000,535,4
41,148993.1546,40000,1106,2.300265911
33,169789.7805,44000,1207,1.729673381
77,59394.43869,22000,673,3
54,116546.602,33500,951,3
84,41937.19397,18500,590,4
55,113914.9139,33000,940,1.7475692
62,96175.48739,29500,852,3
30,175470.1954,45500,1238,1.54882589
21,198130.7651,50000,1347,2.501421881
82,46180.73904,19500,611,4
13,219111.4,54000,1446,1.860631767
63,95577.28302,29000,847,1.79889322
74,66614.71507,23500,707,4
76,63260.47631,22500,693,2.412570829
69,80101.98639,26000,775,3
71,73547.25305,25000,743,3
87,34386.5561,17000,551,4
47,133447.2714,37000,1031,4
18,207476.6887,51500,1390,3
49,128435.3791,36000,1008,2.666174517
92,22609.32977,14500,496,3
57,110278.0114,32000,918,4
87,36480.81796,17000,561,2.093160127
67,83401.30551,27000,792,3
85,40970.3237,18000,582,3
59,103453.952,31000,887,1.467277118
24,191352.5389,48500,1312,4
53,119469.5888,34000,966,3
7,234196.577,57000,1519,2.056905236
74,68080.3686,23500,714,4
16,210162.1121,52500,1405,4
33,169188.2048,44000,1206,3
54,116873.4377,33500,954,3
50,126246.324,35500,999,4
71,74748.80686,25000,747,2.882694859
62,98373.81244,29500,861,4
68,83653.89165,26500,789,4
25,188979.271,48000,1303,1.242758617
39,153265.9299,41000,1129,3
64,90910.58674,28500,827,3
54,115798.8939,33500,947,2.565708539
57,110331.4595,32000,921,1.100266875
45,139885.6159,38000,1064,4
73,69377.45082,24000,724,4
6,234867.9065,57500,1522,2.804208788
14,217000.93,53500,1437,4
89,30369.68045,16000,534,3
79,53745.61237,21000,647,2.720243346
45,140056.5205,38000,1063,4
67,83508.26551,27000,792,3
76,61015.51604,22500,682,2.188590395
25,187796.5337,48000,1297,4
66,88279.87047,27500,814,1.782221971
60,101797.2512,30500,881,4
21,197271.6448,50000,1343,2.345338699
50,127397.7205,35500,1005,3
19,204754.9178,51000,1377,3
61,100243.9277,30000,872,2.380027612
22,195654.885,49500,1333,3
90,28511.39202,15500,524,1.864121995
67,83567.30513,27000,793,2.180527168
41,148652.3496,40000,1105,3
73,69609.83275,24000,722,1.310269889
42,147329.6149,39500,1101,3
99,4506.07634,11000,409,1.009767969
37,157810.287,42000,1153,3
12,220870.706,54500,1456,1.11803021
13,218666.419,54000,1444,3
17,209038.7269,52000,1399,2.560847174
30,176288.1274,45500,1238,1.45014527
38,157455.7066,41500,1150,1.56818486
93,21139.1509,14000,488,4
86,38822.38462,17500,573,2.490488518
17,208663.2204,52000,1396,2.747888044
29,177961.4484,46000,1247,2.267974696
97,9723.83058,12000,432,2.09620938
1,249372.3078,60000,1593,1.677122841
12,219890.0473,54500,1453,4
10,224814.5632,55500,1475,3
29,177752.6742,46000,1248,2.096986097
16,210963.4315,52500,1406,2.453561994
53,120471.6347,34000,968,1.976851707
41,147674.1289,40000,1103,2.523572586
2,244661.9908,59500,1572,2.687307839
39,154943.8171,41000,1136,1.865821468
5,239564.3632,58000,1545,4
76,61684.11477,22500,684,4
32,171327.4842,44500,1217,1.267183852
40,150953.8269,40500,1116,1.738454886
93,21786.68202,14000,489,1.890722908
61,100165.6793,30000,872,2.238249911
62,97749.60036,29500,858,3
65,91144.71402,28000,825,3
50,126418.5191,35500,998,1.519080863
48,132345.9533,36500,1025,3
59,104517.9592,31000,890,1.880654612
6,235076.9361,57500,1523,3
88,34155.80312,16500,549,2.8460305
94,17273.20727,13500,468,1.588188694
3,244367.377,59000,1568,1.402852004
46,136329.7633,37500,1046,2.249693967
35,163846.6856,43000,1182,1.039913853
80,51900.38794,20500,637,2.450487394
68,81705.633,26500,782,1.132695444
19,202889.5012,51000,1369,4
51,125011.8571,35000,992,1.312015068
51,123203.282,35000,983,3
80,52680.83867,20500,643,1.161989039
67,85519.34738,27000,798,3
79,55979.22091,21000,657,1.873900021
11,223550.5624,55000,1469,1.88353302
7,233515.1495,57000,1518,1.795965069
45,138642.81,38000,1058,4
88,32862.35189,16500,543,4
95,14514.57934,13000,458,1.329226313
49,128348.3411,36000,1007,4
16,210929.2173,52500,1410,3
66,88301.06351,27500,813,3
6,236723.9156,57500,1532,1.258236392
36,160960.1374,42500,1164,2.303503049
94,17116.44022,13500,470,4
73,69770.53897,24000,725,3
59,104222.1242,31000,890,4
75,65986.50426,23000,705,3
15,212972.3986,53000,1416,2.7428061
25,189821.2304,48000,1304,3
13,218207.7061,54000,1443,4
2,244556.0895,59500,1572,3
30,175607.3293,45500,1235,3
82,46880.87802,19500,613,3
21,199638.6522,50000,1353,1.803521384
41,149706.8767,40000,1111,4
2,245118.4273,59500,1576,4
5,237659.0064,58000,1537,3
33,168795.9998,44000,1206,4
87,34390.48021,17000,553,2.789188652
34,166964.4015,43500,1195,2.535379138
4,240369.3171,58500,1551,4
54,117653.3808,33500,954,3
2,244458.953,59500,1573,2.309329766
56,111865.8725,32500,928,2.940511446
66,86690.00343,27500,807,2.774567964
86,38396.14977,17500,570,3
5,237435.7386,58000,1537,1.051305513
85,39858.99361,18000,578,1.932823703
78,58719.00233,21500,668,2.510202005
15,214480.5309,53000,1424,1.752538948
75,64651.89741,23000,701,2.232088756
39,154517.8944,41000,1137,2.902826967
10,226508.78,55500,1482,4
67,84990.21688,27000,799,1.817868596
25,188568.4943,48000,1300,1.38086211
1,248565.5709,60000,1590,2.450704792
74,68484.87183,23500,716,3
41,148483.8964,40000,1107,2.110937662
31,174702.3663,45000,1233,1.202573963
56,111472.6425,32500,926,3
10,224249.8636,55500,1474,2.680056859
73,69850.14056,24000,723,3
85,40982.36201,18000,582,4
43,144311.3884,39000,1085,1.79256244
10,226891.1061,55500,1484,3
91,24852.6153,15000,506,4
14,215352.2582,53500,1432,2.922641652
17,208672.1951,52000,1397,4
43,145097.951,39000,1088,2.235520969
62,96591.91971,29500,852,2.409679923
75,63996.99559,23000,697,1.341836736
98,7227.968856,11500,420,3
76,61161.35753,22500,683,1.480143942
36,161347.8811,42500,1167,2.375209535
78,57549.08301,21500,665,4
9,227726.7717,56000,1492,3
19,204011.6096,51000,1373,1.435615878
48,130521.483,36500,1020,4
85,39866.33596,18000,580,2.052450816
68,82054.73098,26500,782,4
90,28393.39705,15500,525,3
22,196840.2923,49500,1341,1.955406478
42,146183.7705,39500,1092,2.61967997
83,43766.72567,19000,600,3
46,136357.3168,37500,1048,4
85,40405.15711,18000,579,1.232180449
35,163066.3351,43000,1177,4
60,102091.2044,30500,880,1.301862367
86,36350.76654,17500,564,1.812770516
90,28017.71958,15500,522,2.158265513
42,147780.0483,39500,1101,2.353016044
19,202784.5828,51000,1369,2.290283715
77,60089.0192,22000,679,2.392370471
40,150703.8476,40500,1114,1.091001242
80,53189.68036,20500,643,1.27789483
10,225899.3591,55500,1483,3
99,5415.254311,11000,412,4
67,84078.19437,27000,795,1.116470452
66,87907.70893,27500,813,4
70,78378.9616,25500,764,4
35,164127.9312,43000,1182,4
28,181402.7713,46500,1266,1.7486678
61,99455.06299,30000,868,3
60,103017.001,30500,886,1.393927674
38,154819.8161,41500,1138,2.723635003
81,49398.07761,20000,624,4
53,118168.4397,34000,960,1.436392022
19,203929.2157,51000,1373,4
81,49965.7595,20000,629,4
49,129034.9004,36000,1009,4
21,198758.4735,50000,1347,3
44,142425.1662,38500,1074,1.011055131
26,187631.6606,47500,1294,1.746099623
62,96295.3044,29500,850,1.69733275
99,4831.540251,11000,408,2.248364912
83,44621.7881,19000,602,1.14982634
63,94533.06977,29000,845,2.004036994
96,13074.9846,12500,447,3
44,142575.7137,38500,1076,3
16,210184.8647,52500,1404,1.570705981
24,191728.4326,48500,1317,2.841418953
23,194350.0688,49000,1327,3
19,202933.7963,51000,1367,4
57,108875.025,32000,911,4
55,115017.4863,33000,941,4
95,16231.10635,13000,463,4
77,60509.32294,22000,677,2.494976852
45,138184.5457,38000,1057,4
88,33694.75967,16500,550,1.950627431
39,155257.6613,41000,1137,3
33,169516.5275,44000,1205,1.268206632
5,237884.6539,58000,1538,3
96,12804.93667,12500,448,1.489150897
53,118214.4718,34000,961,3
68,83351.29901,26500,788,1.64113462
63,94594.32971,29000,846,2.738220441
1,247167.7515,60000,1586,4
71,76262.01855,25000,753,4
63,95306.8382,29000,847,2.767698374
16,211216.8854,52500,1411,2.62383058
91,25957.66229,15000,513,2.816057807
72,71962.65538,24500,736,3
14,214677.79,53500,1427,4
27,183482.2341,47000,1276,3
73,70609.05054,24000,728,4
51,125179.8004,35000,993,2.208797325
39,154378.1002,41000,1134,4
96,12732.34989,12500,448,4
53,118602.4489,34000,962,2.595813234
43,144940.195,39000,1086,2.352674227
77,58793.62828,22000,672,3
93,20553.80639,14000,487,4
10,227250.6471,55500,1485,3
49,129860.5666,36000,1015,3
86,38857.14154,17500,573,4
72,72010.25795,24500,733,2.975931462
4,241248.6152,58500,1557,2.82163466
14,216481.052,53500,1437,4
70,76690.66451,25500,759,4
66,87910.16662,27500,812,4
89,29841.33957,16000,529,3
41,148069.9481,40000,1104,1.180378947
44,140919.4716,38500,1068,1.436990783
88,31075.01369,16500,538,4
87,34685.40378,17000,553,1.643817106
72,73226.97785,24500,739,1.908113211
35,164147.428,43000,1183,2.609114769
56,111331.2063,32500,926,3
49,128776.2476,36000,1011,4
35,164043.8691,43000,1182,3
78,58284.35283,21500,668,1.321234244
85,41021.40682,18000,583,2.778826943
6,235716.4757,57500,1529,2.930432015
9,227368.1579,56000,1488,2.315679276
54,117641.3624,33500,957,4
49,129827.3383,36000,1013,1.787100364
40,150668.8543,40500,1115,2.988464025
53,119018.5068,34000,961,4
93,21404.72095,14000,487,2.581019062
47,134455.5845,37000,1038,3
81,49863.75952,20000,625,4
48,132295.7942,36500,1026,1.939703267
13,217956.4426,54000,1442,2.955459179
20,200551.0802,50500,1357,1.958186126
50,128204.8234,35500,1006,1.924553124
65,88877.12643,28000,816,3
22,196283.6619,49500,1336,4
39,154618.1804,41000,1133,1.748207273
90,28558.66635,15500,524,3
40,152845.0405,40500,1126,2.967377022
89,31136.70351,16000,536,3
69,78510.89606,26000,768,4
66,86825.61981,27500,805,3
97,10357.91091,12000,435,4
9,227506.4451,56000,1487,4
92,21620.99298,14500,492,1.592263322
50,127160.6295,35500,1003,4
65,90177.66866,28000,825,3
19,203206.4548,51000,1372,1.059185575
96,13318.01801,12500,452,4
43,144139.4757,39000,1083,3
66,86605.82449,27500,805,2.519137939
6,236948.1954,57500,1534,2.418133001
56,111686.0035,32500,929,2.53325122
25,189254.1813,48000,1302,2.411857127
32,170112.8963,44500,1211,4
46,136926.9374,37500,1049,1.459532004
53,120677.2482,34000,969,4
1,247092.9286,60000,1584,1.062088672
96,12901.64877,12500,448,2.931847379
84,43048.20796,18500,595,4
32,170942.3435,44500,1216,2.472970907
18,206998.3436,51500,1388,4
29,177795.9378,46000,1249,1.569312431
95,14622.15791,13000,455,3
4,239185.4763,58500,1546,4
70,75792.1578,25500,754,3
94,17779.36013,13500,472,4
34,167189.0773,43500,1197,1.427649462
84,41732.30601,18500,589,2.430310049
46,136688.0483,37500,1049,4
28,182224.5733,46500,1267,3
39,154214.9717,41000,1133,3
57,110288.6388,32000,918,1.868601892
54,115679.5289,33500,948,3
57,109637.9781,32000,915,4
33,167632.5538,44000,1200,4
7,234611.3348,57000,1521,4
31,172990.2625,45000,1226,1.052079342
0,249892.3081,60500,1595,4
98,8097.003222,11500,426,4
88,32808.09175,16500,545,1.654591066
45,139755.6991,38000,1064,2.116717336
94,18085.47043,13500,474,1.619813511
27,184697.7548,47000,1280,4
7,233194.8627,57000,1516,4
25,189249.7993,48000,1303,4
43,143514.4083,39000,1079,3
74,68422.64346,23500,718,1.748915577
39,154651.2426,41000,1134,1.885137384
10,225238.2825,55500,1476,4
80,51743.93462,20500,635,1.178940218
33,168554.8258,44000,1203,3
15,214554.825,53000,1424,1.23928897
31,174859.6479,45000,1231,2.659624227
87,35765.01428,17000,560,4
28,181539.8778,46500,1266,2.580254255
70,76266.84623,25500,756,2.922398627
81,48920.84776,20000,623,3
91,25091.20013,15000,509,1.871230398
46,136005.9574,37500,1046,3
72,70987.43671,24500,732,1.588956141
11,223650.5613,55000,1471,3
47,133509.2466,37000,1034,2.331089543
97,10800.79914,12000,438,1.888579324
50,126001.2558,35500,996,3
92,21966.38177,14500,492,4
84,42415.64141,18500,590,4
15,212422.8117,53000,1417,3
72,73685.88453,24500,742,3
1,248267.2375,60000,1588,2.449628019
54,116291.0337,33500,948,3
7,233072.2062,57000,1515,1.582402155
94,16831.6797,13500,466,1.56312675
12,221704.2801,54500,1459,4
90,28226.36137,15500,521,4
99,4850.216627,11000,409,1.068427314
6,234484.499,57500,1524,3
74,67371.84539,23500,713,4
34,165949.4798,43500,1192,2.652756352
95,14806.86296,13000,457,1.058499847
41,149392.1254,40000,1110,4
47,135121.2881,37000,1040,2.334230209
28,180823.8143,46500,1261,4
23,194748.9573,49000,1328,2.495651536
6,235992.0936,57500,1532,4
32,170513.5962,44500,1212,1.475567084
18,205679.2002,51500,1382,1.890880844
2,245642.7123,59500,1576,3
81,49769.71103,20000,629,2.027702996
83,45607.91827,19000,607,3
57,109055.4583,32000,912,2.465872478
74,66353.53666,23500,707,3
62,98388.80845,29500,861,1.246253435
14,216195.9323,53500,1434,2.83364977
71,74194.48621,25000,744,3
91,25197.13417,15000,508,3
5,237883.4622,58000,1537,1.429488577
43,144107.1588,39000,1086,1.646493607
59,104529.1571,31000,890,3
47,133530.5592,37000,1033,2.944002333
94,17409.0747,13500,470,4
23,193391.196,49000,1321,3
71,74328.75586,25000,747,1.780530875
66,86320.19137,27500,804,2.070647408
75,65483.43932,23000,702,3
24,190562.8725,48500,1307,3
63,94751.54454,29000,843,2.011644446
73,70787.85528,24000,729,4
24,191522.1428,48500,1314,2.846280037
98,7497.148085,11500,423,4
29,179375.5621,46000,1254,2.196466878
82,49011.36641,19500,621,2.44349431
21,197636.3957,50000,1344,2.628070946
58,108079.1293,31500,910,2.809871833
31,173717.7095,45000,1227,1.165146355
15,212738.6597,53000,1419,1.396116306
28,181721.42,46500,1267,4
72,71984.87084,24500,733,1.485142499
42,148097.5943,39500,1102,3
24,190620.8588,48500,1309,2.237363605
29,180024.0112,46000,1257,1.73139056
81,49413.72948,20000,623,1.944862015
65,89421.61397,28000,820,4
24,192560.6314,48500,1318,3
62,97894.56524,29500,859,1.530138424
0,250047.182,60500,1598,4
78,58102.21423,21500,669,2.816106108
38,155350.7752,41500,1140,4
46,137122.2334,37500,1049,4
75,65352.59145,23000,704,3
53,119496.257,34000,965,3
31,173111.0109,45000,1223,2.490115297
5,238978.7835,58000,1542,1.002258195
69,80360.88458,26000,777,3
29,179336.8225,46000,1254,3
14,214295.209,53500,1426,3
16,209978.0774,52500,1402,1.540945111
74,67586.00999,23500,713,1.697951004
89,30545.81783,16000,535,4
30,176789.8092,45500,1243,3
6,235855.3426,57500,1529,3
91,25213.53543,15000,509,2.866919715
44,141970.3993,38500,1073,1.240745594
74,66855.14049,23500,709,3
98,7164.504412,11500,422,4
41,150319.6006,40000,1113,4
41,149991.99,40000,1113,4
3,243876.148,59000,1566,1.602968856
43,144536.02,39000,1088,2.29260753
54,117189.1563,33500,956,1.654131113
49,128356.4712,36000,1007,3
28,180764.8874,46500,1263,2.392833006
98,8848.773493,11500,429,2.001771721
14,214961.7052,53500,1430,3
7,232899.7055,57000,1517,4
24,190207.1619,48500,1310,4
67,83599.19297,27000,793,2.830359618
97,10493.22924,12000,438,4
24,190631.0673,48500,1309,1.146482958
60,101250.649,30500,875,1.241335965
47,134635.0429,37000,1036,4
28,180948.2676,46500,1263,1.767230983
59,105192.4594,31000,896,3
56,110967.4943,32500,923,3
45,139028.8431,38000,1058,3
18,206972.9829,51500,1390,4
5,238809.6351,58000,1541,2.112147049
14,214766.7267,53500,1429,4
10,225904.7283,55500,1482,2.259042328
0,249073.4613,60500,1595,2.958770526
44,143134.3716,38500,1078,1.016725673
70,77626.4741,25500,761,2.207316821
49,129891.7558,36000,1013,1.986407114
2,246873.1069,59500,1581,4
86,37021.51699,17500,567,3
50,125232.0143,35500,995,1.31008514
41,149151.7706,40000,1107,2.591204386
73,70275.31017,24000,728,3
31,174227.4891,45000,1232,2.025766541
85,39680.26478,18000,579,4
94,19306.35675,13500,477,2.35521958
96,14272.23946,12500,453,3
34,165248.3771,43500,1187,4
76,61906.4171,22500,685,2.698798305
35,163180.7043,43000,1175,1.428332817
64,91290.51999,28500,829,4
75,64616.73723,23000,701,1.045269202
54,116187.1262,33500,950,4
87,34816.6694,17000,556,1.941347587
55,113803.2184,33000,935,4
23,192416.0838,49000,1319,1.57093036
4,241083.2637,58500,1552,4
26,186449.3173,47500,1288,2.030609072
42,147334.2952,39500,1102,4
91,24579.77416,15000,503,3
47,133920.9853,37000,1037,1.440254311
73,69809.35409,24000,723,2.109444367
61,100390.0646,30000,873,2.226458933
40,152628.5106,40500,1125,3
24,192409.8593,48500,1316,1.803961597
91,24495.0146,15000,506,4
19,203064.2452,51000,1369,1.340431216
61,98136.18239,30000,863,3
15,213463.1763,53000,1420,1.290271322
3,243913.5842,59000,1568,4
81,50122.1423,20000,627,3
92,23394.9589,14500,499,2.430062989
45,140627.1176,38000,1065,2.279501012
76,62325.71141,22500,688,2.107316122
60,101303.4542,30500,878,3
83,45583.88699,19000,605,4
48,130740.3223,36500,1020,1.698077608
13,217212.4504,54000,1439,3
52,123328.7851,34500,981,3
35,164931.5742,43000,1184,4
32,171465.2659,44500,1216,3
75,64712.85698,23000,701,3
37,159087.2372,42000,1156,2.168439701
65,89010.11507,28000,815,2.747965715
91,26195.1138,15000,512,2.2345095
33,168551.4738,44000,1204,2.928650387
92,23265.77774,14500,499,3
86,37411.96726,17500,569,2.939723464
63,94518.75313,29000,845,2.912666189
50,125857.8639,35500,998,3
42,147058.0601,39500,1099,3
31,174779.2088,45000,1231,2.744160587
94,18434.3637,13500,476,4
30,176390.4422,45500,1240,3
26,186692.8697,47500,1291,3
64,91180.52223,28500,829,2.982804396
65,89436.50196,28000,818,2.681540251
67,84197.19315,27000,796,4
36,162045.2099,42500,1169,1.459288099
88,33653.22004,16500,548,1.251819773
8,229492.9705,56500,1499,1.881234597
28,181023.9426,46500,1262,3
64,92309.55154,28500,832,1.650713699
88,33157.17986,16500,547,3
83,45550.99469,19000,606,3
24,190783.4339,48500,1309,4
47,134820.4355,37000,1040,4
44,141089.3759,38500,1071,2.609864732
48,130804.323,36500,1022,2.097182594
71,74359.73742,25000,746,3
45,138235.718,38000,1056,3
59,103836.878,31000,888,2.656318807
69,79145.98583,26000,771,2.990046281
19,202725.5452,51000,1368,2.981275017
50,125921.0187,35500,996,3
26,186815.9579,47500,1290,2.936236273
8,231097.9836,56500,1507,3
35,164542.0441,43000,1185,1.737356346
89,30978.76998,16000,534,1.87807294
97,11548.9675,12000,440,1.178295692
42,146314.7776,39500,1095,2.25725967
23,193620.7355,49000,1322,2.751411306
7,232640.5946,57000,1514,2.985277548
60,101928.2667,30500,882,4
4,242282.0498,58500,1558,3
97,11012.94866,12000,438,4
89,30062.34405,16000,531,3
35,163860.3743,43000,1179,2.672153856
81,49939.83941,20000,626,4
88,32055.57416,16500,543,4
82,48908.3526,19500,621,1.404936667
4,240431.2906,58500,1549,1.008221797
50,127550.1451,35500,1005,3
73,69613.10362,24000,723,2.826299013
67,85252.58297,27000,798,4
14,217223.604,53500,1437,3
64,92022.7712,28500,833,2.106829708
98,8418.043973,11500,426,4
73,69453.1563,24000,724,2.055251529
40,153211.6496,40500,1126,1.955768551
89,30211.27919,16000,532,3
85,40546.44715,18000,582,2.613088199
30,174598.3982,45500,1234,4
18,206971.3995,51500,1387,4
86,38024.30316,17500,571,1.198135372
94,17507.3172,13500,470,1.151412293
66,87557.42655,27500,812,2.162655379
15,213783.9312,53000,1421,1.359040047
98,7303.626265,11500,422,1.307234131
76,62122.58783,22500,688,2.459050544
14,216695.8104,53500,1437,2.373550358
22,196042.5385,49500,1334,2.490600187
40,152612.7613,40500,1125,2.332349892
81,48686.19095,20000,623,3
90,27055.17096,15500,518,2.189948931
19,203279.782,51000,1371,1.952695007
22,196039.6471,49500,1334,1.193628276
48,133208.8894,36500,1029,2.110056388
92,23513.00602,14500,501,1.969397144
6,236744.6118,57500,1531,1.516816588
5,236927.791,58000,1535,2.675891536
89,29642.61981,16000,528,3
43,145317.226,39000,1089,4
87,35827.02036,17000,560,2.829007948
87,35177.17397,17000,556,2.117365161
65,88623.5588,28000,815,3
96,12748.77211,12500,449,1.099801993
53,118329.4342,34000,961,4
14,214300.8547,53500,1426,1.146914513
60,101247.2207,30500,876,2.435166616
72,72714.7898,24500,739,2.735089574
63,94838.53679,29000,844,2.36994805
5,238142.0646,58000,1538,4
2,246438.4626,59500,1581,1.644471561
90,27216.11924,15500,515,1.112513686
66,86946.45845,27500,805,1.629153776
38,157152.6845,41500,1147,4
70,77130.29739,25500,761,1.808227852
84,41187.18337,18500,587,1.153677963
6,234188.7747,57500,1523,3
43,143538.5734,39000,1079,2.34370629
23,194457.793,49000,1327,4
31,174523.2447,45000,1230,4
38,156836.5944,41500,1144,1.25749759
0,250306.9881,60500,1597,3
61,99168.90727,30000,864,3
90,28142.3221,15500,524,4
24,190823.6387,48500,1311,3
58,108016.2273,31500,907,3
55,114941.4705,33000,943,4
30,175733.6705,45500,1238,3
36,160918.9409,42500,1165,2.256369113
71,76099.94318,25000,752,2.509352826
91,25067.89321,15000,509,4
23,193302.1365,49000,1323,1.777656821
92,24238.2531,14500,501,2.360225659
82,47284.85591,19500,616,4
54,117215.7703,33500,954,2.468157863
56,111343.0337,32500,925,1.260112367
83,46055.35752,19000,609,1.896088277
47,134647.6866,37000,1038,1.700104315
52,122784.8606,34500,981,2.812256773
53,120031.2433,34000,967,2.960970951
26,185401.6347,47500,1284,4
60,102858.1935,30500,886,2.368084468
1,249429.8136,60000,1593,2.957509519
79,53655.73741,21000,648,2.683294219
29,179664.2463,46000,1257,4
88,33047.76927,16500,548,4
60,101358.6075,30500,875,1.543942568
82,47018.47982,19500,614,2.669830217
75,64816.57657,23000,701,4
92,21921.19342,14500,494,1.717323409
83,44831.23744,19000,603,2.577126426
61,100061.3569,30000,872,2.733661934
60,102994.3225,30500,884,4
56,112731.2915,32500,931,3
16,210748.49,52500,1407,2.936930424
44,141117.3258,38500,1069,4
51,123672.4087,35000,985,1.48366635
10,225303.8165,55500,1477,4
30,176358.1061,45500,1239,4
38,156829.0812,41500,1148,3
20,201946.0876,50500,1363,1.607540506
18,206218.1944,51500,1383,4
89,29083.9593,16000,527,2.58670351
49,128752.7133,36000,1012,3
69,80605.43875,26000,774,1.110896062
96,12331.5538,12500,444,2.794369813
28,180547.7028,46500,1259,2.639160908
51,123693.8526,35000,987,1.812695134
4,240057.4046,58500,1547,1.145992977
73,70099.21525,24000,725,3
62,96598.86247,29500,852,1.291879512
60,102165.4166,30500,880,4
94,19292.99585,13500,478,1.021418659
30,176281.2294,45500,1240,2.231454791
4,240020.9092,58500,1549,2.093018008
13,218342.1081,54000,1446,3
9,229041.5629,56000,1494,1.770725696
94,18381.49029,13500,476,3
81,49020.26272,20000,624,3
6,235513.0928,57500,1525,3
31,175254.6756,45000,1233,2.574574489
33,168502.85,44000,1201,1.560695386
97,9856.473031,12000,435,3
27,183267.5652,47000,1275,2.079753495
42,145718.4071,39500,1094,2.716681347
41,148414.3397,40000,1105,2.344146281
76,62816.47735,22500,691,1.570687394
84,44095.61767,18500,597,2.820998159
60,102222.4063,30500,879,4
10,226000.1786,55500,1480,1.392928644
71,75446.17405,25000,749,4
84,42880.33452,18500,593,1.501648771
60,102269.4005,30500,879,2.329457956
44,141874.7488,38500,1075,2.142343496
85,40271.79283,18000,579,3
15,214290.9676,53000,1423,2.723343644
50,125645.7097,35500,995,2.189687763
23,193611.8958,49000,1323,1.778407912
35,164428.6,43000,1183,1.322976301
66,86976.06232,27500,805,2.2796578
35,163794.5118,43000,1180,1.429360128
42,145694.3718,39500,1093,1.307827273
54,117232.074,33500,956,1.251056009
13,219146.0044,54000,1448,2.331798259
23,193383.7999,49000,1324,4
88,31430.98641,16500,540,4
18,206216.0324,51500,1386,1.905823296
64,92405.95294,28500,833,3
22,196075.4174,49500,1334,1.533721734
7,234184.2284,57000,1519,1.951138815
97,10357.38954,12000,435,2.154528902
95,16428.01264,13000,465,3
73,69399.14464,24000,721,2.919228096
54,118280.4353,33500,957,4
60,102535.9926,30500,883,3
61,99207.40723,30000,867,4
97,10410.3083,12000,435,3
52,120766.8198,34500,972,2.132553807
