"IDN","COUNTRY","HAPPINESS"
92350,"Algeria",8.73
78402,"India",7.61
24082,"Latvia",3.58
32773,"Iran",3.3
25982,"Honduras",3.34
58445,"Tunisia",6.38
49333,"South Korea",5.28
34305,"Togo",3.61
53575,"Zimbabwe",5.55
11806,"Jamaica",9.07
89142,"Uzbekistan",8.55
36120,"Swaziland",4.26
86508,"Guinea",8.72
15541,"Honduras",2.2
75319,"Hungary",7.59
95775,"Thailand",9.45
29128,"Moldova",3.22
79509,"Togo",7.45
44255,"Germany",5.51
18530,"Syria",2.42
32502,"Palestinian Territories",7.42
73149,"Russia",7.69
70999,"Swaziland",7.57
92928,"Ecuador",9.61
54988,"Vietnam",5.31
12101,"Romania",2.62
53640,"Georgia",5.65
57147,"Iraq",5.64
18697,"Philippines",2.7
75908,"Pakistan",7.63
21021,"Sierra Leone",2.22
31108,"Iceland",4.33
17607,"India",2.19
24298,"Belarus",3.67
87013,"Sudan",8.4
51318,"Myanmar",5.44
53561,"Macedonia",5.22
31069,"Sweden",4.3
99247,"Mauritius",9.62
56592,"Ecuador",6.45
90594,"Egypt",8.4
75627,"Pakistan",7.73
55336,"Brazil",6.35
21987,"Benin",2.48
48739,"Malawi",5.38
52666,"United Kingdom",5.42
30205,"Romania",3.34
62007,"Costa Rica",6.29
19511,"Germany",2.31
16095,"Burkina Faso",2.33
62627,"Benin",6.37
32209,"Honduras",3.28
47499,"Nepal",5.42
89532,"Syria",8.31
38718,"Chad",4.44
59849,"Ukraine",7.56
21975,"Uzbekistan",3.54
84919,"Colombia",8.32
15254,"Bangladesh",2.36
22360,"Tunisia",3.65
15396,"Malta",2.67
38690,"Haiti",4.35
96000,"El Salvador",9.73
80213,"Germany",8.24
65555,"United Kingdom",6.74
74883,"Mozambique",3.95
26362,"Belarus",3.29
45018,"Philippines",9.57
82763,"United Arab Emirates",8.76
45512,"Belgium",5.54
30097,"Portugal",3.6
17842,"Uganda",2.34
30238,"Vietnam",3.36
38598,"Belgium",6.51
85444,"Cyprus",9.28
12266,"United Kingdom",2.49
65261,"Denmark",6.58
97082,"Suriname",9.62
78374,"Mauritania",7.46
70455,"Bolivia",7.69
15755,"Uruguay",2.23
35459,"Mauritania",4.64
21639,"Venezuela",3.55
41875,"Serbia",4.31
55743,"Oman",7.01
20907,"Sweden",3.67
15243,"Nepal",2.23
10919,"Japan",2.43
81355,"Ghana",8.26
82072,"Uganda",8.26
57172,"Czech Republic",6.32
65430,"Slovakia",6.63
20996,"Hungary",8.47
47570,"Qatar",5.4
49073,"Mexico",5.63
42097,"Niger",4.53
96566,"Hungary",9.6
63627,"Canada",6.26
55146,"Suriname",5.67
99390,"Egypt",9.34
97073,"Laos",6.62
25480,"Cyprus",3.29
79327,"Yemen",7.32
81974,"Uruguay",8.7
97596,"Vietnam",9.63
68441,"Iraq",6.32
92926,"Rwand2a4",8.52
85561,"Armenia",8.35
21663,"Suriname",3.29
45032,"Mauritius",5.37
60735,"Switzerland",6.33
86440,"Paraguay",8.25
73526,"Ireland",7.52
30886,"Guatemala",3.66
32912,"Ghana",7.63
87624,"Cyprus",8.61
23635,"Senegal",3.52
95734,"Poland",9.61
45789,"France",5.52
91091,"Bolivia",8.36
19894,"United Kingdom",3.01
44887,"United States",5.62
54581,"Serbia",5.5
28184,"Liberia",3.66
57990,"Sudan",6.44
18626,"Canada",3.37
34297,"Costa Rica",4.31
36269,"Cameroon",4.32
30340,"Cambodia",3.23
25451,"Uruguay",3.29
63026,"Estonia",6.39
58002,"Spain",6.48
70531,"Kyrgyzstan",7.58
64971,"Senegal",6.44
86909,"Sudan",8.52
97813,"Mexico",9.31
90028,"Vietnam",8.27
74308,"Costa Rica",7.65
58998,"Bulgaria",6.52
59870,"Thailand",9.44
52301,"Central African Republic",5.42
25368,"Madagascar",3.72
56926,"Sweden",6.28
24807,"Bolivia",3.66
43182,"Taiwan",4.35
47868,"Qatar",5.39
71282,"Slovakia",7.48
71576,"Madagascar",7.6
41892,"Thailand",4.43
32330,"Italy",7.52
43205,"Libya",5.47
88517,"El Salvador",8.43
14243,"Zambia",2.43
86166,"Nigeria",8.61
77581,"Myanmar",7.41
69069,"South Korea",7.24
62679,"Denmark",6.69
80768,"Chad",7.4
49727,"Algeria",4.14
15038,"Hungary",2.39
88460,"Burkina Faso",8.26
49708,"Venezuela",5.39
41186,"Uruguay",8.94
91906,"Congo-Kinshasa",8.63
59131,"Poland",6.44
26652,"Burundi",3.63
17163,"Norway",2.3
88511,"Paraguay",8.47
21304,"Kazakhstan",4.68
74643,"Israel",7.41
36317,"Saudi Arabia",4.23
37066,"North Cyprus",4.51
65646,"Tunisia",6.58
33255,"Australia",4.24
86587,"Tunisia",8.72
69613,"Luxembourg",7.49
68799,"Turkmenistan",7.74
57590,"Madagascar",5.48
84915,"Malaysia",8.46
73781,"Uganda",7.6
55540,"Guinea",5.28
70743,"Syria",7.66
91518,"United States",9.58
18129,"Moldova",2.36
75760,"United Kingdom",7.62
23719,"Morocco",3.47
18649,"Taiwan",2.49
33346,"Malaysia",4.48
62312,"Cyprus",6.6
87551,"Congo-Kinshasa",8.3
14437,"Finland",9.73
19173,"Nigeria",2.71
68049,"Burundi",6.7
15816,"Guinea",2.48
50239,"Norway",4.7
97315,"Ecuador",2.81
89138,"Bosnia and Herzegovina",8.73
17804,"Czech Republic",2.58
82935,"Peru",8.54
48146,"Russia",3.66
87593,"Cyprus",3.25
34669,"Austria",4.68
62375,"Indonesia",6.27
33707,"Moldova",8.84
38667,"Tajikistan",4.48
57291,"Mexico",6.52
84499,"Costa Rica",8.62
35929,"Malaysia",4.4
63946,"Kuwait",2.47
65708,"Bahrain",4.33
95118,"Serbia",9.77
96233,"Oman",4.94
37814,"Armenia",4.68
35183,"Kazakhstan",4.72
67426,"Sri Lanka",6.24
30398,"Syria",3.33
90832,"Croatia",6.77
32935,"Iceland",4.34
68481,"Malta",7.33
97825,"Ethiopia",9.64
29150,"Chile",3.38
60820,"Estonia",2.64
10553,"Chad",2.36
19446,"Liberia",2.48
69648,"Luxembourg",7.67
48401,"Serbia",8.93
57695,"Albania",6.36
44303,"Canada",4.76
37297,"Switzerland",4.28
36492,"Malawi",4.4
53107,"Russia",8.9
15676,"Benin",2.65
83818,"Switzerland",8.76
89186,"Panama",8.61
81824,"Jamaica",8.45
33940,"Finland",4.73
80535,"Palestinian Territories",7.68
38800,"Mauritius",4.49
88098,"Burundi",8.67
21490,"Suriname",3.49
44709,"Zambia",4.49
90403,"South Africa",8.42
53209,"Hong Kong",5.62
75627,"China",7.23
13008,"Zambia",2.63
51898,"Albania",5.61
52860,"Australia",3.78
63479,"Bosnia and Herzegovina",6.68
46688,"Sweden",5.51
35002,"Laos",4.43
67818,"Togo",6.54
87421,"Moldova",8.67
26558,"Botswana",3.44
38642,"Finland",4.34
55994,"Malaysia",5.3
88351,"Philippines",8.42
35356,"Mozambique",4.61
96802,"Costa Rica",4.27
49602,"Georgia",5.64
98213,"Uzbekistan",9.57
86645,"Brazil",8.27
58188,"Ireland",6.32
82198,"Poland",8.71
97110,"Spain",9.43
88106,"Mexico",8.75
72625,"Moldova",7.75
70642,"United Kingdom",7.38
78134,"Kenya",7.37
60088,"Montenegro",6.37
93387,"Finland",9.42
96274,"Georgia",9.27
95521,"Costa Rica",9.35
77954,"Czech Republic",5
83509,"Georgia",8.71
25501,"Bulgaria",3.56
44607,"New Zealand",5.52
27651,"Panama",3.6
47548,"Rwand2a4",5.26
23861,"Nigeria",3.52
80070,"Burundi",7.23
72425,"Gabon",7.25
79707,"Georgia",7.45
73931,"Romania",7.42
53232,"Portugal",5.51
83761,"Liberia",8.63
26599,"Israel",3.3
42764,"Qatar",4.49
88429,"Montenegro",8.62
33081,"Belarus",4.35
77716,"Madagascar",7.28
23462,"Kazakhstan",3.68
64971,"Congo-Kinshasa",6.71
61651,"Honduras",6.7
63225,"Slovenia",6.65
91614,"New Zealand",9.55
12562,"Colombia",8.67
55043,"Bulgaria",5.58
20153,"Taiwan",3.62
85979,"North Cyprus",8.7
69471,"Algeria",7.49
56988,"Taiwan",6.65
10673,"Cyprus",7.46
26526,"Myanmar",3.67
68619,"Vietnam",6.49
88534,"Bangladesh",8.39
55699,"Saudi Arabia",6.52
58511,"Turkmenistan",6.66
39502,"Mauritius",4.61
24783,"Peru",3.26
46190,"Belarus",5.48
39560,"Laos",4.51
51307,"Georgia",5.35
28065,"Russia",3.66
78857,"Norway",8.32
33666,"Spain",8.94
88200,"Spain",8.75
23836,"Rwand2a4",3.5
53623,"Ireland",5.3
50091,"Moldova",5.33
17194,"France",2.54
35044,"Myanmar",4.57
77207,"Slovakia",6.91
86167,"India",8.29
66031,"Tanzania",6.72
46568,"Jordan",5.43
44442,"Finland",5.23
57370,"South Korea",4.83
50902,"Bolivia",7.16
38111,"Belarus",4.22
69595,"Morocco",7.59
69294,"Togo",6.36
55540,"Jamaica",5.26
12233,"Bosnia and Herzegovina",2.52
64856,"Lithuania",6.52
58953,"Cambodia",6.66
24950,"Bosnia and Herzegovina",3.6
56079,"Mauritius",5.55
39069,"Mali",4.5
27988,"Djibouti",3.45
47802,"Madagascar",5.23
84754,"Taiwan",8.4
18205,"Tunisia",5.47
63774,"Paraguay",6.44
82204,"Burundi",7.51
28020,"North Cyprus",3.55
68254,"Madagascar",6.69
21982,"Cameroon",3.35
41819,"Mongolia",4.6
32611,"Madagascar",3.72
16159,"Djibouti",5.39
62882,"Bulgaria",6.27
85736,"Guinea",8.47
25257,"Brazil",3.52
53459,"Slovenia",5.42
11143,"Burundi",2.36
51278,"Kuwait",5.65
96518,"Algeria",8.66
12293,"Gabon",2.7
41001,"Lebanon",7.79
13228,"Paraguay",2.3
79053,"Costa Rica",3.53
38934,"Estonia",4.36
92330,"Spain",9.53
77924,"Ukraine",7.58
32452,"Moldova",4.47
14600,"Liberia",2.49
98635,"Nepal",9.39
78474,"Morocco",7.67
63268,"Paraguay",6.34
81466,"Sweden",8.66
29713,"China",3.51
19662,"Slovenia",2.49
18083,"Zimbabwe",2.47
98916,"Comoros",9.51
88520,"Sri Lanka",8.45
44597,"Estonia",5.35
48867,"Yemen",5.53
63348,"Benin",6.43
77615,"Sudan",7.58
70053,"Laos",7.54
37468,"Bosnia and Herzegovina",5.29
19133,"Myanmar",2.51
58132,"Bolivia",6.22
45206,"Portugal",9.36
48876,"Macedonia",5.67
76917,"Iraq",7.65
79167,"Comoros",7.57
59101,"Montenegro",6.57
72928,"Congo-Kinshasa",3.31
29729,"Canada",3.6
72120,"Hong Kong",7.7
41136,"Malta",4.51
46417,"Iceland",5.55
71893,"Croatia",7.26
85802,"United Arab Emirates",6.23
65755,"Saudi Arabia",6.47
50296,"Argentina",5.14
61013,"Czech Republic",6.47
49710,"Romania",5.58
40570,"Nigeria",4.7
20280,"Montenegro",2.23
95495,"Palestinian Territories",9.44
65264,"Nigeria",6.3
22137,"Turkmenistan",3.72
41175,"Malawi",4.59
25827,"Uzbekistan",3.58
28162,"Norway",8.37
32724,"Nigeria",3.2
16376,"Belarus",2.44
18951,"Bulgaria",2.68
93727,"Palestinian Territories",9.51
42305,"Kazakhstan",4.67
91483,"Bosnia and Herzegovina",8.69
61879,"Lebanon",6.4
74857,"Lithuania",7.42
29297,"Syria",3.3
90412,"Tanzania",8.71
86251,"India",5.52
18232,"Algeria",2.5
24331,"Morocco",3.25
49546,"Somaliland region",5.66
33993,"Slovakia",4.69
22414,"Congo-Brazzaville",3.71
35380,"Slovenia",4.58
40267,"Bangladesh",4.28
21491,"Pakistan",3.57
48851,"Senegal",5.31
26876,"Rwand2a4",3.21
81724,"Kyrgyzstan",8.66
37470,"Serbia",5.91
40023,"Singapore",5.9
65519,"Ethiopia",6.25
13050,"Guinea",2.47
33342,"Venezuela",4.54
55050,"China",5.35
73685,"Honduras",7.42
55568,"Moldova",5.27
75993,"Latvia",7.28
97431,"Malawi",9.34
93769,"Burkina Faso",8.5
76137,"Djibouti",7.63
39250,"Bulgaria",4.41
28132,"Iraq",3.6
50256,"China",5.33
64166,"Slovakia",6.53
13788,"Costa Rica",5.49
37497,"Zambia",4.5
90247,"Honduras",8.41
58735,"Macedonia",6.49
49897,"Cameroon",5.27
47475,"Mauritius",8.31
67749,"Armenia",6.34
60418,"Suriname",6.5
37078,"Burundi",4.52
77061,"Nepal",7.36
46890,"Azerbaijan",5.68
70155,"Israel",7.48
39465,"South Korea",4.29
76920,"Iran",7.64
36692,"Ireland",4.69
10586,"Luxembourg",2.59
69269,"Hungary",6.33
98012,"Ireland",9.75
17038,"Peru",2.59
46473,"Romania",5.66
12475,"Bolivia",2.48
26078,"Bulgaria",3.51
93989,"Niger",8.38
71209,"Botswana",7.73
86347,"Iraq",8.42
12382,"Ukraine",2.47
75903,"Spain",7.42
57770,"Swaziland",6.63
60629,"South Africa",6.5
19006,"Singapore",2.4
74424,"Thailand",7.47
38023,"Armenia",4.38
30382,"Djibouti",3.67
97713,"Guatemala",9.25
63517,"Uganda",6.72
50412,"Niger",5.65
26441,"Paraguay",3.35
43463,"Jordan",4.3
77591,"Congo-Kinshasa",7.54
15653,"Chad",2.25
56204,"Sri Lanka",5.64
68400,"United Kingdom",5.71
70379,"Somaliland region",7.48
18709,"Canada",3.42
17772,"Oman",2.35
96607,"Myanmar",9.52
71772,"Venezuela",7.5
76843,"Nigeria",7.25
49584,"China",5.44
80217,"Nigeria",7.24
66371,"India",6.5
62542,"Sierra Leone",6.34
33013,"Poland",4.61
87845,"Venezuela",8.54
78307,"Peru",7.49
87889,"France",8.32
97261,"Venezuela",9.68
72309,"Cameroon",7.58
10754,"Trinidad and Tobago",9.35
60331,"Montenegro",6.53
76278,"Honduras",7.34
56893,"Congo-Brazzaville",5.28
88476,"Guinea",8.64
27637,"Kyrgyzstan",6.42
40441,"Togo",4.33
85156,"Panama",8.75
31409,"El Salvador",3.38
24194,"Kenya",3.28
56653,"South Korea",4.78
56374,"Benin",5.42
17463,"Uzbekistan",2.63
57598,"Lithuania",6.44
39807,"Swaziland",4.35
21960,"Iran",3.54
65735,"Bulgaria",6.71
30600,"Syria",3.52
16003,"United Arab Emirates",9.66
82455,"Panama",8.75
59033,"Mauritius",2.07
41903,"Guinea",4.48
38143,"Nigeria",4.26
87864,"Sri Lanka",8.57
93232,"Finland",6.41
35579,"Honduras",4.48
19848,"Norway",1.8
80849,"South Korea",8.66
35414,"Uzbekistan",4.63
42007,"Morocco",4.34
53145,"Lebanon",5.4
23730,"Palestinian Territories",3.26
95547,"Kuwait",9.71
48037,"Uzbekistan",5.42
19206,"Algeria",2.5
99035,"Guatemala",9.71
68805,"Palestinian Territories",6.22
99633,"Oman",9.56
70182,"Djibouti",6.5
17415,"Sudan",2.22
62039,"Burundi",6.48
11267,"Latvia",2.55
80526,"Haiti",7.47
43811,"Romania",4.59
42160,"Lesotho",4.48
15945,"Finland",2.44
62787,"Panama",2.68
56225,"Colombia",6.41
18984,"Japan",3.47
53937,"Mali",5.56
56822,"Rwand2a4",5.41
60997,"Italy",8.22
20120,"Guinea",2.37
81965,"Uruguay",8.35
62322,"Mexico",6.59
62756,"Portugal",4.69
17805,"Iran",2.66
66273,"Malaysia",6.68
25409,"Spain",3.21
35745,"Zimbabwe",4.64
15054,"Belarus",2.28
67988,"Argentina",7.37
43601,"Kosovo",2.16
17311,"Trinidad and Tobago",2.32
76294,"Indonesia",7.48
79288,"Hungary",7.73
77968,"Iceland",7.34
87781,"Djibouti",8.44
61243,"Afghanistan",6.25
99670,"Myanmar",9.68
48230,"Germany",5.52
54312,"Philippines",5.33
53961,"Guinea",5.47
23042,"Uganda",3.5
46053,"Jordan",5.27
44580,"Italy",5.39
60194,"Bulgaria",6.33
97438,"Belgium",2.4
50613,"Austria",5.96
29092,"Greece",3.35
62016,"Angola",8.98
80488,"Myanmar",7.65
10311,"Guinea",2.54
77297,"Argentina",7.44
62024,"Angola",6.49
36910,"Afghanistan",4.52
36822,"Mexico",6.27
77334,"Malawi",7.63
13248,"Brazil",2.24
96132,"Slovakia",9.46
36614,"Bahrain",4.54
47753,"Vietnam",5.6
89448,"Bolivia",8.27
81810,"Chad",7.66
28095,"United States",3.37
20264,"Kuwait",5.14
27794,"Iraq",3.6
24078,"Liberia",3.3
81786,"Mozambique",8.67
30722,"Iraq",3.59
41336,"Dominican Republic",4.42
43961,"Czech Republic",5.5
78441,"Egypt",7.73
28164,"Singapore",3.58
94552,"Ireland",9.46
39183,"Yemen",4.68
51418,"Iran",5.39
44123,"Guatemala",4.28
20505,"Montenegro",2.43
31682,"Ireland",8.04
16349,"Rwand2a4",2.28
58862,"Croatia",6.39
15694,"Ghana",2.44
71429,"Honduras",7.54
92816,"Jordan",9.44
24859,"Madagascar",3.25
66591,"Australia",6.35
41289,"Uganda",4.66
74126,"Macedonia",7.42
89223,"Bulgaria",8.35
99771,"Myanmar",9.53
20015,"Bahrain",2.58
93737,"Philippines",9.68
30689,"Malawi",3.5
54183,"Kenya",5.55
67679,"Colombia",6
72757,"Oman",7.23
94891,"New Zealand",9.77
96109,"Romania",9.71
38827,"Yemen",4.45
80061,"United Kingdom",5.02
92964,"Israel",9.19
97511,"Singapore",6.22
29622,"Azerbaijan",3.38
15404,"Kazakhstan",2.21
94034,"Bahrain",9.74
39804,"South Korea",4.64
25483,"Cameroon",3.61
75873,"Hong Kong",7.29
49009,"Turkmenistan",5.5
70200,"Swaziland",7.56
47112,"Croatia",5.66
32359,"Iran",3.46
27696,"Chile",8.99
61524,"Kuwait",4.74
51637,"Paraguay",9.54
34749,"Libya",4.53
92110,"Sudan",8.32
93994,"Comoros",8.72
87440,"Belgium",8.36
61996,"Costa Rica",6.55
28801,"Netherlands",6.28
49364,"Romania",5.24
13730,"Colombia",2.35
13134,"Myanmar",2.55
35677,"Mozambique",4.65
54463,"Kenya",5.3
81113,"Rwand2a4",7.31
43769,"Indonesia",4.57
38039,"Venezuela",4.26
46791,"Cambodia",5.65
28319,"Turkey",3.49
41324,"Swaziland",4.25
60343,"Iceland",6.63
19903,"Singapore",8.99
72948,"Sweden",7.65
69961,"Mauritius",7.55
67813,"Ethiopia",6.73
76140,"Uzbekistan",7.24
67125,"Zambia",6.31
22897,"Burkina Faso",3.49
15658,"Belarus",2.66
39891,"Guatemala",7.8
93630,"Norway",6.74
65482,"Mexico",6.46
46776,"Denmark",5.58
66574,"Comoros",6.34
50100,"Ukraine",5.43
98188,"Somaliland region",9.72
49968,"Jamaica",5.39
10859,"Oman",3.67
86105,"Chile",8.44
29607,"Ecuador",3.39
79393,"Jamaica",7.31
14771,"North Cyprus",2.2
46033,"Thailand",5.3
91857,"Uzbekistan",8.51
13969,"Sri Lanka",2.3
54443,"Colombia",5.66
72218,"Indonesia",7.29
81078,"Liberia",7.37
18557,"Bosnia and Herzegovina",2.22
50683,"Indonesia",5.72
32973,"Japan",4.7
73734,"Niger",7.32
17013,"Slovenia",2.49
66189,"Angola",6.67
85933,"Slovakia",8.25
79152,"Argentina",7.75
89349,"Turkey",8.28
32860,"Thailand",4.49
67558,"Iran",6.4
45988,"Gabon",4.33
78185,"Togo",7.6
29362,"Mozambique",3.32
53858,"Jordan",5.34
96244,"Hong Kong",9.65
77158,"Suriname",7.37
34275,"Guinea",3.56
12290,"Morocco",2.54
72495,"Cyprus",7.26
62340,"Swaziland",6.34
32094,"Burkina Faso",3.25
15115,"Azerbaijan",2.27
86528,"Sierra Leone",8.6
75613,"Estonia",7.39
95658,"Ireland",9.58
22960,"Germany",3.33
86321,"Ecuador",9.07
20397,"Benin",2.41
36588,"Russia",4.64
83390,"Macedonia",8.6
21835,"Romania",3.24
41564,"Kazakhstan",4.37
77129,"Ecuador",7.26
66532,"Botswana",6.44
38848,"Swaziland",4.68
57910,"Saudi Arabia",6.33
26178,"Tanzania",3.47
64599,"Laos",6.34
45524,"Australia",5.5
38527,"Finland",4.27
45030,"Indonesia",9.39
34997,"Zimbabwe",8.45
43421,"Algeria",4.67
35698,"Swaziland",4.67
49440,"Chad",5.46
46173,"Sri Lanka",5.46
90809,"Hong Kong",8.53
33485,"Georgia",3.33
33265,"Bosnia and Herzegovina",3.34
12040,"Libya",2.38
46394,"Lithuania",5.74
44499,"Nigeria",4.27
96244,"South Korea",9.54
50263,"Czech Republic",5.58
14813,"Gabon",2.21
27335,"Jamaica",3.26
37263,"India",4.66
59362,"Benin",6.6
57049,"Bulgaria",5.6
78393,"Costa Rica",8.2
42238,"Spain",4.63
41332,"Lithuania",9.3
70186,"Russia",7.68
21939,"Philippines",3.36
81358,"Algeria",8.44
30631,"Burundi",3.27
48531,"Malaysia",5.66
63081,"Kosovo",6.61
54577,"Nicaragua",5.47
50720,"Montenegro",5.34
63549,"Luxembourg",6.67
45219,"Kuwait",5.73
54120,"Portugal",5.5
93760,"Afghanistan",8.51
34102,"United States",4.43
31143,"Libya",3.47
43685,"Azerbaijan",4.36
21821,"Uganda",3.4
94644,"Turkey",9.43
89833,"Kenya",8.33
97761,"Italy",9.61
28519,"Netherlands",3.2
70828,"India",7.29
97089,"El Salvador",9.65
42973,"Vietnam",4.39
44898,"Somaliland region",4.56
55091,"Denmark",6.41
51312,"Israel",5.58
94698,"United States",7.14
69234,"Finland",7.26
89639,"Central African Republic",8.4
95696,"South Africa",9.76
49647,"Botswana",5.65
79678,"Singapore",8.74
86124,"Ireland",8.29
32214,"Libya",3.47
70200,"Serbia",7.72
46693,"Algeria",5.33
46705,"Armenia",5.67
85488,"Kyrgyzstan",8.5
10276,"Iran",2.62
15012,"Mali",2.11
64312,"Netherlands",6.27
48757,"Japan",5.36
10023,"Norway",2.19
71891,"Mongolia",7.69
41896,"Denmark",4.58
76100,"Nigeria",7.54
25562,"Uzbekistan",7.15
74772,"Turkmenistan",7.65
87733,"Burundi",8.44
95669,"Jordan",9.35
13107,"Iran",2.51
51585,"Georgia",5.48
53785,"Sweden",5.55
23289,"Indonesia",3.3
49091,"Bolivia",5.5
38797,"Israel",4.32
76341,"North Cyprus",7.75
27001,"France",3.75
73899,"Nigeria",4.3
18685,"Latvia",2.58
53260,"China",5.46
94534,"Netherlands",9.77
72537,"Chile",7.68
10920,"Benin",2.2
91553,"Iraq",8.47
33490,"Central African Republic",3.24
64199,"Jamaica",6.41
50230,"Canada",5.32
17003,"India",2.35
35742,"Yemen",4.61
54946,"Yemen",5.37
22123,"Congo-Brazzaville",3.4
62980,"Cambodia",6.73
34755,"Saudi Arabia",4.23
34449,"Thailand",4.3
57009,"Rwand2a4",5.26
82889,"United Kingdom",8.28
49531,"Zimbabwe",5.47
18623,"Belgium",2.64
34603,"Burundi",4.32
81836,"Kosovo",8.57
