"id","name","host_name","neighbourhood_group","neighbourhood","room_type","floor","price"
17776104,"Private room in East Harlem close to heart of NYC","Sophie","Manhattan","East Harlem","Private room",16,248.0881285
23111211,"Bright room located in the middle of Manhattan!","Malin","Manhattan","Flatiron District","Private room",16,266.9757047
15542745,"Cozy , Cute and Spacious one bedroom Brooklyn Apt","Camille","Brooklyn","Bay Ridge","Entire home/apt",1,190.0006965
22073571,"Calm 1 bedroom right at Tompkins Square Park","Virginia","Manhattan","East Village","Entire home/apt",1,285.9139256
24807859,"Large Room with Balcony in Brownstone Townhouse","Emilie","Brooklyn","Bedford-Stuyvesant","Private room",1,90.73700075
30535905,"Charming 1 Bedroom Apartment in Carroll Gardens","Jett","Brooklyn","Carroll Gardens","Entire home/apt",1,199.9102785
17367175,"PRIVATE ROOM - Sunny and Spacious - Brooklyn Loft","Aurelien","Brooklyn","Williamsburg","Private room",1,199.131983
19099408,"2 BR apartment in the heart of Brooklyn!","Esther","Brooklyn","Greenpoint","Entire home/apt",1,208.8774429
29515301,"Cozy flat in Williamsburg","Diogo","Brooklyn","Williamsburg","Entire home/apt",1,207.8551038
20451100,"Quiet haven 15 mimutes to Time square","Ousmane","Manhattan","Harlem","Private room",16,246.5740781
16561990,"Cozy one bedroom in Upper East Side Manhattan UES","Lu","Manhattan","Upper East Side","Entire home/apt",1,274.2808453
6866397,"Ideal Manhattan Escape #4","Ira","Manhattan","Lower East Side","Entire home/apt",1,286.6455928
10967026,"Quaint Room in Upper Manhattan","Jayson","Manhattan","Harlem","Private room",1,128.1609576
15806629,"Fantastic Master Bedroom","Ryan","Brooklyn","Prospect-Lefferts Gardens","Private room",1,89.11362039
16706521,"Entire studio Apartment in New York City.","Roger","Manhattan","West Village","Entire home/apt",1,286.5525419
29930623,"Cozy, lofted room in Bushwick","Kayla","Brooklyn","Bushwick","Private room",1,91.83752201
20760640,"20 Min to Manhattan, in the Heart of Ridgewood","Jonathan","Queens","Ridgewood","Entire home/apt",20,514.8716607
20089597,"Time Square Private Studio","Jake","Manhattan","Midtown","Entire home/apt",1,288.0992127
1398326,"Charming, light-filled 1-bedroom","David","Brooklyn","Fort Hamilton","Entire home/apt",16,243.1538592
24670932,"Sunny, Spacious, & Clean East Village One-Bedroom!","Marie","Manhattan","East Village","Entire home/apt",16,535.5152551
30805802,"harlem/morning side heights/SOHA","Amy","Manhattan","Harlem","Private room",16,247.9210609
7661218,"Brooklyn Garden House","Thomas","Brooklyn","Prospect Heights","Entire home/apt",1,198.6252443
30355109,"Shared male room on Manhattan next to river I","Max","Manhattan","Lower East Side","Shared room",16,532.4918235
30712281,"Beautiful apartment near the city and the beach!!","Anastasia","Brooklyn","Sheepshead Bay","Entire home/apt",1,187.9367696
8173434,"LOFT2bdrm apt near metro20min to Manhattan/wall st","Rebekah","Brooklyn","Bedford-Stuyvesant","Entire home/apt",1,195.9331785
35510673,"Clean Cozy Home","Paul","Manhattan","Harlem","Private room",1,127.9373367
36352170,"Spacious room in a two bathroom apartment.","Guillermo","Brooklyn","Bensonhurst","Private room",16,510.0791461
24432539,"Front Big Private Room # 2, size 13x17, 3 Windows","Masud","Brooklyn","Cypress Hills","Private room",1,87.19299861
35415247,"CRASH PAD  IN NYC","Jose","Queens","Jackson Heights","Shared room",5,81.28713038
6237443,"Large  Room in Spacious Flat , Central  Location","Laurence","Brooklyn","Prospect Heights","Private room",1,268.8469522
30341514,"Designer Apartment in NYC near Central Park","Elle","Manhattan","Upper West Side","Entire home/apt",1,270.9782395
30429469,"Time Square - DOUBLE DOUBLE ROOM","Gabriel","Manhattan","Hell's Kitchen","Private room",1,146.9698591
16227620,"Lovely 1 Bedroom Greenpoint Apartment Near Park","Elizabeth","Brooklyn","Greenpoint","Entire home/apt",1,204.1896137
8089062,"Cozy bed in Midtown","Phuong","Manhattan","Midtown","Shared room",1,115.8588038
17189819,"Bright, beautiful room, just block to A, C train","Olya","Brooklyn","Bedford-Stuyvesant","Private room",1,89.16473902
10163617,"Spacious 2 bdr Bed-Stuy Brownstone","Julia","Brooklyn","Bedford-Stuyvesant","Entire home/apt",1,197.7073897
18059239,"Airy studio in south Park Slope","Ivan","Brooklyn","Gowanus","Entire home/apt",1,197.4846328
2974877,"Sunny and Stylish on the Park","Karen","Brooklyn","Greenpoint","Entire home/apt",1,140.3615281
4639015,"Elite Exclusive Chic NYC Times Square LuxuryApt","S Barn","Manhattan","Hell's Kitchen","Private room",16,531.016179
11458818,"Dooman GYM prime location!5178","Jeremy & Laura","Manhattan","Theater District","Entire home/apt",1,283.7218676
27656104,"Charming bedroom w private bathroom","Petr","Brooklyn","Williamsburg","Private room",1,97.2642183
32523945,"Walk to Subway★15min to Manhattan★Min. to LGA/JFK","Smart Accommodations","Queens","Ditmars Steinway","Entire home/apt",5,165.2323907
5447434,"A cozy night in the heart of NYC","Jeehee","Manhattan","Hell's Kitchen","Private room",16,261.7699491
17777286,"Brownstone studio near central park","Lucia","Manhattan","East Harlem","Entire home/apt",16,514.8180873
32683433,"Spacious King near Times Square and Broadway Shows","Paramount Hotel","Manhattan","Theater District","Private room",16,263.3861804
31003285,"City Views, Private Balcony, Clean, Private Bath","MyHomes","Queens","Flushing","Private room",5,78.91041835
26660828,"AIRY & BREEZY","Fifi","Manhattan","Harlem","Entire home/apt",1,265.1795979
16519069,"Cozy Private Room in Share Apartment near Midtown","Ivan","Manhattan","Kips Bay","Private room",16,265.6869209
4295108,"Large Sunny Master Private bedroom","Rasheeda","Manhattan","East Harlem","Private room",16,248.0208374
19057479,"COZY 2BR IN MANHATTAN","Malen","Manhattan","East Harlem","Entire home/apt",16,516.0015825
18175675,"2400 Sq Ft Tribeca Loft w/Private Elevator","Jessica","Manhattan","Tribeca","Entire home/apt",1,285.8244749
4538019,"Luxury Queen Bed_Plush Mattress","Shahana","Brooklyn","Brownsville","Private room",1,88.70712995
16005960,"Cozy Artsy Little Italy Apt!","Scott","Manhattan","Little Italy","Entire home/apt",1,286.0038149
265036,"Private room w/ queen bed + rooftop","Leo","Brooklyn","Crown Heights","Private room",16,515.9811352
20697463,"Quaint, Cozy apartment in Queens","Kirk","Queens","Ridgewood","Entire home/apt",5,89.71362935
24836482,"Private room avaliable in the private house","Fevzi","Brooklyn","Sheepshead Bay","Private room",1,84.04385247
20538305,"East Village, Spacious Private Room w Backyard","Kyle","Manhattan","East Village","Private room",16,534.1076717
8861269,"Harlem Vacation Rental","Darryl","Manhattan","Harlem","Entire home/apt",16,515.6406894
27706098,"Williamsburg Studio- Steps Away from Lorimer L","Emily","Brooklyn","Williamsburg","Entire home/apt",1,204.2342805
7637472,"Bright room in 2BR apt in Nolita!","Lauren","Manhattan","Little Italy","Private room",16,535.4240309
2601402,"Cozy 1BR in Beautiful Brooklyn","Alex","Brooklyn","Boerum Hill","Entire home/apt",16,253.5212959
13715977,"Cozy room in Central Harlem. Lively neighborhood.","Lisa","Manhattan","Harlem","Private room",16,245.5724756
17893797,"Private Room in Spacious Central Harlem Apartment","Lynda","Manhattan","Harlem","Private room",1,129.1406184
32237306,"Sonder | Stock Exchange | Calming 1BR + Sofa Bed","Sonder (NYC)","Manhattan","Financial District","Entire home/apt",16,530.5295001
818084,"Gorgeous sunny prime SoHo 1BR Apt.","Annie","Manhattan","Greenwich Village","Entire home/apt",1,286.9275512
17430920,"Standard New York girls room","Lei","Manhattan","Roosevelt Island","Private room",1,139.4626478
21929935,"Full Studio Apartment (MODULO 715)","Hector","Queens","Elmhurst","Entire home/apt",5,162.5785228
3139918,"Bright Quiet 1BD in the Heart of BK","Sara","Brooklyn","Boerum Hill","Entire home/apt",1,201.2633245
14670685,"1 br available in a Lovely 2br Apt","Lalla","Brooklyn","Bedford-Stuyvesant","Private room",1,93.43776807
32894678,"Brooklyn Awesomely Huge and Hip Apartment","Anthony","Brooklyn","Bushwick","Entire home/apt",1,194.5087745
17665943,"Room in Queens, NY, near LGA.","Sonia","Queens","East Elmhurst","Private room",5,81.44299763
7339802,"HUGR 1BR+ in Sugar Hill, Harlem","Aly","Manhattan","Harlem","Entire home/apt",1,263.2972159
747029,"Private rooms in heart of Chelsea","Erik","Manhattan","Chelsea","Private room",16,264.96028
19915204,"BRIGHT LUXURIOUS MASTER BEDROOM","Shuly","Queens","Ditmars Steinway","Private room",5,83.16496407
26473415,"New York Home at Times Square","Mayur","Manhattan","Theater District","Private room",1,147.0429662
17556208,"Private Room Available in Hamilton Heights","Nicole","Manhattan","Harlem","Private room",16,245.4807257
33046019,"Brand New Upper East Living","Corporate Housing","Manhattan","Upper East Side","Entire home/apt",1,273.1244593
2723019,"Cozy & modern 1 br apt in Brooklyn","Herby","Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",1,193.9525447
13028533,"1 BD Suite W/ Kitchen 550 SQFT Wyn Midtown 45 NYC","Christine","Manhattan","Midtown","Entire home/apt",1,286.2761461
5706280,"New! 2-Bed Apt Near Central Park","AFI Apartments","Manhattan","Upper East Side","Entire home/apt",16,525.0268906
4653508,"1 BR in shiny new building + bikes!","David","Brooklyn","Fort Greene","Entire home/apt",1,137.7850258
14406256,"Sunny bedroom, private backyard","Laura","Brooklyn","Bushwick","Private room",1,92.1250987
9906768,"Soho/Greenwich Village Bedroom","Jessica","Manhattan","Greenwich Village","Private room",1,148.422192
24131689,"Classical Upper West Side Experience","Katya","Manhattan","Upper West Side","Entire home/apt",1,276.5615134
16205154,"Cozy Ground Floor in Park Slope, BK","Andrea","Brooklyn","South Slope","Private room",1,91.76261396
28242697,"Times square luxury","Felix","Manhattan","Hell's Kitchen","Entire home/apt",1,281.9188476
16161905,"Large 2-bedroom Brownstone with Artistic Charm","Arash","Brooklyn","Bedford-Stuyvesant","Entire home/apt",1,197.5830004
15678122,"Lovely Room in Greenpoint, Brooklyn","Kajsa","Brooklyn","Greenpoint","Private room",1,100.2192638
7826033,"Sapphire Suite","Luke","Manhattan","Harlem","Private room",16,244.4798182
27166808,"Artists/Yoga Sunny Studio - Prime Location!","Olivia","Brooklyn","Flatbush","Entire home/apt",1,191.6608781
5084095,"Great 2 bedroom on The Upper East Side","Vered","Manhattan","Upper East Side","Entire home/apt",16,524.207206
13655779,"Studio 1BR in the heart of East Village","Kacie","Manhattan","East Village","Entire home/apt",16,536.7435242
14169399,"New York City - World of Antiques","Krys","Queens","Ridgewood","Entire home/apt",5,162.7573788
4130266,"Spacious Sunny Room","Claudina","Brooklyn","Bedford-Stuyvesant","Private room",1,198.7913919
34813137,"East Village Room","Sofi","Manhattan","East Village","Private room",16,263.9668701
28136026,"Girls House - ""Bauhinia"" Lower Bed 紐約民宿","Tong","Brooklyn","Cypress Hills","Shared room",1,58.69111034
23818526,"Luxury Soho Loft","Vassko","Manhattan","SoHo","Entire home/apt",1,286.0941459
21893604,"Private Bedroom in West Village/Chelsea","Dante","Manhattan","Chelsea","Private room",16,265.2791331
4677469,"Cozy 1-BDR apartment on Manhattan","Timur","Manhattan","Morningside Heights","Entire home/apt",16,514.9436407
36149281,"My Cozy Two Bedroom Apt in Soho - Very Conve","Dan","Manhattan","SoHo","Entire home/apt",1,286.9275512
27896043,"Comfortable room in the heart of Williamsburg!!","Greetings From Saul And Diana","Brooklyn","Williamsburg","Private room",1,101.7526239
8555411,"CLEAN/QUIET APT IN UPPER EAST SIDE!","Mina","Manhattan","Upper East Side","Entire home/apt",16,521.6263662
8160542,"Private Balcony and views of WTC!","Leyla","Manhattan","Tribeca","Private room",16,534.2777407
335819,"Bklyn 4 Beds 1 Bathroom Rental 3","Steve And Heather","Brooklyn","East Flatbush","Entire home/apt",1,190.9008892
10212862,"Tranquil Room in Airy, Sunny Bushwick Loft","Olga","Brooklyn","Bushwick","Private room",1,93.30117397
19999906,"MARTIAL LOFT 3: REDEMPTION (downstairs, 3rd room)","Martial Loft","Brooklyn","Bushwick","Private room",1,91.81872615
34284651,"Columbia campus 2 bedrooms apartment","Sandra","Manhattan","Morningside Heights","Entire home/apt",16,515.8796102
9826628,"Cozy Room, Huge Yard, Trendy Brooklyn","Liubov","Brooklyn","Bedford-Stuyvesant","Private room",1,93.21132864
36029691,"GRAMERCY + WIGWAM = FUN!!!","Bryan","Manhattan","Midtown","Entire home/apt",2,289.3460609
35319394,"Luxury Brooklyn apartment private clean","Ajamu","Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",1,193.3877857
17809310,"Cozy guest room in Brooklyn","Nick","Brooklyn","Crown Heights","Private room",1,131.4998262
32010533,"Andrew’s Bushwick Den","Andrew","Brooklyn","Bushwick","Private room",1,91.81872615
4103623,"Prospect Park Neighborhood Retreat","Channa","Brooklyn","Windsor Terrace","Private room",1,193.5559711
10658564,"Cozy 1 Bedroom on Upper east side","Ankita","Manhattan","Upper East Side","Entire home/apt",1,271.2655407
23389897,"Cozy E. Williamsburg 3-bedroom apt! (Bedroom 1)","Isabelle","Brooklyn","Williamsburg","Private room",1,95.38227392
26743638,"Modern, Cozy Apt Share for Young Professionals","Ollie","Brooklyn","Bedford-Stuyvesant","Private room",1,93.32378645
19641775,"Bushwick 30 min to Times Square #4 bedrooms !","Jannices","Brooklyn","Bushwick","Entire home/apt",1,194.1837815
29492381,"Private Room in the Heart of NYC. Room 1 of 3.","Allison","Manhattan","Murray Hill","Private room",16,266.1903205
22602996,"Private room near Central Park and Subway!","George","Manhattan","East Harlem","Private room",16,249.8292865
414801,"Industrial Brooklyn Loft with Tree-Lined Windows","Shell","Brooklyn","Clinton Hill","Entire home/apt",1,200.3216796
29874717,"Lovely room in Brooklyn","Xavier","Brooklyn","Bushwick","Shared room",1,131.0135245
21449446,"The Oasis 2","Elena","Manhattan","Harlem","Entire home/apt",1,263.6345025
5784146,"2 Bedroom, Doorman. Roof deck. Skyview!","Roger","Manhattan","Upper East Side","Entire home/apt",16,528.8425905
6301965,"Beautiful SoHo Loft","Silvia","Manhattan","SoHo","Entire home/apt",16,535.978218
2082670,"East Williamsburg Room near L train","Reid","Brooklyn","Williamsburg","Private room",1,96.15418675
15800923,"Spacious and peaceful apt in East Village","Guisela","Manhattan","East Village","Entire home/apt",16,536.549284
27868079,"""In the Clouds"" Brooklyn Heights Studio","Jenna","Brooklyn","Brooklyn Heights","Entire home/apt",1,206.1568583
51572,"Prime Location in Manhattan","Lee","Manhattan","Chelsea","Private room",1,148.5025107
33753198,"Chefs apt w/ art, plants, books & strong coffee","Evan","Brooklyn","Crown Heights","Private room",1,92.24317175
9976190,"Two Bedroom Apartment","Carolina","Manhattan","East Village","Entire home/apt",16,536.4529016
15685669,"Private room in Williamsburg. Very close to train!","Tim","Brooklyn","Williamsburg","Private room",1,98.39151726
23771352,"COSY SPACIOUS LOFT IN EAST WILLIAMSBURG","Agathe","Brooklyn","Williamsburg","Entire home/apt",1,200.7156044
7325293,"Big Room in the heart of Upper East","Clara","Manhattan","Upper East Side","Entire home/apt",16,526.1534948
23275013,"Dope Apt","Jason","Brooklyn","Greenpoint","Entire home/apt",1,206.6294315
34801761,"Bushwick Brand new 3 bed 3 baths","Joanne","Brooklyn","Bushwick","Entire home/apt",1,197.6574416
31447999,"Stunning Modern 1br with Private Balcony & Views","Cecile","Manhattan","Midtown","Entire home/apt",16,531.1579566
36236389,"Large room(Brooklyn) - 20 min to the beach+comfort","Anna","Brooklyn","Midwood","Private room",1,86.13772399
9063028,"1bdr in luxury 2bdr apt - 45 floor","Francesco","Manhattan","Theater District","Private room",16,534.885985
35314884,"Modern Family Home w/ Patio | 10 min to Manhattan","Lucas","Queens","Astoria","Entire home/apt",5,168.4180939
19074024,"Spacious 5th Ave - Semi Pvt Bed & Bath","Rachel","Manhattan","Midtown","Shared room",1,116.0041104
17897913,"Warm home in Woodside, Queens.","Giani","Queens","Maspeth","Private room",5,83.26993538
21223569,"My Sunny Island Room","Ladi","Manhattan","Roosevelt Island","Private room",16,256.7874455
27202986,"HOSTEL","Sergiy","Brooklyn","Gravesend","Shared room",1,188.1959658
13802334,"Bright chic room in Clinton hill","Lisa","Brooklyn","Clinton Hill","Private room",1,94.3063665
32533738,"Suite Donna Dina - free Street Parking+wifi","Joe","Manhattan","East Village","Entire home/apt",1,287.1178969
18273542,"Luxury Room w/private bathroom in DUPLEX","Vadim","Brooklyn","Bedford-Stuyvesant","Private room",1,199.3359481
23434788,"Bright Bushwick Apartment with City Views!","Michael","Brooklyn","Bushwick","Private room",1,93.39199059
19530067,"Modern Apartment in Historic Brownstone","Rebeccah & Daniel","Brooklyn","Bedford-Stuyvesant","Entire home/apt",1,196.642563
33812239,"3 bedroom Apartment a few blocks from Union Square","Sam","Manhattan","East Village","Entire home/apt",16,536.3570059
33389423,"In Times Square Cozy Shared Female Apt","Demir","Manhattan","Hell's Kitchen","Shared room",1,111.1500323
564184,"CLEAN PRIVATE ROOM IN CHELSEA NYC","David","Manhattan","Chelsea","Private room",16,264.96028
22411635,"Your insanely quiet, achingly cute, chillspot","Eve","Brooklyn","Williamsburg","Private room",1,273.4326574
35603885,"AMAZING 2 BEDROOM SPTEPS FROM SUBWAY","Francisco","Brooklyn","Williamsburg","Entire home/apt",1,205.5507752
32616616,"Cozy apartment in Bed-Stuy near Subway Stations","Esteban","Brooklyn","Bedford-Stuyvesant","Private room",1,88.76702706
4860650,"Happy Brooklyn! Happy Konakolo!","Hanayo","Brooklyn","South Slope","Entire home/apt",1,195.3536514
1702781,"Nice and quiet","Maria","Queens","Astoria","Private room",20,251.6691868
15361785,"Central Park Sanctuary","Caro & Allen","Manhattan","Upper West Side","Private room",1,139.3397993
4263802,"Fort Greene - Parlor One Bed","Sj","Brooklyn","Fort Greene","Entire home/apt",16,252.0992389
5990467,"Peaceful Private Room with deck & garden","Marj","Brooklyn","Boerum Hill","Private room",1,272.3515898
35768324,"Private Affordable room in the heart of Harlem NYC","Khady","Manhattan","Harlem","Private room",16,245.9786921
35217816,"Modern 3 BR, 2 BATH Triplex (Washer/Dryer)","Caroline","Brooklyn","Bedford-Stuyvesant","Entire home/apt",1,198.8473806
25964053,"King Size Room Feet from Subway","Raphael","Manhattan","Harlem","Private room",1,131.4998262
11453784,"Prime Chelsea~roof deck~laundry...","Host","Manhattan","Chelsea","Entire home/apt",16,537.6427089
14628409,"WINTER PROMO! BKLN - LG 2bd/ modern/comfy/CLEAN!","Chana & Chike","Brooklyn","Greenpoint","Entire home/apt",1,208.7535082
21230280,"(C) room for 2 - sharing bath","Wilson","Queens","Flushing","Private room",5,78.42024513
29178331,"Farm house style in Bay Ridge (A)","Fon","Brooklyn","Bay Ridge","Private room",1,87.09331904
11183567,"Charming 1BR in UES Townhouse","Tny","Manhattan","Upper East Side","Entire home/apt",16,528.9041815
13901170,"Comfy 1 Bedroom in commercial East Flatbush","Daniel And Christianne","Brooklyn","East Flatbush","Entire home/apt",1,191.8654509
22971913,".Melinda's Place","Arlene","Brooklyn","Crown Heights","Entire home/apt",1,195.0873213
10527274,"Luxury Apt, Near Subway, Perfect for Work or Play!","Kara","Brooklyn","Bedford-Stuyvesant","Entire home/apt",1,195.0127505
31019621,"Luxury on 5th Ave St. Regis 2 King BR Suite 5 Star","Alyssa","Manhattan","Midtown","Entire home/apt",4,284.12283
118061,"Style in Stuyvesant Heights","Roberta","Brooklyn","Bedford-Stuyvesant","Entire home/apt",1,195.6685852
54508,"Sml Rm in pr Brst  Park Sl great for Med/students","Kathleen R.","Brooklyn","Prospect Heights","Private room",1,199.0171999
15511681,"Quiet, Cozy, ELEVATOR, Queen Bedroom near Subway!","Mike","Manhattan","Upper East Side","Private room",16,254.3865781
13452799,"Small and cozy room in Williamsburg 2-Bedroom apt.","Mikalena","Brooklyn","Williamsburg","Private room",1,98.27710218
2459916,"$455 Cozy 1bd, BKLYN Sublet March","Victor","Brooklyn","Bedford-Stuyvesant","Private room",1,92.36304286
13761271,"Flushing Private Room W/ bathroom W/2 Quee Bed/1FL","Shirley","Queens","Flushing","Private room",5,78.81464169
7602442,"Chelsea Apt Great Location","Michael","Manhattan","Flatiron District","Entire home/apt",16,538.1607577
35350827,"4BD Newly Renovated Home in NY- TIME SQUARE","Aden","Manhattan","Hell's Kitchen","Entire home/apt",2,284.0418932
13299243,"Single family BBQ - 15 min to midtown","Sarah","Queens","Astoria","Entire home/apt",5,168.4791439
14770256,"Lovely bedroom in the heart of Brooklyn","Pau","Brooklyn","Midwood","Private room",1,85.62418629
480549,"Studio 54, Cozy Room For 2","Ron","Manhattan","Upper West Side","Private room",16,258.5532448
14006823,"Great Studio near Time Square","Jeniffer","Manhattan","Hell's Kitchen","Entire home/apt",1,281.77707
8450523,"Mint 2 bedroom w rooftop terrace!","Rachel","Manhattan","Upper West Side","Entire home/apt",16,516.9057365
23288667,"Great place for 8, 30 min to Manhattan","Alexander M","Brooklyn","Bensonhurst","Entire home/apt",1,188.8760679
19200160,"Art, Design & Comfort.","Assane","Brooklyn","Bedford-Stuyvesant","Entire home/apt",1,198.4617729
31287886,"Spacious Bright Manhattan Home Near The Park","Kai","Manhattan","East Harlem","Private room",16,249.7449546
4261951,"Beautiful 1 Bedroom in Midtown West","Lev","Manhattan","Hell's Kitchen","Entire home/apt",16,531.445251
1428648,"Bright Rm avail in heart of Village","Leah","Manhattan","Greenwich Village","Private room",16,265.2791331
944183,"your holiday-ready Harlem home away from home!","Lindsay","Manhattan","Harlem","Entire home/apt",1,265.26475
2346106,"Amazing Greenpoint Loft-Best Deal!","El","Brooklyn","Greenpoint","Private room",1,211.0786364
18516103,"Cosy place in the West Village","Max","Manhattan","West Village","Private room",16,264.7253146
13763917,"Marabou","Christian","Brooklyn","Crown Heights","Private room",1,91.68843406
17037,"Lovely EV Artist's Home","Anna","Manhattan","East Village","Entire home/apt",1,285.0386317
11032957,"Glorious brownstone apt w/ outdoor, Clinton Hill","Courtney","Brooklyn","Clinton Hill","Entire home/apt",16,518.9980539
26001925,"Beautiful one-bedroom get away with park view","Zhenni","Manhattan","Washington Heights","Entire home/apt",16,508.6202059
13492449,"[TRUE 1br] Heart of the West Village","Kelly","Manhattan","West Village","Entire home/apt",1,286.739109
2368021,"Spacious and Amazing Location!","Ashley","Manhattan","Kips Bay","Entire home/apt",1,288.9216487
29562532,"1/2 of a LARGE APARTMENT in Bushwick / Bedstuy <3","Natalie","Brooklyn","Bedford-Stuyvesant","Private room",1,268.6440249
9853884,"1 Month Huge 1 Bdr UWS Morningside","Tristan","Manhattan","Morningside Heights","Private room",16,514.3010029
16827715,"Private One Bedroom/5 min. walk to train","Monica","Queens","Ditmars Steinway","Private room",20,249.4971224
23877625,"Bright 2BR  Private Backyard 25 min to  Manhattan!","Eva","Brooklyn","Bedford-Stuyvesant","Entire home/apt",1,195.8919475
29103450,"Beautiful cosy room in a Luxury Building","Chantou","Brooklyn","Bedford-Stuyvesant","Private room",1,94.66870335
5593975,"Adorable Private Room w/ backyard!","Brianna","Brooklyn","Bedford-Stuyvesant","Private room",1,131.9834351
27215807,"LUXURY DELUXE 2BR 2BATH -DOORMAN/GYM","Pranjal","Manhattan","Hell's Kitchen","Entire home/apt",17,531.5908008
20976316,"Sunny One Bedroom in Historic Fort Greene","Chris","Brooklyn","Fort Greene","Entire home/apt",1,274.1147309
12089692,"Ground Floor Apartment in Brooklyn!","Erica & Tayo","Brooklyn","Bedford-Stuyvesant","Entire home/apt",1,197.0074949
21669411,"1 Cozy, Sun-filled Private Room","Ciru","Brooklyn","Crown Heights","Private room",1,90.91763042
32987477,"P","Jack","Brooklyn","Sheepshead Bay","Shared room",1,56.92989369
13528649,"Terrific Master Bedroom/Bath in Great UWS Location","Judah","Manhattan","Upper West Side","Private room",1,134.4569619
35836317,"Gorgeous Duplex 2BED/1.5BA  Modern","John","Manhattan","Kips Bay","Entire home/apt",1,288.8169454
