AGE,STATUS,EDUCATION,YEARS,PROFESSION,CAPITALGAINS,CAPITALLOSS,NATIVE,ZODIAK
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Cancer
21,Private,Some-college,10,Handlers-cleaners,0,0,United-States,Cancer
21,Private,Some-college,10,Prof-specialty,0,0,United-States,Cancer
21,Private,Assoc-acdm,12,Adm-clerical,0,0,United-States,Cancer
21,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Cancer
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Cancer
21,?,Some-college,10,?,0,0,United-States,Cancer
21,Private,Assoc-voc,11,Transport-moving,0,0,United-States,Cancer
21,Private,Some-college,10,Other-service,0,0,United-States,Cancer
21,Private,Assoc-voc,11,Adm-clerical,0,0,United-States,Cancer
21,Private,HS-grad,9,Other-service,232681,0,United-States,Capricorn
21,Private,Some-college,10,Other-service,0,0,United-States,Capricorn
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Capricorn
21,Private,HS-grad,9,Sales,0,0,United-States,Capricorn
21,Private,Some-college,10,Other-service,0,0,United-States,Capricorn
21,Private,Assoc-voc,11,Exec-managerial,0,0,United-States,Capricorn
21,Private,Some-college,10,Exec-managerial,220209,0,United-States,Capricorn
21,Private,Some-college,10,Other-service,0,0,United-States,Capricorn
21,Private,HS-grad,9,Sales,0,0,United-States,Capricorn
21,Private,Some-college,10,Adm-clerical,2597,0,United-States,Capricorn
21,?,Some-college,10,?,0,0,United-States,Capricorn
21,?,HS-grad,9,?,0,1504,United-States,Capricorn
21,Federal-gov,12th,8,Adm-clerical,0,0,United-States,Capricorn
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Capricorn
21,State-gov,Some-college,10,Other-service,0,0,United-States,Capricorn
21,?,Some-college,10,?,0,0,United-States,Capricorn
21,Private,Some-college,10,Other-service,0,0,Germany,Capricorn
21,Private,Some-college,10,Other-service,0,0,United-States,Capricorn
21,Private,Some-college,10,Other-service,0,0,United-States,Capricorn
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Capricorn
21,Private,Some-college,10,Sales,0,0,United-States,Capricorn
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Capricorn
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Capricorn
21,Private,Some-college,10,Other-service,0,0,Outlying-US(Guam-USVI-etc),Capricorn
21,Private,HS-grad,9,Farming-fishing,0,0,United-States,Capricorn
21,Private,10th,6,Adm-clerical,0,0,United-States,Capricorn
21,Private,7th-8th,4,Farming-fishing,280582,0,United-States,Capricorn
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Capricorn
21,Private,Some-college,10,Exec-managerial,0,0,United-States,Capricorn
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Capricorn
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Capricorn
21,Private,Assoc-acdm,12,Adm-clerical,0,0,United-States,Capricorn
21,Self-emp-not-inc,Some-college,10,Other-service,242958,0,United-States,Capricorn
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Capricorn
21,Private,Some-college,10,Sales,0,0,United-States,Capricorn
21,Private,Some-college,10,Handlers-cleaners,0,0,United-States,Capricorn
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Capricorn
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Capricorn
21,Private,Some-college,10,Prof-specialty,212121,1974,United-States,Capricorn
21,?,HS-grad,9,?,0,0,United-States,Capricorn
21,Private,HS-grad,9,Transport-moving,0,0,United-States,Capricorn
21,Private,Some-college,10,Other-service,0,0,United-States,Capricorn
21,State-gov,Some-college,10,Tech-support,0,0,United-States,Capricorn
21,Private,Some-college,10,Craft-repair,0,0,United-States,Capricorn
21,Private,HS-grad,9,Other-service,0,0,United-States,Capricorn
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Capricorn
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Capricorn
21,Private,Preschool,1,Farming-fishing,220112,0,Mexico,Capricorn
21,Private,HS-grad,9,Sales,0,0,United-States,Capricorn
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Capricorn
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Capricorn
21,Private,Some-college,10,Handlers-cleaners,0,0,United-States,Capricorn
21,Local-gov,12th,8,Other-service,0,0,United-States,Capricorn
21,Private,HS-grad,9,Sales,0,0,United-States,Capricorn
21,Private,Some-college,10,Transport-moving,0,0,United-States,Capricorn
21,Private,Some-college,10,Other-service,0,0,United-States,Capricorn
21,Private,Assoc-acdm,12,Other-service,0,0,United-States,Capricorn
21,Private,Some-college,10,Sales,292001,0,United-States,Capricorn
21,Private,Some-college,10,Transport-moving,283905,0,United-States,Capricorn
21,Private,Some-college,10,Sales,0,0,United-States,Capricorn
21,Private,Some-college,10,Sales,0,0,United-States,Capricorn
21,Private,Some-college,10,Exec-managerial,0,0,United-States,Capricorn
21,?,Assoc-acdm,12,?,0,0,United-States,Capricorn
21,Private,5th-6th,3,Priv-house-serv,0,0,Mexico,Capricorn
21,Private,Some-college,10,Priv-house-serv,0,0,United-States,Capricorn
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Capricorn
21,Private,10th,6,Machine-op-inspct,0,0,United-States,Capricorn
21,?,HS-grad,9,?,0,0,United-States,Gemini
21,Private,HS-grad,9,Sales,4101,0,United-States,Gemini
21,Private,HS-grad,9,Handlers-cleaners,3325,0,United-States,Gemini
21,?,Some-college,10,?,0,0,United-States,Gemini
21,Private,Some-college,10,Prof-specialty,0,0,United-States,Gemini
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Gemini
21,Private,Assoc-acdm,12,Prof-specialty,0,0,United-States,Gemini
21,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Gemini
21,Private,HS-grad,9,Prof-specialty,0,0,United-States,Gemini
21,Private,HS-grad,9,Other-service,0,0,United-States,Gemini
21,Private,Some-college,10,Sales,0,0,United-States,Gemini
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Gemini
21,Private,Some-college,10,Tech-support,0,1602,United-States,Gemini
21,Self-emp-not-inc,Some-college,10,Adm-clerical,244425,0,United-States,Gemini
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Gemini
21,Private,Some-college,10,Other-service,0,0,United-States,Gemini
21,Private,HS-grad,9,Other-service,0,0,United-States,Gemini
21,Private,Some-college,10,Transport-moving,0,0,United-States,Gemini
21,Private,Assoc-acdm,12,Sales,0,0,United-States,Gemini
21,Private,HS-grad,9,Craft-repair,0,0,Mexico,Gemini
21,Private,Assoc-voc,11,Craft-repair,0,0,United-States,Gemini
21,Private,Some-college,10,Transport-moving,244308,0,United-States,Gemini
21,Private,HS-grad,9,Handlers-cleaners,205803,0,United-States,Gemini
21,Private,Some-college,10,Other-service,0,0,United-States,Gemini
21,Private,HS-grad,9,Adm-clerical,216643,0,United-States,Gemini
21,Self-emp-not-inc,Some-college,10,Adm-clerical,0,0,United-States,Gemini
21,Private,Assoc-acdm,12,Other-service,0,0,United-States,Gemini
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Gemini
21,?,HS-grad,9,?,0,0,United-States,Gemini
21,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Gemini
21,Private,HS-grad,9,Transport-moving,203374,0,United-States,Gemini
21,Private,HS-grad,9,Farming-fishing,0,0,United-States,Gemini
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Gemini
21,?,Some-college,10,?,0,0,United-States,Gemini
21,State-gov,Some-college,10,Tech-support,0,0,United-States,Gemini
21,Private,Assoc-acdm,12,Adm-clerical,0,0,United-States,Gemini
21,Private,HS-grad,9,Machine-op-inspct,2176,0,United-States,Gemini
21,Private,HS-grad,9,Handlers-cleaners,3674,0,United-States,Gemini
21,Private,9th,5,Handlers-cleaners,0,0,United-States,Gemini
21,Private,HS-grad,9,Sales,0,0,United-States,Gemini
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Gemini
21,Private,Some-college,10,Protective-serv,99999,0,United-States,Gemini
21,Private,HS-grad,9,Sales,0,0,United-States,Gemini
21,Private,HS-grad,9,Other-service,0,0,United-States,Gemini
21,Private,Some-college,10,Farming-fishing,0,0,United-States,Gemini
21,Private,7th-8th,4,Machine-op-inspct,0,0,United-States,Gemini
21,Private,Some-college,10,Other-service,0,0,United-States,Gemini
21,Private,HS-grad,9,Other-service,0,0,United-States,Gemini
21,Private,11th,7,Prof-specialty,0,0,United-States,Gemini
21,Private,11th,7,Craft-repair,0,0,United-States,Gemini
21,Private,Some-college,10,Other-service,0,0,United-States,Gemini
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Gemini
21,Private,Some-college,10,Craft-repair,0,0,United-States,Gemini
21,?,HS-grad,9,?,0,0,United-States,Gemini
21,?,HS-grad,9,?,0,0,Mexico,Gemini
21,Private,HS-grad,9,Other-service,0,0,United-States,Gemini
21,Private,HS-grad,9,Sales,0,0,United-States,Gemini
21,Private,Some-college,10,Prof-specialty,0,0,United-States,Gemini
21,Private,Some-college,10,Sales,0,0,United-States,Gemini
21,?,Some-college,10,?,0,0,United-States,Gemini
21,?,Some-college,10,?,251441,0,United-States,Leo
21,Private,Assoc-acdm,12,Adm-clerical,0,0,United-States,Leo
21,Private,Assoc-voc,11,Farming-fishing,0,1602,United-States,Leo
21,?,HS-grad,9,?,0,0,United-States,Leo
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Leo
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Leo
21,Private,Some-college,10,Prof-specialty,275005,0,United-States,Leo
21,Private,HS-grad,9,Other-service,0,0,United-States,Leo
21,Private,HS-grad,9,Sales,0,0,United-States,Leo
21,Private,Assoc-voc,11,Tech-support,0,0,United-States,Leo
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Leo
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Leo
21,Private,11th,7,Craft-repair,0,0,Mexico,Leo
21,Private,Some-college,10,Other-service,0,0,Germany,Leo
21,Private,HS-grad,9,Prof-specialty,0,0,Mexico,Leo
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Leo
21,Private,Some-college,10,Other-service,0,0,United-States,Leo
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Leo
21,Private,Some-college,10,Sales,0,0,United-States,Leo
21,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Leo
21,Private,Some-college,10,Adm-clerical,2176,0,United-States,Leo
21,Private,Some-college,10,Adm-clerical,282501,0,United-States,Leo
21,State-gov,Some-college,10,Other-service,0,0,United-States,Leo
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Leo
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Leo
21,Private,Some-college,10,Machine-op-inspct,0,0,United-States,Leo
21,Private,Some-college,10,Other-service,0,0,United-States,Leo
21,State-gov,Some-college,10,Exec-managerial,0,1602,United-States,Leo
21,?,10th,6,?,0,0,United-States,Leo
21,Private,Some-college,10,Machine-op-inspct,0,0,United-States,Leo
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Leo
21,Private,Some-college,10,Other-service,0,0,United-States,Leo
21,Private,Some-college,10,Sales,0,0,United-States,Leo
21,Private,Assoc-voc,11,Other-service,0,0,United-States,Leo
21,Private,Some-college,10,Sales,0,0,United-States,Leo
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Leo
21,?,Some-college,10,?,0,0,United-States,Leo
21,?,Some-college,10,?,0,0,United-States,Leo
21,Private,Assoc-acdm,12,Other-service,0,0,United-States,Leo
21,?,Some-college,10,?,0,0,United-States,Leo
21,Private,Assoc-voc,11,Other-service,0,0,United-States,Leo
21,Private,12th,8,Adm-clerical,255367,0,?,Leo
21,Private,HS-grad,9,Other-service,0,0,United-States,Leo
21,?,Some-college,10,?,0,0,United-States,Leo
21,Private,Assoc-voc,11,Craft-repair,0,1504,United-States,Leo
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Leo
21,?,11th,7,?,0,0,United-States,Leo
21,Private,Some-college,10,Craft-repair,0,0,United-States,Leo
21,Private,HS-grad,9,Other-service,253338,0,United-States,Leo
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Leo
21,Private,Some-college,10,Sales,0,0,United-States,Leo
21,?,HS-grad,9,?,0,0,United-States,Leo
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Leo
21,Private,Some-college,10,Tech-support,0,0,United-States,Leo
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Leo
21,Private,10th,6,Machine-op-inspct,0,0,United-States,Leo
21,Private,Some-college,10,Other-service,0,0,United-States,Leo
21,Private,Preschool,1,Farming-fishing,0,0,Mexico,Leo
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Leo
21,Private,Some-college,10,Machine-op-inspct,0,0,United-States,Leo
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Libra
21,Private,HS-grad,9,Sales,0,0,United-States,Libra
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Libra
21,Private,Some-college,10,Machine-op-inspct,0,0,United-States,Libra
21,Private,Some-college,10,Handlers-cleaners,0,0,United-States,Libra
21,State-gov,Some-college,10,Protective-serv,0,0,United-States,Libra
21,Without-pay,HS-grad,9,Craft-repair,0,0,United-States,Libra
21,Private,Some-college,10,Exec-managerial,0,0,Mexico,Libra
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Libra
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Libra
21,Private,HS-grad,9,Farming-fishing,0,0,United-States,Libra
21,?,Some-college,10,?,0,0,United-States,Libra
21,Private,7th-8th,4,Craft-repair,0,0,United-States,Libra
21,Private,HS-grad,9,Other-service,1055,0,United-States,Libra
21,Private,9th,5,Other-service,0,0,Mexico,Libra
21,Private,Some-college,10,Craft-repair,0,0,United-States,Libra
21,Private,HS-grad,9,Handlers-cleaners,0,0,Jamaica,Libra
21,Private,HS-grad,9,Other-service,0,0,United-States,Libra
21,Private,HS-grad,9,Machine-op-inspct,0,0,Dominican-Republic,Libra
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Libra
21,Private,HS-grad,9,Craft-repair,0,0,Guatemala,Libra
21,?,HS-grad,9,?,0,0,United-States,Libra
21,Private,10th,6,Other-service,0,0,United-States,Libra
21,Private,HS-grad,9,Machine-op-inspct,205100,0,United-States,Libra
21,?,Some-college,10,?,0,0,United-States,Libra
21,?,Some-college,10,?,0,0,United-States,Libra
21,Private,HS-grad,9,Protective-serv,0,0,United-States,Libra
21,Private,HS-grad,9,Other-service,0,0,United-States,Libra
21,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Libra
21,State-gov,Some-college,10,Prof-specialty,0,0,United-States,Libra
21,Private,11th,7,Other-service,0,0,United-States,Libra
21,State-gov,Some-college,10,Prof-specialty,0,0,United-States,Libra
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Libra
21,?,Some-college,10,?,0,0,Taiwan,Libra
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Libra
21,Private,Some-college,10,Sales,0,0,United-States,Libra
21,Private,Some-college,10,Sales,0,0,United-States,Libra
21,Private,HS-grad,9,Adm-clerical,225960,0,United-States,Libra
21,State-gov,Some-college,10,Adm-clerical,0,0,United-States,Libra
21,Private,HS-grad,9,Sales,0,0,United-States,Libra
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Libra
21,?,Some-college,10,?,0,0,United-States,Libra
21,Private,10th,6,Handlers-cleaners,0,0,Dominican-Republic,Libra
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Libra
21,Private,HS-grad,9,Exec-managerial,0,0,United-States,Libra
21,Private,9th,5,Transport-moving,0,0,United-States,Libra
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Libra
21,Private,HS-grad,9,Other-service,0,0,United-States,Libra
21,Private,9th,5,Craft-repair,0,0,El-Salvador,Libra
21,Private,Some-college,10,Craft-repair,0,1719,United-States,Libra
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Libra
21,Private,10th,6,Craft-repair,0,0,United-States,Libra
21,Private,Some-college,10,Other-service,0,0,United-States,Libra
21,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Libra
21,Private,Some-college,10,Prof-specialty,216334,0,United-States,Libra
21,?,Some-college,10,?,226001,0,United-States,Libra
21,Private,11th,7,Craft-repair,0,0,United-States,Libra
21,Self-emp-not-inc,HS-grad,9,Craft-repair,0,0,United-States,Libra
21,Private,Some-college,10,Handlers-cleaners,0,0,Philippines,Libra
21,Private,Some-college,10,Other-service,0,0,United-States,Libra
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Libra
21,Private,Assoc-voc,11,Adm-clerical,0,0,United-States,Libra
21,?,7th-8th,4,?,0,0,United-States,Libra
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Libra
21,Private,HS-grad,9,Other-service,0,1719,United-States,Libra
21,Private,HS-grad,9,Craft-repair,256615,0,United-States,Libra
21,Private,Some-college,10,Sales,0,0,United-States,Libra
21,Private,Some-college,10,Sales,0,0,United-States,Libra
21,Private,Some-college,10,Handlers-cleaners,290080,0,United-States,Libra
21,Local-gov,Some-college,10,Prof-specialty,0,0,United-States,Libra
21,Private,HS-grad,9,Other-service,0,0,United-States,Libra
21,Private,Assoc-voc,11,Craft-repair,0,2603,United-States,Libra
21,State-gov,Some-college,10,Prof-specialty,0,0,United-States,Libra
21,Private,11th,7,Handlers-cleaners,0,1762,Dominican-Republic,Libra
21,?,Some-college,10,?,0,0,United-States,Libra
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Libra
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Pisces 
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Pisces 
21,Private,Some-college,10,Other-service,0,0,United-States,Pisces 
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Pisces 
21,Private,Some-college,10,Other-service,0,0,United-States,Pisces 
21,Private,Some-college,10,Sales,0,0,United-States,Pisces 
21,Private,Some-college,10,Sales,0,0,United-States,Pisces 
21,Private,Some-college,10,Other-service,0,0,United-States,Pisces 
21,Private,Some-college,10,Handlers-cleaners,0,0,United-States,Pisces 
21,?,Some-college,10,?,0,0,United-States,Pisces 
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Pisces 
21,Private,9th,5,Other-service,0,0,Mexico,Pisces 
21,Private,10th,6,Other-service,0,0,United-States,Pisces 
21,Private,HS-grad,9,Other-service,0,0,United-States,Pisces 
21,Private,HS-grad,9,Adm-clerical,228978,0,United-States,Pisces 
21,Private,12th,8,Handlers-cleaners,0,0,United-States,Pisces 
21,Private,HS-grad,9,Farming-fishing,0,0,United-States,Pisces 
21,Private,10th,6,Prof-specialty,0,0,United-States,Pisces 
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Pisces 
21,Private,Some-college,10,Sales,0,0,United-States,Pisces 
21,State-gov,Assoc-acdm,12,Tech-support,0,0,United-States,Pisces 
21,Private,Some-college,10,Exec-managerial,0,0,United-States,Pisces 
21,Private,Some-college,10,Adm-clerical,256799,0,United-States,Pisces 
21,Private,Some-college,10,Sales,0,0,Vietnam,Pisces 
21,Private,Some-college,10,Prof-specialty,251990,0,United-States,Pisces 
21,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Pisces 
21,?,Some-college,10,?,270286,0,United-States,Pisces 
21,Private,Some-college,10,Other-service,0,0,?,Pisces 
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Pisces 
21,State-gov,Some-college,10,Exec-managerial,0,0,United-States,Pisces 
21,Private,Some-college,10,Sales,0,0,United-States,Pisces 
21,Local-gov,12th,8,Handlers-cleaners,0,0,United-States,Pisces 
21,Private,HS-grad,9,Protective-serv,0,0,United-States,Pisces 
21,Private,Some-college,10,Other-service,0,0,United-States,Pisces 
21,Private,HS-grad,9,Other-service,0,0,United-States,Pisces 
21,Private,5th-6th,3,Handlers-cleaners,0,0,Mexico,Pisces 
21,Private,10th,6,Sales,0,0,United-States,Pisces 
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Pisces 
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Pisces 
21,Private,HS-grad,9,Adm-clerical,0,0,Cuba,Pisces 
21,Private,Some-college,10,Adm-clerical,0,0,United-States,Pisces 
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Pisces 
21,Private,Some-college,10,Sales,0,0,United-States,Pisces 
21,Private,HS-grad,9,Other-service,0,0,United-States,Pisces 
