Toss,Location,Time,Tosser,Temprature,Reporter
Tails,MacDonalds,Morning,John,75,Dev
Tails,MacDonalds,Morning,Kalpana,59,Arpit
Tails,MacDonalds,Morning,Dev,68,Dev
Heads,BurgerKing,Night,Dev,28,Ayla
Tails,Tachos,Morning,John,2,Arpit
Tails,Tachos,Morning,John,4,Dev
Heads,Panera,Morning,Chen,73,Chen
Heads,BurgerKing,Midday,Dev,9,Chen
Heads,Tachos,Morning,John,67,Dev
Heads,BurgerKing,Morning,Katia,64,Arpit
Heads,MacDonalds,Night,Katia,84,Arpit
Heads,Tachos,Morning,Chen,19,Katia
Tails,Tachos,Midday,Dev,6,Katia
Tails,Panera,Morning,Katia,63,Ayla
Tails,MacDonalds,Midday,Dev,65,Arpit
Tails,Tachos,Night,John,56,Ayla
Tails,Tachos,Night,Katia,56,Katia
Heads,BurgerKing,Morning,Katia,44,Katia
Heads,Panera,Midday,Dev,69,Dev
Heads,MacDonalds,Night,Chen,19,Arpit
Heads,BurgerKing,Evening,John,94,Arpit
Heads,MacDonalds,Midday,John,67,Katia
Heads,MacDonalds,Evening,Chen,17,Katia
Heads,MacDonalds,Evening,Katia,100,Katia
Heads,BurgerKing,Night,Dev,81,Chen
Heads,MacDonalds,Midday,Dev,93,Arpit
Heads,BurgerKing,Morning,Chen,17,Katia
Tails,Starbucks,Morning,Dev,79,Dev
Heads,BurgerKing,Night,Kalpana,26,Chen
Heads,Tachos,Evening,John,23,Ayla
Heads,BurgerKing,Night,Chen,87,Arpit
Heads,Panera,Night,Katia,96,Dev
Heads,Tachos,Night,John,5,Arpit
Heads,Panera,Evening,John,53,Arpit
Tails,Tachos,Midday,Kalpana,11,Ayla
Heads,Panera,Evening,Chen,62,Katia
Tails,Starbucks,Night,Kalpana,20,Chen
Tails,Panera,Evening,Kalpana,92,Arpit
Tails,Starbucks,Morning,Chen,70,Katia
Heads,Starbucks,Evening,Katia,72,Chen
Heads,Starbucks,Midday,Kalpana,63,Katia
Tails,Tachos,Night,Dev,44,Katia
Tails,Tachos,Night,Katia,41,Katia
Heads,Tachos,Midday,Kalpana,59,Arpit
Tails,BurgerKing,Evening,John,27,Ayla
Tails,Panera,Midday,John,48,Katia
Heads,MacDonalds,Night,Katia,44,Dev
Tails,Tachos,Evening,Dev,3,Dev
Heads,MacDonalds,Evening,John,9,Arpit
Heads,BurgerKing,Evening,Dev,86,Katia
Tails,Starbucks,Morning,Dev,0,Katia
Heads,Starbucks,Morning,John,51,Katia
Tails,Starbucks,Morning,Kalpana,25,Chen
Tails,Starbucks,Night,Kalpana,40,Arpit
Heads,MacDonalds,Evening,Katia,26,Ayla
Tails,Panera,Evening,Kalpana,58,Dev
Tails,MacDonalds,Night,Katia,16,Chen
Heads,Starbucks,Morning,Katia,58,Arpit
Heads,Tachos,Night,Chen,7,Chen
Tails,Panera,Night,Dev,52,Ayla
Tails,BurgerKing,Night,Kalpana,12,Chen
Heads,Starbucks,Morning,Dev,98,Katia
Heads,MacDonalds,Evening,Katia,45,Chen
Heads,BurgerKing,Midday,John,72,Dev
Heads,BurgerKing,Morning,Kalpana,6,Ayla
Heads,BurgerKing,Morning,Dev,62,Arpit
Heads,BurgerKing,Midday,Katia,61,Arpit
Heads,Panera,Midday,Katia,94,Arpit
Tails,Tachos,Morning,John,3,Ayla
Heads,Tachos,Night,Kalpana,72,Katia
Tails,Panera,Midday,Katia,55,Ayla
Heads,Starbucks,Morning,Chen,64,Chen
Heads,MacDonalds,Night,John,35,Ayla
Tails,MacDonalds,Morning,Dev,69,Chen
Tails,Tachos,Midday,John,48,Dev
Tails,Tachos,Midday,Chen,18,Arpit
Heads,BurgerKing,Morning,John,30,Arpit
Tails,MacDonalds,Evening,Kalpana,96,Ayla
Heads,Tachos,Evening,Katia,70,Ayla
Heads,Starbucks,Midday,Kalpana,92,Ayla
Heads,BurgerKing,Night,Katia,51,Dev
Tails,Panera,Morning,Chen,90,Chen
Heads,Panera,Midday,Dev,69,Arpit
Heads,Starbucks,Night,Dev,67,Chen
Tails,Tachos,Morning,Chen,85,Dev
Heads,Tachos,Morning,Chen,86,Arpit
Heads,Tachos,Morning,John,71,Dev
Tails,Tachos,Evening,Katia,88,Dev
Heads,Panera,Evening,Dev,88,Chen
Tails,Starbucks,Midday,Kalpana,9,Katia
Heads,Panera,Evening,Chen,46,Chen
Heads,Starbucks,Night,Kalpana,30,Dev
Heads,Starbucks,Midday,Katia,99,Ayla
Tails,Tachos,Night,Dev,26,Arpit
Tails,Panera,Midday,Katia,20,Katia
Heads,MacDonalds,Night,Dev,82,Chen
Tails,MacDonalds,Midday,Chen,21,Katia
Tails,Tachos,Morning,John,59,Katia
Tails,Panera,Morning,Kalpana,98,Chen
Tails,MacDonalds,Night,John,48,Katia
Heads,Starbucks,Night,John,73,Chen
Heads,Starbucks,Night,Dev,58,Arpit
Tails,BurgerKing,Midday,Kalpana,51,Chen
Tails,Tachos,Midday,Kalpana,70,Arpit
Heads,BurgerKing,Midday,Katia,12,Ayla
Heads,Starbucks,Night,Chen,49,Ayla
Tails,BurgerKing,Evening,John,69,Katia
Tails,Tachos,Midday,Katia,38,Katia
Heads,MacDonalds,Night,Katia,12,Katia
Heads,Tachos,Evening,Dev,95,Chen
Tails,Tachos,Midday,Kalpana,80,Ayla
Tails,Tachos,Midday,Dev,45,Ayla
Heads,BurgerKing,Evening,Dev,33,Chen
Tails,MacDonalds,Midday,Katia,61,Ayla
Tails,Panera,Midday,Kalpana,59,Arpit
Heads,BurgerKing,Evening,John,85,Arpit
Tails,Tachos,Night,Dev,17,Arpit
Tails,Tachos,Midday,Kalpana,14,Chen
Tails,Starbucks,Midday,Kalpana,77,Arpit
Heads,MacDonalds,Night,Katia,31,Arpit
Tails,MacDonalds,Midday,Chen,22,Ayla
Heads,BurgerKing,Morning,Katia,44,Arpit
Heads,Starbucks,Night,Katia,77,Dev
Heads,Starbucks,Midday,Chen,62,Arpit
Tails,BurgerKing,Evening,John,44,Katia
Heads,MacDonalds,Night,Chen,69,Arpit
Tails,Tachos,Midday,Chen,13,Chen
Tails,Tachos,Evening,Katia,65,Ayla
Tails,Starbucks,Morning,Katia,97,Chen
Tails,Tachos,Midday,Chen,45,Ayla
Tails,Panera,Evening,Katia,29,Chen
Tails,BurgerKing,Evening,Katia,72,Arpit
Tails,Panera,Morning,Dev,77,Ayla
Tails,Tachos,Evening,Dev,36,Dev
Tails,BurgerKing,Morning,Katia,5,Dev
Heads,BurgerKing,Midday,Kalpana,69,Katia
Tails,Panera,Midday,Chen,41,Chen
Tails,BurgerKing,Midday,Katia,78,Katia
Tails,Starbucks,Night,John,23,Katia
Tails,BurgerKing,Night,Katia,74,Ayla
Heads,Tachos,Evening,Chen,14,Arpit
Tails,MacDonalds,Midday,John,89,Chen
Heads,BurgerKing,Midday,Katia,4,Chen
Tails,MacDonalds,Midday,Dev,51,Ayla
Tails,Tachos,Evening,Kalpana,77,Arpit
Heads,MacDonalds,Midday,Dev,93,Arpit
Heads,MacDonalds,Night,Kalpana,88,Arpit
Tails,BurgerKing,Midday,Dev,69,Chen
Heads,BurgerKing,Morning,Dev,26,Ayla
Tails,Tachos,Evening,Kalpana,24,Arpit
Heads,Starbucks,Midday,Chen,75,Chen
Heads,Starbucks,Morning,Dev,76,Ayla
Heads,Panera,Midday,Katia,100,Ayla
Tails,Tachos,Midday,Kalpana,96,Katia
Heads,Panera,Night,Kalpana,47,Dev
Heads,Panera,Morning,Kalpana,69,Dev
Tails,MacDonalds,Midday,John,26,Chen
Heads,Starbucks,Morning,Kalpana,96,Dev
Heads,Tachos,Night,Chen,47,Dev
Heads,MacDonalds,Night,Kalpana,46,Dev
Heads,Panera,Morning,Katia,31,Katia
Heads,Tachos,Night,Katia,20,Dev
Heads,Panera,Evening,Dev,60,Katia
Tails,Tachos,Night,Chen,92,Katia
Heads,BurgerKing,Midday,Katia,89,Katia
Tails,BurgerKing,Morning,Dev,72,Chen
Heads,Panera,Evening,Katia,42,Ayla
Heads,Tachos,Night,Dev,88,Dev
Tails,MacDonalds,Night,John,9,Ayla
Tails,Tachos,Night,John,96,Chen
Heads,MacDonalds,Morning,Katia,19,Arpit
Heads,Tachos,Evening,Katia,89,Arpit
Tails,BurgerKing,Evening,Katia,68,Chen
Heads,BurgerKing,Morning,Katia,74,Ayla
Tails,MacDonalds,Midday,Kalpana,41,Dev
Tails,Tachos,Morning,John,0,Arpit
Heads,BurgerKing,Evening,Katia,77,Dev
Heads,MacDonalds,Night,Dev,3,Arpit
Heads,BurgerKing,Morning,Chen,56,Katia
Tails,Panera,Evening,Kalpana,87,Chen
Heads,Starbucks,Morning,John,69,Ayla
Heads,BurgerKing,Evening,Katia,12,Katia
Tails,MacDonalds,Evening,John,67,Ayla
Tails,Tachos,Midday,John,51,Chen
Tails,Tachos,Morning,Kalpana,13,Dev
Heads,Tachos,Midday,Dev,10,Katia
Tails,Tachos,Midday,Katia,36,Chen
Tails,Tachos,Morning,Chen,26,Ayla
Heads,MacDonalds,Midday,John,11,Ayla
Heads,Panera,Morning,Chen,82,Arpit
Tails,Starbucks,Evening,John,63,Dev
Tails,Tachos,Midday,Dev,57,Ayla
Heads,Starbucks,Night,Chen,39,Katia
Tails,Starbucks,Morning,Chen,11,Katia
Tails,Tachos,Night,Kalpana,68,Arpit
Heads,Starbucks,Morning,Kalpana,31,Ayla
Heads,Starbucks,Morning,Dev,72,Dev
Heads,Panera,Midday,Chen,97,Ayla
Heads,Starbucks,Night,Dev,3,Ayla
Heads,Starbucks,Morning,Dev,97,Arpit
Tails,MacDonalds,Night,Chen,98,Chen
Heads,Panera,Morning,Dev,79,Ayla
Heads,Panera,Midday,John,46,Chen
Tails,MacDonalds,Night,Kalpana,18,Chen
Tails,Tachos,Morning,Katia,32,Ayla
Heads,BurgerKing,Night,Dev,46,Katia
Tails,Panera,Morning,Dev,74,Katia
Heads,BurgerKing,Evening,Chen,69,Ayla
Heads,Tachos,Night,Kalpana,94,Dev
Heads,BurgerKing,Midday,Dev,25,Dev
Heads,MacDonalds,Midday,Katia,70,Chen
Tails,Panera,Night,Dev,82,Ayla
Heads,Panera,Night,Katia,1,Ayla
Tails,Starbucks,Night,Kalpana,34,Ayla
Heads,Starbucks,Night,Chen,91,Dev
Heads,Panera,Night,Katia,54,Chen
Heads,Starbucks,Evening,Katia,38,Ayla
Tails,Panera,Morning,Katia,68,Ayla
Heads,MacDonalds,Midday,John,41,Arpit
Tails,Tachos,Morning,John,4,Ayla
Heads,MacDonalds,Evening,Katia,52,Dev
Heads,Tachos,Morning,Katia,36,Katia
Tails,Tachos,Midday,Katia,0,Dev
Tails,MacDonalds,Night,Dev,97,Chen
Tails,BurgerKing,Morning,Katia,63,Arpit
Tails,Tachos,Evening,John,17,Arpit
Tails,Tachos,Evening,Katia,47,Ayla
Tails,BurgerKing,Morning,John,2,Ayla
Heads,Panera,Morning,Chen,43,Arpit
Heads,MacDonalds,Evening,Katia,54,Katia
Heads,MacDonalds,Midday,John,76,Ayla
Tails,MacDonalds,Night,Kalpana,16,Katia
Heads,BurgerKing,Morning,Chen,9,Dev
Tails,Tachos,Night,Chen,4,Chen
Tails,Tachos,Night,Kalpana,7,Arpit
Tails,Panera,Midday,Kalpana,33,Dev
Heads,BurgerKing,Morning,Chen,85,Arpit
Tails,MacDonalds,Midday,Dev,99,Dev
Tails,Tachos,Evening,Dev,74,Ayla
Tails,Tachos,Midday,Katia,62,Dev
Tails,Starbucks,Evening,Katia,33,Ayla
Tails,MacDonalds,Evening,John,9,Dev
Tails,Panera,Morning,Katia,20,Katia
Heads,Starbucks,Midday,John,93,Katia
Heads,Panera,Evening,John,4,Ayla
Heads,Panera,Night,Chen,89,Arpit
Tails,MacDonalds,Evening,John,18,Chen
Tails,BurgerKing,Midday,John,21,Katia
Tails,BurgerKing,Midday,Kalpana,55,Dev
Heads,BurgerKing,Morning,Chen,36,Katia
Heads,Panera,Evening,Chen,62,Arpit
Heads,BurgerKing,Morning,John,35,Ayla
Tails,Tachos,Night,Kalpana,96,Ayla
Heads,Tachos,Night,Dev,77,Dev
Tails,BurgerKing,Morning,Dev,39,Ayla
Tails,Panera,Midday,John,7,Chen
Heads,MacDonalds,Morning,Chen,27,Dev
Tails,Panera,Midday,Chen,55,Arpit
Heads,BurgerKing,Midday,Chen,98,Ayla
Tails,BurgerKing,Morning,Chen,6,Dev
Heads,BurgerKing,Evening,John,31,Katia
Heads,Panera,Evening,Kalpana,6,Katia
Tails,MacDonalds,Night,Katia,21,Ayla
Tails,Panera,Morning,Chen,97,Chen
Heads,Starbucks,Midday,Katia,71,Chen
Tails,Panera,Evening,Kalpana,25,Arpit
Heads,Panera,Morning,Kalpana,5,Chen
Tails,Tachos,Night,Chen,85,Katia
Heads,Panera,Morning,Chen,71,Arpit
Heads,Panera,Night,Dev,37,Arpit
Tails,Starbucks,Night,Kalpana,55,Ayla
Tails,MacDonalds,Evening,Kalpana,17,Katia
Heads,Starbucks,Night,John,9,Katia
Tails,Panera,Midday,John,61,Chen
Heads,Starbucks,Midday,Chen,41,Chen
Heads,Panera,Midday,John,38,Arpit
Heads,Tachos,Evening,Chen,61,Dev
Tails,Tachos,Morning,Katia,11,Arpit
Tails,BurgerKing,Evening,John,72,Katia
Heads,Tachos,Night,Dev,21,Dev
Heads,Panera,Morning,Dev,100,Arpit
Tails,Panera,Midday,Kalpana,84,Ayla
Heads,MacDonalds,Morning,Katia,11,Arpit
Tails,MacDonalds,Evening,John,34,Chen
Tails,Panera,Morning,Kalpana,49,Dev
Heads,Panera,Morning,John,20,Arpit
Tails,Tachos,Morning,Dev,93,Ayla
Heads,MacDonalds,Morning,John,10,Ayla
Tails,BurgerKing,Evening,John,43,Dev
Heads,Starbucks,Evening,Chen,72,Dev
Heads,Panera,Evening,John,80,Arpit
Tails,BurgerKing,Morning,Kalpana,73,Chen
Heads,Starbucks,Evening,Chen,85,Ayla
Tails,Starbucks,Morning,John,2,Katia
Heads,Panera,Midday,Chen,65,Katia
Heads,Starbucks,Night,Chen,12,Dev
Tails,MacDonalds,Evening,John,76,Dev
Tails,Starbucks,Evening,Kalpana,0,Katia
Tails,Panera,Midday,John,26,Ayla
Heads,Panera,Night,Katia,6,Katia
Heads,Starbucks,Evening,Chen,99,Ayla
Heads,Starbucks,Morning,Kalpana,54,Chen
Tails,Tachos,Midday,Katia,98,Dev
Heads,MacDonalds,Morning,Katia,81,Arpit
Heads,BurgerKing,Morning,Chen,54,Katia
Tails,BurgerKing,Evening,Chen,26,Ayla
Tails,Tachos,Midday,Katia,94,Ayla
Tails,BurgerKing,Evening,Katia,81,Dev
Tails,Panera,Midday,Chen,51,Katia
Heads,Panera,Evening,Chen,95,Katia
Heads,Tachos,Morning,Katia,51,Arpit
Heads,BurgerKing,Evening,Katia,95,Katia
Tails,BurgerKing,Night,Katia,70,Katia
Tails,Tachos,Night,Chen,48,Chen
Tails,Starbucks,Night,Kalpana,56,Ayla
Heads,MacDonalds,Midday,Chen,52,Chen
Tails,Tachos,Midday,Dev,16,Chen
Heads,BurgerKing,Evening,Chen,3,Arpit
Tails,MacDonalds,Morning,Dev,61,Arpit
Heads,Starbucks,Night,John,57,Chen
Tails,Starbucks,Evening,Kalpana,98,Chen
Heads,Starbucks,Morning,Chen,5,Arpit
Heads,Tachos,Night,Chen,83,Katia
Heads,Tachos,Morning,Dev,83,Ayla
Heads,Starbucks,Evening,Chen,51,Katia
Heads,BurgerKing,Night,John,66,Ayla
Tails,MacDonalds,Morning,Katia,74,Chen
Heads,BurgerKing,Evening,Kalpana,55,Dev
Tails,Tachos,Morning,Chen,35,Ayla
Heads,Tachos,Midday,Chen,63,Arpit
Tails,BurgerKing,Midday,Kalpana,13,Katia
Tails,Tachos,Evening,Kalpana,20,Dev
Tails,Panera,Evening,Katia,97,Chen
Tails,MacDonalds,Evening,Dev,88,Chen
Tails,Panera,Evening,Kalpana,71,Katia
Heads,Starbucks,Morning,Dev,0,Arpit
Tails,Panera,Morning,Kalpana,17,Chen
Tails,MacDonalds,Morning,Kalpana,81,Arpit
Heads,MacDonalds,Night,Chen,7,Dev
Tails,Tachos,Evening,John,14,Chen
Tails,BurgerKing,Morning,Kalpana,10,Arpit
Tails,MacDonalds,Night,Katia,25,Arpit
Tails,BurgerKing,Morning,Dev,6,Chen
Tails,Tachos,Midday,John,1,Chen
Tails,Tachos,Night,Chen,7,Katia
Tails,Panera,Evening,Katia,69,Katia
Tails,Tachos,Morning,Chen,38,Arpit
Tails,MacDonalds,Night,Dev,2,Ayla
Heads,Tachos,Morning,Katia,21,Arpit
Tails,Tachos,Evening,Dev,45,Katia
Heads,Tachos,Midday,Katia,89,Arpit
Tails,MacDonalds,Morning,John,40,Chen
Tails,Starbucks,Midday,Kalpana,42,Chen
Tails,Panera,Evening,Katia,81,Dev
Heads,Starbucks,Night,Kalpana,71,Katia
Tails,Tachos,Morning,Kalpana,4,Ayla
Heads,Starbucks,Night,John,30,Arpit
Heads,BurgerKing,Evening,Katia,6,Ayla
Heads,MacDonalds,Night,Dev,83,Dev
Tails,BurgerKing,Midday,Katia,63,Katia
Heads,MacDonalds,Night,Chen,21,Arpit
Heads,Tachos,Morning,Dev,57,Katia
Heads,MacDonalds,Evening,John,8,Katia
Heads,BurgerKing,Midday,John,50,Ayla
Heads,Panera,Evening,Chen,71,Dev
Tails,MacDonalds,Evening,Kalpana,40,Chen
Heads,Starbucks,Evening,John,31,Ayla
Heads,Panera,Midday,Dev,65,Dev
Tails,Panera,Evening,Dev,55,Ayla
Tails,Panera,Evening,Kalpana,68,Dev
Tails,Panera,Evening,Dev,25,Chen
Heads,BurgerKing,Morning,John,32,Ayla
Tails,Tachos,Morning,Katia,56,Dev
Tails,BurgerKing,Morning,Kalpana,98,Katia
Heads,MacDonalds,Morning,Katia,26,Ayla
Tails,BurgerKing,Evening,Dev,36,Katia
Heads,Panera,Morning,Kalpana,19,Arpit
Tails,Tachos,Morning,Katia,81,Chen
Tails,MacDonalds,Evening,Kalpana,95,Ayla
Tails,Panera,Morning,John,12,Arpit
Tails,Panera,Midday,John,75,Dev
Heads,MacDonalds,Night,John,52,Ayla
Tails,Starbucks,Morning,John,48,Chen
Heads,MacDonalds,Night,John,13,Arpit
Tails,Starbucks,Morning,Dev,59,Katia
Heads,BurgerKing,Evening,Dev,91,Ayla
Heads,MacDonalds,Night,John,97,Chen
Tails,BurgerKing,Midday,Chen,87,Ayla
Tails,Panera,Morning,Dev,39,Arpit
Tails,Starbucks,Evening,Dev,33,Ayla
Heads,BurgerKing,Evening,Katia,18,Arpit
Heads,BurgerKing,Morning,Dev,61,Dev
Tails,Panera,Evening,Chen,93,Ayla
Tails,Panera,Midday,Chen,48,Ayla
Heads,MacDonalds,Night,John,22,Arpit
Heads,Starbucks,Morning,Katia,96,Arpit
Tails,Starbucks,Evening,Katia,31,Chen
Tails,Tachos,Night,Kalpana,18,Chen
Tails,Starbucks,Midday,Kalpana,71,Dev
Heads,Tachos,Evening,Dev,46,Ayla
Heads,MacDonalds,Night,Kalpana,21,Dev
Heads,MacDonalds,Night,John,62,Dev
Tails,MacDonalds,Evening,John,15,Ayla
Heads,MacDonalds,Morning,Chen,81,Arpit
Tails,Panera,Evening,John,93,Katia
Tails,Tachos,Evening,Kalpana,38,Arpit
Heads,Starbucks,Evening,John,84,Chen
Heads,Panera,Midday,John,1,Katia
Heads,MacDonalds,Evening,Katia,81,Arpit
Tails,MacDonalds,Midday,Dev,17,Dev
Heads,MacDonalds,Morning,Dev,95,Dev
Tails,Tachos,Night,Chen,14,Arpit
Tails,Starbucks,Evening,John,46,Katia
Heads,Panera,Night,Katia,73,Dev
Tails,Tachos,Night,Dev,70,Katia
Tails,Tachos,Night,Kalpana,89,Ayla
Heads,Tachos,Evening,John,99,Katia
Tails,BurgerKing,Night,Kalpana,42,Katia
Tails,Tachos,Morning,John,22,Katia
Tails,Starbucks,Night,Kalpana,5,Chen
Tails,BurgerKing,Midday,Dev,10,Katia
Heads,Panera,Morning,John,10,Arpit
Tails,Panera,Morning,Katia,5,Chen
Heads,Panera,Night,Dev,18,Arpit
Tails,MacDonalds,Night,Katia,75,Chen
Tails,MacDonalds,Morning,Katia,66,Ayla
Heads,Panera,Night,Chen,97,Dev
Tails,MacDonalds,Morning,Dev,70,Chen
Heads,Starbucks,Evening,Dev,83,Dev
Heads,MacDonalds,Night,Dev,77,Arpit
Heads,BurgerKing,Evening,Chen,70,Arpit
Tails,BurgerKing,Morning,Chen,41,Chen
Heads,BurgerKing,Night,Katia,23,Arpit
Heads,Starbucks,Evening,Dev,72,Katia
Tails,Starbucks,Night,Chen,5,Dev
Tails,Tachos,Midday,John,77,Chen
Tails,Tachos,Night,Katia,71,Chen
Tails,Starbucks,Night,Kalpana,35,Ayla
Heads,Panera,Night,Katia,49,Arpit
Tails,BurgerKing,Evening,Dev,42,Chen
Heads,Tachos,Night,Kalpana,3,Dev
Heads,Starbucks,Midday,John,25,Ayla
Tails,BurgerKing,Evening,Kalpana,25,Dev
Heads,MacDonalds,Midday,John,15,Arpit
Tails,Panera,Evening,Chen,53,Katia
Tails,MacDonalds,Night,Katia,68,Chen
Heads,Panera,Midday,Chen,97,Katia
Tails,Starbucks,Night,Chen,74,Katia
Tails,Tachos,Night,Dev,10,Katia
Heads,Starbucks,Night,Kalpana,14,Dev
Heads,MacDonalds,Night,John,87,Chen
Tails,Tachos,Morning,Kalpana,76,Ayla
Heads,BurgerKing,Night,John,57,Chen
Heads,Starbucks,Night,Chen,90,Chen
Tails,Panera,Evening,Katia,5,Dev
Tails,Starbucks,Midday,Dev,57,Arpit
Heads,Starbucks,Evening,Chen,66,Dev
Heads,Starbucks,Morning,John,96,Ayla
Tails,MacDonalds,Night,Dev,48,Katia
Tails,MacDonalds,Evening,Dev,87,Ayla
Tails,Panera,Morning,John,79,Katia
Heads,MacDonalds,Morning,Chen,63,Ayla
Tails,Starbucks,Evening,Kalpana,24,Katia
Tails,BurgerKing,Evening,Dev,87,Katia
Heads,Panera,Night,Kalpana,21,Arpit
Tails,Starbucks,Evening,Katia,10,Arpit
Tails,MacDonalds,Morning,Kalpana,68,Dev
Tails,Starbucks,Night,Dev,100,Dev
Heads,BurgerKing,Night,Katia,71,Dev
Tails,MacDonalds,Evening,John,51,Dev
Heads,BurgerKing,Night,Katia,87,Dev
Tails,MacDonalds,Midday,Kalpana,42,Katia
Tails,MacDonalds,Midday,Chen,31,Chen
Tails,Panera,Night,Chen,81,Katia
